,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
56,023530,롯데쇼핑,200500,1500,0.8,62550,12468362000,199000,201500,196500,5638470423500,0.3,28122047,4587067.0,16.31,57,2018-01-02
2366,023530,롯데쇼핑,204500,4000,2.0,132853,27046681500,201000,206500,199000,5750958611500,0.3,28122047,4588928.0,16.32,56,2018-01-03
4675,023530,롯데쇼핑,217000,12500,6.1,367139,78724201000,207000,218000,206500,6102484199000,0.32,28122047,4653888.0,16.55,54,2018-01-04
6986,023530,롯데쇼핑,216500,-500,-0.2,146618,31498218000,218000,218000,213000,6088423175500,0.32,28122047,4655134.0,16.55,55,2018-01-05
9297,023530,롯데쇼핑,222500,6000,2.8,193535,42862912000,216000,224000,216000,6257155457500,0.32,28122047,4715821.0,16.77,54,2018-01-08
11610,023530,롯데쇼핑,222500,0,0.0,123844,27445283500,221000,224000,217500,6257155457500,0.32,28122047,4741330.0,16.86,55,2018-01-09
13922,023530,롯데쇼핑,222000,-500,-0.2,143149,31884454000,221500,224500,220500,6243094434000,0.32,28122047,4799113.0,17.07,55,2018-01-10
16235,023530,롯데쇼핑,219500,-2500,-1.1,94730,20829678000,222000,223500,218000,6172789316500,0.32,28122047,4825277.0,17.16,56,2018-01-11
18547,023530,롯데쇼핑,223000,3500,1.6,96902,21601167500,220500,224500,220000,6271216481000,0.32,28122047,4841625.0,17.22,55,2018-01-12
20861,023530,롯데쇼핑,226000,3000,1.4,119028,26758885000,222500,226500,220500,6355582622000,0.33,28122047,4868183.0,17.31,56,2018-01-15
23172,023530,롯데쇼핑,232000,6000,2.6,273842,63443184000,226000,234000,225000,6524314904000,0.33,28122047,4904104.0,17.44,54,2018-01-16
25482,023530,롯데쇼핑,235500,3500,1.5,202377,47625657000,233000,238000,230500,6622742068500,0.34,28122047,4919236.0,17.49,51,2018-01-17
27799,023530,롯데쇼핑,232000,-3500,-1.5,95127,22184312000,235500,239000,230500,6524314904000,0.33,28122047,4909818.0,17.46,55,2018-01-18
30110,023530,롯데쇼핑,233000,1000,0.4,111939,25849889000,230000,234000,226500,6552436951000,0.33,28122047,4918363.0,17.49,53,2018-01-19
32422,023530,롯데쇼핑,232000,-1000,-0.4,82009,18988914000,234500,235500,228500,6524314904000,0.34,28122047,4906814.0,17.45,53,2018-01-22
34736,023530,롯데쇼핑,233000,1000,0.4,70147,16238762000,230000,233000,229000,6552436951000,0.33,28122047,4917754.0,17.49,55,2018-01-23
37048,023530,롯데쇼핑,231000,-2000,-0.9,59138,13648957500,233000,233500,229500,6496192857000,0.33,28122047,4891785.0,17.39,55,2018-01-24
39360,023530,롯데쇼핑,227000,-4000,-1.7,90458,20756804500,229000,233000,226000,6383704669000,0.32,28122047,4905641.0,17.44,55,2018-01-25
41672,023530,롯데쇼핑,239500,12500,5.5,246252,58227712000,227000,240000,227000,6735230256500,0.34,28122047,4949070.0,17.6,54,2018-01-26
43985,023530,롯데쇼핑,238500,-1000,-0.4,100085,23926139500,239500,243500,237000,6707108209500,0.33,28122047,4951018.0,17.61,53,2018-01-29
