,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
13,028260,삼성물산,127500,1500,1.2,213139,27055498500,125500,128000,125000,24185480482500,1.27,189690043,18548765.0,9.78,14,2018-01-02
2324,028260,삼성물산,126500,-1000,-0.8,310549,39286900000,126500,127500,126000,23995790439500,1.25,189690043,18590788.0,9.8,14,2018-01-03
4632,028260,삼성물산,128000,1500,1.2,410730,52418237000,128000,129000,126000,24280325504000,1.28,189690043,18697202.0,9.86,11,2018-01-04
6942,028260,삼성물산,130000,2000,1.6,328782,42334416000,128500,130000,127000,24659705590000,1.28,189690043,18823154.0,9.92,11,2018-01-05
9254,028260,삼성물산,131000,1000,0.8,356507,46650883000,130000,132000,129500,24849395633000,1.28,189690043,18773871.0,9.9,11,2018-01-08
11566,028260,삼성물산,136000,5000,3.8,831217,112783858000,134500,138000,134000,25797845848000,1.34,189690043,18689338.0,9.85,11,2018-01-09
13878,028260,삼성물산,133500,-2500,-1.8,452610,60518073000,137000,137500,132000,25323620740500,1.31,189690043,18617874.0,9.81,11,2018-01-10
16190,028260,삼성물산,132500,-1000,-0.8,325852,43397233000,134500,134500,132000,25133930697500,1.31,189690043,18615931.0,9.81,11,2018-01-11
18503,028260,삼성물산,134000,1500,1.1,429710,57353461000,132500,135000,131000,25418465762000,1.31,189690043,18616907.0,9.81,11,2018-01-12
20817,028260,삼성물산,134500,500,0.4,223093,29961339500,133500,135000,133500,25513310783500,1.31,189690043,18617478.0,9.81,12,2018-01-15
23130,028260,삼성물산,135500,1000,0.7,255500,34429313500,134000,136000,133000,25703000826500,1.31,189690043,18604204.0,9.81,12,2018-01-16
25443,028260,삼성물산,135000,-500,-0.4,153331,20662570000,134500,135500,134000,25608155805000,1.31,189690043,18611838.0,9.81,12,2018-01-17
27756,028260,삼성물산,136500,1500,1.1,268992,36468802500,135000,136500,134500,25892690869500,1.32,189690043,18672209.0,9.84,12,2018-01-18
30069,028260,삼성물산,135500,-1000,-0.7,230097,31260434000,136000,138000,135000,25703000826500,1.31,189690043,18659197.0,9.84,12,2018-01-19
32382,028260,삼성물산,134000,-1500,-1.1,264259,35326226000,135000,135500,133000,25418465762000,1.31,189690043,18644434.0,9.83,13,2018-01-22
34694,028260,삼성물산,135000,1000,0.8,201754,27117665500,134000,135000,133000,25608155805000,1.3,189690043,18707997.0,9.86,13,2018-01-23
37006,028260,삼성물산,135500,500,0.4,184670,24998277500,135000,136000,134500,25703000826500,1.3,189690043,18724818.0,9.87,13,2018-01-24
39318,028260,삼성물산,136500,1000,0.7,200037,27196362000,134500,136500,134500,25892690869500,1.3,189690043,18736759.0,9.88,13,2018-01-25
41630,028260,삼성물산,136500,0,0.0,254227,34610472500,136500,137500,135500,25892690869500,1.29,189690043,18772727.0,9.9,12,2018-01-26
43943,028260,삼성물산,142000,5500,4.0,933019,131598409000,138000,142500,137500,26935986106000,1.33,189690043,18733217.0,9.88,11,2018-01-29
46257,028260,삼성물산,138500,-3500,-2.5,347005,48708149500,141000,143000,138500,26272070955500,1.31,189690043,18702009.0,9.86,11,2018-01-30
48571,028260,삼성물산,142000,3500,2.5,1193193,169776637000,137500,144500,136500,26935986106000,1.35,189690043,18740614.0,9.88,11,2018-01-31
50885,028260,삼성물산,141500,-500,-0.4,409827,58338826500,143000,144000,141000,26841141084500,1.34,189690043,18733183.0,9.88,11,2018-02-01
53200,028260,삼성물산,140000,-1500,-1.1,595776,84130530000,144000,144500,139500,26556606020000,1.35,189690043,18714976.0,9.87,11,2018-02-02
55515,028260,삼성물산,143000,3000,2.1,1419206,202437377500,139500,146500,137000,27125676149000,1.4,189690043,18717190.0,9.87,11,2018-02-05
57830,028260,삼성물산,138500,-4500,-3.2,846366,117064384000,139500,141500,135500,26272070955500,1.38,189690043,18614913.0,9.81,11,2018-02-06
60145,028260,삼성물산,133000,-5500,-4.0,650794,88960764500,140500,141000,132500,25228775719000,1.36,189690043,18639357.0,9.83,11,2018-02-07
62459,028260,삼성물산,132500,-500,-0.4,580549,77391466500,133000,135500,131500,25133930697500,1.34,189690043,18620452.0,9.82,11,2018-02-08
64774,028260,삼성물산,127500,-5000,-3.8,538310,69082651500,127500,130000,127000,24185480482500,1.31,189690043,18632084.0,9.82,11,2018-02-09
67089,028260,삼성물산,128000,500,0.4,306636,39297584000,128500,129500,127500,24280325504000,1.31,189690043,18625837.0,9.82,11,2018-02-12
69405,028260,삼성물산,132000,4000,3.1,486931,64333517500,129000,134000,128500,25039085676000,1.35,189690043,18648418.0,9.83,11,2018-02-13
71721,028260,삼성물산,133000,1000,0.8,276076,36581225000,133500,134000,130500,25228775719000,1.34,189690043,18671678.0,9.84,11,2018-02-14
74036,028260,삼성물산,132000,-1000,-0.8,277042,36746666500,134500,134500,131500,25039085676000,1.31,189690043,18692338.0,9.85,11,2018-02-19
76351,028260,삼성물산,131000,-1000,-0.8,194463,25454784000,132000,132500,130000,24849395633000,1.32,189690043,18730419.0,9.87,11,2018-02-20
78666,028260,삼성물산,131000,0,0.0,191865,25110318500,131000,131500,130500,24849395633000,1.31,189690043,18727604.0,9.87,11,2018-02-21
80981,028260,삼성물산,130000,-1000,-0.8,202257,26322116000,131000,131500,129500,24659705590000,1.31,189690043,18736301.0,9.88,11,2018-02-22
83297,028260,삼성물산,134000,4000,3.1,333616,44500586000,130500,134500,130000,25418465762000,1.33,189690043,18767470.0,9.89,12,2018-02-23
85611,028260,삼성물산,131500,-2500,-1.9,266249,35117819500,134500,135000,130000,24944240654500,1.3,189690043,18777143.0,9.9,12,2018-02-26
87925,028260,삼성물산,129000,-2500,-1.9,385687,50023771500,131500,132500,128500,24470015547000,1.28,189690043,18738809.0,9.88,12,2018-02-27
90238,028260,삼성물산,128500,-500,-0.4,239534,31001356000,128500,131500,128500,24375170525500,1.29,189690043,18720331.0,9.87,11,2018-02-28
92552,028260,삼성물산,128000,-500,-0.4,260836,33227344000,128000,128500,126000,24280325504000,1.29,189690043,18707153.0,9.86,11,2018-03-02
94866,028260,삼성물산,127000,-1000,-0.8,190411,24286739500,128000,129500,126500,24090635461000,1.3,189690043,18678718.0,9.85,12,2018-03-05
97178,028260,삼성물산,129000,2000,1.6,191527,24603780000,128000,129500,127500,24470015547000,1.3,189690043,18670894.0,9.84,11,2018-03-06
99491,028260,삼성물산,128500,-500,-0.4,253260,32584478500,128500,130000,127500,24375170525500,1.3,189690043,18689986.0,9.85,11,2018-03-07
101804,028260,삼성물산,129500,1000,0.8,217437,28127733500,129000,130000,128500,24564860568500,1.3,189690043,18724298.0,9.87,11,2018-03-08
104117,028260,삼성물산,131500,2000,1.5,240003,31526857000,130000,132500,129500,24944240654500,1.3,189690043,18741421.0,9.88,11,2018-03-09
106429,028260,삼성물산,133000,1500,1.1,296690,39448542000,133000,134000,132000,25228775719000,1.3,189690043,18789158.0,9.91,11,2018-03-12
108741,028260,삼성물산,133500,500,0.4,249865,33300079000,132500,134000,131500,25323620740500,1.3,189690043,18838506.0,9.93,11,2018-03-13
111052,028260,삼성물산,133000,-500,-0.4,218827,28933191000,132500,133000,131500,25228775719000,1.3,189690043,18852085.0,9.94,11,2018-03-14
113365,028260,삼성물산,131500,-1500,-1.1,253184,33243044500,132500,132500,130500,24944240654500,1.28,189690043,18884193.0,9.96,11,2018-03-15
115678,028260,삼성물산,134000,2500,1.9,380417,50980080000,132000,135000,131500,25418465762000,1.3,189690043,18947447.0,9.99,11,2018-03-16
117991,028260,삼성물산,133000,-1000,-0.8,241176,32395311500,134500,136000,132500,25228775719000,1.3,189690043,18945584.0,9.99,11,2018-03-19
120304,028260,삼성물산,134000,1000,0.8,150517,20090380000,132000,134500,132000,25418465762000,1.31,189690043,18972952.0,10.0,11,2018-03-20
122616,028260,삼성물산,133500,-500,-0.4,168638,22478040000,133500,134000,132500,25323620740500,1.3,189690043,18985888.0,10.01,11,2018-03-21
