,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
66,029780,삼성카드,34700,150,0.4,69225,2383543650,34200,34700,33950,4020303517700,0.26,115858891,13049604.0,11.26,67.0,2019-01-02
2445,029780,삼성카드,33950,-750,-2.2,112990,3850264350,35300,35350,33600,3933409349450,0.26,115858891,13118896.0,11.32,67.0,2019-01-03
4824,029780,삼성카드,34500,550,1.6,102668,3537263650,34200,34900,33800,3997131739500,0.26,115858891,13170614.0,11.37,67.0,2019-01-04
7203,029780,삼성카드,34850,350,1.0,96405,3381374750,34800,35550,34400,4037682351350,0.26,115858891,13183444.0,11.38,67.0,2019-01-07
9582,029780,삼성카드,35000,150,0.4,62845,2211238500,35500,35550,34800,4055061185000,0.26,115858891,13183039.0,11.38,67.0,2019-01-08
11960,029780,삼성카드,35000,0,0.0,53298,1871046500,34800,35350,34750,4055061185000,0.25,115858891,13192806.0,11.39,66.0,2019-01-09
14339,029780,삼성카드,34650,-350,-1.0,113568,3939886000,34500,35300,34400,4014510573150,0.25,115858891,13195069.0,11.39,66.0,2019-01-10
16718,029780,삼성카드,34500,-150,-0.4,75026,2602726300,34800,35100,34450,3997131739500,0.25,115858891,13222173.0,11.41,66.0,2019-01-11
19097,029780,삼성카드,35150,650,1.9,84471,2933206800,34300,35200,34100,4072440018650,0.25,115858891,13263108.0,11.45,66.0,2019-01-14
21476,029780,삼성카드,34700,-450,-1.3,63914,2230900950,35250,35300,34700,4020303517700,0.25,115858891,13267669.0,11.45,66.0,2019-01-15
23855,029780,삼성카드,34800,100,0.3,70096,2432704800,34550,35050,34450,4031889406800,0.25,115858891,13296992.0,11.48,66.0,2019-01-16
26234,029780,삼성카드,35250,450,1.3,71578,2516807600,34550,35500,34550,4084025907750,0.25,115858891,13332242.0,11.51,66.0,2019-01-17
28614,029780,삼성카드,34950,-300,-0.8,58423,2044461600,35500,35550,34750,4049268240450,0.25,115858891,13330652.0,11.51,67.0,2019-01-18
30993,029780,삼성카드,34900,-50,-0.1,55088,1924934300,35100,35200,34750,4043475295900,0.25,115858891,13330871.0,11.51,67.0,2019-01-21
