,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
39,030200,KT,30050,-200,-0.7,395012,11883507950,30250,30300,29950,7846409830400,0.41,261111808,127944785.0,49.0,40,2018-01-02
2351,030200,KT,29750,-300,-1.0,641681,19138590750,29900,30000,29750,7768076288000,0.41,261111808,127944785.0,49.0,41,2018-01-03
4662,030200,KT,29500,-250,-0.8,812804,24530184580,29750,29900,29500,7702798336000,0.41,261111808,127944785.0,49.0,41,2018-01-04
6972,030200,KT,29900,400,1.4,329925,9845669000,29650,30050,29600,7807243059200,0.41,261111808,127944785.0,49.0,41,2018-01-05
9284,030200,KT,29750,-150,-0.5,510458,15242343000,29900,30150,29700,7768076288000,0.4,261111808,127944785.0,49.0,41,2018-01-08
11596,030200,KT,30400,650,2.2,1015251,30876905182,29800,30550,29700,7937798963200,0.41,261111808,127944785.0,49.0,41,2018-01-09
13908,030200,KT,30200,-200,-0.7,675430,20976422876,30400,30500,30200,7885576601600,0.41,261111808,127944785.0,49.0,41,2018-01-10
16221,030200,KT,30000,-200,-0.7,622991,18769711300,30350,30400,30000,7833354240000,0.41,261111808,127944785.0,49.0,42,2018-01-11
18534,030200,KT,29800,-200,-0.7,510125,15254663750,30050,30100,29800,7781131878400,0.4,261111808,127944785.0,49.0,42,2018-01-12
20847,030200,KT,29800,0,0.0,501742,14907038950,29800,29900,29550,7781131878400,0.4,261111808,127944785.0,49.0,42,2018-01-15
23160,030200,KT,29650,-150,-0.5,642000,19055066350,29800,29850,29600,7741965107200,0.39,261111808,127944785.0,49.0,42,2018-01-16
25473,030200,KT,29800,150,0.5,595830,17841207346,29600,29950,29600,7781131878400,0.4,261111808,127944785.0,49.0,42,2018-01-17
27785,030200,KT,30000,200,0.7,1161757,36518550513,29900,30200,29900,7833354240000,0.4,261111808,127944785.0,49.0,41,2018-01-18
30098,030200,KT,30150,150,0.5,585314,17643923905,30100,30350,29850,7872521011200,0.4,261111808,127944785.0,49.0,41,2018-01-19
32410,030200,KT,30000,-150,-0.5,543262,16447539550,30200,30350,29900,7833354240000,0.4,261111808,127944785.0,49.0,41,2018-01-22
34723,030200,KT,30050,50,0.2,487943,14720674400,30000,30350,29950,7846409830400,0.4,261111808,127944785.0,49.0,42,2018-01-23
37035,030200,KT,30100,50,0.2,450216,13528540700,30050,30200,30000,7859465420800,0.4,261111808,127944785.0,49.0,42,2018-01-24
39347,030200,KT,29900,-200,-0.7,811983,24480275573,30050,30100,29850,7807243059200,0.39,261111808,127944785.0,49.0,42,2018-01-25
41661,030200,KT,29950,50,0.2,743365,23309814604,29850,30100,29750,7820298649600,0.39,261111808,127944785.0,49.0,43,2018-01-26
43976,030200,KT,29950,0,0.0,804416,24654665755,30050,30250,29950,7820298649600,0.39,261111808,127944785.0,49.0,44,2018-01-29
46289,030200,KT,29900,-50,-0.2,788517,24168251300,30050,30150,29900,7807243059200,0.39,261111808,127944785.0,49.0,43,2018-01-30
48603,030200,KT,29650,-250,-0.8,1522403,45981015000,29900,29900,29550,7741965107200,0.39,261111808,127944785.0,49.0,43,2018-01-31
50917,030200,KT,29550,-100,-0.3,722043,21336923100,29650,29700,29400,7715853926400,0.39,261111808,127944785.0,49.0,43,2018-02-01
53231,030200,KT,29450,-100,-0.3,515541,15191182400,29550,29600,29400,7689742745600,0.39,261111808,127944785.0,49.0,42,2018-02-02
55545,030200,KT,29450,0,0.0,728932,21585802112,29450,29800,29300,7689742745600,0.4,261111808,127944785.0,49.0,41,2018-02-05
57860,030200,KT,28900,-550,-1.9,1965078,57470216380,29200,29300,28750,7546131251200,0.4,261111808,127944785.0,49.0,41,2018-02-06
60175,030200,KT,28550,-350,-1.2,1752627,50728004159,29000,29100,28550,7454742118400,0.4,261111808,127944785.0,49.0,41,2018-02-07
62490,030200,KT,28300,-250,-0.9,1818730,52099682417,28550,28700,28300,7389464166400,0.39,261111808,127944785.0,49.0,42,2018-02-08
64805,030200,KT,27900,-400,-1.4,1971779,55374198874,28100,28150,27800,7285019443200,0.4,261111808,127944785.0,49.0,42,2018-02-09
67120,030200,KT,27450,-450,-1.6,2895978,80624361286,28100,28100,27350,7167519129600,0.39,261111808,127944785.0,49.0,42,2018-02-12
69435,030200,KT,27500,50,0.2,893517,24702154500,27500,27800,27450,7180574720000,0.39,261111808,127944785.0,49.0,41,2018-02-13
71753,030200,KT,27650,150,0.6,660680,18417562200,27650,28100,27600,7219741491200,0.38,261111808,127944785.0,49.0,43,2018-02-14
74067,030200,KT,28400,750,2.7,567132,15995177443,28050,28400,27900,7415575347200,0.39,261111808,127944785.0,49.0,42,2018-02-19
76381,030200,KT,28050,-350,-1.2,349949,9860998150,28400,28450,28050,7324186214400,0.39,261111808,127944779.0,49.0,41,2018-02-20
78696,030200,KT,28150,100,0.4,410060,11581941966,28100,28400,28000,7350297395200,0.39,261111808,127944785.0,49.0,41,2018-02-21
81011,030200,KT,28300,150,0.5,582791,16457688856,28200,28300,27900,7389464166400,0.39,261111808,127944785.0,49.0,41,2018-02-22
83327,030200,KT,28200,-100,-0.4,427320,12070633503,28350,28400,28100,7363352985600,0.39,261111808,127944785.0,49.0,42,2018-02-23
