,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
22,033780,KT&G,115000,-500,-0.4,171525,19664547500,115000,115500,114000,15788637155000,0.83,137292497,73060618.0,53.22,23,2018-01-02
2335,033780,KT&G,111500,-3500,-3.0,358205,40200436500,113500,115000,111000,15308113415500,0.8,137292497,73138491.0,53.27,25,2018-01-03
4644,033780,KT&G,112000,500,0.4,279088,31311665000,112500,113500,111500,15376759664000,0.81,137292497,73351032.0,53.43,23,2018-01-04
6958,033780,KT&G,109000,-3000,-2.7,417234,45534423500,112000,112000,108000,14964882173000,0.78,137292497,73445206.0,53.5,27,2018-01-05
9270,033780,KT&G,108500,-500,-0.5,199323,21643204500,110000,110000,107500,14896235924500,0.77,137292497,73436388.0,53.49,27,2018-01-08
11582,033780,KT&G,108000,-500,-0.5,344579,37113001500,108000,109000,107000,14827589676000,0.77,137292497,73480022.0,53.52,27,2018-01-09
13894,033780,KT&G,105500,-2500,-2.3,472747,50315259000,107500,108500,105000,14484358433500,0.75,137292497,73484843.0,53.52,27,2018-01-10
16206,033780,KT&G,105500,0,0.0,414140,43797599798,105500,106500,105000,14484358433500,0.75,137292497,73361424.0,53.43,27,2018-01-11
18519,033780,KT&G,106500,1000,1.0,399555,42534112556,106500,107000,105500,14621650930500,0.75,137292497,73496980.0,53.53,27,2018-01-12
20831,033780,KT&G,107500,1000,0.9,359141,38548678274,107500,108000,106500,14758943427500,0.76,137292497,73424736.0,53.48,26,2018-01-15
23145,033780,KT&G,106000,-1500,-1.4,364851,38772514060,107000,107500,105500,14553004682000,0.74,137292497,73405018.0,53.47,27,2018-01-16
25458,033780,KT&G,107000,1000,0.9,263826,28153471900,106000,107500,106000,14690297179000,0.75,137292497,73436946.0,53.49,27,2018-01-17
27771,033780,KT&G,106500,-500,-0.5,358126,38061568000,106000,107000,106000,14621650930500,0.75,137292497,73461824.0,53.51,27,2018-01-18
30083,033780,KT&G,106500,0,0.0,251484,26784647700,106500,107000,106000,14621650930500,0.75,137292497,73456917.0,53.5,26,2018-01-19
32395,033780,KT&G,107500,1000,0.9,383737,41245501000,107000,108500,106500,14758943427500,0.76,137292497,73397793.0,53.46,26,2018-01-22
34707,033780,KT&G,109000,1500,1.4,389561,42687848250,108500,111000,108000,14964882173000,0.76,137292497,73392576.0,53.46,26,2018-01-23
37019,033780,KT&G,111000,2000,1.8,309361,34292023000,110500,112500,110000,15239467167000,0.77,137292497,73412987.0,53.47,26,2018-01-24
39331,033780,KT&G,109500,-1500,-1.4,279471,30931358500,112500,113000,109000,15033528421500,0.75,137292497,73418334.0,53.48,26,2018-01-25
41644,033780,KT&G,109000,-500,-0.5,188186,20589419500,109000,110500,108500,14964882173000,0.75,137292497,73381921.0,53.45,26,2018-01-26
43958,033780,KT&G,108500,-500,-0.5,230605,25039541500,109000,109500,108000,14896235924500,0.74,137292497,73354149.0,53.43,26,2018-01-29
46272,033780,KT&G,107500,-1000,-0.9,253322,27341599000,108000,109000,107500,14758943427500,0.74,137292497,73315357.0,53.4,26,2018-01-30
48587,033780,KT&G,106500,-1000,-0.9,515714,54807972500,107500,108000,105500,14621650930500,0.73,137292497,73230735.0,53.34,27,2018-01-31
50900,033780,KT&G,107500,1000,0.9,274310,29503768500,107000,108000,106500,14758943427500,0.74,137292497,73212237.0,53.33,26,2018-02-01
53215,033780,KT&G,105000,-2500,-2.3,495432,52106567500,107000,107000,104500,14415712185000,0.73,137292497,73068651.0,53.22,26,2018-02-02
55530,033780,KT&G,104000,-1000,-1.0,402158,42018698500,104500,105000,103500,14278419688000,0.74,137292497,73068316.0,53.22,26,2018-02-05
57845,033780,KT&G,104000,0,0.0,618957,64299710502,103500,105500,102500,14278419688000,0.75,137292497,73133997.0,53.27,26,2018-02-06
