,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
154,034020,두산중공업,15600,250,1.6,534253,8175384250,15300,15600,15050,1660814407200,0.09,106462462,8087432.0,7.6,155,2018-01-02
2466,034020,두산중공업,15650,50,0.3,581009,9152488500,15500,16050,15500,1666137530300,0.09,106462462,8592125.0,8.07,156,2018-01-03
4769,034020,두산중공업,16150,500,3.2,729061,11678685650,15800,16250,15650,1719368761300,0.09,106462462,8820709.0,8.29,148,2018-01-04
7080,034020,두산중공업,16150,0,0.0,442379,7144668950,16150,16300,15950,1719378435150,0.09,106463061,9009824.0,8.46,149,2018-01-05
9391,034020,두산중공업,16150,0,0.0,630771,10257809800,16100,16400,16100,1719378435150,0.09,106463061,9209251.0,8.65,148,2018-01-08
11695,034020,두산중공업,16500,350,2.2,601001,9898807000,16150,16600,16150,1756640506500,0.09,106463061,9407850.0,8.84,140,2018-01-09
14007,034020,두산중공업,17200,700,4.2,2060863,35572568200,16750,17600,16700,1831164649200,0.1,106463061,10022896.0,9.41,140,2018-01-10
16321,034020,두산중공업,17000,-200,-1.2,636162,10920360000,17300,17400,16900,1809872037000,0.09,106463061,10257503.0,9.63,142,2018-01-11
18635,034020,두산중공업,17200,200,1.2,760694,13184284800,17000,17550,17000,1831164649200,0.09,106463061,10277897.0,9.65,143,2018-01-12
20953,034020,두산중공업,16900,-300,-1.7,390927,6662265400,17300,17500,16800,1799225730900,0.09,106463061,10461148.0,9.83,148,2018-01-15
23269,034020,두산중공업,16450,-450,-2.7,700137,11572722350,16800,17200,16350,1751317353450,0.09,106463061,10482889.0,9.85,151,2018-01-16
25587,034020,두산중공업,16000,-450,-2.7,4058185,63180841450,16400,16450,14300,1703408976000,0.09,106463061,10372290.0,9.74,156,2018-01-17
27902,034020,두산중공업,15600,-400,-2.5,799230,12528229000,15950,16000,15450,1660823751600,0.08,106463061,10230721.0,9.61,158,2018-01-18
30214,034020,두산중공업,15700,100,0.6,533497,8300411400,15500,15750,15300,1671470057700,0.09,106463061,10085376.0,9.47,157,2018-01-19
32527,034020,두산중공업,15450,-250,-1.6,413759,6411152300,15600,15750,15400,1644854292450,0.08,106463061,10124478.0,9.51,158,2018-01-22
34839,034020,두산중공업,15900,450,2.9,447968,7029082050,15400,15900,15400,1692763178700,0.09,106463093,10206107.0,9.59,158,2018-01-23
