,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
388,034120,SBS,21100,1100,5.5,60040,1245414600,19850,21150,19850,385129480200,0.02,18252582,0.0,0.0,389.0,2019-01-02
2748,034120,SBS,22500,1400,6.6,208868,4626904850,21450,22600,21450,410683095000,0.03,18252582,0.0,0.0,370.0,2019-01-03
5120,034120,SBS,23400,900,4.0,213712,4913009650,22400,23500,22300,427110418800,0.03,18252582,0.0,0.0,363.0,2019-01-04
7503,034120,SBS,23200,-200,-0.8,59555,1388880500,23550,23600,22850,423459902400,0.03,18252582,0.0,0.0,367.0,2019-01-07
9883,034120,SBS,22950,-250,-1.1,54430,1250551300,22850,23400,22600,418896756900,0.03,18252582,0.0,0.0,368.0,2019-01-08
12269,034120,SBS,22800,-150,-0.6,40050,929451700,22750,23400,22700,416158869600,0.03,18252582,0.0,0.0,375.0,2019-01-09
14650,034120,SBS,22550,-250,-1.1,37595,849415900,22750,23050,22350,411595724100,0.03,18252582,0.0,0.0,377.0,2019-01-10
17031,034120,SBS,22100,-450,-2.0,86051,1880618000,22400,22400,21550,403382062200,0.03,18252582,0.0,0.0,379.0,2019-01-11
19412,034120,SBS,22050,-50,-0.2,52808,1152997550,22000,22400,21500,402469433100,0.03,18252582,0.0,0.0,381.0,2019-01-14
21792,034120,SBS,22500,450,2.0,64699,1464990050,22350,22950,22150,410683095000,0.03,18252582,0.0,0.0,382.0,2019-01-15
24172,034120,SBS,22250,-250,-1.1,26631,597712600,22500,22800,22200,406119949500,0.02,18252582,0.0,0.0,383.0,2019-01-16
26545,034120,SBS,22500,250,1.1,26296,591261850,22150,22750,22000,410683095000,0.03,18252582,0.0,0.0,377.0,2019-01-17
28931,034120,SBS,22450,-50,-0.2,27861,630323100,22750,22850,22300,409770465900,0.02,18252582,0.0,0.0,384.0,2019-01-18
31317,034120,SBS,21900,-550,-2.4,27582,609163350,22600,22600,21850,399731545800,0.02,18252582,0.0,0.0,391.0,2019-01-21
33701,034120,SBS,21500,-400,-1.8,34804,752626050,21900,21900,21500,392430513000,0.02,18252582,0.0,0.0,396.0,2019-01-22
36079,034120,SBS,21650,150,0.7,28921,618567500,21400,21650,21200,395168400300,0.02,18252582,0.0,0.0,395.0,2019-01-23
38460,034120,SBS,21800,150,0.7,22403,487658950,21500,22000,21450,397906287600,0.02,18252582,0.0,0.0,397.0,2019-01-24
40838,034120,SBS,22050,250,1.2,18919,414107750,21650,22150,21600,402469433100,0.02,18252582,0.0,0.0,396.0,2019-01-25
43222,034120,SBS,21600,-450,-2.0,33402,724098450,21850,22000,21600,394255771200,0.02,18252582,0.0,0.0,400.0,2019-01-28
45582,034120,SBS,23100,1500,6.9,106369,2417823400,22050,23100,22050,421634644200,0.02,18252582,0.0,0.0,380.0,2019-01-29
47969,034120,SBS,22650,-450,-2.0,63305,1447899050,23100,23450,22550,413420982300,0.02,18252582,0.0,0.0,388.0,2019-01-30
50350,034120,SBS,22900,250,1.1,27333,621699850,22850,23000,22550,417984127800,0.02,18252582,0.0,0.0,389.0,2019-01-31
52730,034120,SBS,22850,-50,-0.2,44438,1008256350,22950,23100,22450,417071498700,0.02,18252582,0.0,0.0,389.0,2019-02-01
55112,034120,SBS,22850,0,0.0,19748,450702500,22850,23200,22500,417071498700,0.02,18252582,0.0,0.0,390.0,2019-02-07
57496,034120,SBS,22650,-200,-0.9,18684,424199500,22950,23000,22550,413420982300,0.02,18252582,0.0,0.0,393.0,2019-02-08
59880,034120,SBS,22800,150,0.7,18409,420573000,22650,23000,22500,416158869600,0.02,18252582,0.0,0.0,396.0,2019-02-11
62254,034120,SBS,23350,550,2.4,39234,913579450,22950,23550,22900,426197789700,0.03,18252582,0.0,0.0,388.0,2019-02-12
64636,034120,SBS,23600,250,1.1,38377,905385350,23350,23700,23100,430760935200,0.03,18252582,0.0,0.0,388.0,2019-02-13
67020,034120,SBS,23700,100,0.4,32890,772499550,23250,23700,23200,432586193400,0.03,18252582,0.0,0.0,390.0,2019-02-14
