,account_nm,thstrm_amount
0,유동자산,8800127000000
1,현금및현금성자산,2365022000000
2,금융기관예치금,78400000000
3,매출채권,2829163000000
4,기타채권,169313000000
5,기타금융자산,46301000000
6,재고자산,2691203000000
7,당기법인세자산,4516000000
8,매각예정비유동자산,70161000000
9,기타유동자산,546048000000
10,비유동자산,24375583000000
11,금융기관예치금,11000000
12,지분법적용 투자지분,113989000000
13,기타비유동채권,11448000000
14,기타비유동금융자산,144214000000
15,유형자산,21600130000000
16,무형자산,987642000000
17,이연법인세자산,1136166000000
18,기타비유동자산,381983000000
19,자산총계,33175710000000
20,유동부채,9954483000000
21,매입채무,3087461000000
22,금융부채,1553907000000
23,미지급금,3566629000000
24,미지급비용,633346000000
25,미지급법인세,105900000000
26,충당부채,98254000000
27,선수금,834010000000
28,기타유동부채,74976000000
29,비유동부채,8334981000000
30,비유동금융부채,7030628000000
31,비유동충당부채,32764000000
32,순확정급여부채,45360000000
33,장기선수금,1114316000000
34,이연법인세부채,15087000000
35,기타비유동부채,96826000000
36,부채총계,18289464000000
37,지배기업의 소유주에게 귀속되는 자본,13979189000000
38,자본금,1789079000000
39,자본잉여금,2251113000000
40,이익잉여금(결손금),10239965000000
41,기타자본,-300968000000
42,비지배지분,907057000000
43,자본총계,14886246000000
44,자본과부채총계,33175710000000
45,매출,24336571000000
46,매출원가,21251305000000
47,매출총이익,3085266000000
48,판매비,832963000000
49,관리비,938214000000
50,연구개발비,1221198000000
51,영업이익(손실),92891000000
52,금융수익,254131000000
53,금융비용,326893000000
54,기타영업외수익,1010555000000
55,기타영업외비용,1122050000000
56,법인세비용차감전순이익(손실),-91366000000
57,법인세비용,88077000000
58,계속영업이익(손실),-179443000000
59,당기순이익(손실),-179443000000
60,기타포괄손익,-15409000000
61,후속기간에 당기손익으로 재분류되지 않는 항목,4541000000
62,순확정급여부채의 재측정요소,5690000000
63,관계기업의 기타포괄손익에 대한 지분,20000000
64,법인세효과,1169000000
65,후속기간에 당기손익으로 재분류되는 항목,-19950000000
66,매도가능금융자산 평가손익,0
67,해외사업환산손익,-19987000000
68,관계기업의 기타포괄손익에 대한 지분,37000000
69,법인세효과,0
70,총포괄손익,-194852000000
71,지배기업 소유주지분,-207239000000
72,비지배지분,27796000000
73,"총 포괄손익, 지배기업 소유주지분",-215386000000
74,"총 포괄손익, 비지배지분",20534000000
75,기본주당이익(손실),-579
76,희석주당이익(손실),-579
77,영업활동현금흐름,4484123000000
78,당기순이익(손실),-179443000000
79,당기순이익조정을 위한 가감,4232028000000
80,법인세비용,88077000000
81,감가상각비,3123659000000
82,무형자산상각비,430906000000
83,외화환산이익,84643000000
84,외화환산손실,138452000000
85,퇴직급여,179880000000
86,유형자산처분이익,6620000000
87,유형자산처분손실,15048000000
88,유형자산손상차손,43601000000
89,무형자산처분이익,239000000
90,무형자산처분손실,0
91,무형자산손상차손,82000000
92,무형자산손상차손환입,348000000
93,충당부채전입액,234928000000
94,금융수익,101313000000
95,금융비용,173975000000
96,지분법이익,7516000000
97,지분법손실,6816000000
98,기타수익,3310000000
99,기타비용,593000000
100,영업활동으로인한자산ㆍ부채의변동,1058287000000
101,매출채권의 감소(증가),1304963000000
102,기타채권의 감소(증가),-56870000000
103,재고자산의 감소(증가),-449901000000
104,기타유동자산의 감소(증가),-249968000000
105,기타비유동자산의 감소(증가),-61164000000
106,매입채무의 증가(감소),267358000000
107,미지급금의 증가(감소),-111053000000
108,미지급비용의 증가(감소),-194394000000
109,기타유동부채의 증가(감소),78849000000
110,기타비유동부채의 증가(감소),24510000000
111,장기선수금의 증가(감소),948276000000
112,충당부채의 증가(감소),-217984000000
113,순확정급여부채의 변동,-224335000000
114,법인세납부(환급),486549000000
115,이자수취(영업),71819000000
116,이자지급(영업),212019000000
117,투자활동현금흐름,-7675339000000
118,배당금수취,5272000000
119,금융기관예치금의 증가,775239000000
120,금융기관예치금의 감소,1454561000000
121,매도가능금융자산의 취득,0
122,매도가능금융자산의 처분,0
123,당기손익-공정가치 측정 금융자산의 취득,431000000
124,당기손익-공정가치 측정 금융자산의 처분,0
125,기타포괄손익-공정가치 측정 금융자산의 처분,6000000
126,지분법적용 투자지분의 취득,14732000000
127,지분법적용 투자지분의 처분,4527000000
128,유형자산의 취득,7942210000000
129,유형자산의 처분,142088000000
130,무형자산의 취득,480607000000
131,무형자산의 처분,960000000
132,정부보조금의 수취,1210000000
133,파생상품거래의 정산,-2026000000
134,대여금의 회수,15968000000
135,대여금의 대여,7700000000
136,장기대여금의 대여,-36580000000
137,보증금의 감소,4136000000
138,보증금의 증가,58794000000
139,온실가스배출권의 처분,10200000000
140,재무활동현금흐름,2952919000000
141,단기차입금의 차입,552164000000
142,단기차입금의 상환,552884000000
143,사채의 발행,828169000000
144,장기차입금의 차입,3882958000000
145,장기차입금의 상환,0
146,유동성장기부채의 상환,1859098000000
147,비지배지분의 감소,51085000000
148,비지배지분의 증가,331603000000
149,배당금지급,178908000000
150,현금의 증가,-238297000000
151,기초현금및현금성자산,2602560000000
152,환율변동으로 인한 현금흐름,759000000
153,기말현금및현금성자산,2365022000000
154,기초자본,14981510000000
155,기초자본,608027000000
156,기초자본,14373483000000
157,기초자본,-288280000000
158,기초자본,10621571000000
159,기초자본,1789079000000
160,기초자본,2251113000000
161,당기순이익(손실),-179443000000
162,당기순이익(손실),27796000000
163,당기순이익(손실),-207239000000
164,당기순이익(손실),0
165,당기순이익(손실),-207239000000
166,당기순이익(손실),0
167,당기순이익(손실),0
168,매도가능금융자산 평가손익,0
169,매도가능금융자산 평가손익,0
170,매도가능금융자산 평가손익,0
171,매도가능금융자산 평가손익,0
172,매도가능금융자산 평가손익,0
173,매도가능금융자산 평가손익,0
174,매도가능금융자산 평가손익,0
175,순확정급여부채의 재측정요소,4521000000
176,순확정급여부채의 재측정요소,0
177,순확정급여부채의 재측정요소,4521000000
178,순확정급여부채의 재측정요소,0
179,순확정급여부채의 재측정요소,4521000000
180,순확정급여부채의 재측정요소,0
181,순확정급여부채의 재측정요소,0
182,해외사업환산손익,-19987000000
183,해외사업환산손익,-7262000000
184,해외사업환산손익,-12725000000
185,해외사업환산손익,-12725000000
186,해외사업환산손익,0
187,해외사업환산손익,0
188,해외사업환산손익,0
189,관계기업의 기타포괄손익에 대한 지분,57000000
190,관계기업의 기타포괄손익에 대한 지분,0
191,관계기업의 기타포괄손익에 대한 지분,57000000
192,관계기업의 기타포괄손익에 대한 지분,37000000
193,관계기업의 기타포괄손익에 대한 지분,20000000
194,관계기업의 기타포괄손익에 대한 지분,0
195,관계기업의 기타포괄손익에 대한 지분,0
196,배당,178908000000
197,배당,0
198,배당,178908000000
199,배당,0
200,배당,178908000000
201,배당,0
202,배당,0
203,종속기업의 자본변동,278496000000
204,종속기업의 자본변동,278496000000
205,종속기업의 자본변동,0
206,종속기업의 자본변동,0
207,종속기업의 자본변동,0
208,종속기업의 자본변동,0
209,종속기업의 자본변동,0
210,자본 증가(감소) 합계,-95264000000
211,자본 증가(감소) 합계,299030000000
212,자본 증가(감소) 합계,-394294000000
213,자본 증가(감소) 합계,-12688000000
214,자본 증가(감소) 합계,-381606000000
215,자본 증가(감소) 합계,0
216,자본 증가(감소) 합계,0
217,기말자본,14886246000000
218,기말자본,907057000000
219,기말자본,13979189000000
220,기말자본,-300968000000
221,기말자본,10239965000000
222,기말자본,1789079000000
223,기말자본,2251113000000
