,account_nm,thstrm_amount
0,l. 유동자산,1759033105083
1,현금및현금성자산,48854127099
2,매출채권및기타채권,13903975264
3,재고자산,1148805400
4,기타의 유동금융자산,1681023189879
5,기타의 유동자산,14103007441
6,ll. 비유동자산,2472208249236
7,투자지분증권,52914839615
8,유형자산,1314038392789
9,무형자산,865616505
10,순확정급여자산,1945150027
11,이연법인세자산,163889061252
12,기타의 비유동금융자산,931138067186
13,기타의 비유동자산,7417121862
14,자산총계,4231241354319
15,l. 유동부채,636028473034
16,매입채무및기타채무,53577566870
17,미지급비용,380332996522
18,미지급법인세,61241631596
19,미지급배당금,0
20,기타의 유동금융부채,15709545
21,기타의 유동부채,79017351823
22,충당부채,61843216678
23,ll. 비유동부채,8435792006
24,매입채무및기타채무,0
25,장기차입금,0
26,순확정급여부채,426189406
27,기타의 비유동금융부채,7442704515
28,기타의 비유동부채,566898085
29,부채총계,644464265040
30,l. 지배기업지분,3586735094255
31,l. 자본금,106970250000
32,ll. 주식발행초과금,127784355174
33,lll. 이익잉여금,3524520490647
34,lV. 기타의 자본항목,-172540001566
35,ll. 비지배지분,41995024
36,자본총계,3586777089279
37,자본과부채총계,4231241354319
38,매출,1438059298970
39,매출원가,729593460154
40,매출총이익,708465838816
41,일반관리비,152924743584
42,폐광지역개발기금,124841104680
43,영업이익,430699990552
44,영업외수익,4795655876
45,영업외비용,64114917672
46,금융수익,49983596418
47,금융비용,10564563962
48,투자지분증권평가손익,-111878369
49,법인세비용차감전이익,410687882843
50,법인세비용,113451001424
51,당기순이익,297236881419
52,지배기업지분순이익,297326162289
53,비지배지분순손실,-89280870
54,기타포괄손익,-10941878377
55,당기손익으로 재분류되지 않는 항목,-10941878377
56,투자지분증권자본잉여금변동,0
57,투자지분증권이익잉여금변동,-1328720
58,순확정급여부채 재측정요소,-14600777111
59,법인세효과,3660227454
60,지배기업지분총포괄이익,286384263984
61,비지배지분총포괄손익,-89260942
62,기본및희석주당이익,1467
63,I. 영업활동현금흐름,363918692477
64,1. 영업에서 창출된 현금,453353037855
65,(1) 당기순이익,297236881419
66,(2) 조정,195279911692
67,대손상각비(환입),24798770
68,기타의 대손상각비(환입),37314008
69,감가상각비,66018926393
70,무형자산상각비,66338904
71,퇴직급여,19618003588
72,금융자산평가손실,5101773731
73,금융자산처분손실,5226332329
74,유형자산손상차손,21843775601
75,유형자산처분손실,11363319
76,무형자산손상차손,776670046
77,법인세비용,113451001424
78,지급수수료,0
79,이자비용,234757801
80,유형자산처분이익,87384263
81,투자지분증권평가이익,-111878369
82,이자수익,44033428386
83,금융자산평가이익,2368775985
84,금융자산처분이익,3581392047
85,금융자산손상차손환입,0
86,기타,12827958090
87,(3) 자산 및 부채의 증감,-39163755256
88,매출채권 및 기타채권의 감소(증가),-8425487800
89,재고자산의 감소(증가),150811612
90,기타의 유동자산의 감소(증가),1830315780
91,기타의 비유동자산의 감소(증가),0
92,기타유동금융자산의 감소(증가),0
93,기타의 비유동비금융자산의 감소(증가),3607223644
94,매입채무 및 기타유동채무의 증가(감소),12946404708
95,미지급비용의 증가(감소),-41175919782
96,기타의 유동금융부채의 증가(감소),-201762380
97,기타의 비유동금융부채의 증가(감소),446270605
98,기타의 유동부채의 증가(감소),1861233838
99,기타의 비유동부채의 증가(감소),476088734
100,사외적립자산의 감소(증가),-2926024471
101,퇴직금의 지급,-7752909744
102,2. 이자의 수취,41246915343
103,3. 이자의 지급,47087428
104,4. 법인세의 납부,130634173293
105,II. 투자활동현금흐름,-202048060762
106,1. 투자활동으로 인한 현금유입액,2312056865174
107,기타의 유동금융자산의 감소,2310796178699
108,기타의 비유동금융자산의 감소,1090500144
109,기타의 비유동자산의 감소,17182078
110,유형자산의 처분,153004253
111,무형자산의 처분,0
112,2. 투자활동으로 인한 현금유출액,2514104925936
113,기타의 유동금융자산의 증가,686850000000
114,기타의 비유동금융자산의 증가,1723888301721
115,투자지분증권의증가,0
116,기타의 비유동자산의 증가,0
117,유형자산의 취득,103251329204
118,무형자산의 취득,115295011
119,기타유동금융부채의 감소,0
120,III. 재무활동현금흐름,-202353847020
121,1. 재무활동으로 인한 현금유입액,0
122,차입금의 증가,0
123,2. 재무활동으로 인한 현금유출액,-202353847020
124,연차배당금의 지급,200711608020
125,장기차입금의 감소,1600000000
126,종속기업유상증자,-42239000
127,IV. 현금및현금성자산의 증가(감소),-40483215305
128,V. 기초의 현금및현금성자산,105573030318
129,Ⅵ. 현금및현금성자산에 대한 환율변동효과,-1700101
130,Ⅶ. 신규기준서 적용으로 인한 현금및현금성자산의 계정대체,-16233987813
131,Ⅷ. 기말의 현금및현금성자산,0
132,기초자본,3501235933257
133,기초자본,131255966
134,기초자본,3501104677291
135,기초자본,-172497762566
136,기초자본,3438847834683
137,기초자본,106970250000
138,기초자본,127784355174
139,총포괄손익,0
140,총포괄손익,0
141,당기순이익,297236881419
142,당기순이익,-89280870
143,당기순이익,297326162289
144,당기순이익,0
145,당기순이익,297326162289
146,당기순이익,0
147,당기순이익,0
148,기타포괄손익,0
149,기타포괄손익,0
150,기타포괄손익,0
151,기타포괄손익,0
152,기타포괄손익,0
153,기타포괄손익,0
154,기타포괄손익,0
155,순확정급여부채 재측정요소,-10940549657
156,순확정급여부채 재측정요소,19928
157,순확정급여부채 재측정요소,-10940569585
158,순확정급여부채 재측정요소,0
159,순확정급여부채 재측정요소,-10940569585
160,순확정급여부채 재측정요소,0
161,순확정급여부채 재측정요소,0
162,지분법자본변동,0
163,지분법자본변동,0
164,지분법자본변동,0
165,지분법자본변동,0
166,지분법자본변동,0
167,지분법자본변동,0
168,지분법자본변동,0
169,지분법이익잉여금변동,-1328720
170,지분법이익잉여금변동,0
171,지분법이익잉여금변동,-1328720
172,지분법이익잉여금변동,0
173,지분법이익잉여금변동,-1328720
174,지분법이익잉여금변동,0
175,지분법이익잉여금변동,0
176,총포괄손익 합계,286295003042
177,총포괄손익 합계,-89260942
178,총포괄손익 합계,286384263984
179,총포괄손익 합계,0
180,총포괄손익 합계,286384263984
181,총포괄손익 합계,0
182,총포괄손익 합계,0
183,종속회사유상증자,-42239000
184,종속회사유상증자,0
185,종속회사유상증자,-42239000
186,종속회사유상증자,-42239000
187,종속회사유상증자,0
188,종속회사유상증자,0
189,종속회사유상증자,0
190,자본에 직접 인식된 주주와의 거래,0
191,자본에 직접 인식된 주주와의 거래,0
192,자본에 직접 인식된 주주와의 거래,0
193,자본에 직접 인식된 주주와의 거래,0
194,자본에 직접 인식된 주주와의 거래,0
195,자본에 직접 인식된 주주와의 거래,0
196,자본에 직접 인식된 주주와의 거래,0
197,연차배당,200711608020
198,연차배당,0
199,연차배당,200711608020
200,연차배당,0
201,연차배당,200711608020
202,연차배당,0
203,연차배당,0
204,자본 증가(감소) 합계,85541156022
205,자본 증가(감소) 합계,-89260942
206,자본 증가(감소) 합계,85630416964
207,자본 증가(감소) 합계,-42239000
208,자본 증가(감소) 합계,85672655964
209,자본 증가(감소) 합계,0
210,자본 증가(감소) 합계,0
211,기말자본,3586777089279
212,기말자본,41995024
213,기말자본,3586735094255
214,기말자본,-172540001566
215,기말자본,3524520490647
216,기말자본,106970250000
217,기말자본,127784355174
