,account_nm,thstrm_amount
0,유동자산,5385569586465.0
1,현금및현금성자산,3322884102567.0
2,단기금융상품,444702261235.0
3,당기손익인식금융자산,
4,당기손익-공정가치금융자산,230774469760.0
5,매출채권및기타채권,1101551045302.0
6,매도가능금융자산,
7,기타포괄손익-공정가치금융자산,62725505906.0
8,재고자산,57440292749.0
9,당기법인세자산,8044073349.0
10,기타유동자산,157447835597.0
11,비유동자산,4495621322859.0
12,유형자산,1457302209262.0
13,무형자산,306963470197.0
14,장기금융상품,25990573425.0
15,당기손익인식금융자산,
16,당기손익-공정가치금융자산,553399539414.0
17,매출채권및기타채권,113160988276.0
18,매도가능금융자산,
19,기타포괄손익-공정가치금융자산,666651322237.0
20,만기보유금융자산,
21,관계기업및공동기업 투자,1001362122331.0
22,이연법인세자산,340178774174.0
23,기타비유동자산,30612323543.0
24,자산총계,9881190909324.0
25,유동부채,2619671652587.0
26,매입채무및기타채무,896276258656.0
27,당기손익-공정가치금융부채,7418409882.0
28,단기차입금,349846018275.0
29,유동성장기차입금,26991114.0
30,유동성사채,
31,당기법인세부채,277992093674.0
32,충당부채,2462733532.0
33,기타유동부채,1085649147454.0
34,비유동부채,1312378743444.0
35,매입채무및기타채무,23370588587.0
36,당기손익-공정가치금융부채,2785234016.0
37,장기차입금,100061591213.0
38,사채,711561946218.0
39,순확정급여부채,344780260840.0
40,충당부채,42423909342.0
41,이연법인세부채,86244846912.0
42,기타비유동부채,1150366316.0
43,부채총계,3932050396031.0
44,지배기업의 소유주에게 귀속되는 자본,5240280006228.0
45,자본금,16481339500.0
46,자본잉여금,1540985517982.0
47,기타자본구성요소,-1546389664299.0
48,이익잉여금(결손금),5229202813045.0
49,비지배지분,708860507065.0
50,자본총계,5949140513293.0
51,자본과부채총계,9881190909324.0
52,영업수익,5586904533355.0
53,영업비용,-4644371971812.0
54,영업이익(손실),942532561543.0
55,기타수익,316773923951.0
56,기타비용,114624964081.0
57,이자수익,27243776093.0
58,금융수익,164181993767.0
59,금융비용,139365243783.0
60,지분법손익,-85069772652.0
61,법인세비용차감전순이익(손실),1111672274838.0
62,법인세비용,488756397806.0
63,계속영업순이익(손실),622915877032.0
64,중단영업이익(손실),4985996300.0
65,당기순이익(손실),627901873332.0
66,계속영업이익,643826906430.0
67,중단영업손실,4985996300.0
68,비지배지분에 귀속되는 당기순이익(손실),-20911029398.0
69,기타포괄손익,5875475010.0
70,당기손익으로 재분류될 수 있는 항목,100178241737.0
71,매도가능금융자산-평가손익,
72,매도가능금융자산-재분류조정,
73,기타포괄손익-공정가치 채무상품 평가손익,2441198331.0
74,해외사업환산손익,77213086172.0
75,지분법자본변동,20523957234.0
76,당기손익으로 재분류되지 않는항목,-94302766727.0
77,순확정급여부채의 재측정요소,-7085480963.0
78,기타포괄손익-공정가치 지분상품 평가손익,-105238566292.0
79,기타포괄손익-공정가치 지분상품 처분손익,18158594324.0
80,지분법자본변동,-137313796.0
81,총포괄이익,633777348342.0
82,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",627230960514.0
83,"총 포괄손익, 비지배지분",6546387828.0
84,계속영업기본주당이익(손실),4403.0
85,중단영업기본주당이익(손실),34.0
86,계속영업희석주당이익(손실),4403.0
87,중단영업희석주당이익(손실),34.0
88,영업활동현금흐름,973506368153.0
89,영업으로부터 창출된 현금흐름,1455189893246.0
90,이자수취,27124396728.0
91,이자지급,10694341270.0
92,배당금수취(영업),27727492377.0
93,법인세납부(환급),525841072928.0
94,투자활동현금흐름,-388286947217.0
95,단기금융상품의 순감소(증가),651167198299.0
96,장기금융상품의 증가,13756962062.0
97,장기금융상품의 감소,12000000000.0
98,당기손익인식금융자산의 순감소(증가),
99,당기손익-공정가치금융자산의 순감소(증가),184109996728.0
100,유형자산의 취득,535035089109.0
101,유형자산의 처분,17665787353.0
102,무형자산의 취득,46274584498.0
103,무형자산의 처분,4126716005.0
104,매도가능금융자산의 취득,
105,매도가능금융자산의 처분,
106,기타포괄손익-공정가치금융자산의 취득,208558868121.0
107,기타포괄손익-공정가치금융자산의 처분,100973500025.0
108,관계기업및공동기업투자의 취득,502976581662.0
109,관계기업및공동기업투자의 처분,6111466320.0
110,사업결합으로 인한 현금의 증감,-6879491848.0
111,종속기업의 처분,-28108469981.0
112,기타투자활동으로 인한 현금유출입액,-22851564666.0
113,재무활동현금흐름,750979898112.0
114,단기차입금의 증가,533051141952.0
115,단기차입금의 상환,408323250753.0
116,장기차입금의 증가,50973796988.0
117,사채의 증가,705013490134.0
118,사채의 감소,150000000000.0
119,배당금 지급,42469708296.0
120,자기주식의 취득,124458933570.0
121,자기주식의 처분,
122,종속기업의 유상증자,190557847107.0
123,기타재무활동으로 인한 현금유출입액,-3364485450.0
124,현금및현금성자산에 대한 환율변동효과,79109722852.0
125,현금및현금성자산의순증가(감소),1415309041900.0
126,기초현금및현금성자산,1907575060667.0
127,분기말현금및현금성자산,3322884102567.0
128,기초자본,5305186234949.0
129,기초자본,542840138965.0
130,기초자본,4762346095984.0
131,기초자본,-1317531622681.0
132,기초자본,4555517868323.0
133,기초자본,16481339500.0
134,기초자본,1507878510842.0
135,회계정책의 변경효과,-9421223424.0
136,회계정책의 변경효과,-9421223424.0
137,회계정책의 변경효과,-64788048920.0
138,회계정책의 변경효과,55366825496.0
139,수정후 금액,5295765011525.0
140,수정후 금액,542840138965.0
141,수정후 금액,4752924872560.0
142,수정후 금액,-1382319671601.0
143,수정후 금액,4610884693819.0
144,수정후 금액,16481339500.0
145,수정후 금액,1507878510842.0
146,당기순이익(손실),627901873332.0
147,당기순이익(손실),-20911029398.0
148,당기순이익(손실),648812902730.0
149,당기순이익(손실),648812902730.0
150,매도가능금융자산평가손익,
151,매도가능금융자산평가손익,
152,매도가능금융자산평가손익,
153,매도가능금융자산평가손익,
154,기타포괄손익-공정가치 채무상품 평가손익,2441198331.0
155,기타포괄손익-공정가치 채무상품 평가손익,-1626505799.0
156,기타포괄손익-공정가치 채무상품 평가손익,4067704130.0
157,기타포괄손익-공정가치 채무상품 평가손익,4067704130.0
