,account_nm,thstrm_amount
0,유동자산,1576408673266
1,현금및현금성자산,185592882727
2,단기금융상품,232653095174
3,매출채권 및 기타유동채권,182833607477
4,매출채권,148499863730
5,기타수취채권,30451584591
6,단기대여금,3882159156
7,단기투자자산,948113664544
8,재고자산,1004088797
9,기타유동자산,25142260477
10,당기법인세자산,1069074070
11,비유동자산,1364870040778
12,장기매출채권 및 기타비유동채권,10985929535
13,기타수취채권,10930342328
14,장기대여금,55587207
15,장기투자자산,895022363575
16,관계기업에 대한 투자자산,56380436362
17,투자부동산,95005668146
18,유형자산,233876559108
19,무형자산,54377478827
20,기타비유동자산,10000000000
21,확정급여자산,4213226220
22,이연법인세자산,5008379005
23,자산총계,2941278714044
24,유동부채,473074463192
25,매입채무 및 기타유동채무,155050580963
26,차입금,155050580963
27,기타지급채무,33306635323
28,당기법인세부채,71149631485
29,기타유동부채,213565997421
30,기타충당부채,1618000
31,비유동부채,89232845728
32,장기매입채무 및 기타비유동채무,0
33,장기차입금,0
34,확정급여부채,4101032199
35,장기종업원급여채무,7120534672
36,주식매수권부채,0
37,기타지급채무,4361324473
38,기타비유동부채,7999398961
39,기타충당부채,2407744553
40,이연법인세부채,63242810870
41,부채총계,562307308920
42,지배기업의 소유주에게 귀속되는 자본,2367717184303
43,자본금,10969511000
44,기타불입자본,4454005496
45,기타자본구성요소,188477340679
46,이익잉여금(결손금),2163816327128
47,비지배지분,11254220821
48,자본총계,2378971405124
49,자본과부채총계,2941278714044
50,영업수익,1715115508236
51,영업비용,1100186195863
52,영업이익(손실),614929312373
53,영업외손익,22420606287
54,금융수익,50249720185
55,금융비용,-24670691924
56,관계기업투자손익,-2435188402
57,영업외수익,40119276845
58,영업외비용,-40842510417
59,법인세비용차감전순이익(손실),637349918660
60,법인세비용,215882267950
61,당기순이익(손실),421467650710
62,지배기업소유주지분,418185417757
63,비지배주주지분,3282232953
64,기타포괄손익,-341406041036
65,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-340256320535
66,확정급여제도의 재측정요소,-6221836839
67,기타포괄손익-공정가치 측정 금융자산 평가손익,-334034483696
68,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-1149720501
69,매도가능금융자산평가손익(세후기타포괄손익),0
70,관계기업자본변동,195641262
71,해외사업환산손익,-1345361763
72,총포괄손익,80061609674
73,지배기업소유주지분포괄손익,76843592952
74,비지배주주지분포괄손익,3218016722
75,기본주당이익(손실),19831
76,희석주당이익(손실),19806
77,영업활동현금흐름,352800469174
78,영업에서 창출된 현금흐름,598530170737
79,당기순이익,421467650710
80,법인세비용,215882267950
81,이자비용,3330175649
82,외화환산손실,758950953
83,대손상각비,964851916
84,기타의대손상각비,2650949083
85,감가상각비,25500022690
86,무형자산상각비,2410349824
87,유형자산처분손실,76867390
88,유형자산폐기손실,0
89,무형자산처분손실,58514779
90,무형자산손상차손,0
91,당기손익-공정가치 측정 금융자산 평가손실,12859241585
92,당기손익-공정가치 측정 금융자산 처분손실,8481274690
93,당기손익인식금융자산평가손실,0
94,당기손익인식금융자산처분손실,0
95,매도가능금융자산처분손실,0
96,매도가능금융자산손상차손,0
97,관계기업투자주식평가손실,7176639086
98,관계기업투자주식손상차손,593236294
99,관계기업투자주식처분손실,200635142
100,종속기업투자주식처분손실,0
101,퇴직급여,20009552415
102,파생상품평가손실,0
103,파생상품처분손실,0
104,주식보상비용,65992281
105,잡손실,0
106,기타대손충당금환입,0
107,이자수익,-29345416633
108,외화환산이익,-12292122285
109,배당금수익,-12111980194
110,당기손익-공정가치 측정 금융자산 평가이익,-4081172615
111,당기손익-공정가치 측정 금융자산 처분이익,-4690266308
112,당기손익인식금융자산평가이익,0
113,매도가능금융자산처분이익,0
114,관계기업투자주식평가이익,-622742719
115,관계기업투자주식처분이익,-4912579401
116,복구충당부채환입,-5666006
117,투자부동산처분이익,0
118,유형자산처분이익,-335975543
119,파생상품평가이익,0
120,파생상품처분이익,0
121,주식매수권부채평가이익,-20884435
122,매출채권의 감소(증가),45295421384
123,기타수취채권의 감소(증가),-4561901272
124,기타유동자산의 감소(증가),-893652958
125,재고자산의 감소,-481402064
126,기타수취채권(비유동)의 감소(증가),2142800000
127,기타비유동자산의 감소(증가),-7000000000
128,매입채무의 감소(증가),-646221289
129,기타지급채무의 증가(감소),-13380768947
130,기타유동부채의 증가(감소),-62938503792
131,순확정급여부채의 증가(감소),-21693342020
132,장기종업원급여채무의 증가,73556646
133,기타지급채무(비유동)의 증가(감소),-2487611155
134,기타충당부채의 증가(감소),0
135,기타비유동부채의 증가(감소),11033429906
136,이자수취,27607647817
137,이자지급,4631837879
138,배당금수취,12111980194
139,법인세납부,280817491695
140,투자활동현금흐름,68346555573
141,투자활동으로 인한 현금 유입액,2904025657314
142,단기금융상품의 감소,65504662667
143,단기대여금의 감소,1123987668
144,당기손익-공정가치 측정 금융자산의 처분,2668130270137
145,기타포괄손익-공정가치 측정 금융자산의 처분,320000000
146,기타 상각후원가 측정 금융자산의 처분,160000390000
147,당기손익인식금융자산의 처분,0
148,매도가능금융자산의 처분,0
149,만기보유금융자산의 처분,0
150,종속기업투자주식의 처분,0
151,관계기업투자주식의 처분,6225736416
152,파생상품자산의 처분,0
153,투자부동산의 처분,0
154,유형자산의 처분,1022786239
155,무형자산의 처분,588088884
156,보증금의 감소,1109735303
157,투자활동으로 인한 현금 유출액,2835679101741
158,단기금융상품의 증가,230497500000
159,단기대여금의 증가,4200000000
160,장기금융상품의 증가,0
161,당기손익-공정가치 측정 금융자산의 취득,2414440783706
162,기타포괄손익-공정가치 측정 금융자산의 취득,1072194800
163,기타 상각후원가 측정 금융자산의 취득,120067280000
164,당기손익인식금융자산의 취득,0
165,매도가능금융자산의 취득,0
166,만기보유금융자산의 취득,0
167,파생상품자산의 취득,0
168,관계기업투자주식의 취득,29622193958
169,투자부동산의 취득,9000000
170,유형자산의 취득,26731325035
171,무형자산의 취득,4660640576
172,보증금의 증가,4378183666
173,장기대여금의 증가,0
174,재무활동현금흐름,-424352685830
175,재무활동으로 인한 현금 유입액,4980400000
176,단기차입금의 차입,4980400000
177,사채의 발행,0
178,유상증자,0
179,주식선택권의 행사,0
180,재무활동으로 인한 현금 유출액,429333085830
181,배당금의 지급,154703195920
182,자기주식의 취득,274629889910
183,종속기업의 자기주식의 매입,0
184,현금및현금성자산의 증가(감소),-3205661083
185,기초현금및현금성자산,187255812447
186,현금및현금성자산의 환율 변동 효과,1542731363
187,기말현금및현금성자산,185592882727
188,기초자본,2729239299785
189,기초자본,7996608730
190,기초자본,2721242691055
191,기초자본,279057498494
192,기초자본,-19436040007
193,기초자본,-155936964958
194,기초자본,231548982034
195,기초자본,220503608320
196,기초자본,2377913105
197,기초자본,525307306487
198,기초자본,1905908375074
199,기초자본,10969511000
200,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),-1062410786
201,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),0
202,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),-1062410786
203,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),0
204,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),0
205,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),0
206,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),0
207,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),0
208,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),0
209,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),-1552166545
210,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),489755759
211,K-IFRS 제1109호 최초 적용에 따른 조정 (2018년 한정),0
212,기초자본(조정후),2728176888999
213,기초자본(조정후),7996608730
214,기초자본(조정후),2720180280269
215,기초자본(조정후),279057498494
216,기초자본(조정후),-19436040007
217,기초자본(조정후),-155936964958
218,기초자본(조정후),231548982034
219,기초자본(조정후),220503608320
220,기초자본(조정후),2377913105
221,기초자본(조정후),523755139942
222,기초자본(조정후),1906398130833
223,기초자본(조정후),10969511000
224,배당금지급,-154703195920
225,배당금지급,0
226,배당금지급,-154703195920
227,배당금지급,0
228,배당금지급,0
229,배당금지급,0
230,배당금지급,0
231,배당금지급,0
232,배당금지급,0
233,배당금지급,0
234,배당금지급,-154703195920
235,배당금지급,0
236,이익잉여금,2573473693079
237,이익잉여금,7996608730
238,이익잉여금,2565477084349
239,이익잉여금,0
240,이익잉여금,0
241,이익잉여금,0
242,이익잉여금,0
243,이익잉여금,0
244,이익잉여금,0
245,이익잉여금,0
246,이익잉여금,1751694934913
247,이익잉여금,0
248,당기순이익(손실),421467650710
249,당기순이익(손실),3282232953
250,당기순이익(손실),418185417757
251,당기순이익(손실),0
252,당기순이익(손실),0
253,당기순이익(손실),0
254,당기순이익(손실),0
255,당기순이익(손실),0
256,당기순이익(손실),0
257,당기순이익(손실),0
258,당기순이익(손실),418185417757
259,당기순이익(손실),0
260,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,-334034483696
261,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,0
262,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,-334034483696
263,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,0
264,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,0
265,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,0
266,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,0
267,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,0
268,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,0
269,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,-334197283696
270,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,162800000
271,기타포괄손익-공정가치 측정 금융자산 평가손익 적립금,0
272,관계기업자본변동,195641262
273,관계기업자본변동,0
274,관계기업자본변동,195641262
275,관계기업자본변동,0
276,관계기업자본변동,0
277,관계기업자본변동,0
278,관계기업자본변동,0
279,관계기업자본변동,0
280,관계기업자본변동,0
281,관계기업자본변동,195641262
282,관계기업자본변동,0
283,관계기업자본변동,0
284,해외사업환산손익,-1345361763
285,해외사업환산손익,-69204934
286,해외사업환산손익,-1276156829
287,해외사업환산손익,0
288,해외사업환산손익,0
289,해외사업환산손익,0
290,해외사업환산손익,0
291,해외사업환산손익,0
292,해외사업환산손익,0
293,해외사업환산손익,-1276156829
294,해외사업환산손익,0
295,해외사업환산손익,0
296,확정급여제도의 재측정요소,-6221836839
297,확정급여제도의 재측정요소,4988703
298,확정급여제도의 재측정요소,-6226825542
299,확정급여제도의 재측정요소,0
300,확정급여제도의 재측정요소,0
301,확정급여제도의 재측정요소,0
302,확정급여제도의 재측정요소,0
303,확정급여제도의 재측정요소,0
304,확정급여제도의 재측정요소,0
305,확정급여제도의 재측정요소,0
306,확정급여제도의 재측정요소,-6226825542
307,확정급여제도의 재측정요소,0
308,종속기업의 자기주식 취득,0
309,종속기업의 자기주식 취득,0
310,종속기업의 자기주식 취득,0
311,종속기업의 자기주식 취득,0
312,종속기업의 자기주식 취득,0
313,종속기업의 자기주식 취득,0
314,종속기업의 자기주식 취득,0
315,종속기업의 자기주식 취득,0
316,종속기업의 자기주식 취득,0
317,종속기업의 자기주식 취득,0
318,종속기업의 자기주식 취득,0
319,종속기업의 자기주식 취득,0
320,주식보상비용,65992281
321,주식보상비용,39595369
322,주식보상비용,26396912
323,주식보상비용,26396912
324,주식보상비용,0
325,주식보상비용,0
326,주식보상비용,0
327,주식보상비용,0
328,주식보상비용,26396912
329,주식보상비용,0
330,주식보상비용,0
331,주식보상비용,0
332,자기주식의 취득,-274629889910
333,자기주식의 취득,0
334,자기주식의 취득,-274629889910
335,자기주식의 취득,-274629889910
336,자기주식의 취득,0
337,자기주식의 취득,-274629889910
338,자기주식의 취득,0
339,자기주식의 취득,0
340,자기주식의 취득,0
341,자기주식의 취득,0
342,자기주식의 취득,0
343,자기주식의 취득,0
344,종속회사지분의 취득,0
345,종속회사지분의 취득,0
346,종속회사지분의 취득,0
347,종속회사지분의 취득,0
348,종속회사지분의 취득,0
349,종속회사지분의 취득,0
350,종속회사지분의 취득,0
351,종속회사지분의 취득,0
352,종속회사지분의 취득,0
353,종속회사지분의 취득,0
354,종속회사지분의 취득,0
355,종속회사지분의 취득,0
356,종속기업의 소유지분변동,0
357,종속기업의 소유지분변동,0
358,종속기업의 소유지분변동,0
359,종속기업의 소유지분변동,0
360,종속기업의 소유지분변동,0
361,종속기업의 소유지분변동,0
362,종속기업의 소유지분변동,0
363,종속기업의 소유지분변동,0
364,종속기업의 소유지분변동,0
365,종속기업의 소유지분변동,0
366,종속기업의 소유지분변동,0
367,종속기업의 소유지분변동,0
368,주식선택권의 행사,0
369,주식선택권의 행사,0
370,주식선택권의 행사,0
371,주식선택권의 행사,0
372,주식선택권의 행사,0
373,주식선택권의 행사,0
374,주식선택권의 행사,0
375,주식선택권의 행사,0
376,주식선택권의 행사,0
377,주식선택권의 행사,0
378,주식선택권의 행사,0
379,주식선택권의 행사,0
380,종속기업의 처분,0
381,종속기업의 처분,0
382,종속기업의 처분,0
383,종속기업의 처분,0
384,종속기업의 처분,0
385,종속기업의 처분,0
386,종속기업의 처분,0
387,종속기업의 처분,0
388,종속기업의 처분,0
389,종속기업의 처분,0
390,종속기업의 처분,0
391,종속기업의 처분,0
392,기말자본,2378971405124
393,기말자본,11254220821
394,기말자본,2367717184303
395,기말자본,4454005496
396,기말자본,-19436040007
397,기말자본,-430566854868
398,기말자본,231548982034
399,기말자본,220503608320
400,기말자본,2404310017
401,기말자본,188477340679
402,기말자본,2163816327128
403,기말자본,10969511000
