,account_nm,thstrm_amount
0,유동자산,113439021981
1,현금및현금성자산,24854971910
2,단기금융상품,0
3,매출채권,40694253360
4,미수법인세환급액,0
5,재고자산,42519805278
6,기타유동금융자산,2066161877
7,기타유동자산,3303829556
8,비유동자산,132589926289
9,장기금융상품,2873760
10,기타투자자산,3460100000
11,관계기업투자,10752353456
12,유형자산,76172013261
13,투자부동산,36956747145
14,무형자산,3456712572
15,기타비유동금융자산,52021181
16,이연법인세자산,1737104914
17,자산총계,246028948270
18,유동부채,29310767084
19,매입채무,8573740567
20,미지급법인세,4014298218
21,판매보증충당부채,2672417665
22,기타유동금융부채,5135839597
23,기타유동부채,8914471037
24,파생상품부채,0
25,비유동부채,1161114311
26,교환사채,0
27,퇴직급여채무,99930040
28,기타비유동금융부채,541146470
29,기타비유동부채,519352475
30,이연법인세부채,685326
31,부채총계,30471881395
32,지배기업지분,215557066875
33,자본금,12716420500
34,자본잉여금,47889958498
35,기타자본구성요소,-48786862421
36,기타포괄손익누계액,-204333602
37,이익잉여금,203941883900
38,비지배지분,0
39,자본총계,215557066875
40,부채와자본총계,246028948270
41,매출액,217114859555
42,매출원가,120278001429
43,매출총이익,96836858126
44,판매비와관리비,28880284718
45,연구개발비,11167648516
46,영업이익,56788924892
47,기타영업외수익,1746011640
48,기타영업외비용,45124274
49,금융수익,7274199960
50,금용비용,1884165212
51,관계기업투자이익,0
52,관계기업투자손실,1870718643
53,법인세비용차감전순이익,62009128363
54,법인세비용,12736166914
55,당기순이익(손실),49272961449
56,지배기업지분순이익,49272961449
57,비지배지분순이익,0
58,기타포괄손익,-1962088774
59,후속기간에당기손익으로재분류되지않는항목,-1811878109
60,확정급여제도의 재측정요소,-2322920653
61,법인세효과,511042544
62,후속기간에당기손익으로재분류되는항목,-150210665
63,지분법자본변동,-133685984
64,해외사업환산손익,-16524681
65,매도가능금융자산-평가손익,0
66,매도가능금융자산-재분류조정,0
67,법인세효과,0
68,총포괄이익,47310872675
69,지배기업지분포괄이익,47310872675
70,비지배지분포괄손실,0
71,기본주당이익,966
72,희석주당이익,914
73,영업활동현금흐름,45626978011
74,당기순이익(손실),49272961449
75,조정,21312863919
76,재고자산평가손실(환입),2635839987
77,퇴직급여,2304983988
78,감가상각비,4648109221
79,대손상각비(환입),184441301
80,무형자산상각비,384486991
81,유형자산처분이익,373349271
82,유형자산처분손실,1000
83,무형자산처분손실,33944784
84,무형자산손상차손,0
85,이자수익,397988773
86,외화환산이익,40884576
87,당기손익-공정가치측정금융자산평가이익,506400000
88,사채상환이익,2848408969
89,이자비용,248618283
90,외화환산손실,388916411
91,매도가능금융자산손상차손,0
92,사채상환손실,0
93,파생상품평가손실,0
94,관계기업투자이익,0
95,관계기업투자손실,1870718643
96,법인세비용,12736166914
97,매도가능금융자산처분이익,0
98,기타 현금의 유출 없는 비용(수익),43667985
99,자산ㆍ부채의증감,-12047027586
100,퇴직금의지급,-185636477
101,사외적립자산의증가,-5000000000
102,국민연금전환금의감소(증가),1671400
103,매출채권의 감소(증가),17361977206
104,재고자산의 감소(증가),-15177587987
105,기타유동금융자산의 감소(증가),-678608071
106,기타유동자산의 증가,-437060597
107,매입채무의 증가(감소),-4347489147
108,판매보증충당부채의 증가,71014484
109,기타유동금융부채의 증가(감소),1280619729
110,기타유동부채의 증가(감소),-4326838953
111,기타비유동금융부채의 증가(감소),-563600000
112,기타비유동부채의 증가(감소),-45489173
113,이자수취,477650312
114,이자지급,236698439
115,법인세납부,13152771644
116,투자활동현금흐름,-22969014357
117,단기금융상품의 감소,0
118,종속기업투자자산의 처분,5068660
119,관계기업투자주식의 처분,0
120,유형자산의 처분,455569273
121,무형자산의 처분,1130000000
122,기타비유동금융자산의 감소,204000
123,매도가능금융자산의 처분,0
124,단기금융상품의 증가,0
125,장기금융상품의 증가,1436880
126,보증금의 증가,721672
127,매도가능금융자산의 취득,0
128,유형자산의 취득,24225055206
129,무형자산의 취득,332642532
130,기타비유동금융자산의 취득,0
131,재무활동현금흐름,-71052093180
132,단기차입금의 차입,41000000000
133,교환사채의 발행,0
134,배당금지급,12641825520
135,단기차입금의 상환,41000000000
136,자기주식의 취득,25285267660
137,교환사채의 상환,33125000000
138,현금및현금성자산의순증가(감소),-48394129526
139,기초현금및현금성자산,73470890403
140,외화표시현금및현금성자산의환율변동효과,-221788967
141,기말현금및현금성자산,24854971910
142,기초자본,206173287380
143,기초자본,206173287380
144,기초자본,-59614320098
145,기초자본,-54122937
146,기초자본,205235351417
147,기초자본,12716420500
148,기초자본,47889958498
149,당기순이익(손실),49272961449
150,당기순이익(손실),49272961449
151,당기순이익(손실),0
152,당기순이익(손실),0
153,당기순이익(손실),49272961449
154,당기순이익(손실),0
155,당기순이익(손실),0
156,확정급여제도의재측정요소,-1811878109
157,확정급여제도의재측정요소,-1811878109
158,확정급여제도의재측정요소,0
159,확정급여제도의재측정요소,0
160,확정급여제도의재측정요소,-1811878109
161,확정급여제도의재측정요소,0
162,확정급여제도의재측정요소,0
163,지분법자본변동,-133685984
