,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
364,042700,한미반도체,7510,-270,-3.5,181811,1378301140,7790,7820,7450,429751413900,0.03,57223890,4533643.0,7.92,365.0,2019-01-02
2753,042700,한미반도체,6970,-540,-7.2,331118,2370369040,7420,7550,6900,398850513300,0.03,57223890,4572925.0,7.99,375.0,2019-01-03
5138,042700,한미반도체,6900,-70,-1.0,531160,3544401370,6940,6970,6440,394844841000,0.03,57223890,4613799.0,8.06,381.0,2019-01-04
7511,042700,한미반도체,7160,260,3.8,192544,1366530740,6990,7200,6970,409723052400,0.03,57223890,4659068.0,8.14,375.0,2019-01-07
9884,042700,한미반도체,7290,130,1.8,346524,2558004510,7240,7580,7080,417162158100,0.03,57223890,4701203.0,8.22,369.0,2019-01-08
12267,042700,한미반도체,7300,10,0.1,223377,1642632930,7300,7460,7270,417734397000,0.03,57223890,4678503.0,8.18,373.0,2019-01-09
14639,042700,한미반도체,7400,100,1.4,120303,879860930,7410,7420,7170,423456786000,0.03,57223890,4686804.0,8.19,366.0,2019-01-10
17023,042700,한미반도체,7360,-40,-0.5,77987,577469310,7370,7470,7310,421167830400,0.03,57223890,4680386.0,8.18,371.0,2019-01-11
19407,042700,한미반도체,7230,-130,-1.8,66450,482342640,7280,7470,7220,413728724700,0.03,57223890,4674206.0,8.17,376.0,2019-01-14
21786,042700,한미반도체,7290,60,0.8,147787,1075545080,7210,7360,7170,417162158100,0.03,57223890,4705011.0,8.22,376.0,2019-01-15
24164,042700,한미반도체,7300,10,0.1,130530,946202570,7320,7400,7200,417734397000,0.03,57223890,4701470.0,8.22,375.0,2019-01-16
26546,042700,한미반도체,7160,-140,-1.9,94314,683131880,7350,7350,7160,409723052400,0.03,57223890,4716357.0,8.24,378.0,2019-01-17
28929,042700,한미반도체,7260,100,1.4,78281,566903230,7240,7300,7160,415445441400,0.03,57223890,4732939.0,8.27,382.0,2019-01-18
31300,042700,한미반도체,7470,210,2.9,151625,1121256260,7270,7500,7260,427462458300,0.03,57223890,4754340.0,8.31,374.0,2019-01-21
33680,042700,한미반도체,7350,-120,-1.6,159664,1177116230,7470,7490,7280,420595591500,0.03,57223890,4726956.0,8.26,375.0,2019-01-22
36066,042700,한미반도체,7300,-50,-0.7,148698,1082800050,7270,7340,7260,417734397000,0.03,57223890,4744780.0,8.29,382.0,2019-01-23
38446,042700,한미반도체,7250,-50,-0.7,177696,1291234090,7290,7340,7230,414873202500,0.02,57223890,4782461.0,8.36,383.0,2019-01-24
40824,042700,한미반도체,7390,140,1.9,406570,2992591440,7320,7580,7280,422884547100,0.03,57223890,4872343.0,8.51,382.0,2019-01-25
43195,042700,한미반도체,7620,230,3.1,534365,4075973260,7510,7740,7440,436046041800,0.03,57223890,4933791.0,8.62,373.0,2019-01-28
45577,042700,한미반도체,7460,-160,-2.1,238732,1780570010,7620,7630,7390,426890219400,0.03,57223890,4896224.0,8.56,375.0,2019-01-29
47951,042700,한미반도체,7660,200,2.7,270867,2053139760,7500,7690,7380,438334997400,0.03,57223890,4956038.0,8.66,370.0,2019-01-30
50321,042700,한미반도체,7980,320,4.2,1069313,8626174330,7830,8270,7730,456646642200,0.03,57223890,4937722.0,8.63,360.0,2019-01-31
52699,042700,한미반도체,8170,190,2.4,559497,4607912410,8010,8380,8010,467519181300,0.03,57223890,4835529.0,8.45,358.0,2019-02-01
55081,042700,한미반도체,8120,-50,-0.6,179451,1454445050,8270,8270,8020,464657986800,0.03,57223890,4826757.0,8.43,359.0,2019-02-07
57465,042700,한미반도체,8030,-90,-1.1,173816,1401137630,8050,8140,7960,459507836700,0.03,57223890,4838305.0,8.46,362.0,2019-02-08
59853,042700,한미반도체,7830,-200,-2.5,399623,3106517760,8040,8040,7650,448063058700,0.03,57223890,4866256.0,8.5,369.0,2019-02-11
62222,042700,한미반도체,8510,680,8.7,514909,4250783430,7830,8510,7770,486975303900,0.03,57223890,4951395.0,8.65,356.0,2019-02-12
64596,042700,한미반도체,8830,320,3.8,679812,5970285900,8590,8940,8470,505286948700,0.03,57223890,4947621.0,8.65,348.0,2019-02-13
66978,042700,한미반도체,8920,90,1.0,297184,2650279560,8830,9060,8690,510437098800,0.03,57223890,4940639.0,8.63,348.0,2019-02-14
69365,042700,한미반도체,8730,-190,-2.1,165240,1452886320,8910,8970,8730,499564559700,0.03,57223890,4929889.0,8.62,353.0,2019-02-15
71748,042700,한미반도체,8760,30,0.3,159891,1404534010,8700,8890,8700,501281276400,0.03,57223890,4921487.0,8.6,354.0,2019-02-18
74132,042700,한미반도체,8670,150,1.8,160729,1386177450,8550,8710,8550,496131126300,0.03,57223890,4969434.0,8.68,356.0,2019-02-20
76512,042700,한미반도체,8700,30,0.4,90302,776213420,8720,8720,8530,497847843000,0.03,57223890,4990175.0,8.72,354.0,2019-02-21
78899,042700,한미반도체,8590,-110,-1.3,91601,784675100,8690,8690,8510,491553215100,0.03,57223890,4976732.0,8.7,359.0,2019-02-22
81273,042700,한미반도체,8830,240,2.8,253090,2225381740,8590,8860,8590,505286948700,0.03,57223890,5010084.0,8.76,351.0,2019-02-25
83660,042700,한미반도체,8720,-110,-1.2,145789,1271434710,8830,8840,8650,498992320800,0.03,57223890,4959769.0,8.67,356.0,2019-02-26
86046,042700,한미반도체,8660,-60,-0.7,146897,1278105010,8730,8800,8650,495558887400,0.03,57223890,4920935.0,8.6,360.0,2019-02-27
88426,042700,한미반도체,8280,-380,-4.4,327500,2744657800,8660,8660,8200,473813809200,0.03,57223890,4921041.0,8.6,359.0,2019-02-28
90809,042700,한미반도체,8170,-110,-1.3,165026,1362285330,8310,8450,8170,467519181300,0.03,57223890,4923585.0,8.6,361.0,2019-03-04
93197,042700,한미반도체,8090,-80,-1.0,117328,947947250,8200,8220,8030,462941270100,0.03,57223890,4934339.0,8.62,369.0,2019-03-05
95574,042700,한미반도체,8110,20,0.2,100345,807957820,8160,8160,8000,464085747900,0.03,57223890,4930866.0,8.62,365.0,2019-03-06
97956,042700,한미반도체,8110,0,0.0,150771,1229895680,8090,8300,8000,464085747900,0.03,57223890,4922027.0,8.6,366.0,2019-03-07
100341,042700,한미반도체,7880,-230,-2.8,206650,1633850150,8080,8080,7740,450924253200,0.03,57223890,4902802.0,8.57,370.0,2019-03-08
102722,042700,한미반도체,7980,100,1.3,77046,608202220,7800,8000,7780,456646642200,0.03,57223890,4902397.0,8.57,370.0,2019-03-11
105105,042700,한미반도체,8100,120,1.5,108292,874311740,8040,8190,7950,463513509000,0.03,57223890,4868080.0,8.51,372.0,2019-03-12
107488,042700,한미반도체,8070,-30,-0.4,89280,721842350,8140,8140,7980,461796792300,0.03,57223890,4851102.0,8.48,374.0,2019-03-13
109850,042700,한미반도체,8830,760,9.4,666355,5709205860,8140,8840,8080,505286948700,0.03,57223890,4905923.0,8.57,355.0,2019-03-14
112241,042700,한미반도체,8310,-520,-5.9,368341,3138792990,8880,8890,8310,475530525900,0.03,57223890,4769919.0,8.34,364.0,2019-03-15
114626,042700,한미반도체,8290,-20,-0.2,163574,1368644000,8370,8530,8290,474386048100,0.03,57223890,4755743.0,8.31,366.0,2019-03-18
117012,042700,한미반도체,8160,-130,-1.6,131464,1079480300,8320,8360,8160,466946942400,0.03,57223890,4740708.0,8.28,369.0,2019-03-19
119394,042700,한미반도체,8170,10,0.1,108736,885860940,8160,8260,8070,467519181300,0.03,57223890,4717749.0,8.24,368.0,2019-03-20
121769,042700,한미반도체,8450,280,3.4,391274,3305826940,8250,8560,8200,483541870500,0.03,57223890,4786547.0,8.36,360.0,2019-03-21
124152,042700,한미반도체,8520,70,0.8,303781,2587009970,8620,8650,8460,487547542800,0.03,57223890,4795596.0,8.38,359.0,2019-03-22
126541,042700,한미반도체,8170,-350,-4.1,134954,1113538450,8270,8440,8160,467519181300,0.03,57223890,4777905.0,8.35,363.0,2019-03-25
128931,042700,한미반도체,8110,-60,-0.7,78914,641351750,8250,8270,8020,464085747900,0.03,57223890,4765995.0,8.33,368.0,2019-03-26
131315,042700,한미반도체,8190,80,1.0,140687,1145157940,8120,8280,7950,468663659100,0.03,57223890,4782279.0,8.36,367.0,2019-03-27
133702,042700,한미반도체,8000,-190,-2.3,122587,985008450,8190,8190,7990,457791120000,0.03,57223890,4739287.0,8.28,368.0,2019-03-28
136090,042700,한미반도체,8010,10,0.1,68039,544486730,7950,8150,7920,458363358900,0.03,57223890,4717195.0,8.24,369.0,2019-03-29
138473,042700,한미반도체,8310,300,3.8,113025,934599490,8100,8330,8090,475530525900,0.03,57223890,4733540.0,8.27,364.0,2019-04-01
140863,042700,한미반도체,8240,-70,-0.8,79830,662544910,8360,8430,8220,471524853600,0.03,57223890,4723444.0,8.25,366.0,2019-04-02
143256,042700,한미반도체,8190,-50,-0.6,205391,1679478250,8380,8380,8100,468663659100,0.03,57223890,4673693.0,8.17,371.0,2019-04-03
145638,042700,한미반도체,8390,200,2.4,688248,5870661660,8240,8690,8230,480108437100,0.03,57223890,4777416.0,8.35,365.0,2019-04-04
148026,042700,한미반도체,8400,10,0.1,313437,2629187380,8470,8540,8320,480680676000,0.03,57223890,4755381.0,8.31,365.0,2019-04-05
150416,042700,한미반도체,8420,20,0.2,140736,1184638970,8430,8510,8330,481825153800,0.03,57223890,4746803.0,8.3,367.0,2019-04-08
152804,042700,한미반도체,8400,-20,-0.2,301004,2540632240,8380,8620,8350,480680676000,0.03,57223890,4759712.0,8.32,367.0,2019-04-09
155191,042700,한미반도체,8570,170,2.0,286061,2414181980,8400,8590,8250,490408737300,0.03,57223890,4756175.0,8.31,366.0,2019-04-10
157581,042700,한미반도체,8570,0,0.0,161583,1382029240,8600,8650,8500,490408737300,0.03,57223890,4733578.0,8.27,368.0,2019-04-11
159968,042700,한미반도체,8480,-90,-1.0,168905,1427533370,8570,8570,8410,485258587200,0.03,57223890,4678415.0,8.18,367.0,2019-04-12
162356,042700,한미반도체,8500,20,0.2,114098,966470240,8500,8540,8430,486403065000,0.03,57223890,4663602.0,8.15,366.0,2019-04-15
164751,042700,한미반도체,8310,-190,-2.2,211160,1757837570,8500,8500,8200,475530525900,0.03,57223890,4608841.0,8.05,372.0,2019-04-16
167126,042700,한미반도체,8880,570,6.9,1164248,10203319420,8370,9040,8340,508148143200,0.03,57223890,4855654.0,8.49,358.0,2019-04-17
169520,042700,한미반도체,8620,-260,-2.9,569262,5011780970,8980,9060,8490,493269931800,0.03,57223890,4720961.0,8.25,363.0,2019-04-18
171910,042700,한미반도체,8630,10,0.1,251000,2191076600,8700,8830,8570,493842170700,0.03,57223890,4673718.0,8.17,364.0,2019-04-19
174298,042700,한미반도체,8530,-100,-1.2,209026,1777407260,8660,8670,8440,488119781700,0.03,57223890,4624785.0,8.08,363.0,2019-04-22
176673,042700,한미반도체,9150,620,7.3,1329248,11992832020,8580,9230,8580,523598593500,0.03,57223890,4682432.0,8.18,349.0,2019-04-23
179063,042700,한미반도체,9000,-150,-1.6,723455,6498099500,9150,9210,8780,515015010000,0.03,57223890,4458433.0,7.79,350.0,2019-04-24
