,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
111,047040,대우건설,5440,50,0.9,1688983,9239797910,5440,5600,5380,2260987150720,0.15,415622638,53515271.0,12.88,112.0,2019-01-02
2488,047040,대우건설,5400,-40,-0.7,1143571,6200857190,5510,5520,5280,2244362245200,0.15,415622638,53492420.0,12.87,110.0,2019-01-03
4868,047040,대우건설,5380,-20,-0.4,895094,4803455420,5390,5440,5290,2236049792440,0.14,415622638,53556367.0,12.89,111.0,2019-01-04
7247,047040,대우건설,5530,150,2.8,1135931,6264289000,5490,5580,5440,2298393188140,0.15,415622638,53469883.0,12.87,111.0,2019-01-07
9625,047040,대우건설,5450,-80,-1.4,739703,4092243310,5570,5620,5450,2265143377100,0.14,415622638,53434237.0,12.86,110.0,2019-01-08
12004,047040,대우건설,5670,220,4.0,1242213,6994616420,5550,5690,5500,2356580357460,0.15,415622638,53599353.0,12.9,110.0,2019-01-09
14383,047040,대우건설,5640,-30,-0.5,845442,4774697820,5680,5710,5580,2344111678320,0.15,415622638,53556604.0,12.89,110.0,2019-01-10
16763,047040,대우건설,5570,-70,-1.2,981577,5470726710,5680,5680,5520,2315018093660,0.14,415622638,53534631.0,12.88,111.0,2019-01-11
19142,047040,대우건설,5630,60,1.1,1108378,6174986680,5550,5630,5490,2339955451940,0.15,415622638,54053037.0,13.01,111.0,2019-01-14
21521,047040,대우건설,5670,40,0.7,825054,4674384120,5650,5710,5580,2356580357460,0.15,415622638,54384071.0,13.08,111.0,2019-01-15
23899,047040,대우건설,5630,-40,-0.7,880142,4971609340,5650,5750,5600,2339955451940,0.14,415622638,54477073.0,13.11,110.0,2019-01-16
26279,047040,대우건설,5600,-30,-0.5,759133,4268084160,5660,5750,5550,2327486772800,0.14,415622638,54515106.0,13.12,111.0,2019-01-17
28660,047040,대우건설,5650,50,0.9,564795,3180499020,5670,5680,5590,2348267904700,0.14,415622638,54772571.0,13.18,113.0,2019-01-18
31037,047040,대우건설,5680,30,0.5,713531,4062908200,5650,5720,5650,2360736583840,0.14,415622638,54860414.0,13.2,111.0,2019-01-21
33418,047040,대우건설,5640,-40,-0.7,648194,3673659670,5700,5710,5610,2344111678320,0.14,415622638,54810501.0,13.19,113.0,2019-01-22
35790,047040,대우건설,6010,370,6.6,2289355,13446389800,5670,6010,5650,2497892054380,0.15,415622638,54923042.0,13.21,106.0,2019-01-23
38168,047040,대우건설,6080,70,1.2,1526372,9152906620,6010,6090,5830,2526985639040,0.15,415622638,54995672.0,13.23,105.0,2019-01-24
40549,047040,대우건설,6080,0,0.0,963781,5856397090,6030,6130,5980,2526985639040,0.15,415622638,55108814.0,13.26,107.0,2019-01-25
42930,047040,대우건설,5910,-170,-2.8,1064147,6344323790,6080,6100,5900,2456329790580,0.15,415622638,55251123.0,13.29,108.0,2019-01-28
45314,047040,대우건설,5620,-290,-4.9,3412149,19380239440,5810,5880,5570,2335799225560,0.14,415622638,55354885.0,13.32,112.0,2019-01-29
47699,047040,대우건설,5240,-380,-6.8,9250936,48819849280,5690,5690,5150,2177862623120,0.13,415622638,54445417.0,13.1,118.0,2019-01-30
50079,047040,대우건설,5180,-60,-1.2,2903404,15143772150,5290,5300,5160,2152925264840,0.13,415622638,54043365.0,13.0,118.0,2019-01-31
52460,047040,대우건설,5150,-30,-0.6,2967287,15356145350,5230,5260,5130,2140456585700,0.13,415622638,53412273.0,12.85,119.0,2019-02-01
54839,047040,대우건설,5250,100,1.9,2473379,12987219460,5230,5320,5200,2182018849500,0.13,415622638,53320089.0,12.83,117.0,2019-02-07
57219,047040,대우건설,5200,-50,-1.0,1356033,7046294810,5250,5270,5160,2161237717600,0.13,415622638,53232169.0,12.81,116.0,2019-02-08
59600,047040,대우건설,5170,-30,-0.6,973728,5046044570,5220,5220,5160,2148769038460,0.13,415622638,53091999.0,12.77,116.0,2019-02-11
61984,047040,대우건설,5130,-40,-0.8,1607520,8272718130,5190,5220,5110,2132144132940,0.13,415622638,52902618.0,12.73,118.0,2019-02-12
64366,047040,대우건설,5160,30,0.6,1342865,6910670750,5160,5190,5110,2144612812080,0.13,415622638,52869851.0,12.72,118.0,2019-02-13
66749,047040,대우건설,5130,-30,-0.6,1321645,6739415740,5160,5160,5060,2132144132940,0.12,415622638,52529351.0,12.64,119.0,2019-02-14
69130,047040,대우건설,5130,0,0.0,752949,3860174450,5100,5170,5090,2132144132940,0.12,415622638,52432152.0,12.62,118.0,2019-02-15
71513,047040,대우건설,5160,30,0.6,907591,4674441310,5160,5190,5120,2144612812080,0.12,415622638,52423545.0,12.61,119.0,2019-02-18
73894,047040,대우건설,5170,-40,-0.8,951901,4950589920,5230,5270,5170,2148769038460,0.12,415622638,52345160.0,12.59,118.0,2019-02-20
76275,047040,대우건설,5120,-50,-1.0,1674107,8599444380,5170,5220,5090,2127987906560,0.12,415622638,52142743.0,12.55,117.0,2019-02-21
78659,047040,대우건설,5180,60,1.2,749190,3869113030,5120,5190,5120,2152925264840,0.12,415622638,52104680.0,12.54,119.0,2019-02-22
81041,047040,대우건설,5170,-10,-0.2,710802,3670972760,5210,5230,5140,2148769038460,0.12,415622638,51936182.0,12.5,119.0,2019-02-25
83423,047040,대우건설,5180,10,0.2,1384592,7217556540,5170,5260,5160,2152925264840,0.12,415622638,52025906.0,12.52,119.0,2019-02-26
85805,047040,대우건설,5130,-50,-1.0,2144630,11003621120,5220,5220,5090,2132144132940,0.12,415622638,51660146.0,12.43,119.0,2019-02-27
88186,047040,대우건설,5050,-80,-1.6,2731811,14032388080,5160,5240,5050,2098894321900,0.12,415622638,51868947.0,12.48,119.0,2019-02-28
90567,047040,대우건설,5020,-30,-0.6,2090015,10556673945,5050,5110,4995,2086425642760,0.12,415622638,51799256.0,12.46,119.0,2019-03-04
92947,047040,대우건설,4950,-70,-1.4,1499074,7445548830,5000,5040,4935,2057332058100,0.12,415622638,51957510.0,12.5,119.0,2019-03-05
95329,047040,대우건설,4960,10,0.2,824829,4104753585,4950,5040,4945,2061488284480,0.12,415622638,52113270.0,12.54,120.0,2019-03-06
