,account_nm,thstrm_amount
0,유동자산,2409543952757.0
1,현금및현금성자산,143831970316.0
2,단기금융상품,96018361227.0
3,매출채권,204213551659.0
4,유동계약자산,76603731342.0
5,단기미청구공사,
6,기타유동금융자산,29379393057.0
7,재고자산,1290887619203.0
8,기타유동자산,568609325953.0
9,비유동자산,1346319558265.0
10,당기손익-공정가치 측정 금융상품,31110358663.0
11,장기매도가능금융상품,
12,기타비유동금융자산,7069788484.0
13,"종속기업, 공동기업과 관계기업에 대한 투자자산",6392003641.0
14,유형자산,571368927893.0
15,무형자산,450580455572.0
16,이연법인세자산,279798024012.0
17,자산총계,3755863511022.0
18,유동부채,1667807800725.0
19,단기매입채무,289489656223.0
20,기타유동금융부채,131280971361.0
21,단기차입금,177854410733.0
22,유동성사채,199948185388.0
23,유동계약부채,268139452000.0
24,단기초과청구공사,
25,미지급법인세,2236200.0
26,기타유동부채,601092888820.0
27,비유동부채,1035149616904.0
28,장기차입금,83895864598.0
29,사채,259636485254.0
30,기타비유동금융부채,60502387819.0
31,퇴직급여부채,356284864038.0
32,비유동충당부채,260782562476.0
33,기타비유동부채,13961940802.0
34,이연법인세부채,85511917.0
35,부채총계,2702957417629.0
36,지배기업의 소유주에게 귀속되는 자본,1009422429113.0
37,자본금,487375535000.0
38,주식발행초과금,124077485927.0
39,이익잉여금(결손금),415992595501.0
40,기타자본구성요소,-18023187315.0
41,비지배지분,43483664280.0
42,자본총계,1052906093393.0
43,자본과부채총계,3755863511022.0
44,수익(매출액),2786023511399.0
45,매출원가,2411539106275.0
46,매출총이익,374484405124.0
47,판매비와관리비,228101885058.0
48,영업이익(손실),146382520066.0
49,기타이익,7378248284.0
50,기타손실,55955168414.0
51,금융수익,33022572062.0
52,금융원가,50878514605.0
53,지분법이익,270032173.0
54,지분법손실,559194425.0
55,법인세비용차감전순이익(손실),79660495141.0
56,법인세비용,24121031033.0
57,당기순이익(손실),55539464108.0
58,지배기업의 소유주에게 귀속되는 당기순이익(손실),57188119828.0
59,비지배지분에 귀속되는 당기순이익(손실),-1648655720.0
60,기타포괄손익,-7871754246.0
61,확정급여제도의 재측정손익(세후기타포괄손익),-10434845043.0
62,기타포괄손익관련 법인세효과,2526291236.0
63,매도가능금융자산평가손익(세후기타포괄손익),
64,해외사업장환산외환차이(세후기타포괄손익),23101053.0
65,지분법자본변동,13698508.0
66,기타포괄손익관련 법인세효과,
67,총포괄손익,47667709862.0
68,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",49328051044.0
69,"총 포괄손익, 비지배지분",-1660341182.0
70,기본주당이익(손실),587.0
71,희석주당이익(손실),587.0
72,영업활동현금흐름,137662903329.0
73,영업에서 창출된 현금흐름,177754956716.0
74,당기순이익(손실),55539464108.0
75,당기순이익조정을 위한 가감,290766762960.0
76,영업활동으로인한자산ㆍ부채의변동,-168551270352.0
77,이자수취,2382800298.0
78,이자지급,14129399638.0
79,법인세납부(환급),28345454047.0
80,투자활동현금흐름,-88239387102.0
81,단기금융상품의 순증감,-89733135135.0
82,당기손익인식금융자산의 취득,5668230000.0
83,매도가능금융자산의 취득,
84,매도가능금융자산의 처분,
85,기타금융자산의 취득,592335945.0
86,기타금융자산의 처분,3836639308.0
87,장기금융상품의 순증감,-853190000.0
88,유형자산의 처분,207769733.0
89,유형자산의 취득,51438262921.0
90,무형자산의 처분,
91,무형자산의 취득,23038148435.0
92,정부보조금의 수취,77798458564.0
93,사업결합으로 인한 순현금유입,1241047729.0
94,재무활동현금흐름,-134556172508.0
95,비지배지분 유상증자,45132320000.0
96,단기차입금의 순증감,-310372270000.0
97,단기차입금의 상환,
98,장기차입금의 차입,72147961492.0
99,장기차입금의 상환,1328544000.0
100,사채의 증가,59864360000.0
101,사채의 상환,
102,배당금지급,
103,현금및현금성자산에 대한 환율변동효과,1864166925.0
104,현금및현금성자산의순증가(감소),-83268489356.0
105,기초현금및현금성자산,227100459672.0
106,기말현금및현금성자산,143831970316.0
107,기초자본,1140405156839.0
108,기초자본,1140405156839.0
109,기초자본,11741879750.0
110,기초자본,517210256162.0
111,기초자본,487375535000.0
112,기초자본,124077485927.0
113,회계정책변경에 따른 증가(감소) - 기준서 제1115호,-154981017980.0
114,회계정책변경에 따른 증가(감소) - 기준서 제1115호,-154981017980.0
115,회계정책변경에 따른 증가(감소) - 기준서 제1115호,-154981017980.0
116,회계정책변경에 따른 증가(감소) - 기준서 제1109호,-2228370663.0
117,회계정책변경에 따른 증가(감소) - 기준서 제1109호,-2228370663.0
118,회계정책변경에 따른 증가(감소) - 기준서 제1109호,-6712161961.0
119,회계정책변경에 따른 증가(감소) - 기준서 제1109호,4483791298.0
120,당기순이익(손실),55539464108.0
121,당기순이익(손실),-1648655720.0
122,당기순이익(손실),57188119828.0
123,당기순이익(손실),57188119828.0
124,기타포괄손익,15705992.0
125,기타포괄손익,
126,기타포괄손익,15705992.0
127,기타포괄손익,-7872096309.0
128,장기매도가능금융자산평가이익,
129,장기매도가능금융자산평가이익,
130,장기매도가능금융자산평가이익,
131,해외사업환산손익,23101053.0
132,해외사업환산손익,23101053.0
133,해외사업환산손익,23101053.0
134,순확정급여부채의 재측정요소,-7908553807.0
135,순확정급여부채의 재측정요소,-7908553807.0
136,순확정급여부채의 재측정요소,-7908553807.0
137,지분법자본변동,13698508.0
138,지분법자본변동,13698508.0
139,지분법자본변동,13698508.0
140,배당금지급,
141,배당금지급,
142,배당금지급,
143,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소)/비지배지분의 변동,-23089704665.0
144,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소)/비지배지분의 변동,-23089704665.0
145,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소)/비지배지분의 변동,-23089704665.0
146,비지배주주지분의 출자,45132320000.0
147,비지배주주지분의 출자,45132320000.0
148,비지배주주지분의 출자,0.0
149,기말자본,1052906093393.0
150,기말자본,43483664280.0
151,기말자본,1009422429113.0
152,기말자본,-18023187315.0
153,기말자본,415992595501.0
154,기말자본,487375535000.0
155,기말자본,124077485927.0
