,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
64,047810,한국항공우주,48400,950,2.0,822845,39212432700,46500,48850,46100,4717795178800,0.25,97475107,17049048.0,17.49,65,2018-01-02
2375,047810,한국항공우주,49000,600,1.2,871650,43194593800,48500,50500,48500,4776280243000,0.25,97475107,17020991.0,17.46,65,2018-01-03
4685,047810,한국항공우주,48900,-100,-0.2,531166,26035000850,48800,49650,48750,4766532732300,0.25,97475107,17128437.0,17.57,64,2018-01-04
6996,047810,한국항공우주,48200,-700,-1.4,597433,28790845100,48900,49000,47850,4698300157400,0.24,97475107,17075009.0,17.52,65,2018-01-05
9308,047810,한국항공우주,47600,-600,-1.2,575783,27391747550,48100,48400,47300,4639815093200,0.24,97475107,17080214.0,17.52,65,2018-01-08
11620,047810,한국항공우주,48350,750,1.6,508188,24585723950,47500,48850,47350,4712921423450,0.24,97475107,17202808.0,17.65,65,2018-01-09
13932,047810,한국항공우주,48150,-200,-0.4,408849,19607598150,48000,48450,47550,4693426402050,0.24,97475107,17221204.0,17.67,65,2018-01-10
16244,047810,한국항공우주,47850,-300,-0.6,397347,19108876550,48250,48600,47800,4664183869950,0.24,97475107,17263474.0,17.71,65,2018-01-11
18557,047810,한국항공우주,47250,-600,-1.2,525347,24865827950,47850,48050,47050,4605698805750,0.24,97475107,17310348.0,17.76,65,2018-01-12
20869,047810,한국항공우주,48100,850,1.8,350203,16824488100,48500,48550,47700,4688552646700,0.24,97475107,17289344.0,17.74,64,2018-01-15
23180,047810,한국항공우주,51000,2900,6.0,1040424,51590924250,47850,51300,47350,4971230457000,0.25,97475107,17341523.0,17.79,62,2018-01-16
25490,047810,한국항공우주,54100,3100,6.1,2386198,126311069100,51500,54500,51000,5273403288700,0.27,97475107,17616049.0,18.07,59,2018-01-17
27804,047810,한국항공우주,53300,-800,-1.5,1035304,55660188900,54400,54900,53000,5195423203100,0.26,97475107,17679074.0,18.14,60,2018-01-18
30118,047810,한국항공우주,52900,-400,-0.8,794985,42116111200,53100,53700,52200,5156433160300,0.26,97475107,17699605.0,18.16,61,2018-01-19
32429,047810,한국항공우주,53400,500,1.0,491736,26164524400,53500,53800,52300,5205170713800,0.27,97475107,17690381.0,18.15,60,2018-01-22
34742,047810,한국항공우주,53500,100,0.2,612209,32657071100,53500,54000,52400,5214918224500,0.26,97475107,17785764.0,18.25,61,2018-01-23
37053,047810,한국항공우주,54800,1300,2.4,780738,42578758300,53500,55000,53500,5341635863600,0.27,97475107,17786583.0,18.25,60,2018-01-24
39365,047810,한국항공우주,54600,-200,-0.4,875660,48346759700,55200,56200,54100,5322140842200,0.27,97475107,17775865.0,18.24,60,2018-01-25
41678,047810,한국항공우주,55400,800,1.5,663035,36768465900,54800,56200,54700,5400120927800,0.27,97475107,17800958.0,18.26,60,2018-01-26
43992,047810,한국항공우주,55200,-200,-0.4,548414,30495210400,56000,56500,55100,5380625906400,0.27,97475107,17815440.0,18.28,60,2018-01-29
46307,047810,한국항공우주,53500,-1700,-3.1,763102,41308155500,55400,55900,53300,5214918224500,0.26,97475107,17763850.0,18.22,61,2018-01-30
48622,047810,한국항공우주,52600,-900,-1.7,847198,44531929759,52800,53500,52100,5127190628200,0.26,97475107,17730374.0,18.19,62,2018-01-31
50937,047810,한국항공우주,51700,-900,-1.7,966898,50336768500,52400,53100,51500,5039463031900,0.25,97475107,17449819.0,17.9,63,2018-02-01
53253,047810,한국항공우주,50500,-1200,-2.3,875258,44532376400,51700,52300,50300,4922492903500,0.25,97475107,17515300.0,17.97,64,2018-02-02
55569,047810,한국항공우주,48950,-1550,-3.1,758098,37519871550,50100,50200,48850,4771406487650,0.25,97475107,17378898.0,17.83,65,2018-02-05
57884,047810,한국항공우주,47750,-1200,-2.4,1205871,57346356800,47150,48350,46900,4654436359250,0.24,97475107,17219304.0,17.67,65,2018-02-06
60198,047810,한국항공우주,47250,-500,-1.0,776200,37452860150,48650,49200,47250,4605698805750,0.25,97475107,17109801.0,17.55,64,2018-02-07
62512,047810,한국항공우주,47400,150,0.3,598905,28470272950,47600,48050,47100,4620320071800,0.25,97475107,17072574.0,17.51,64,2018-02-08
64827,047810,한국항공우주,46050,-1350,-2.8,629487,29131728500,46350,46700,45900,4488728677350,0.24,97475107,16974438.0,17.41,64,2018-02-09
67142,047810,한국항공우주,46200,150,0.3,359474,16626347100,46300,46650,46050,4503349943400,0.24,97475107,16927573.0,17.37,64,2018-02-12
