,account_nm,thstrm_amount
0,유동자산,631378487983.0
1,현금및현금성자산,23331853899.0
2,단기금융예치금,2060000000.0
3,매출채권 및 기타채권,250715113866.0
4,재고자산,349421247980.0
5,당기법인세자산,5777220.0
6,기타유동자산,5844495018.0
7,비유동자산,772228907291.0
8,장기금융예치금,13500000.0
9,매도가능금융자산,
10,공정가치 측정 금융자산,12373564621.0
11,장기매출채권 및 기타채권,37938636497.0
12,영업권,59898002225.0
13,유형자산,542192910270.0
14,무형자산,19870692142.0
15,투자부동산,99257078451.0
16,확정급여자산,
17,이연법인세자산,683669592.0
18,기타비유동자산,853493.0
19,자산총계,1403607395274.0
20,유동부채,341717730045.0
21,매입채무 및 기타채무,249335339598.0
22,단기차입금,49153118232.0
23,유동성사채,
24,유동성장기차입금,21866666664.0
25,당기법인세부채,8700722868.0
26,유동금융보증부채,
27,기타유동부채,12661882683.0
28,비유동부채,429394985744.0
29,장기매입채무및기타채무,9613294419.0
30,사채,174601840454.0
31,장기차입금,217349999998.0
32,확정급여부채,8134497327.0
33,비유동금융보증부채,
34,이연법인세부채,19686864456.0
35,기타비유동부채,8489090.0
36,부채총계,771112715789.0
37,지배기업 소유주지분,632494679485.0
38,자본금,19295620000.0
39,주식발행초과금,100092525059.0
40,기타자본,-12929055752.0
41,적립금,386167242692.0
42,이익잉여금(결손금),139868347486.0
43,비지배지분,
44,자본총계,632494679485.0
45,자본과부채총계,1403607395274.0
46,매출액,2802526253207.0
47,매출원가,2189230574024.0
48,매출총이익,613295679183.0
49,판매비와관리비,526085963464.0
50,영업이익(손실),87209715719.0
51,금융수익,1951546942.0
52,금융원가,13268474820.0
53,기타수익,3306753075.0
54,기타비용,7836116046.0
55,법인세비용차감전순이익(손실),71363424870.0
56,법인세비용,14626373401.0
57,당기순이익(손실),56737051469.0
58,법인세비용차감후 기타포괄손익,-8086788868.0
59,확정급여제도의 재측정손익(세후기타포괄손익),-7720754234.0
60,기타포괄손익-공정가치측정 지분상품 평가손실,-363752328.0
61,매도가능금융자산평가손익(세후기타포괄손익),
62,해외사업장환산외환차이(세후기타포괄손익),-2282306.0
63,총포괄손익,48650262601.0
64,지배기업 소유주지분,56724464699.0
65,비지배지분,12586770.0
66,지배기업 소유주지분,48638524083.0
67,비지배지분,11738518.0
68,기본주당이익(손실),14699.0
69,당기순이익(손실),56737051469.0
70,법인세비용,14626373401.0
71,이자비용,13214789182.0
72,유형자산감가상각비,41381052826.0
73,무형자산상각비,2326312218.0
74,무형자산손상차손,391000000.0
75,영업권손상차손,
76,유형자산손상차손,
77,투자부동산감가상각비,1877598682.0
78,퇴직급여,14648997877.0
79,재고자산평가손실(환입),-655309012.0
80,매출채권손상차손(환입),337751777.0
81,기타채권손상차손,1336478590.0
82,유형자산처분손실,601713216.0
83,무형자산처분손실,
84,투자부동산처분손실,1296942714.0
85,매도가능금융자산처분이익,
86,당기손익-공정가치측정금융자산 처분손실,53685638.0
87,이자수익,1907139131.0
88,배당금수익,-44407811.0
89,유형자산처분이익,894959758.0
90,무형자산처분이익,
91,외화환산손실,44864148.0
92,외화환산이익,232815238.0
93,매출채권의 감소(증가),1629536444.0
94,기타채권의 감소(증가),749548991.0
95,재고자산의 증가,-44784004314.0
96,기타유동자산의 감소(증가),1565586498.0
97,기타비유동자산의 감소,
98,매입채무의 증가(감소),-47476922952.0
99,기타채무의 증가(감소),6976644443.0
100,기타유동부채의 증가(감소),3162098489.0
101,기타비유동부채의 증가(감소),-131378300.0
102,퇴직금의 지급,-13213475252.0
103,사외적립자산의 증가,-11084937839.0
104,확정급여채무의 관계사 전입출액,34677127.0
105,영업에서 창출된 현금,42567354123.0
106,법인세납부(환급),16433829158.0
107,영업활동으로 인한 순현금흐름,26133524965.0
108,이자의 수취,1862706476.0
109,배당금의 수취,44407811.0
110,보증금의 감소,3999275057.0
111,단기금융예치금의 감소,
112,매도가능금융자산의 처분,
113,출자금의 회수,1408000000.0
114,대여금의 감소,13281030801.0
115,장기금융예치금의 감소,5000000.0
116,종속기업투자의 감소,500000000.0
117,유형자산의 처분,3500611979.0
118,무형자산의 처분,
119,투자부동산의 처분,6438972760.0
120,당기손익-공정가치측정금융자산의 취득,-41769811.0
121,단기금융예치금의 증가,
122,대여금의 증가,16382370820.0
123,보증금의 증가,2535350220.0
124,유형자산의 취득,89707539806.0
125,무형자산의 취득,6768933369.0
126,투자부동산의 취득,4249330.0
127,사업결합으로 인한 현금유출액,
128,국고보조금 증가,75000000.0
129,국고보조금 감소,
130,투자활동으로 인한 순현금흐름,-84325208472.0
131,이자의 지급,-12843894476.0
132,배당금의 지급,-9647810000.0
133,단기차입금의 차입,127587014207.0
134,장기차입금의 차입,55500000000.0
135,단기차입금의 상환,145894995494.0
136,유동성장기부채의 상환,-21866666664.0
137,장기차입금의 상환,
138,사채의 발행,24925030000.0
139,사채의 상환,
140,종속기업투자주식의 추가취득,-250846554.0
141,기타금융부채의 감소,-4895372660.0
142,기타금융부채의 증가,3781580266.0
143,재무홛동으로 인한 순현금흐름,16394038625.0
144,외화표시 현금및현금성자산의 환율변동효과,94986514.0
145,현금및현금성자산의순증가(감소),-41702658368.0
146,기초현금및현금성자산,65034512267.0
147,기말현금및현금성자산,23331853899.0
148,기초자본,593249303693.0
149,기초자본,170612387.0
150,기초자본,593078691306.0
151,기초자본,-5274619487.0
152,기초자본,115031256376.0
153,기초자본,19295620000.0
154,기초자본,363933909358.0
155,기초자본,100092525059.0
156,당기순이익(손실),56737051469.0
157,당기순이익(손실),12586770.0
158,당기순이익(손실),56724464699.0
159,당기순이익(손실),56724464699.0
160,확정급여제도의 재측정요소,-7720754234.0
161,매도가능금융자산평가이익,
162,기타포괄손익-공정가치측정 지분상품 평가손실,-363752328.0
163,해외사업장 환산차이,-1434054.0
164,연차배당,-9647810000.0
165,연차배당,-9647810000.0
166,연차배당,-9647810000.0
167,적립금의 전입,2166666666.0
168,적립금의 전입,-2166666666.0
169,적립금의 이입,-24400000000.0
170,적립금의 이입,24400000000.0
171,연결범위의 변동,
172,연결범위의 변동,
173,연결범위의 변동,
174,종속기업투자주식의 추가취득,-250846554.0
175,종속기업투자주식의 추가취득,-182350905.0
176,종속기업투자주식의 추가취득,-68495649.0
177,종속기업투자주식의 추가취득,-68495649.0
178,기타,500000000.0
179,기타,500000000.0
180,기타,500000000.0
181,기말자본,632494679485.0
182,기말자본,
183,기말자본,632494679485.0
184,기말자본,12929055752.0
185,기말자본,139868347486.0
186,기말자본,19295620000.0
187,기말자본,386167242692.0
188,기말자본,100092525059.0
