,account_nm,thstrm_amount
0,유동자산,515665940560.0
1,현금및현금성자산,65333694953.0
2,단기금융자산,67042664110.0
3,매출채권 및 기타채권,178888186633.0
4,재고자산,189035191721.0
5,반환제품회수권,1889161469.0
6,당기법인세자산,50236696.0
7,기타유동자산,13426804978.0
8,비유동자산,692180411134.0
9,장기금융자산,610548433.0
10,장기매도가능금융자산,
11,당기손익-공정가치측정금융자산,1072604290.0
12,기타포괄손익-공정가치측정금융자산,7923052670.0
13,장기매출채권 및 기타채권,7405470590.0
14,관계기업투자,9127635048.0
15,유형자산,401129322098.0
16,투자부동산,93133376262.0
17,무형자산,149573573685.0
18,기타투자자산,
19,기타비유동자산,4310178609.0
20,이연법인세자산,17894649449.0
21,자산총계,1207846351694.0
22,유동부채,367400664611.0
23,매입채무 및 기타채무,102824306004.0
24,단기차입금,7498978258.0
25,유동성사채,199864885984.0
26,반품충당부채,
27,당기법인세부채,17946300566.0
28,이연수익,1092448422.0
29,기타유동부채,38173745377.0
30,비유동부채,232636237152.0
31,장기매입채무 및 기타채무,11300805655.0
32,장기차입부채,179485775945.0
33,퇴직급여부채,2213217417.0
34,이연법인세부채,5126194367.0
35,기타비유동부채,34510243768.0
36,부채총계,600036901763.0
37,지배기업의 소유주에게 귀속되는 자본,494132577022.0
38,자본금,28966437500.0
39,자기주식,44915569382.0
40,기타불입자본,96559941491.0
41,기타자본구성요소,-9362434712.0
42,이익잉여금,422884202125.0
43,비지배지분,113676872909.0
44,자본총계,607809449931.0
45,자본과부채총계,1207846351694.0
46,매출,1031427425529.0
47,매출원가,621484738163.0
48,매출총이익,409942687366.0
49,판매관리비,271564741148.0
50,경상연구개발비,113811778533.0
51,영업이익(손실),24566167685.0
52,영업외손익,-25188690031.0
53,지분법손익,-127270325.0
54,금융수익,8419497122.0
55,금융원가,-14767503982.0
56,기타수익,8238959803.0
57,기타비용,-26952372649.0
58,법인세비용차감전순이익,-622522346.0
59,법인세비용,14794722172.0
60,당기순이익(손실),-15417244518.0
61,기타포괄손익,1334827158.0
62,후속적으로 손익으로 재분류되지 않는 항목,1552724915.0
63,기타포괄손익-공정가치측정 금융자산 평가손실,2865985617.0
64,확정급여제도의 재측정요소,-868283234.0
65,법인세효과,-444977468.0
66,후속적으로 당기손익으로 재분류되는 항목,-217897757.0
