,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
110,069960,현대백화점,103500,-1000,-1.0,79985,8267471000,104500,105000,102500,2422152643500,0.13,23402441,5945799.0,25.41,111,2018-01-02
2421,069960,현대백화점,105000,1500,1.4,105404,10996699500,102500,105500,102500,2457256305000,0.13,23402441,5979725.0,25.55,111,2018-01-03
4733,069960,현대백화점,104500,-500,-0.5,94886,9953974500,105000,107000,103500,2445555084500,0.13,23402441,6006909.0,25.67,112,2018-01-04
7044,069960,현대백화점,104000,-500,-0.5,63309,6631477500,104500,106000,104000,2433853864000,0.13,23402441,6011937.0,25.69,113,2018-01-05
9350,069960,현대백화점,109500,5500,5.3,215093,23325116500,105500,110000,105000,2562567289500,0.13,23402441,6022605.0,25.73,107,2018-01-08
11663,069960,현대백화점,109000,-500,-0.5,88460,9651831000,109500,110000,107500,2550866069000,0.13,23402441,6022041.0,25.73,108,2018-01-09
13976,069960,현대백화점,108000,-1000,-0.9,103437,11320130000,109000,112000,107500,2527463628000,0.13,23402441,6019009.0,25.72,109,2018-01-10
16292,069960,현대백화점,106000,-2000,-1.8,123603,13181147000,109000,109000,105500,2480658746000,0.13,23402441,6045457.0,25.83,113,2018-01-11
18606,069960,현대백화점,108000,2000,1.9,74501,8018731500,106500,109000,105500,2527463628000,0.13,23402441,6058495.0,25.89,114,2018-01-12
20919,069960,현대백화점,108000,0,0.0,83330,9009499000,107000,109000,106500,2527463628000,0.13,23402441,6044460.0,25.83,114,2018-01-15
23232,069960,현대백화점,107000,-1000,-0.9,63245,6827242000,107500,109000,107000,2504061187000,0.13,23402441,6038489.0,25.8,114,2018-01-16
25544,069960,현대백화점,109500,2500,2.3,161270,17615814500,106500,111000,106500,2562567289500,0.13,23402441,6018884.0,25.72,113,2018-01-17
27856,069960,현대백화점,110000,500,0.5,82585,9092660000,109000,111000,108500,2574268510000,0.13,23402441,6008649.0,25.68,112,2018-01-18
30168,069960,현대백화점,110000,0,0.0,102343,11161031500,111000,111000,108000,2574268510000,0.13,23402441,6033188.0,25.78,111,2018-01-19
32481,069960,현대백화점,110500,500,0.4,77694,8574558000,110000,111000,109000,2585969730500,0.13,23402441,6043206.0,25.82,112,2018-01-22
34795,069960,현대백화점,108500,-2000,-1.8,112838,12223096000,110500,111000,106500,2539164848500,0.13,23402441,6063893.0,25.91,114,2018-01-23
37108,069960,현대백화점,105500,-3000,-2.8,162769,17212358500,107500,108500,104500,2468957525500,0.13,23402441,6090324.0,26.02,115,2018-01-24
39422,069960,현대백화점,104000,-1500,-1.4,141259,14735236000,104500,106000,103000,2433853864000,0.12,23402441,6126967.0,26.18,117,2018-01-25
41734,069960,현대백화점,105500,1500,1.4,194579,20338831000,103500,106000,102000,2468957525500,0.12,23402441,6182689.0,26.42,116,2018-01-26
44049,069960,현대백화점,104000,-1500,-1.4,152701,15996844500,105500,107000,103500,2433853864000,0.12,23402441,6205455.0,26.52,117,2018-01-29
46363,069960,현대백화점,103500,-500,-0.5,90397,9458147500,104500,106000,103500,2422152643500,0.12,23402441,6228026.0,26.61,117,2018-01-30
48678,069960,현대백화점,104000,500,0.5,141512,14646369000,103500,105000,101500,2433853864000,0.12,23402441,6254232.0,26.72,118,2018-01-31
50992,069960,현대백화점,103500,-500,-0.5,100414,10372531500,103500,104500,102500,2422152643500,0.12,23402441,6259243.0,26.75,118,2018-02-01
53308,069960,현대백화점,101500,-2000,-1.9,107540,10885807000,103000,104000,100000,2375347761500,0.12,23402441,6269978.0,26.79,119,2018-02-02
55623,069960,현대백화점,99900,-1600,-1.6,123801,12482273500,100000,102000,99900,2337903855900,0.12,23402441,6283095.0,26.85,119,2018-02-05
57938,069960,현대백화점,98900,-1000,-1.0,136083,13232776200,97000,99400,96100,2314501414900,0.12,23402441,6301358.0,26.93,119,2018-02-06
60248,069960,현대백화점,99800,900,0.9,129058,12966355400,100000,102000,98900,2335563611800,0.13,23402441,6315221.0,26.99,114,2018-02-07
62564,069960,현대백화점,98100,-1700,-1.7,102375,10111895400,99600,100500,97800,2295779462100,0.12,23402441,6304596.0,26.94,116,2018-02-08
64887,069960,현대백화점,91500,-6600,-6.7,364482,33626368700,97000,97000,90600,2141323351500,0.12,23402441,6311480.0,26.97,124,2018-02-09
