,account_nm,thstrm_amount
0,유동자산,3285134000000.0
1,현금및현금성자산,653570000000.0
2,기타유동금융자산,373234000000.0
3,유동매도가능금융자산,
4,유동 기타포괄손익-공정가치 측정 금융자산,613000000.0
5,유동 당기손익-공정가치 측정 지정 금융자산,369400000000.0
6,유동파생상품자산,3221000000.0
7,매출채권 및 기타유동채권,1577970000000.0
8,기타유동자산,157843000000.0
9,당기법인세자산,507000000.0
10,재고자산,502910000000.0
11,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,19100000000.0
12,비유동자산,19345844000000.0
13,기타비유동금융자산,217767000000.0
14,비유동매도가능금융자산,
15,비유동 기타포괄손익-공정가치 측정 금융자산,117307000000.0
16,비유동 당기손익-공정가치 측정 지정 금융자산,100424000000.0
17,비유동파생상품자산,36000000.0
18,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",6544698000000.0
19,투자부동산,1102441000000.0
20,유형자산,8534506000000.0
21,영업권 이외의 무형자산,1675936000000.0
22,장기매출채권 및 기타비유동채권,1062975000000.0
23,기타비유동자산,165219000000.0
24,이연법인세자산,42302000000.0
25,자산총계,22630978000000.0
26,유동부채,4568776000000.0
27,매입채무 및 기타유동채무,1574128000000.0
28,기타유동금융부채,2691790000000.0
29,기타유동부채,148743000000.0
30,당기법인세부채,132706000000.0
31,유동충당부채,21409000000.0
32,그 밖의 기타단기충당부채,21409000000.0
33,매각예정으로 분류된 처분자산집단에 포함된 부채,0.0
34,비유동부채,7537217000000.0
35,장기매입채무 및 기타비유동채무,290784000000.0
36,기타비유동금융부채,6354258000000.0
37,기타비유동부채,149209000000.0
38,이연법인세부채,590220000000.0
39,퇴직급여부채,16433000000.0
40,비유동충당부채,136313000000.0
41,부채총계,12105993000000.0
42,지배기업의 소유주에게 귀속되는 자본,8490426000000.0
43,자본금,473501000000.0
44,자본잉여금,1187527000000.0
45,기타자본구성요소,-2942621000000.0
46,기타포괄손익누계액,-133916000000.0
47,이익잉여금(결손금),9905935000000.0
48,비지배지분,2034559000000.0
49,자본총계,10524985000000.0
50,자본과부채총계,22630978000000.0
51,수익(매출액),17744385000000.0
52,매출원가,13650612000000.0
53,매출총이익,4093773000000.0
54,판매비와관리비,1883936000000.0
55,영업이익(손실),2209837000000.0
56,기타이익,194266000000.0
57,기타손실,187277000000.0
58,금융수익,46562000000.0
59,금융원가,323652000000.0
60,법인세비용차감전순이익(손실),1939736000000.0
61,법인세비용,1124836000000.0
62,계속영업이익(손실),814900000000.0
63,중단영업이익(손실),215560000000.0
64,당기순이익(손실),1030460000000.0
65,지배기업의 소유주에게 귀속되는 당기순이익(손실),903198000000.0
66,비지배지분에 귀속되는 당기순이익(손실),127262000000.0
67,기본주당이익(손실),9539.0
68,계속영업기본주당이익(손실),7262.0
69,중단영업기본주당이익(손실),2277.0
70,우선주당이익(손실),9589.0
71,계속영업우선주당이익(손실),7312.0
72,중단영업우선주당이익(손실),2277.0
