,account_nm,thstrm_amount
0,유동자산,442573464117.0
1,현금및현금성자산,26948706353.0
2,매출채권 및 기타채권,232076504249.0
3,단기금융자산,30947022880.0
4,재고자산,140387580042.0
5,기타유동자산,12213650593.0
6,당기법인세자산,0.0
7,비유동자산,236323111298.0
8,장기금융자산,20999185364.0
9,매도가능금융자산,0.0
10,지분상품,103761800.0
11,채무상품,555322603.0
12,투자부동산,2361050572.0
13,유형자산,180060604935.0
14,무형자산,31433808979.0
15,이연법인세자산,101416939.0
16,기타비유동자산,707960106.0
17,자산총계,678896575415.0
18,유동부채,212244554737.0
19,매입채무 및 기타채무,190078553222.0
20,단기금융부채,1644076396.0
21,기타유동부채,2148006624.0
22,계약부채,13112600308.0
23,당기법인세부채,5261318187.0
24,비유동부채,19277121790.0
25,장기금융부채,2648104666.0
26,충당부채,2594825817.0
27,이연수익,630490443.0
28,확정급여부채,576706782.0
29,이연법인세부채,11685524623.0
30,기타비유동부채,1141469459.0
31,부채총계,231521676527.0
32,지배기업의 소유주에게 귀속되는 자본,447374898888.0
33,자본금,20535282000.0
34,자본잉여금,101695163698.0
35,자본조정,-3428118992.0
36,기타포괄손익누계액,71472526.0
37,이익잉여금(결손금),328501099656.0
38,자본총계,447374898888.0
39,자본과부채총계,678896575415.0
40,매출액,1351703359765.0
41,매출원가,1121192055870.0
42,매출총이익,230511303895.0
43,판매비와관리비,182378800455.0
44,영업이익(손실),48132503440.0
45,기타수익,2300317772.0
46,기타비용,1838226022.0
47,금융수익,2917809323.0
48,금융비용,1128117707.0
49,법인세비용차감전순이익(손실),50384286806.0
50,법인세비용,11503162373.0
51,당기순이익(손실),38881124433.0
52,기타포괄손익,-3140973523.0
53,확정급여제도의 재측정손익,-3042382464.0
54,기타포괄손익-공정가치측정금융자산평가손익,-42023520.0
55,해외사업장환산외환차이,-56567539.0
56,매도가능금융자산평가손익,
57,총포괄손익,35740150910.0
58,지배기업의 소유주에게 귀속되는 당기순이익(손실),38881124433.0
59,비지배지분에 귀속되는 당기순이익(손실),0.0
60,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",35740150910.0
61,"총 포괄손익, 비지배지분",0.0
62,기본주당이익(손실),1933.0
63,영업활동현금흐름,6802314818.0
64,당기순이익(손실),38881124433.0
65,비현금항목의조정,28906225671.0
66,운전자본의조정,-46985717381.0
67,이자수취,800960783.0
68,이자지급,164523038.0
69,기타배당금수취,2105000.0
70,법인세환급(납부),14637860650.0
71,투자활동현금흐름,-45715238627.0
72,단기금융상품의 감소,10000000000.0
73,장기금융상품의 감소,
74,단기대여금의 감소,646390320.0
75,지분증권의 처분,
76,채무증권의 처분,59987164.0
77,매도가능금융자산의 처분,
78,장기대여금의 감소,-1397291543.0
79,보증금의 감소,2686701217.0
80,유형자산의 처분,309299683.0
81,무형자산의 처분,
82,투자부동산의 처분,
83,단기금융상품의 증가,30900000000.0
84,장기금융상품의 증가,37500000.0
85,사업결합으로 인한 현금유입,
86,장기대여금의 증가,2524839251.0
87,보증금의 증가,6034721405.0
88,유형자산의 취득,20624434698.0
89,단기대여금의 증가,693413200.0
90,재무활동현금흐름,-2357573529.0
91,단기차입금의 차입,2410758820.0
92,단기차입금의 상환,2756912149.0
93,장기차입금의 차입,
94,장기차입금의 상환,
95,증자비용,
96,배당금지급,2011420200.0
97,현금및현금성자산에 대한 환율변동효과,-93899852.0
98,현금및현금성자산의순증가(감소),-41364397190.0
99,기초현금및현금성자산,68313103543.0
100,기말현금및현금성자산,26948706353.0
101,기초자본,413646168178.0
102,기초자본,413646168178.0
103,기초자본,-3428118992.0
104,기초자본,170063585.0
105,기초자본,294673777887.0
106,기초자본,20535282000.0
107,기초자본,101695163698.0
108,당기순이익(손실),38881124433.0
109,당기순이익(손실),38881124433.0
110,당기순이익(손실),38881124433.0
111,매도가능금융자산평가손익,
112,매도가능금융자산평가손익,
113,매도가능금융자산평가손익,
114,확정급여제도의 재측정요소,-3042382464.0
115,확정급여제도의 재측정요소,-3042382464.0
116,확정급여제도의 재측정요소,-3042382464.0
117,해외사업장외화환산손익,-56567539.0
118,해외사업장외화환산손익,-56567539.0
119,해외사업장외화환산손익,-56567539.0
120,기타포괄손익-공정가치측정     금융자산 평가손익,-42023520.0
121,기타포괄손익-공정가치측정     금융자산 평가손익,-42023520.0
122,기타포괄손익-공정가치측정     금융자산 평가손익,-42023520.0
123,연차배당,2011420200.0
124,연차배당,2011420200.0
125,연차배당,2011420200.0
126,사업결합,
127,사업결합,
128,사업결합,
129,사업결합,
130,기말자본,447374898888.0
131,기말자본,447374898888.0
132,기말자본,-3428118992.0
133,기말자본,71472526.0
134,기말자본,328501099656.0
135,기말자본,20535282000.0
136,기말자본,101695163698.0
