,account_nm,thstrm_amount
0,비유동자산,681776741493.0
1,유형자산,405402824918.0
2,무형자산,171966385734.0
3,투자부동산,5794907682.0
4,장기기타금융자산,27181067589.0
5,관계기업투자,25414910256.0
6,장기금융상품,51000000.0
7,장기기타채권,42315071159.0
8,기타비유동자산,3386563410.0
9,이연법인세자산,264010745.0
10,유동자산,970064183771.0
11,재고자산,370262586864.0
12,매출채권,133841377010.0
13,기타채권,53114881584.0
14,기타유동자산,37981788761.0
15,기타금융자산,
16,단기금융상품,38302741167.0
17,현금및현금성자산,336343746043.0
18,당기법인세자산,217062342.0
19,자산총계,1651840925264.0
20,지배기업의 소유주에게 귀속되는 자본,1173296645629.0
21,자본금,146200000000.0
22,자본잉여금,213111805266.0
23,기타자본항목,-18603636425.0
24,이익잉여금,836153046577.0
25,기타포괄손익누계액,-3564569789.0
26,비지배지분,10131857682.0
27,자본총계,1183428503311.0
28,비유동부채,169822801671.0
29,순확정급여부채,15178571567.0
30,장기예수보증금,4511998426.0
31,장기기타금융부채,117798553307.0
32,기타비유동부채,14499133.0
33,충당부채,4518114801.0
34,이연법인세부채,27801064437.0
35,유동부채,298589620282.0
36,매입채무,90180303758.0
37,기타채무,87331975752.0
38,기타금융부채,68023763022.0
39,기타유동부채,20912080996.0
40,유동성충당부채,12377834390.0
41,당기법인세부채,19763662364.0
42,부채총계,468412421953.0
43,자본과부채총계,1651840925264.0
44,매출액,1706682100310.0
45,매출원가,763854779229.0
46,매출총이익,942827321081.0
47,판매비와관리비,823318869887.0
48,판매및관리비용,823962829235.0
49,매출채권손상손실(환입),-643959348.0
50,영업이익,119508451194.0
51,순금융수익,3835020443.0
52,금융수익,10891035373.0
53,금융비용,7056014930.0
54,기타영업외손익,-6799650609.0
55,기타영업외수익,13000546917.0
56,기타영업외비용,19800197526.0
57,지분법손익,3702024414.0
58,법인세비용차감전순이익,120245845442.0
59,법인세비용,38906066734.0
60,당기순이익,81339778708.0
61,법인세효과차감후기타포괄이익,1391347294.0
62,후속적으로 당기손익으로 재분류되는 항목,3184757020.0
63,해외사업환산손익,584993826.0
64,해외사업환산손익 재분류조정,1980856723.0
65,지분법자본변동,618906471.0
66,후속적으로 당기손익으로 재분류되지 않는 항목,-1793409726.0
67,순확정급여제도의 재측정요소,-1341974226.0
68,기타포괄손익-공정가치측정지분상품 처분손실,-451435500.0
69,총포괄이익,82731126002.0
70,지배기업소유주지분,83218026235.0
71,비지배지분,-1878247527.0
72,지배기업소유주지분,84361365868.0
73,비지배지분,-1630239866.0
74,기본및희석주당이익,2846.0
75,영업활동으로 인한 현금흐름,124688337933.0
76,당기순이익,81339778708.0
77,당기순이익 조정을 위한 가감,69495237474.0
78,법인세비용,38906066734.0
79,금융비용,6097052462.0
80,금융수익,-10013067710.0
81,매출채권손상손실(환입),-643959698.0
82,감가상각비,27759597913.0
83,무형자산상각비,16149878097.0
84,퇴직급여,10316595017.0
85,외화환산손실,1123264440.0
86,재고자산평가손실(환입),4556330469.0
87,유형자산처분손실,1445925808.0
88,무형자산처분손실,3334333.0
89,무형자산손상차손,7168060724.0
90,유형자산손상차손,
91,기타자산손상차손,1194304675.0
92,기타의대손상각비,18546036.0
93,기타비용,87371128.0
94,외화환산이익,1000952047.0
95,유형자산처분이익,441793100.0
96,무형자산처분이익,
97,종속기업투자자산처분손실,3074822295.0
98,지분법손익,3702024414.0
99,기타수익,
100,매출채권의 감소(증가),5296295473.0
101,기타채권의 감소(증가),-5255069368.0
102,기타유동자산의 감소(증가),-12672562292.0
103,재고자산의 감소(증가),-36647075456.0
104,기타비유동자산의 감소(증가),1506086817.0
105,매입채무의 증가(감소),12114702287.0
106,기타채무의 증가(감소),-519740580.0
107,기타유동부채의 증가(감소),12510633257.0
108,기타비유동부채의 증가(감소),-4357780.0
109,충당부채의 증가(감소),2883731676.0
110,퇴직급여의지급,-11816759722.0
111,영업활동으로 인한 현금수취(지급)액,-26146678249.0
112,이자의 수취,8590162727.0
113,이자의 지급,5802730717.0
114,배당금의 수취,1809763936.0
115,법인세의 납부,30743874195.0
116,투자활동으로 인한 현금흐름,139026488820.0
117,유형자산의 처분,4109397086.0
118,무형자산의 처분,2909463.0
119,장기기타채권의 감소,3510036406.0
120,기타채권의 감소,300000000.0
121,장기금융상품의 감소,
122,장기기타채권의 증가,4986410684.0
123,기타채권의 증가,-1710000000.0
124,장기금융상품의 증가,12000000.0
125,유형자산의 취득,49088663701.0
126,무형자산의 취득,11125225569.0
127,관계기업주식의 취득,1299999332.0
128,장기기타금융자산의 증가,25426168235.0
129,장기기타금융자산의 감소,88756277196.0
130,단기금융상품의 증감,136111441729.0
131,파생상품의 정산,41944500.0
132,연결범위변동으로 인한 현금유출입,-157050039.0
133,재무활동으로 인한 현금흐름,-53549763723.0
134,장기기타금융부채의 증가,6286930000.0
135,장기기타금융부채의 감소,-208779657.0
136,연결자본거래로 인한 유출입,-520389000.0
137,기타금융부채의 증가,17987161273.0
138,기타금융부채의 감소,-62396845924.0
139,장기예수보증금의 증가,1006761634.0
140,장기예수보증금의 감소,-1620927049.0
141,비지배주주의 주금납입액,536325000.0
142,배당금의 지급,14620000000.0
143,현금및현금성자산의 증가(감소),210165063030.0
144,기초 현금및현금성자산,127348261267.0
145,현금및현금성자산의 환산으로 인한 증감,-1169578254.0
146,기말 현금및현금성자산,336343746043.0
147,기초자본,1103322258470.0
148,기초자본,10834951909.0
149,기초자본,1092487306561.0
150,기초자본,-30554405755.0
151,기초자본,-6037387407.0
152,기초자본,769767294457.0
153,기초자본,146200000000.0
154,기초자본,213111805266.0
155,회계정책변경 효과,-882796131.0
156,회계정책변경 효과,-882796131.0
157,회계정책변경 효과,-882796131.0
158,수정후 재작성된 금액,1102439462339.0
159,수정후 재작성된 금액,10834951909.0
