,account_nm,thstrm_amount
0,유동자산,16752415052000.0
1,현금및현금성자산,1855920813000.0
2,단기금융상품,2671963400000.0
3,매출채권,4459724118000.0
4,유동성장기투자증권,2591171000.0
5,단기대여금,43557329000.0
6,미수금,696153342000.0
7,미수수익,5083257000.0
8,선급금,470829270000.0
9,선급비용,47657894000.0
10,당기법인세자산,9266155000.0
11,유동성보증금,171808083000.0
12,유동성파생금융상품자산,72206845000.0
13,유동확정계약자산,0.0
14,재고자산,6179806214000.0
15,기타유동자산,347161000.0
16,매각예정자산,65500000000.0
17,비유동자산,19332969018000.0
18,장기금융상품,4720012000.0
19,장기매출채권,78836000.0
20,장기투자증권,333183684000.0
21,관계기업투자 및 공동기업투자,2881803332000.0
22,장기미수금,12857090000.0
23,장기대여금,196249453000.0
24,유형자산,13798178396000.0
25,영업권 및 무형자산,2006974502000.0
26,장기보증금,42593848000.0
27,파생금융상품자산,8502747000.0
28,이연법인세자산,24014790000.0
29,기타비유동자산,23812328000.0
30,자산총계,36085384070000.0
31,유동부채,8940623415000.0
32,단기차입금,153742080000.0
33,매입채무,4650028501000.0
34,미지급금,465592378000.0
35,미지급비용,1344051227000.0
36,선수금,117420458000.0
37,예수금,642790322000.0
38,임대보증금,12357819000.0
39,당기법인세부채,221764790000.0
40,유동성파생금융상품부채,55846355000.0
41,유동성확정계약부채,0.0
42,기타유동부채,55505516000.0
43,유동성장기부채,1221523969000.0
44,비유동부채,7816777990000.0
45,사채 및 장기차입금,6648068076000.0
46,확정급여부채,78446689000.0
47,충당부채,119944900000.0
48,금융보증부채,721035000.0
49,이연법인세부채,946917218000.0
50,장기미지급금,12590361000.0
51,기타비유동부채,10089711000.0
52,부채총계,16757401405000.0
53,지배기업의 소유주에게 귀속되는 자본,18124447803000.0
54,자본금,468569950000.0
55,기타불입자본,4628540029000.0
56,이익잉여금(결손금),12930338005000.0
57,기타자본구성요소,96999819000.0
58,비지배지분,1203534862000.0
59,자본총계,19327982665000.0
60,자본과부채총계,36085384070000.0
61,매출액,54510898386000.0
62,매출원가,50529216158000.0
63,매출총이익,3981682228000.0
64,판매비와관리비,1864092438000.0
65,영업이익(손실),2117589790000.0
66,금융수익-유효이자율법에 따른 이자수익,40226278000.0
67,금융수익-기타,3141034659000.0
68,금융수익,0.0
69,금융원가,2949103372000.0
70,지분법손익,155164442000.0
71,기타영업외수익,109416494000.0
72,기타영업외비용,211975494000.0
73,법인세비용차감전순이익(손실),2402352797000.0
74,계속영업손익법인세비용(효익),705434099000.0
75,계속영업이익(손실),1696918698000.0
76,중단영업이익(손실),13065343000.0
77,연결당기순이익(손실),1709984041000.0
78,지배기업소유주지분,1651472381000.0
79,비지배지분,58511660000.0
80,연결기타포괄손익,110107348000.0
81,후속적으로 당기손익으로 재분류되지 않는항목,-28830557000.0
82,기타포괄손익-공정가치측정금융자산평가손익,-12771446000.0
83,확정급여제도의 재측정요소,-19519151000.0
84,해외사업환산손익,3460040000.0
85,후속적으로 당기손익으로 재분류될 수 있는 항목,138937905000.0
86,기타포괄손익-공정가치 측정 금융자산 평가손익(세후기타포괄손익),49592000.0
87,매도가능증권평가손익,0.0
88,지분법자본변동,58819987000.0
89,해외사업환산손익,71897840000.0
90,현금흐름위험회피 파생금융상품평가손익,8170486000.0
91,연결당기총포괄이익,1820091389000.0
92,지배기업 소유주지분,1758119689000.0
93,비지배지분,61971700000.0
