,account_nm,thstrm_amount
0,유동자산,1078846000000.0
1,현금및현금성자산,134480000000.0
2,매출채권,565567000000.0
3,미수금 및 기타채권,52639000000.0
4,당기법인세자산,4793000000.0
5,기타유동자산,23013000000.0
6,재고자산,298354000000.0
7,비유동자산,1430868000000.0
8,장기성매출채권,0.0
9,장기대여금 및 장기수취채권,27048000000.0
10,비유동금융자산,6892000000.0
11,공동 및 관계기업 투자자산,31834000000.0
12,이연법인세자산,29809000000.0
13,기타비유동자산,12297000000.0
14,유형자산,1277509000000.0
15,무형자산,43163000000.0
16,순확정급여자산,286000000.0
17,매각예정비유동자산,2030000000.0
18,자산총계,2509714000000.0
19,유동부채,736764000000.0
20,매입채무,132654000000.0
21,미지급금 및 기타채무,186895000000.0
22,차입금,376038000000.0
23,충당부채,13495000000.0
24,당기법인세부채,2002000000.0
25,기타유동부채,25680000000.0
26,비유동부채,856203000000.0
27,장기미지급금 및 장기지급채무,11602000000.0
28,차입금,826852000000.0
29,기타비유동금융부채,6918000000.0
30,순확정급여부채,106000000.0
31,이연법인세부채,10725000000.0
32,부채총계,1592967000000.0
33,지배기업 소유주 지분,916747000000.0
34,자본금,50000000000.0
35,자본잉여금,616466000000.0
36,기타자본항목,-8189000000.0
37,기타포괄손익누계액,-18926000000.0
38,이익잉여금,277396000000.0
39,비지배지분,0.0
40,자본총계,916747000000.0
41,부채 및 자본총계,2509714000000.0
42,매출액,3266496000000.0
43,매출원가,2535790000000.0
44,매출총이익,730706000000.0
45,판매비와관리비,660335000000.0
46,영업이익,70371000000.0
47,영업외수익,21192000000.0
48,영업외비용,67838000000.0
49,금융수익,11564000000.0
50,금융비용,47753000000.0
51,지분법손익,-5147000000.0
52,법인세비용차감전순손익,-17611000000.0
53,법인세비용(수익),-1269000000.0
54,계속영업당기순손익,-16342000000.0
55,중단영업손익,-36785000000.0
56,당기순손익,-53127000000.0
57,지배기업소유주지분순손익,-53127000000.0
58,계속영업손익,-16342000000.0
59,중단영업손익,-36785000000.0
60,계속영업손익,0.0
61,중단영업손익,0.0
62,기본주당계속영업손익,-1641.0
63,기본주당중단영업손익,-3686.0
64,우선주당계속영업손익,-1604.0
65,우선주당중단영업손익,-3686.0
66,당기순손익,-53127000000.0
67,기타포괄손익,2309000000.0
68,순확정급여부채의 재측정요소,-1343000000.0
69,기타포괄손익-공정가치측정금융자산 평가손익,-5000000.0
70,공동기업의 기타포괄손익에 대한 지분,96000000.0
71,매도가능금융자산,0.0
72,현금흐름위험회피,0.0
73,해외사업장환산외환차이,3561000000.0
74,당기총포괄손익,-50818000000.0
75,지배기업소유주지분,-50818000000.0
76,비지배지분,0.0
77,영업활동으로 인한 현금흐름,140663000000.0
78,영업으로부터 창출된 현금흐름,185851000000.0
79,이자의 수취,5269000000.0
80,이자의 지급,35111000000.0
81,법인세의 납부,15408000000.0
82,배당금의 수령,62000000.0
83,투자활동으로 인한 현금흐름,-232991000000.0
84,금융기관예치금의 감소,0.0
85,단기대여금의 감소,1691000000.0
86,장기대여금 및 장기수취채권의 감소,10972000000.0
87,비유동금융자산의 감소,0.0
88,유형자산의 처분,18741000000.0
89,무형자산의 처분,32000000.0
90,매각예정자산의 처분,0.0
91,사업양도,0.0
92,금융기관예치금의 증가,0.0
93,단기대여금의 증가,0.0
94,장기대여금 및 장기수취채권의 증가,7489000000.0
95,비유동금융자산의 증가,0.0
96,공동 및 관계기업 투자자산의 취득,0.0
97,기타의투자자산의 취득,-16000000.0
98,유형자산의 취득,255460000000.0
99,무형자산의 취득,1462000000.0
100,재무활동으로 인한 현금흐름,101365000000.0
101,차입금의 증가,277412000000.0
102,차입금의 상환,158032000000.0
103,배당금의 지급,18015000000.0
104,비지배지분의 취득,0.0
105,현금및현금성자산의 증감,9037000000.0
106,기초의 현금및현금성자산,125947000000.0
107,현금및현금성자산의 환율변동효과,-504000000.0
108,당기말의 현금및현금성자산,134480000000.0
109,기초자본,985580000000.0
110,기초자본,
111,기초자본,985580000000.0
112,기초자본,-8189000000.0
113,기초자본,-22578000000.0
114,기초자본,349881000000.0
115,기초자본,50000000000.0
116,기초자본,616466000000.0
117,회계정책변경에 따른 증가(감소),0.0
118,회계정책변경에 따른 증가(감소),0.0
119,당기순손익,-53127000000.0
120,당기순손익,
121,당기순손익,-53127000000.0
122,당기순손익,-53127000000.0
123,공동기업의 기타포괄손익에 대한 지분,96000000.0
124,공동기업의 기타포괄손익에 대한 지분,96000000.0
125,공동기업의 기타포괄손익에 대한 지분,96000000.0
126,해외사업장환산외환차이,3561000000.0
127,해외사업장환산외환차이,3561000000.0
128,해외사업장환산외환차이,3561000000.0
129,매도가능금융자산,0.0
130,매도가능금융자산,0.0
131,매도가능금융자산,
132,기타포괄손익-공정가치측정금융자산 평가손익,-5000000.0
133,기타포괄손익-공정가치측정금융자산 평가손익,-5000000.0
134,기타포괄손익-공정가치측정금융자산 평가손익,-5000000.0
135,현금흐름위험회피,0.0
136,현금흐름위험회피,0.0
137,현금흐름위험회피,
138,순확정급여부채의 재측정요소,-1343000000.0
