,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
125,111770,영원무역,37850,-500,-1.3,73902,2788033450,38100,38800,37200,1677189063800,0.11,44311468,11777576.0,26.58,126.0,2019-01-02
2510,111770,영원무역,35550,-2300,-6.1,159117,5822896006,38200,38700,35550,1575272687400,0.1,44311468,11799184.0,26.63,132.0,2019-01-03
4892,111770,영원무역,35350,-200,-0.6,125940,4445949650,36000,36100,34700,1566410393800,0.1,44311468,11810363.0,26.65,135.0,2019-01-04
7272,111770,영원무역,35650,300,0.8,79409,2832925300,36000,36150,35250,1579703834200,0.1,44311468,11810959.0,26.65,136.0,2019-01-07
9646,111770,영원무역,37550,1900,5.3,127837,4742523600,35850,37750,35850,1663895623400,0.11,44311468,11810488.0,26.65,131.0,2019-01-08
12020,111770,영원무역,39400,1850,4.9,209262,8247700045,37250,40200,37100,1745871839200,0.11,44311468,11827654.0,26.69,126.0,2019-01-09
14398,111770,영원무역,39450,50,0.1,127723,5034316250,38900,39800,38750,1748087412600,0.11,44311468,11789854.0,26.61,125.0,2019-01-10
16786,111770,영원무역,37250,-2200,-5.6,198573,7472465350,39000,39000,36950,1650602183000,0.1,44311468,11759316.0,26.54,134.0,2019-01-11
19166,111770,영원무역,36500,-750,-2.0,103354,3760947900,36850,37150,36050,1617368582000,0.1,44311468,11766732.0,26.55,135.0,2019-01-14
21546,111770,영원무역,36250,-250,-0.7,122256,4467489700,36850,37200,36050,1606290715000,0.1,44311468,11760522.0,26.54,136.0,2019-01-15
23927,111770,영원무역,35250,-1000,-2.8,154877,5498910850,36250,36450,35200,1561979247000,0.1,44311468,11789642.0,26.61,138.0,2019-01-16
26307,111770,영원무역,34700,-550,-1.6,183388,6388114950,35400,35800,34550,1537607939600,0.09,44311468,11824554.0,26.69,139.0,2019-01-17
28686,111770,영원무역,35450,750,2.2,77753,2739891750,34800,35550,34800,1570841540600,0.1,44311468,11831551.0,26.7,139.0,2019-01-18
31061,111770,영원무역,36650,1200,3.4,202301,7424842600,35600,37600,35400,1624015302200,0.1,44311468,11876069.0,26.8,135.0,2019-01-21
33441,111770,영원무역,35700,-950,-2.6,116094,4176599600,36850,36850,35600,1581919407600,0.1,44311468,11933773.0,26.93,136.0,2019-01-22
35820,111770,영원무역,36150,450,1.3,93630,3377862100,35650,36600,35650,1601859568200,0.1,44311468,11940697.0,26.95,136.0,2019-01-23
38202,111770,영원무역,35400,-750,-2.1,109856,3898102250,36100,36250,34500,1568625967200,0.09,44311468,11955936.0,26.98,139.0,2019-01-24
40584,111770,영원무역,35000,-400,-1.1,161432,5637621050,35400,35650,34700,1550901380000,0.09,44311468,11987029.0,27.05,142.0,2019-01-25
42961,111770,영원무역,35200,200,0.6,117698,4119851500,35350,35500,34750,1559763673600,0.09,44311468,12023639.0,27.13,139.0,2019-01-28
45345,111770,영원무역,34600,-600,-1.7,82011,2854451700,35000,35150,34550,1533176792800,0.09,44311468,12023383.0,27.13,143.0,2019-01-29
47725,111770,영원무역,34300,-300,-0.9,121693,4179266950,35000,35000,34050,1519883352400,0.09,44311468,12051934.0,27.2,144.0,2019-01-30
50105,111770,영원무역,34700,400,1.2,88279,3059320800,34650,34950,34300,1537607939600,0.09,44311468,12078774.0,27.26,144.0,2019-01-31
52486,111770,영원무역,34100,-600,-1.7,98832,3379514150,34700,34850,34000,1511021058800,0.09,44311468,12082527.0,27.27,145.0,2019-02-01
54868,111770,영원무역,34450,350,1.0,121184,4142943150,34100,34550,33700,1526530072600,0.09,44311468,12113108.0,27.34,146.0,2019-02-07
57247,111770,영원무역,34850,400,1.2,119033,4138868750,34550,35000,34350,1544254659800,0.09,44311468,12122249.0,27.36,144.0,2019-02-08
59629,111770,영원무역,34300,-550,-1.6,106218,3696107550,35200,35350,34200,1519883352400,0.09,44311468,12128050.0,27.37,145.0,2019-02-11
62010,111770,영원무역,34450,150,0.4,66738,2305187700,34300,34900,34150,1526530072600,0.09,44311468,12126713.0,27.37,144.0,2019-02-12
64387,111770,영원무역,36550,2100,6.1,205905,7425313200,34500,36750,34500,1619584155400,0.09,44311468,12167663.0,27.46,139.0,2019-02-13
66767,111770,영원무역,37250,700,1.9,162188,5957274700,36350,37300,35550,1650602183000,0.1,44311468,12154870.0,27.43,137.0,2019-02-14
69151,111770,영원무역,36450,-800,-2.2,77120,2834359000,36950,37250,36400,1615153008600,0.09,44311468,12149565.0,27.42,139.0,2019-02-15
71534,111770,영원무역,36800,350,1.0,82656,3041173500,36000,37100,35900,1630662022400,0.09,44311468,12148133.0,27.42,140.0,2019-02-18
73918,111770,영원무역,36050,-1250,-3.4,116244,4222036700,37300,37300,36050,1597428421400,0.09,44311468,12098798.0,27.3,142.0,2019-02-20
76299,111770,영원무역,36350,300,0.8,77258,2813873500,35850,36750,35850,1610721861800,0.09,44311468,12109627.0,27.33,141.0,2019-02-21
78683,111770,영원무역,35650,-700,-1.9,75612,2709468700,36150,36450,35600,1579703834200,0.09,44311468,12108391.0,27.33,143.0,2019-02-22
81066,111770,영원무역,36400,750,2.1,80414,2938300050,35850,36750,35850,1612937435200,0.09,44311468,12124142.0,27.36,144.0,2019-02-25
83448,111770,영원무역,35700,-700,-1.9,63328,2278534550,36150,36600,35650,1581919407600,0.09,44311468,12108473.0,27.33,144.0,2019-02-26
85832,111770,영원무역,35450,-250,-0.7,75492,2681334100,35700,36200,35150,1570841540600,0.09,44311468,12107073.0,27.32,146.0,2019-02-27
88213,111770,영원무역,35100,-350,-1.0,135855,4823086850,35450,35900,35100,1555332526800,0.09,44311468,12093811.0,27.29,146.0,2019-02-28
90592,111770,영원무역,36200,1100,3.1,160851,5785297600,35150,36600,35150,1604075141600,0.09,44311468,12122095.0,27.36,144.0,2019-03-04
92982,111770,영원무역,33550,-2650,-7.3,435959,14824015000,35750,35900,33300,1486649751400,0.09,44311468,11991882.0,27.06,154.0,2019-03-05
95364,111770,영원무역,33100,-450,-1.3,218369,7205120150,33550,33600,32550,1466709590800,0.09,44311468,11919230.0,26.9,155.0,2019-03-06
97742,111770,영원무역,33350,250,0.8,167964,5618129950,33200,33800,33150,1477787457800,0.09,44311468,11873016.0,26.79,152.0,2019-03-07
100135,111770,영원무역,31150,-2200,-6.6,463817,14656516550,33000,33250,30850,1380302228200,0.08,44311468,11659199.0,26.31,164.0,2019-03-08
102514,111770,영원무역,31400,250,0.8,201072,6268176850,31350,31700,30450,1391380095200,0.08,44311468,11630378.0,26.25,162.0,2019-03-11
104886,111770,영원무역,33150,1750,5.6,188229,6174447100,31600,33250,31600,1468925164200,0.09,44311468,11639276.0,26.27,153.0,2019-03-12
107269,111770,영원무역,32850,-300,-0.9,111319,3660757250,32850,33400,32350,1455631723800,0.09,44311468,11616261.0,26.22,155.0,2019-03-13
109648,111770,영원무역,33000,150,0.5,119119,3899903550,33200,33200,32400,1462278444000,0.09,44311468,11601290.0,26.18,153.0,2019-03-14
112028,111770,영원무역,34050,1050,3.2,214016,7227563650,33100,34150,33000,1508805485400,0.09,44311468,11616687.0,26.22,151.0,2019-03-15
114413,111770,영원무역,33650,-400,-1.2,90499,3046515500,34100,34100,33400,1491080898200,0.09,44311468,11584359.0,26.14,153.0,2019-03-18
116795,111770,영원무역,33750,100,0.3,89867,3040065950,33900,34250,33600,1495512045000,0.09,44311468,11607791.0,26.2,152.0,2019-03-19
119179,111770,영원무역,33450,-300,-0.9,99001,3278122350,33350,33500,32850,1482218604600,0.09,44311468,11621693.0,26.23,153.0,2019-03-20
121567,111770,영원무역,32550,-900,-2.7,133462,4367407800,33100,33600,32400,1442338283400,0.08,44311468,11618752.0,26.22,158.0,2019-03-21
123949,111770,영원무역,32100,-450,-1.4,91096,2938858500,32250,32700,32000,1422398122800,0.08,44311468,11643503.0,26.28,156.0,2019-03-22
126334,111770,영원무역,31750,-350,-1.1,81545,2596264850,31800,32650,31600,1406889109000,0.08,44311468,11668175.0,26.33,156.0,2019-03-25
128716,111770,영원무역,32500,750,2.4,92557,3015366100,31700,32900,31700,1440122710000,0.09,44311468,11652230.0,26.3,153.0,2019-03-26
131100,111770,영원무역,32750,250,0.8,96610,3186574600,32350,33750,32350,1451200577000,0.09,44311468,11677984.0,26.35,152.0,2019-03-27
133488,111770,영원무역,31850,-900,-2.8,79018,2540375450,32550,33000,31850,1411320255800,0.08,44311468,11680227.0,26.36,154.0,2019-03-28
135873,111770,영원무역,32600,750,2.4,92013,3003141200,32400,32800,32000,1444553856800,0.09,44311468,11699813.0,26.4,152.0,2019-03-29
138262,111770,영원무역,33250,650,2.0,88453,2955405400,32650,33700,32500,1473356311000,0.09,44311468,11705450.0,26.42,153.0,2019-04-01
140651,111770,영원무역,32100,-1150,-3.5,116773,3770977750,33050,33550,31900,1422398122800,0.08,44311468,11693043.0,26.39,154.0,2019-04-02
143038,111770,영원무역,33050,950,3.0,149760,4871862750,31750,33250,31550,1464494017400,0.09,44311468,11691473.0,26.38,153.0,2019-04-03
145421,111770,영원무역,34500,1450,4.4,220323,7521198850,33100,34750,33100,1528745646000,0.09,44311468,11677176.0,26.35,148.0,2019-04-04
147802,111770,영원무역,36150,1650,4.8,296726,10656716700,34350,36500,34300,1601859568200,0.09,44311468,11680910.0,26.36,141.0,2019-04-05
150194,111770,영원무역,36250,100,0.3,199566,7325824750,36150,37000,36000,1606290715000,0.09,44311468,11626946.0,26.24,145.0,2019-04-08
152581,111770,영원무역,36500,250,0.7,121737,4478486450,36650,37100,36200,1617368582000,0.09,44311468,11628985.0,26.24,144.0,2019-04-09
154968,111770,영원무역,36550,50,0.1,119158,4385711000,35750,37150,35750,1619584155400,0.09,44311468,11634528.0,26.26,143.0,2019-04-10
