,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
137,161890,한국콜마,70000,-500,-0.7,123832,8826158900,71400,72600,69800,1564268860000,0.1,22346698,8715375.0,39.0,138.0,2019-01-02
2513,161890,한국콜마,69600,-400,-0.6,91594,6469384900,71400,71500,69600,1555330180800,0.1,22346698,8710531.0,38.98,135.0,2019-01-03
4891,161890,한국콜마,70100,500,0.7,73843,5156368700,69700,70600,68400,1566503529800,0.1,22346698,8704407.0,38.95,134.0,2019-01-04
7271,161890,한국콜마,70900,800,1.1,50566,3611987900,71900,72400,70700,1584380888200,0.1,22346698,8702090.0,38.94,135.0,2019-01-07
9654,161890,한국콜마,68400,-2500,-3.5,103550,7152732700,71900,71900,68300,1528514143200,0.1,22346698,8691751.0,38.9,139.0,2019-01-08
12035,161890,한국콜마,68000,-400,-0.6,102147,6986979000,68800,69200,67700,1519575464000,0.1,22346698,8716414.0,39.01,141.0,2019-01-09
14414,161890,한국콜마,68100,100,0.2,78156,5311267900,68100,69000,67600,1521810133800,0.1,22346698,8709425.0,38.97,141.0,2019-01-10
16793,161890,한국콜마,67100,-1000,-1.5,79830,5405124600,68900,68900,67100,1499463435800,0.09,22346698,8698385.0,38.92,141.0,2019-01-11
19168,161890,한국콜마,69700,2600,3.9,121916,8413600600,67000,70000,66800,1557564850600,0.1,22346698,8721891.0,39.03,137.0,2019-01-14
21553,161890,한국콜마,68700,-1000,-1.4,105942,7304944400,69700,70200,68500,1535218152600,0.09,22346698,8695078.0,38.91,143.0,2019-01-15
23933,161890,한국콜마,67400,-1300,-1.9,96051,6516824500,69100,69200,67400,1506167445200,0.09,22346698,8673102.0,38.81,144.0,2019-01-16
26320,161890,한국콜마,64100,-3300,-4.9,183861,11939523500,67400,67900,63400,1432423341800,0.09,22346698,8650504.0,38.71,152.0,2019-01-17
28700,161890,한국콜마,63800,-300,-0.5,115902,7401404100,64500,65200,63300,1425719332400,0.09,22346698,8647866.0,38.7,153.0,2019-01-18
31078,161890,한국콜마,63500,-300,-0.5,75718,4818161600,64500,64500,63100,1419015323000,0.09,22346698,8647313.0,38.7,152.0,2019-01-21
33453,161890,한국콜마,64600,1100,1.7,108360,7006082100,64100,65400,63900,1443596690800,0.09,22346698,8652590.0,38.72,148.0,2019-01-22
35827,161890,한국콜마,68000,3400,5.3,245307,16465638400,64800,68200,64600,1519575464000,0.09,22346698,8654322.0,38.73,143.0,2019-01-23
