,account_nm,thstrm_amount
0,유동자산,426486066819.0
1,현금및현금성자산,218151835439.0
2,단기금융상품,111810000.0
3,매출채권,87693391071.0
4,기타수취채권,3895017915.0
5,기타금융자산,4180000.0
6,재고자산,103101051816.0
7,기타유동자산,13521126540.0
8,당기법인세자산,7654038.0
9,비유동자산,522186944580.0
10,장기금융상품,6500000.0
11,기타수취채권,1854629756.0
12,기타금융자산,82048389860.0
13,유형자산,326102011277.0
14,무형자산,11204957867.0
15,투자부동산,100963571542.0
16,관계기업투자,0.0
17,기타비유동자산,6884278.0
18,자산총계,948673011399.0
19,유동부채,268985326825.0
20,매입채무,28917194323.0
21,기타지급채무,69541353268.0
22,차입금,140231310603.0
23,반품충당부채,6968335834.0
24,기타유동부채,15767213789.0
25,당기법인세부채,7559919008.0
26,비유동부채,100324657525.0
27,기타지급채무,8580165485.0
28,차입금,69952904033.0
29,기타금융부채,0.0
30,순확정급여부채,16654322320.0
31,기타비유동부채,438469056.0
32,이연법인세부채,4698796631.0
33,부채총계,369309984350.0
34,지배기업 소유주지분,579363027049.0
35,자본금,42219340000.0
36,주식발행초과금,286468819553.0
37,자본조정,735579921.0
38,기타자본구성요소,148853338145.0
39,이익잉여금,102557109272.0
40,비지배지분,0.0
41,IV. 기말자본,579363027049.0
42,부채 및 자본총계,948673011399.0
43,매출,567433760856.0
44,매출원가,274137776947.0
45,매출총이익,293295983909.0
46,판매비와일반관리비,179846543793.0
47,경상연구개발비,74014068321.0
48,영업이익,39435371795.0
49,기타수익,5872865693.0
50,기타비용,25664641063.0
51,금융수익,15701427366.0
52,금융비용,9767677217.0
53,지분법이익(손실),-9503945212.0
54,법인세비용차감전순이익(손실),16073401362.0
55,법인세비용(수익),8064638074.0
56,계속영업순이익,8008763288.0
57,중단영업순이익,0.0
58,당기순이익(손실),8008763288.0
59,기타포괄손익,-7432889182.0
60,확정퇴직급여제도의 재측정요소,-5383470701.0
61,지분법이익잉여금변동,0.0
62,매도가능증권평가손익,-2012777314.0
63,매도가능증권평가손익,0.0
64,지분법자본변동,0.0
65,해외사업환산손익,-36641167.0
66,파생상품평가손익,0.0
67,총포괄이익(손실),575874106.0
68,지배기업의 소유주지분,8008763288.0
69,계속영업순이익,8008763288.0
70,중단영업순이익,0.0
71,비지배지분,0.0
72,계속영업순이익,0.0
73,중단영업순이익,0.0
74,당기순이익(손실) 합계,8008763288.0
75,지배기업 소유주지분,575874106.0
76,비지배지분,0.0
77,총포괄손익 합계,575874106.0
78,기본및희석주당손익,949.0
79,계속영업기본주당이익(손실),949.0
80,중단영업기본주당이익(손실),0.0
81,I. 영업활동으로 인한 현금흐름,50136460834.0
82,1. 당기순이익(손실),8008763288.0
83,2. 손익조정항목,63875177063.0
84,3. 자산ㆍ부채증감,-20203967410.0
85,4. 법인세의 납부,1543512107.0
86,II. 투자활동으로 인한 현금흐름,-44186242396.0
87,1. 투자활동으로 인한 현금유입액,27405508438.0
88,이자의 수취,3798144905.0
89,배당금의 수취,36611998.0
90,종업원대여금의 감소,585000000.0
91,매도가능증권의 처분,2306487950.0
92,단기금융상품의 감소,5000000000.0
93,장기금융상품의 감소,1010730000.0
94,유형자산의 처분,462013585.0
95,무형자산의 처분,25000000.0
96,보증금의 감소,268500000.0
97,미수금의 감소,13042080000.0
98,처분자산집단의 처분,0.0
99,종속기업의 처분으로 인한 현금유입,0.0
100,미지급금의 증가,870940000.0
101,2. 투자활동으로 인한 현금유출액,-71591750834.0
102,종업원대여금의 증가,0.0
103,단기금융상품의 취득,5004670000.0
104,매도가능증권의 취득,3694183070.0
105,만기보유금융증권의 취득,53773512606.0
106,유형자산의 취득,7736845957.0
107,무형자산의 취득,967539201.0
108,보증금의 증가,415000000.0
109,종속기업의 처분으로 인한 현금유출,0.0
110,III. 재무활동으로 인한 현금흐름,19237987185.0
111,1. 재무활동으로 인한 현금유입액,60000000000.0
112,단기차입금의 증가,10000000000.0
113,장기차입금의 증가,50000000000.0
114,사채의 증가,0.0
115,신주인수권의 행사,0.0
116,2. 재무활동으로 인한 현금유출액,-40762012815.0
117,이자의 지급,6507961101.0
118,배당금의 지급,4219195000.0
119,단기차입금의 상환,30013687913.0
120,유동성사채의 상환,0.0
121,유동성장기차입금의 상환,0.0
122,장기차입금의 상환,21168801.0
123,유동성신주인수권부사채의 상환,0.0
124,사채의 상환,0.0
125,IV. 현금및현금성자산의 증가,25188205623.0
126,V. 기초의 현금및현금성자산,191185017426.0
127,VI. 외화표시현금및현금성자산의 환율변동효과,1778612390.0
128,VII. 기말의 현금및현금성자산,218151835439.0
129,I. 기초자본,581193022370.0
130,I. 기초자본,0.0
131,I. 기초자본,581193022370.0
132,I. 기초자본,159433021810.0
133,I. 기초자본,93807420928.0
134,I. 기초자본,42219340000.0
135,I. 기초자본,-735579921.0
136,I. 기초자본,286468819553.0
137,K-IFRS 1109 최초 적용에 따른 조정,1813325573.0
138,K-IFRS 1109 최초 적용에 따른 조정,0.0
139,K-IFRS 1109 최초 적용에 따른 조정,1813325573.0
140,K-IFRS 1109 최초 적용에 따른 조정,-7059884177.0
141,K-IFRS 1109 최초 적용에 따른 조정,8873209750.0
142,K-IFRS 1109 최초 적용에 따른 조정,0.0
143,K-IFRS 1109 최초 적용에 따른 조정,0.0
144,K-IFRS 1109 최초 적용에 따른 조정,0.0
145,조정금액,583006347943.0
146,조정금액,0.0
147,조정금액,583006347943.0
148,조정금액,152373137633.0
149,조정금액,102680630678.0
150,조정금액,42219340000.0
151,조정금액,-735579921.0
152,조정금액,286468819553.0
153,당기순이익(손실),8008763288.0
154,당기순이익(손실),0.0
155,당기순이익(손실),8008763288.0
156,당기순이익(손실),0.0
157,당기순이익(손실),8008763288.0
158,당기순이익(손실),0.0
159,당기순이익(손실),0.0
160,당기순이익(손실),0.0
161,매도가능증권평가손익,-2012777314.0
162,매도가능증권평가손익,0.0
163,매도가능증권평가손익,-2012777314.0
164,매도가능증권평가손익,-3483158321.0
165,매도가능증권평가손익,1470381007.0
166,매도가능증권평가손익,0.0
167,매도가능증권평가손익,0.0
168,매도가능증권평가손익,0.0
169,확정퇴직급여제도의 재측정요소,-5383470701.0
170,확정퇴직급여제도의 재측정요소,0.0
171,확정퇴직급여제도의 재측정요소,-5383470701.0
172,확정퇴직급여제도의 재측정요소,0.0
173,확정퇴직급여제도의 재측정요소,-5383470701.0
174,확정퇴직급여제도의 재측정요소,0.0
175,확정퇴직급여제도의 재측정요소,0.0
176,확정퇴직급여제도의 재측정요소,0.0
177,파생상품평가손익,0.0
178,파생상품평가손익,0.0
179,파생상품평가손익,0.0
180,파생상품평가손익,0.0
181,파생상품평가손익,0.0
182,파생상품평가손익,0.0
183,파생상품평가손익,0.0
184,파생상품평가손익,0.0
185,해외사업환산손익,-36641167.0
186,해외사업환산손익,0.0
187,해외사업환산손익,-36641167.0
188,해외사업환산손익,-36641167.0
189,해외사업환산손익,0.0
190,해외사업환산손익,0.0
191,해외사업환산손익,0.0
192,해외사업환산손익,0.0
193,재평가잉여금,0.0
194,재평가잉여금,0.0
195,재평가잉여금,0.0
196,재평가잉여금,0.0
197,재평가잉여금,0.0
