,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
154,204320,만도,28850,-100,-0.4,246212,7115304000,29050,29250,28600,1354712912000,0.09,46957120,12154148.0,25.88,155.0,2019-01-02
2529,204320,만도,29350,500,1.7,320378,9394432850,28850,29750,28350,1378191472000,0.09,46957120,12126255.0,25.82,151.0,2019-01-03
4911,204320,만도,29700,350,1.2,360790,10683266800,29100,30150,28900,1394626464000,0.09,46957120,12052996.0,25.67,154.0,2019-01-04
7290,204320,만도,29800,100,0.3,430204,12669511650,29950,30350,28750,1399322176000,0.09,46957120,12026205.0,25.61,154.0,2019-01-07
9674,204320,만도,27300,-2500,-8.4,1139022,31735634250,29400,29550,27100,1281929376000,0.08,46957120,11739330.0,25.0,159.0,2019-01-08
12049,204320,만도,29600,2300,8.4,1300472,37812748850,27650,30100,27650,1389930752000,0.09,46957120,12108841.0,25.79,155.0,2019-01-09
14428,204320,만도,29900,300,1.0,610011,17935571750,29650,30250,28300,1404017888000,0.09,46957120,12092439.0,25.75,155.0,2019-01-10
16808,204320,만도,29450,-450,-1.5,174309,5177334050,29900,30150,29300,1382887184000,0.09,46957120,12054977.0,25.67,156.0,2019-01-11
19184,204320,만도,29850,400,1.4,258012,7606475700,28900,30100,28900,1401670032000,0.09,46957120,12062064.0,25.69,153.0,2019-01-14
21557,204320,만도,31550,1700,5.7,930104,29244528500,29850,32000,29850,1481497136000,0.09,46957120,12040827.0,25.64,147.0,2019-01-15
23935,204320,만도,31600,50,0.2,403685,12777697600,31850,32150,31250,1483844992000,0.09,46957120,11889870.0,25.32,146.0,2019-01-16
26317,204320,만도,31000,-600,-1.9,571156,17589515200,31500,31550,30200,1455670720000,0.09,46957120,11812394.0,25.16,149.0,2019-01-17
28689,204320,만도,32950,1950,6.3,929475,30313029300,31300,33000,31100,1547237104000,0.09,46957120,11746750.0,25.02,142.0,2019-01-18
31068,204320,만도,32600,-350,-1.1,992662,33129846600,33200,34400,32450,1530802112000,0.09,46957120,11546781.0,24.59,142.0,2019-01-21
