,account_nm,thstrm_amount
0,유동자산,782267638560
1,현금및현금성자산,144220731464
2,매출채권및기타채권,377764164991
3,당기손익-공정가치측정금융자산(유동),0
4,기타금융자산(유동),17025339359
5,재고자산,177283976040
6,기타유동자산,65973426706
7,비유동자산,2488591966919
8,매출채권및기타채권(비유동),33349680401
9,매도가능금융자산,0
10,기타포괄손익-공정가치측정금융자산,13393993241
11,당기손익-공정가치측정금융자산(비유동),4452446334
12,기타금융자산(비유동),34084133324
13,투자부동산,24276565371
14,유형자산,2052109075114
15,무형자산,174816330085
16,사용권자산,143853450545
17,이연법인세자산,8248779556
18,기타비유동자산,7512948
19,자산총계,3270859605479
20,유동부채,1358865967806
21,단기차입금,514416775055
22,매입채무및기타채무,275266356527
23,당기법인세부채,12619692381
24,유동리스부채,17591562453
25,유동충당부채,4182261174
26,기타금융부채(유동),116155182681
27,기타유동부채,418634137535
28,비유동부채,878797581118
29,장기차입금,511657768224
30,비유동리스부채,127871330486
31,기타금융부채(비유동),60955767444
32,확정급여부채,148288170072
33,이연법인세부채,29214486597
34,기타비유동부채,810058295
35,부채총계,2237663548924
36,지배기업 소유주지분,1032529119634
37,자본금,368842230000
38,보통주자본금,363168055000
39,우선주자본금,5674175000
40,자본잉여금,509299320749
41,자기주식,76799811874
42,기타자본,-7724715518
43,이익잉여금,238912096277
44,이익준비금,80575000000
45,임의적립금,0
46,미처분이익잉여금(미처리결손금),158337096277
47,비지배지분,666936921
48,자본총계,1033196056555
49,자본과부채총계,3270859605479
50,수익(매출액),2035063966997
51,매출원가,1163221150681
52,매출총이익,871842816316
53,판매비와관리비,783596252697
54,영업이익,88246563619
55,기타수익,12951467537
56,기타비용,56643936970
57,금융수익,3150840999
58,금융비용,47254893947
59,법인세비용차감전순이익,450041238
60,법인세비용,42844992548
61,당기순이익,-42394951310
62,기타포괄손익,-31103234553
63,당기손익으로 재분류되는 세후기타포괄손익,5023340182
64,매도가능금융자산평가손익,0
65,해외사업장 환산외환차이,5023340182
66,당기손익으로 재분류되지 않는 세후기타포괄손익,-36126574735
67,기타포괄손익-공정가치측정금융자산평가손익,3195119309
68,확정급여제도의 보험수리적손익의 세후기타포괄손익,-39321694044
69,총포괄이익,-73498185863
70,지배기업의 소유주지분,-42348598330
71,비지배지분,-46352980
72,지배기업의 소유주지분,-73536152231
73,비지배지분,37966368
74,기본 및 희석주당이익,-610
75,영업활동현금흐름,28251765918
76,당기순이익(손실),-42394951310
77,당기순이익조정을 위한 가감,333049372921
78,외화환산이익,484357570
79,외화환산손실,616078987
80,대손상각비(대손충당금환입),12968091469
81,기타의 대손상각비,790323371
82,재고자산폐기손실,2548626301
83,재고자산평가손실,9911677772
84,매도가능금융자산처분손실,0
85,당기손익-공정가치측정금융자산평가이익,-123987006
86,당기손익-공정가치측정금융자산평가손실,183886770
87,감가상각비(투자부동산),122246182
88,감가상각비,121879996549
89,유형자산처분이익,2585848267
90,유형자산처분손실,22432186719
91,유형자산손상차손,13299717297
92,무형자산상각비,10393916600
93,무형자산처분이익,734409817
94,무형자산처분손실,169233600
95,무형자산손상차손,2366747286
96,감가상각비(사용권자산),15578355115
97,매각예정비유동자산처분손실,0
98,리스조정이익,-3465522
99,퇴직급여,31548344863
100,충당부채전입액,4182261174
101,이자수익,1549766945
102,배당금수익,-235932403
103,이자비용,46271030212
104,매도가능금융자산처분이익,0
105,파생상품거래이익,0
106,파생상품평가이익,0
107,파생상품거래손실,290684932
108,파생상품평가손실,368742704
109,법인세비용,42844992548
110,영업활동으로인한자산ㆍ부채의변동,-200555480360
111,매출채권의 감소(증가),77170110794
112,기타채권의 감소(증가),-119027004
113,기타금융자산의 감소(증가),-31744813
114,기타유동자산의 감소(증가),-22910748229
115,재고자산의 감소(증가),-22051663011
116,기타비유동자산의 감소(증가),56365792
117,매입채무의 증가(감소),24596436028
118,기타채무의 증가(감소),29944107727
119,기타금융부채(유동)의 증가(감소),463144541
120,기타유동부채의 증가(감소),-252867672330
121,기타금융부채의(비유동) 증가(감소),18090209937
122,기타비유동부채의 증가(감소),159998044
123,퇴직금의 지급,-19860836654
124,퇴직급여채무의 증가(감소),-768866245
125,사외적립자산의 감소(증가),-32425294937
126,이자의수령,1865979175
127,이자의지급,39497838793
128,배당금의수령,235932403
129,법인세의납부(환급),24451248118
130,투자활동현금흐름,-66014569715
131,기타채무의 증가(감소)(유형자산취득),643650591
132,기타채권의 감소(증가)(유형자산매각),367410782
133,기타금융자산(유동)의 증가,1106872298
134,기타금융자산(유동)의 감소,3942627087
135,당기손익-공정가치측정금융상품(유동)의 취득,-76429712351
136,당기손익-공정가치측정금융상품(유동)의 처분,166748498015
137,매도가능금융자산의 감소,0
138,매도가능금융자산의 증가,0
139,기타포괄손익-공정가치측정금융상품의 처분,92990000
140,기타포괄손익-공정가치측정금융상품의 취득,-4963930321
141,당기손익-공정가치측정금융상품(비유동)의 취득,0
142,기타금융자산(비유동)의 증가,5645674473
143,기타금융자산(비유동)의 감소,5745076547
144,유형자산의 처분,5251190398
145,유형자산의 취득,160704038255
146,무형자산의 처분,1949090907
147,무형자산의 취득,1904876344
148,매각예정비유동자산의 처분,0
149,재무활동현금흐름,-111620823316
150,차입금(단기)의 차입(상환),-348142452269
151,장기차입금(사채)의 차입,308694260000
152,배당금지급,55684303650
153,리스부채의 지급,16488338902
154,연결범위의 변동(비지배지분),11505
155,환율변동효과 반영전 현금및현금성자산의 순증가(감소),-149383627113
156,외화표시 현금및현금성자산에 대한 환율변동효과,2635953956
157,현금및현금성자산의순증가(감소),-146747673157
158,기초현금및현금성자산,290968404621
159,기말현금및현금성자산,144220731464
160,기초자본,1162378534563
161,기초자본,628959048
162,기초자본,1161749575515
163,기초자본,-15858855661
164,기초자본,101280692301
165,기초자본,-76799811874
166,기초자본,368842230000
167,기초자본,709299320749
168,기초자본,74986000000
169,회계정책변경누적효과,0
170,회계정책변경누적효과,0
171,회계정책변경누적효과,0
172,회계정책변경누적효과,0
173,회계정책변경누적효과,0
174,회계정책변경누적효과,0
175,회계정책변경누적효과,0
176,회계정책변경누적효과,0
177,회계정책변경누적효과,0
178,당기순이익,-42394951310
179,당기순이익,-46352980
180,당기순이익,-42348598330
181,당기순이익,0
182,당기순이익,-42348598330
183,당기순이익,0
184,당기순이익,0
185,당기순이익,0
186,당기순이익,0
187,기타포괄손익,0
188,매도금융자산평가손익,0
189,매도금융자산평가손익,0
190,매도금융자산평가손익,0
191,매도금융자산평가손익,0
192,매도금융자산평가손익,0
193,매도금융자산평가손익,0
194,매도금융자산평가손익,0
195,매도금융자산평가손익,0
196,매도금융자산평가손익,0
197,해외사업장 환산외환차이,5023340182
198,해외사업장 환산외환차이,84319348
199,해외사업장 환산외환차이,4939020834
200,해외사업장 환산외환차이,4939020834
201,해외사업장 환산외환차이,0
202,해외사업장 환산외환차이,0
203,해외사업장 환산외환차이,0
204,해외사업장 환산외환차이,0
205,해외사업장 환산외환차이,0
206,순확정급여부채의 재측정요소,-39321694044
207,순확정급여부채의 재측정요소,0
208,순확정급여부채의 재측정요소,-39321694044
209,순확정급여부채의 재측정요소,0
210,순확정급여부채의 재측정요소,-39321694044
211,순확정급여부채의 재측정요소,0
212,순확정급여부채의 재측정요소,0
213,순확정급여부채의 재측정요소,0
214,순확정급여부채의 재측정요소,0
215,기타포괄손익-공정가치측정금융자산평가손익,3195119309
216,기타포괄손익-공정가치측정금융자산평가손익,0
217,기타포괄손익-공정가치측정금융자산평가손익,3195119309
218,기타포괄손익-공정가치측정금융자산평가손익,3195119309
219,기타포괄손익-공정가치측정금융자산평가손익,0
220,기타포괄손익-공정가치측정금융자산평가손익,0
221,기타포괄손익-공정가치측정금융자산평가손익,0
222,기타포괄손익-공정가치측정금융자산평가손익,0
223,기타포괄손익-공정가치측정금융자산평가손익,0
224,연차배당,55684303650
225,연차배당,0
226,연차배당,55684303650
227,연차배당,0
228,연차배당,55684303650
229,연차배당,0
230,연차배당,0
231,연차배당,0
232,연차배당,0
233,적립금의 적립,0
234,적립금의 적립,0
235,적립금의 적립,0
236,적립금의 적립,0
237,적립금의 적립,-5589000000
238,적립금의 적립,0
239,적립금의 적립,0
240,적립금의 적립,0
241,적립금의 적립,5589000000
242,자본잉여금의 이입,0
243,자본잉여금의 이입,0
244,자본잉여금의 이입,0
245,자본잉여금의 이입,0
246,자본잉여금의 이입,200000000000
247,자본잉여금의 이입,0
248,자본잉여금의 이입,0
249,자본잉여금의 이입,-200000000000
250,자본잉여금의 이입,0
251,연결대상범위의 변동,0
252,연결대상범위의 변동,0
253,연결대상범위의 변동,0
254,연결대상범위의 변동,0
255,연결대상범위의 변동,0
256,연결대상범위의 변동,0
257,연결대상범위의 변동,0
258,연결대상범위의 변동,0
259,연결대상범위의 변동,0
260,비지배지분의 변동,11505
261,비지배지분의 변동,11505
262,비지배지분의 변동,0
263,비지배지분의 변동,0
264,비지배지분의 변동,0
265,비지배지분의 변동,0
266,비지배지분의 변동,0
267,비지배지분의 변동,0
268,비지배지분의 변동,0
269,자본 증가(감소) 합계,-129182478008
270,자본 증가(감소) 합계,37977873
271,자본 증가(감소) 합계,-129220455881
272,자본 증가(감소) 합계,8134140143
273,자본 증가(감소) 합계,57056403976
274,자본 증가(감소) 합계,0
275,자본 증가(감소) 합계,0
276,자본 증가(감소) 합계,-200000000000
277,자본 증가(감소) 합계,5589000000
278,기말자본,1033196056555
279,기말자본,666936921
280,기말자본,1032529119634
281,기말자본,-7724715518
282,기말자본,158337096277
283,기말자본,-76799811874
284,기말자본,368842230000
285,기말자본,509299320749
286,기말자본,80575000000
