,account_nm,thstrm_amount
0,유동자산,1116950744221.0
1,현금및현금성자산,274215080262.0
2,단기금융상품,15311509152.0
3,단기투자자산,119329668011.0
4,매출채권,397149391682.0
5,미수금,20676096319.0
6,단기대여금,200282249.0
7,재고자산,186909878134.0
8,선급금,29281540995.0
9,선급비용,1559528825.0
10,보증금,6096203452.0
11,기타유동자산,9519815598.0
12,매각예정비유동자산,56701749542.0
13,비유동자산,1000249513979.0
14,장기금융상품,27000000.0
15,장기투자자산,157952374839.0
16,관계기업투자 및 공동기업투자,407107995678.0
17,유형자산,327499212721.0
18,투자부동산,47835378426.0
19,무형자산,28730704635.0
20,장기보증금,12632701012.0
21,기타비유동자산,9205081422.0
22,기타비유동금융자산,104900000.0
23,이연법인세자산,9154165246.0
24,자산총계,2117200258200.0
25,유동부채,352226653761.0
26,매입채무,110799419655.0
27,미지급금,29114187957.0
28,미지급비용,12261638475.0
29,미지급법인세,5420905531.0
30,예수금,29548613862.0
31,예수보증금,8268470000.0
32,단기차입금,15000000000.0
33,선수금,93696289324.0
34,유동반품충당부채,19098111489.0
35,유동성장기부채,24016666665.0
36,기타유동부채,2199369149.0
37,기타유동금융부채,2802981654.0
38,비유동부채,114982232915.0
39,순확정급여부채,11869980431.0
40,반품충당부채,2128304338.0
41,기타충당부채,12218028628.0
42,이연법인세부채,38331637332.0
43,장기예수보증금,778500000.0
44,장기차입금,44250000000.0
45,기타비유동금융부채,5405782186.0
46,부채총계,467208886676.0
47,자본금,65066515000.0
48,보통주자본금,63885575000.0
49,우선주자본금,1180940000.0
50,기타불입자본,-61632694302.0
51,이익잉여금,1545396193247.0
52,기타자본구성요소,97433091635.0
53,비지배지분,3728265944.0
54,자본총계,1649991371524.0
55,부채및자본총계,2117200258200.0
56,매출액,1480353606936.0
57,매출원가,1049502433306.0
58,매출총이익,430851173630.0
59,판매비와관리비,321415785699.0
60,연구개발비,96899628640.0
61,영업이익,12535759291.0
62,기타수익,19175181921.0
63,기타비용,35499348153.0
64,금융수익,17237836653.0
65,금융비용,5559537807.0
66,지분법투자손익,47029741164.0
67,법인세비용차감전순이익,54919633069.0
68,법인세비용,18307307298.0
