,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
258,000640,동아쏘시오홀딩스,108000,-1000,-0.9,7252,780693500,108000,109500,106500,662935752000,0.04,6138294,1042574.0,16.98,259.0,2019-01-02
2646,000640,동아쏘시오홀딩스,104000,-4000,-3.7,10960,1149557000,108000,109000,103000,638382576000,0.04,6138294,1044355.0,17.01,268.0,2019-01-03
5022,000640,동아쏘시오홀딩스,106000,2000,1.9,11300,1203248000,103000,108500,103000,650659164000,0.04,6138294,1042142.0,16.98,265.0,2019-01-04
7400,000640,동아쏘시오홀딩스,109500,3500,3.3,8644,949159500,107500,111000,107000,672143193000,0.04,6138294,1043653.0,17.0,264.0,2019-01-07
9780,000640,동아쏘시오홀딩스,108500,-1000,-0.9,7066,770994500,110000,110500,107500,666004899000,0.04,6138294,1045533.0,17.03,265.0,2019-01-08
12158,000640,동아쏘시오홀딩스,111000,2500,2.3,12078,1350814500,108500,113000,108500,681350634000,0.04,6138294,1049341.0,17.09,264.0,2019-01-09
14540,000640,동아쏘시오홀딩스,109000,-2000,-1.8,7622,838396500,109500,111500,109000,669074046000,0.04,6138294,1051251.0,17.13,267.0,2019-01-10
16921,000640,동아쏘시오홀딩스,108000,-1000,-0.9,10898,1189874000,108500,111000,106500,662935752000,0.04,6138294,1052371.0,17.14,269.0,2019-01-11
19298,000640,동아쏘시오홀딩스,107500,-500,-0.5,5969,646866500,107500,109500,107500,659866605000,0.04,6138294,1053548.0,17.16,267.0,2019-01-14
21684,000640,동아쏘시오홀딩스,104500,-3000,-2.8,10107,1074982000,109000,109000,104500,641451723000,0.04,6138294,1052674.0,17.15,274.0,2019-01-15
24064,000640,동아쏘시오홀딩스,104000,-500,-0.5,9827,1026942000,104500,106000,104000,638382576000,0.04,6138294,1053615.0,17.16,275.0,2019-01-16
26440,000640,동아쏘시오홀딩스,106000,2000,1.9,9176,974663000,103500,107500,103500,650659164000,0.04,6138294,1053327.0,17.16,272.0,2019-01-17
28815,000640,동아쏘시오홀딩스,108500,2500,2.4,4706,509322000,107000,109000,106000,666004899000,0.04,6138294,1052708.0,17.15,268.0,2019-01-18
31200,000640,동아쏘시오홀딩스,105000,-3500,-3.2,5816,617919000,108500,108500,105000,644520870000,0.04,6138294,1051000.0,17.12,274.0,2019-01-21
33574,000640,동아쏘시오홀딩스,106500,1500,1.4,7902,844035000,104500,108000,104500,653728311000,0.04,6138294,1050019.0,17.11,269.0,2019-01-22
35953,000640,동아쏘시오홀딩스,107500,1000,0.9,6399,689023500,106500,108500,106500,659866605000,0.04,6138294,1048412.0,17.08,269.0,2019-01-23
38338,000640,동아쏘시오홀딩스,105000,-2500,-2.3,9878,1041453500,106500,108500,104500,644520870000,0.04,6138294,1047625.0,17.07,275.0,2019-01-24
40721,000640,동아쏘시오홀딩스,104500,-500,-0.5,9144,961189500,104000,106500,103500,641451723000,0.04,6138294,1046210.0,17.04,279.0,2019-01-25
43100,000640,동아쏘시오홀딩스,106000,1500,1.4,7635,805635500,104500,106500,104000,650659164000,0.04,6138294,1046474.0,17.05,278.0,2019-01-28
45482,000640,동아쏘시오홀딩스,103500,-2500,-2.4,6360,659118000,105000,105500,102500,635313429000,0.04,6138294,1045122.0,17.03,280.0,2019-01-29
47862,000640,동아쏘시오홀딩스,104000,500,0.5,4838,502671000,104500,105000,103000,638382576000,0.04,6138294,1044848.0,17.02,281.0,2019-01-30
50241,000640,동아쏘시오홀딩스,105000,1000,1.0,11992,1257074000,105000,106000,103500,644520870000,0.04,6138294,1044656.0,17.02,280.0,2019-01-31
52627,000640,동아쏘시오홀딩스,102500,-2500,-2.4,7413,766569500,104000,105000,102500,629175135000,0.04,6138294,1043989.0,17.01,286.0,2019-02-01
55013,000640,동아쏘시오홀딩스,102000,-500,-0.5,6820,698211000,104000,104000,101500,626105988000,0.04,6138294,1045313.0,17.03,291.0,2019-02-07
57391,000640,동아쏘시오홀딩스,102500,500,0.5,3998,409747500,102500,103500,101500,629175135000,0.04,6138294,1045845.0,17.04,288.0,2019-02-08
59768,000640,동아쏘시오홀딩스,105000,2500,2.4,9423,991251500,103500,106500,103000,644520870000,0.04,6138294,1047946.0,17.07,284.0,2019-02-11
62152,000640,동아쏘시오홀딩스,104500,-500,-0.5,8158,858391500,105500,106500,103000,641451723000,0.04,6138294,1047781.0,17.07,286.0,2019-02-12
64532,000640,동아쏘시오홀딩스,106000,1500,1.4,9916,1052892500,104500,107000,104000,650659164000,0.04,6138294,1046832.0,17.05,284.0,2019-02-13
66912,000640,동아쏘시오홀딩스,108500,2500,2.4,12272,1308545500,105000,108500,104500,666004899000,0.04,6138294,1043616.0,17.0,282.0,2019-02-14
69298,000640,동아쏘시오홀딩스,106000,-2500,-2.3,4711,502785000,106500,108500,105500,650659164000,0.04,6138294,1042802.0,16.99,286.0,2019-02-15
71688,000640,동아쏘시오홀딩스,104500,-1500,-1.4,12420,1304267000,106000,108000,103500,641451723000,0.04,6138294,1044222.0,17.01,294.0,2019-02-18
74070,000640,동아쏘시오홀딩스,106500,0,0.0,6747,719404000,106500,107500,105000,653728311000,0.04,6138294,1048543.0,17.08,294.0,2019-02-20
76452,000640,동아쏘시오홀딩스,105000,-1500,-1.4,8749,927752000,106500,107000,105000,644520870000,0.04,6138294,1049080.0,17.09,294.0,2019-02-21
78829,000640,동아쏘시오홀딩스,108500,3500,3.3,10744,1167358000,106000,110500,106000,666004899000,0.04,6138294,1050366.0,17.11,289.0,2019-02-22
81212,000640,동아쏘시오홀딩스,108000,-500,-0.5,4870,528411500,108500,110000,107500,662935752000,0.04,6138294,1049528.0,17.1,290.0,2019-02-25
83600,000640,동아쏘시오홀딩스,106500,-1500,-1.4,5984,639679000,107000,108500,106000,653728311000,0.04,6138294,1063776.0,17.33,296.0,2019-02-26
85979,000640,동아쏘시오홀딩스,108000,1500,1.4,7123,766074000,106000,109000,106000,662935752000,0.04,6138294,1062043.0,17.3,293.0,2019-02-27
88353,000640,동아쏘시오홀딩스,108000,0,0.0,18186,1994964500,108500,111000,107000,662935752000,0.04,6138294,1057135.0,17.22,286.0,2019-02-28
90734,000640,동아쏘시오홀딩스,112000,4000,3.7,14769,1650033500,108000,113000,108000,687488928000,0.04,6138294,1062944.0,17.32,286.0,2019-03-04
93111,000640,동아쏘시오홀딩스,113000,1000,0.9,11718,1314204000,111000,113500,110000,693627222000,0.04,6138294,1064234.0,17.34,283.0,2019-03-05
95489,000640,동아쏘시오홀딩스,112000,-1000,-0.9,7209,813024500,113500,113500,111000,687488928000,0.04,6138294,1072416.0,17.47,280.0,2019-03-06
97871,000640,동아쏘시오홀딩스,111000,-1000,-0.9,7931,885021000,113500,113500,110000,681350634000,0.04,6138294,1072294.0,17.47,281.0,2019-03-07
100251,000640,동아쏘시오홀딩스,111000,0,0.0,11206,1252076500,110500,114000,109000,681350634000,0.04,6138294,1073361.0,17.49,280.0,2019-03-08
102631,000640,동아쏘시오홀딩스,111500,500,0.4,8847,981326500,110500,112500,109500,684419781000,0.04,6138294,1074621.0,17.51,279.0,2019-03-11
105021,000640,동아쏘시오홀딩스,110000,-1500,-1.4,8907,985503500,112000,112500,109500,675212340000,0.04,6138294,1076882.0,17.54,288.0,2019-03-12
107402,000640,동아쏘시오홀딩스,111000,1000,0.9,11683,1288400000,112500,112500,108500,681350634000,0.04,6138294,1080985.0,17.61,288.0,2019-03-13
109784,000640,동아쏘시오홀딩스,111000,0,0.0,12834,1415487000,112000,112000,109000,681350634000,0.04,6138294,1083068.0,17.64,289.0,2019-03-14
112165,000640,동아쏘시오홀딩스,111000,0,0.0,7163,798161500,110500,112500,110000,681350634000,0.04,6138294,1083339.0,17.65,288.0,2019-03-15
114548,000640,동아쏘시오홀딩스,111000,0,0.0,3672,409106000,111000,112000,110500,681350634000,0.04,6138294,1078741.0,17.57,288.0,2019-03-18
116923,000640,동아쏘시오홀딩스,112000,1000,0.9,18347,2069007000,111000,115000,111000,687488928000,0.04,6138294,1078411.0,17.57,280.0,2019-03-19
119308,000640,동아쏘시오홀딩스,113000,1000,0.9,8288,933941000,112000,113500,111000,693627222000,0.04,6138294,1076892.0,17.54,282.0,2019-03-20
