,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
153,000670,영풍,736000,-9000,-1.2,603,442051000,739000,744000,727000,1355741440000,0.09,1842040,59265.0,3.22,154.0,2019-01-02
2533,000670,영풍,739000,3000,0.4,958,704930000,726000,750000,723000,1361267560000,0.09,1842040,60275.0,3.27,155.0,2019-01-03
4913,000670,영풍,737000,-2000,-0.3,1034,769733000,742000,754000,730000,1357583480000,0.09,1842040,60719.0,3.3,156.0,2019-01-04
7293,000670,영풍,740000,3000,0.4,1312,976635000,743000,754000,733000,1363109600000,0.09,1842040,60748.0,3.3,157.0,2019-01-07
9669,000670,영풍,751000,11000,1.5,932,703672000,757000,758000,748000,1383372040000,0.09,1842040,60949.0,3.31,154.0,2019-01-08
12051,000670,영풍,743000,-8000,-1.1,945,713777000,761000,762000,743000,1368635720000,0.09,1842040,61153.0,3.32,157.0,2019-01-09
14430,000670,영풍,739000,-4000,-0.5,874,648999000,744000,754000,737000,1361267560000,0.09,1842040,61366.0,3.33,157.0,2019-01-10
16810,000670,영풍,735000,-4000,-0.5,911,670577000,753000,753000,731000,1353899400000,0.08,1842040,61615.0,3.34,158.0,2019-01-11
19189,000670,영풍,720000,-15000,-2.0,969,702642000,733000,740000,720000,1326268800000,0.08,1842040,61580.0,3.34,158.0,2019-01-14
21568,000670,영풍,723000,3000,0.4,1470,1078240000,726000,747000,722000,1331794920000,0.08,1842040,62011.0,3.37,158.0,2019-01-15
23947,000670,영풍,716000,-7000,-1.0,915,656576000,720000,733000,712000,1318900640000,0.08,1842040,61883.0,3.36,158.0,2019-01-16
26325,000670,영풍,736000,20000,2.8,1476,1079354000,721000,743000,714000,1355741440000,0.08,1842040,62019.0,3.37,157.0,2019-01-17
28704,000670,영풍,729000,-7000,-1.0,585,427408000,744000,744000,725000,1342847160000,0.08,1842040,62129.0,3.37,157.0,2019-01-18
31083,000670,영풍,735000,6000,0.8,591,434509000,739000,744000,726000,1353899400000,0.08,1842040,62082.0,3.37,157.0,2019-01-21
33464,000670,영풍,732000,-3000,-0.4,493,363365000,735000,744000,728000,1348373280000,0.08,1842040,62037.0,3.37,159.0,2019-01-22
35840,000670,영풍,756000,24000,3.3,1993,1497614000,738000,763000,734000,1392582240000,0.08,1842040,61944.0,3.36,156.0,2019-01-23
38223,000670,영풍,735000,-21000,-2.8,1215,900496000,756000,757000,734000,1353899400000,0.08,1842040,62054.0,3.37,160.0,2019-01-24
40598,000670,영풍,754000,19000,2.6,2026,1515540000,730000,762000,729000,1388898160000,0.08,1842040,61774.0,3.35,156.0,2019-01-25
42980,000670,영풍,741000,-13000,-1.7,742,554144000,755000,762000,741000,1364951640000,0.08,1842040,61679.0,3.35,158.0,2019-01-28
45361,000670,영풍,735000,-6000,-0.8,678,498646000,733000,748000,733000,1353899400000,0.08,1842040,61781.0,3.35,159.0,2019-01-29
47741,000670,영풍,748000,13000,1.8,828,617208000,744000,753000,733000,1377845920000,0.08,1842040,61735.0,3.35,160.0,2019-01-30
50119,000670,영풍,768000,20000,2.7,1416,1077302000,758000,768000,742000,1414686720000,0.08,1842040,61946.0,3.36,158.0,2019-01-31
52499,000670,영풍,763000,-5000,-0.6,780,599025000,768000,774000,760000,1405476520000,0.08,1842040,62081.0,3.37,158.0,2019-02-01
54881,000670,영풍,761000,-2000,-0.3,880,665524000,773000,773000,748000,1401792440000,0.08,1842040,61895.0,3.36,159.0,2019-02-07
57262,000670,영풍,760000,-1000,-0.1,728,552723000,769000,769000,753000,1399950400000,0.08,1842040,61706.0,3.35,159.0,2019-02-08
59642,000670,영풍,757000,-3000,-0.4,831,628653000,767000,767000,747000,1394424280000,0.08,1842040,61636.0,3.35,158.0,2019-02-11
62024,000670,영풍,752000,-5000,-0.7,606,456520000,749000,762000,748000,1385214080000,0.08,1842040,61631.0,3.35,158.0,2019-02-12
64406,000670,영풍,757000,5000,0.7,787,596934000,750000,765000,748000,1394424280000,0.08,1842040,61607.0,3.34,158.0,2019-02-13
66787,000670,영풍,778000,21000,2.8,1751,1318540000,752000,778000,738000,1433107120000,0.08,1842040,61414.0,3.33,157.0,2019-02-14
69173,000670,영풍,760000,-18000,-2.3,774,587322000,762000,769000,753000,1399950400000,0.08,1842040,61223.0,3.32,161.0,2019-02-15
71555,000670,영풍,765000,5000,0.7,640,489304000,760000,772000,756000,1409160600000,0.08,1842040,61285.0,3.33,161.0,2019-02-18
73936,000670,영풍,776000,5000,0.6,1146,887970000,764000,779000,762000,1429423040000,0.08,1842040,63079.0,3.42,160.0,2019-02-20
76318,000670,영풍,780000,4000,0.5,1133,881881000,777000,780000,769000,1436791200000,0.08,1842040,63457.0,3.44,160.0,2019-02-21
78696,000670,영풍,799000,19000,2.4,2127,1691755000,769000,803000,769000,1471789960000,0.08,1842040,64049.0,3.48,156.0,2019-02-22
81076,000670,영풍,804000,5000,0.6,893,719188000,808000,809000,800000,1481000160000,0.09,1842040,64168.0,3.48,154.0,2019-02-25
83461,000670,영풍,799000,-5000,-0.6,664,531134000,791000,806000,790000,1471789960000,0.09,1842040,64199.0,3.49,157.0,2019-02-26
85845,000670,영풍,795000,-4000,-0.5,497,396007000,808000,808000,789000,1464421800000,0.08,1842040,64345.0,3.49,159.0,2019-02-27
88224,000670,영풍,790000,-5000,-0.6,1984,1589778000,802000,812000,790000,1455211600000,0.09,1842040,64418.0,3.5,157.0,2019-02-28
