,account_nm,thstrm_amount
0,비유동자산,3605507545656.0
1,유형자산,1918489681968.0
2,영업권 이외의 무형자산,525862325444.0
3,영업권,874133263719.0
4,투자부동산,80107578330.0
5,사용권자산,92838920779.0
6,관계기업 및 공동기업투자,34488179422.0
7,당기손익-공정가치금융자산,6315821714.0
8,비유동 기타포괄손익-공정가치 측정 금융자산,20693054177.0
9,장기매출채권 및 기타비유동채권,2026997549.0
10,장기금융예치금,5089352836.0
11,기타비유동자산,23423204725.0
12,이연법인세자산,22039164993.0
13,비유동매도가능금융자산,
14,순확정급여자산,
15,유동자산,760826107799.0
16,재고자산,172458676988.0
17,매출채권 및 기타유동채권,193174232445.0
18,당기손익-공정가치금융자산,43290186578.0
19,단기금융예치금,74688025653.0
20,기타유동자산,78043863480.0
21,당기법인세자산,8852052409.0
22,현금및현금성자산,190319070246.0
23,매각예정비유동자산,
24,자산총계,4366333653455.0
25,지배기업의 소유주에게 귀속되는 자본,1926130803227.0
26,자본금,31322711000.0
27,주식발행초과금,1251350081390.0
28,자기주식,11625409024.0
29,기타자본구성요소,363680452067.0
30,적립금,145806013740.0
31,이익잉여금(결손금),145596954054.0
32,비지배지분,1411494642891.0
33,자본총계,3337625446118.0
34,비유동부채,533303330152.0
35,장기차입금,219776994743.0
36,장기매입채무 및 기타비유동채무,2624591357.0
37,비유동리스부채,6396867697.0
38,확정급여부채,1883821418.0
39,이연법인세부채,302039320884.0
40,기타비유동부채,581734053.0
41,유동부채,495404877185.0
42,유동성장기차입금,120005915290.0
43,단기차입금,6980143898.0
44,매입채무 및 기타유동채무,277935526443.0
45,유동리스부채,5771722368.0
46,미지급법인세,30985287295.0
47,기타유동부채,53726281891.0
48,유동파생상품부채,
49,부채총계,1028708207337.0
50,자본과부채총계,4366333653455.0
51,수익(매출액),2103591289157.0
52,매출원가,1175362310441.0
53,매출총이익,928228978716.0
54,판매비,518416381985.0
55,관리비,143153083999.0
56,영업이익(손실),266659512732.0
57,순기타수익(비용),-23710402746.0
58,순금융수익(원가),163615045.0
59,지분법손익,1004321873.0
60,법인세비용차감전순이익(손실),244117046904.0
61,법인세비용,87727266148.0
62,계속영업이익(손실),156389780756.0
63,중단영업이익(손실),
64,당기순이익(손실),156389780756.0
65,기타포괄손익,40266240439.0
66,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),42916520136.0
67,해외사업장환산외환차이(세후기타포괄손익),42825444470.0
68,관계기업 및 공동기업 기타포괄손익 중 지분해당액,91075666.0
69,매도가능금융자산평가손익(세후기타포괄손익),
70,관련 법인세효과,
71,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-2650279697.0
72,순확정급여부채의 재측정요소,-4793154826.0
73,기타포괄손익-공정가치금융자산 평가손익,1308716436.0
74,공동기업 순확정급여부채의 재측정요소 중 지분해당액,-5239331.0
75,관련 법인세효과,839398024.0
76,총포괄손익,196656021195.0
77,지배기업의 소유주에게 귀속되는 당기순이익(손실),48378510223.0
78,계속영업당기순이익(손실),48378510223.0
79,중단영업당기순이익,
80,비지배지분에 귀속되는 당기순이익(손실),108011270533.0
81,계속영업당기순이익,108011270533.0
82,중단영업당기순이익,
83,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",63248729220.0
84,"총 포괄손익, 비지배지분",133407291975.0
85,계속영업기본주당이익(손실),804.0
86,중단영업기본주당이익(손실),
87,계속영업희석주당이익(손실),804.0
88,중단영업희석주당이익(손실),
89,영업활동현금흐름,342587759965.0
90,계속영업당기순이익,156389780756.0
91,중단영업당기순이익,
92,당기순이익조정을 위한 가감,382531566244.0
93,퇴직급여,11976058004.0
94,유형자산감가상각비,117310442376.0
95,투자부동산감가상각비,407037248.0
96,무형자산상각비,129026786836.0
97,사용권자산상각비,8559087860.0
98,주식보상비용(환입),61170428.0
99,유형자산손상차손,1447965453.0
100,무형자산손상차손,77899466.0
101,사용권자산손상차손,480050365.0
102,매출채권손상차손,160413743.0
103,매출채권처분손실,19774295.0
104,유형자산처분손실,23698450856.0
105,무형자산처분손실,1891478.0
106,당기손익-공정가치금융자산 처분손실,165937328.0
107,당기손익-공정가치금융자산 평가손실,270768397.0
108,종속기업/관계기업/공동기업투자처분손실,252232964.0
109,기타의 대손상각비,384709.0
110,외화환산손실,248873099.0
111,이자비용,10940120978.0
112,기타 현금의 유출 없는 비용등,4695449652.0
113,법인세비용,87727266148.0
114,지분법손실(이익),-1004321873.0
115,유형자산처분이익,3111840478.0
116,투자부동산처분이익,
117,무형자산손상차손환입,
118,종속기업/관계기업/공동기업투자처분이익,7316797.0
119,외화환산이익,183503854.0
120,대손충당금환입,
121,당기손익-공정가치금융자산 처분이익,-571625541.0
122,당기손익-공정가치금융자산 평가이익,-641288501.0
123,이자수익,8540663385.0
124,배당금수익,-298625152.0
125,매각예정비유동자산처분이익,
126,기타 현금의 유입 없는 수익등,637309858.0
127,매도가능금융자산손상차손,
128,매도가능금융자산처분손실,
129,파생금융자산평가손실,
130,매도가능금융자산처분이익,
131,중단영업처분이익,
132,영업활동으로인한자산ㆍ부채의변동,-96869674481.0
133,매출채권의 감소(증가),-3915802566.0
134,기타채권의 감소(증가),6645814364.0
135,재고자산의 감소(증가),6463554674.0
136,기타유동자산의 감소(증가),-64450735704.0
137,기타비유동자산의 감소(증가),110255446.0
138,매입채무의 증가(감소),-7554787961.0
139,기타채무의 증가(감소),-5291265445.0
140,기타유동부채의 증가(감소),-12556943734.0
141,기타비유동부채의 증가(감소),21968572.0
142,사외적립자산의 증감,-8816442341.0
143,퇴직금지급액,-7525289786.0
144,이자수취(영업),7321314950.0
145,배당금수취(영업),1762994197.0
146,이자지급(영업),10515243363.0
147,법인세납부(환급),98032978338.0
148,투자활동현금흐름,-243030160988.0
149,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 처분",1043267190.0
150,유형자산의 처분,6679837871.0
151,무형자산의 처분,50000000.0
152,투자부동산의 처분,
