,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
185,001800,오리온홀딩스,16650,-450,-2.6,34394,575518100,17000,17200,16550,1043027478450,0.07,62644293,10425705.0,16.64,186.0,2019-01-02
2562,001800,오리온홀딩스,16750,100,0.6,47428,794220050,16750,16900,16600,1049291907750,0.07,62644293,10448906.0,16.68,184.0,2019-01-03
4938,001800,오리온홀딩스,17250,500,3.0,58393,1000071750,16650,17400,16650,1080614054250,0.07,62644293,10472580.0,16.72,181.0,2019-01-04
7317,001800,오리온홀딩스,17400,150,0.9,45211,791520300,17300,17750,17200,1090010698200,0.07,62644293,10480007.0,16.73,181.0,2019-01-07
9691,001800,오리온홀딩스,17650,250,1.4,47953,847561350,17700,17900,17400,1105671771450,0.07,62644293,10485540.0,16.74,176.0,2019-01-08
12066,001800,오리온홀딩스,18650,1000,5.7,170873,3167035850,17400,18800,17400,1168316064450,0.07,62644293,10574122.0,16.88,172.0,2019-01-09
14445,001800,오리온홀딩스,18500,-150,-0.8,123491,2297116500,18600,18850,18500,1158919420500,0.07,62644293,10595700.0,16.91,172.0,2019-01-10
16821,001800,오리온홀딩스,18700,200,1.1,75911,1416791550,18650,18850,18300,1171448279100,0.07,62644293,10628040.0,16.97,169.0,2019-01-11
19202,001800,오리온홀딩스,18500,-200,-1.1,76851,1429104400,18550,18850,18450,1158919420500,0.07,62644293,10659007.0,17.02,171.0,2019-01-14
21582,001800,오리온홀딩스,18300,-200,-1.1,83442,1543786150,18650,18850,18250,1146390561900,0.07,62644293,10678564.0,17.05,172.0,2019-01-15
23962,001800,오리온홀딩스,18350,50,0.3,61012,1118647150,18300,18550,18150,1149522776550,0.07,62644293,10695972.0,17.07,173.0,2019-01-16
26338,001800,오리온홀딩스,18200,-150,-0.8,55197,1003869600,18200,18600,18050,1140126132600,0.07,62644293,10705194.0,17.09,170.0,2019-01-17
28717,001800,오리온홀딩스,18550,350,1.9,37280,685162300,18400,18600,18000,1162051635150,0.07,62644293,10704593.0,17.09,170.0,2019-01-18
