,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
361,002960,한국쉘석유,337000,500,0.2,1977,661841500,336500,337000,332000,438100000000,0.03,1300000,842144.0,64.78,362.0,2019-01-02
2734,002960,한국쉘석유,332500,-4500,-1.3,1176,393405500,337000,337000,332500,432250000000,0.03,1300000,843236.0,64.86,356.0,2019-01-03
5113,002960,한국쉘석유,334500,2000,0.6,1295,433914500,334500,337000,332500,434850000000,0.03,1300000,843616.0,64.89,356.0,2019-01-04
7497,002960,한국쉘석유,333500,-1000,-0.3,724,242826000,335000,339000,333500,433550000000,0.03,1300000,843829.0,64.91,361.0,2019-01-07
9875,002960,한국쉘석유,334000,500,0.2,1028,342344000,338000,338000,331500,434200000000,0.03,1300000,843956.0,64.92,360.0,2019-01-08
12261,002960,한국쉘석유,331500,-2500,-0.8,1141,378953500,333000,333500,331500,430950000000,0.03,1300000,844231.0,64.94,367.0,2019-01-09
14638,002960,한국쉘석유,329000,-2500,-0.8,1515,499152000,331500,331500,328500,427700000000,0.03,1300000,844200.0,64.94,365.0,2019-01-10
17021,002960,한국쉘석유,326000,-3000,-0.9,2151,700332500,329000,330000,324000,423800000000,0.03,1300000,844167.0,64.94,369.0,2019-01-11
19402,002960,한국쉘석유,323500,-2500,-0.8,1122,364212000,329500,329500,323500,420550000000,0.03,1300000,844472.0,64.96,371.0,2019-01-14
21785,002960,한국쉘석유,321000,-2500,-0.8,1856,599658000,325000,326000,321000,417300000000,0.03,1300000,844640.0,64.97,375.0,2019-01-15
24165,002960,한국쉘석유,320500,-500,-0.2,1837,589944500,321500,323000,320500,416650000000,0.03,1300000,844905.0,64.99,376.0,2019-01-16
26544,002960,한국쉘석유,318500,-2000,-0.6,1920,613190000,320500,322000,318500,414050000000,0.03,1300000,844507.0,64.96,376.0,2019-01-17
28926,002960,한국쉘석유,322000,3500,1.1,1508,483900500,320000,324500,317500,418600000000,0.03,1300000,844952.0,65.0,379.0,2019-01-18
31303,002960,한국쉘석유,323500,1500,0.5,919,297376000,323500,325000,322500,420550000000,0.03,1300000,845138.0,65.01,377.0,2019-01-21
33682,002960,한국쉘석유,323000,-500,-0.2,931,301514000,322500,325500,322500,419900000000,0.03,1300000,845329.0,65.03,377.0,2019-01-22
36060,002960,한국쉘석유,326000,3000,0.9,1106,361501000,324000,329500,324000,423800000000,0.03,1300000,845484.0,65.04,376.0,2019-01-23
38443,002960,한국쉘석유,322000,-4000,-1.2,1901,612873500,324000,325000,320500,418600000000,0.03,1300000,845713.0,65.05,380.0,2019-01-24
40821,002960,한국쉘석유,327500,5500,1.7,1650,537987000,320500,329500,320000,425750000000,0.03,1300000,846002.0,65.08,379.0,2019-01-25
43200,002960,한국쉘석유,328000,500,0.2,1484,484570000,325000,329000,323000,426400000000,0.03,1300000,845665.0,65.05,378.0,2019-01-28
45580,002960,한국쉘석유,327500,-500,-0.2,978,318676000,324000,327500,324000,425750000000,0.03,1300000,845666.0,65.05,378.0,2019-01-29
47959,002960,한국쉘석유,328500,1000,0.3,895,293066500,331000,332000,325000,427050000000,0.03,1300000,845853.0,65.07,378.0,2019-01-30
50340,002960,한국쉘석유,331000,2500,0.8,1140,374712500,329000,331000,325500,430300000000,0.03,1300000,846109.0,65.09,379.0,2019-01-31
52721,002960,한국쉘석유,329000,-2000,-0.6,731,241371500,327000,332000,327000,427700000000,0.03,1300000,846042.0,65.08,380.0,2019-02-01
55106,002960,한국쉘석유,329500,500,0.2,831,272538500,329000,330000,326000,428350000000,0.03,1300000,846220.0,65.09,384.0,2019-02-07
57486,002960,한국쉘석유,331000,1500,0.5,887,292499000,329500,331000,327500,430300000000,0.03,1300000,846352.0,65.1,383.0,2019-02-08
59871,002960,한국쉘석유,329000,-2000,-0.6,1297,429225000,331500,333000,329000,427700000000,0.03,1300000,845804.0,65.06,387.0,2019-02-11
62252,002960,한국쉘석유,328500,-500,-0.2,663,219190500,328500,333500,328500,427050000000,0.03,1300000,845839.0,65.06,386.0,2019-02-12
64633,002960,한국쉘석유,333500,5000,1.5,863,287111500,329000,334000,328500,433550000000,0.03,1300000,845986.0,65.08,385.0,2019-02-13
67014,002960,한국쉘석유,334000,500,0.2,1372,453429000,329000,334000,326000,434200000000,0.03,1300000,845781.0,65.06,384.0,2019-02-14
69396,002960,한국쉘석유,332500,-1500,-0.4,464,153328500,329000,332500,329000,432250000000,0.03,1300000,845770.0,65.06,384.0,2019-02-15
71781,002960,한국쉘석유,334000,1500,0.4,680,226909000,334000,334500,329000,434200000000,0.03,1300000,845882.0,65.07,387.0,2019-02-18
74162,002960,한국쉘석유,336000,1000,0.3,798,267836000,337000,337000,332000,436800000000,0.03,1300000,847877.0,65.22,386.0,2019-02-20
76541,002960,한국쉘석유,334500,-1500,-0.4,695,232973000,332500,337000,332500,434850000000,0.03,1300000,847919.0,65.22,383.0,2019-02-21
78923,002960,한국쉘석유,334500,0,0.0,328,110022500,338000,338000,333000,434850000000,0.03,1300000,847935.0,65.23,383.0,2019-02-22
81303,002960,한국쉘석유,336500,2000,0.6,770,259353000,337500,338000,333500,437450000000,0.03,1300000,848013.0,65.23,381.0,2019-02-25
83689,002960,한국쉘석유,335000,-1500,-0.4,551,185202000,333500,339000,333500,435500000000,0.03,1300000,848083.0,65.24,385.0,2019-02-26
86070,002960,한국쉘석유,337000,2000,0.6,614,206532000,338500,338500,334000,438100000000,0.03,1300000,848806.0,65.29,384.0,2019-02-27
88450,002960,한국쉘석유,332000,-5000,-1.5,1168,391025000,338000,338000,332000,431600000000,0.03,1300000,848378.0,65.26,383.0,2019-02-28
90836,002960,한국쉘석유,336000,4000,1.2,1530,516754000,336500,338500,332500,436800000000,0.03,1300000,848549.0,65.27,388.0,2019-03-04
93221,002960,한국쉘석유,334500,-1500,-0.4,928,309766500,333500,337000,332000,434850000000,0.03,1300000,848071.0,65.24,393.0,2019-03-05
95599,002960,한국쉘석유,332000,-2500,-0.8,1231,409117500,338500,338500,331500,431600000000,0.03,1300000,848272.0,65.25,390.0,2019-03-06
97978,002960,한국쉘석유,329500,-2500,-0.8,1513,500357500,333500,334000,329500,428350000000,0.03,1300000,848180.0,65.24,388.0,2019-03-07
100358,002960,한국쉘석유,329500,0,0.0,840,277110500,326000,333000,326000,428350000000,0.03,1300000,848249.0,65.25,387.0,2019-03-08
102744,002960,한국쉘석유,329000,-500,-0.2,895,294338000,327000,332000,327000,427700000000,0.03,1300000,848289.0,65.25,392.0,2019-03-11
105127,002960,한국쉘석유,331500,2500,0.8,719,237373000,328000,332000,328000,430950000000,0.03,1300000,848198.0,65.25,394.0,2019-03-12
107517,002960,한국쉘석유,329000,-2500,-0.8,1155,380189000,333500,333500,327500,427700000000,0.03,1300000,848842.0,65.3,403.0,2019-03-13
109890,002960,한국쉘석유,337500,8500,2.6,2557,859059500,329000,338000,328000,438750000000,0.03,1300000,849255.0,65.33,395.0,2019-03-14
112275,002960,한국쉘석유,335000,-2500,-0.7,1124,378641500,337500,338500,331000,435500000000,0.03,1300000,849276.0,65.33,398.0,2019-03-15
114660,002960,한국쉘석유,331500,-3500,-1.0,1029,342373500,335500,336500,331500,430950000000,0.03,1300000,849948.0,65.38,400.0,2019-03-18
117040,002960,한국쉘석유,331500,0,0.0,748,247371500,332000,332000,330000,430950000000,0.03,1300000,849864.0,65.37,397.0,2019-03-19
119425,002960,한국쉘석유,328500,-3000,-0.9,976,320938000,329500,330000,328000,427050000000,0.03,1300000,849483.0,65.34,399.0,2019-03-20
121805,002960,한국쉘석유,324500,-4000,-1.2,2941,959701500,328500,328500,324000,421850000000,0.02,1300000,848633.0,65.28,396.0,2019-03-21
124190,002960,한국쉘석유,324000,-500,-0.2,1008,327440500,325000,327000,324000,421200000000,0.02,1300000,848583.0,65.28,397.0,2019-03-22
126573,002960,한국쉘석유,321500,-2500,-0.8,867,279490000,326000,326500,321000,417950000000,0.02,1300000,849050.0,65.31,395.0,2019-03-25
128961,002960,한국쉘석유,320500,-1000,-0.3,918,295009500,321500,323500,320500,416650000000,0.02,1300000,848848.0,65.3,398.0,2019-03-26
131347,002960,한국쉘석유,320500,0,0.0,993,318071500,320500,322000,319500,416650000000,0.02,1300000,848824.0,65.29,399.0,2019-03-27
133730,002960,한국쉘석유,319500,-1000,-0.3,1008,321872500,320000,321000,318500,415350000000,0.02,1300000,849074.0,65.31,396.0,2019-03-28
