,account_nm,thstrm_amount
0,유동자산,186397967479.0
1,현금및현금성자산,37584814355.0
2,매출채권,102802663530.0
3,기타유동금융자산,227202475.0
4,기타유동자산,702330204.0
5,계약자산,931951671.0
6,재고자산,44137168254.0
7,당기법인세자산,11836990.0
8,비유동자산,202136589625.0
9,장기매출채권,8045486389.0
10,매도가능금융자산,0.0
11,당기손익-공정가치금융자산,20420648030.0
12,기타포괄손익-공정가치금융자산,26043647946.0
13,기타비유동금융자산,1651158614.0
14,계약자산,252555341.0
15,유형자산,128809266761.0
16,무형자산,10381484749.0
17,"종속기업, 관계기업 및 공동기업 투자주식",6532341795.0
18,이연법인세자산,0.0
19,자산총계,388534557104.0
20,유동부채,35883740861.0
21,매입채무,9890333949.0
22,기타유동금융부채,13629707592.0
23,계약부채,4633983980.0
24,리스부채,434298174.0
25,기타유동부채,3328202076.0
26,당기법인세부채,3967215090.0
27,비유동부채,26164814873.0
28,계약부채,2034882774.0
29,기타비유동금융부채,2523032201.0
30,리스부채,1643650271.0
31,순확정급여부채,1584101136.0
32,이연법인세부채,18379148491.0
33,충당부채,0.0
34,부채총계,62048555734.0
35,지배기업의 소유지분,326246221478.0
36,자본금,31765683500.0
37,주식발행초과금,2581379750.0
38,기타자본항목,-18542102263.0
39,이익잉여금,310441260491.0
40,비지배지분,239779892.0
41,자본총계,326486001370.0
42,자본과부채총계,388534557104.0
43,매출액,168193616060.0
44,매출원가,83944833679.0
45,매출총이익,84248782381.0
46,판매비와관리비,57399130225.0
47,경상연구개발비,17312225435.0
48,영업이익,9537426721.0
49,기타수익,386748761.0
50,기타비용,751636773.0
51,금융수익,3181101735.0
52,금융비용,12931501996.0
53,지분법손익,-783948388.0
54,법인세비용차감전순이익(손실),-1361809940.0
55,법인세비용,6073033223.0
56,당기순이익(손실),-7434843163.0
57,지배기업의 소유주,-7412367815.0
58,비지배지분,-22475348.0
59,기본주당순이익(손실),-119.0
60,희석주당순이익(손실),-119.0
61,기타포괄손익,-20218359415.0
62,당기손익으로 재분류되지 않는항목,-20284520514.0
63,관계기업 순확정급여부채의 재측정요소 중 지분해당액,0.0
64,순확정급여부채의 재측정요소,-6615758.0
65,유형자산재평가이익,0.0
66,기타포괄손익-공정가치금융자산 평가손익,-414108535.0
67,기타포괄손익-공정가치금융자산 처분손익,-19863796221.0
68,지분법 자본변동,0.0
69,후속적으로 당기손익으로 재분류되는 항목,66161099.0
70,매도가능금융자산 평가손익,0.0
