,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
144,003240,태광산업,1334000,14000,1.1,719,948741000,1321000,1343000,1302000,1485275600000,0.1,1113400,117798.0,10.58,145.0,2019-01-02
2524,003240,태광산업,1310000,-24000,-1.8,555,731869000,1335000,1340000,1310000,1458554000000,0.09,1113400,117936.0,10.59,146.0,2019-01-03
4901,003240,태광산업,1348000,38000,2.9,751,1007336000,1310000,1357000,1310000,1500863200000,0.1,1113400,118124.0,10.61,144.0,2019-01-04
7280,003240,태광산업,1347000,-1000,-0.1,596,806579000,1363000,1372000,1336000,1499749800000,0.1,1113400,118154.0,10.61,144.0,2019-01-07
9656,003240,태광산업,1341000,-6000,-0.4,485,654312000,1358000,1365000,1338000,1493069400000,0.1,1113400,118154.0,10.61,141.0,2019-01-08
12040,003240,태광산업,1336000,-5000,-0.4,819,1101048000,1335000,1356000,1335000,1487502400000,0.09,1113400,118422.0,10.64,146.0,2019-01-09
14420,003240,태광산업,1314000,-22000,-1.6,804,1063095000,1336000,1348000,1313000,1463007600000,0.09,1113400,118405.0,10.63,147.0,2019-01-10
16801,003240,태광산업,1315000,1000,0.1,838,1103566000,1313000,1329000,1300000,1464121000000,0.09,1113400,118521.0,10.64,149.0,2019-01-11
19180,003240,태광산업,1303000,-12000,-0.9,608,795441000,1316000,1327000,1303000,1450760200000,0.09,1113400,118642.0,10.66,149.0,2019-01-14
21559,003240,태광산업,1305000,2000,0.2,709,930976000,1318000,1323000,1305000,1452987000000,0.09,1113400,118826.0,10.67,149.0,2019-01-15
23941,003240,태광산업,1293000,-12000,-0.9,1044,1355996000,1297000,1314000,1293000,1439626200000,0.09,1113400,118649.0,10.66,152.0,2019-01-16
26318,003240,태광산업,1306000,13000,1.0,836,1091525000,1298000,1317000,1293000,1454100400000,0.09,1113400,118993.0,10.69,150.0,2019-01-17
28696,003240,태광산업,1307000,1000,0.1,690,901645000,1321000,1321000,1298000,1455213800000,0.09,1113400,119118.0,10.7,149.0,2019-01-18
31074,003240,태광산업,1303000,-4000,-0.3,447,583456000,1309000,1316000,1298000,1450760200000,0.09,1113400,119155.0,10.7,148.0,2019-01-21
33451,003240,태광산업,1314000,11000,0.8,684,901770000,1303000,1327000,1303000,1463007600000,0.09,1113400,119071.0,10.69,146.0,2019-01-22
35831,003240,태광산업,1329000,15000,1.1,937,1246627000,1322000,1342000,1308000,1479708600000,0.09,1113400,119074.0,10.69,147.0,2019-01-23
38213,003240,태광산업,1312000,-17000,-1.3,671,880398000,1316000,1333000,1302000,1460780800000,0.09,1113400,119158.0,10.7,150.0,2019-01-24
40593,003240,태광산업,1320000,8000,0.6,926,1217802000,1304000,1332000,1300000,1469688000000,0.09,1113400,119229.0,10.71,151.0,2019-01-25
42969,003240,태광산업,1333000,13000,1.0,671,890580000,1308000,1340000,1308000,1484162200000,0.09,1113400,119257.0,10.71,147.0,2019-01-28
45349,003240,태광산업,1333000,0,0.0,569,758863000,1321000,1346000,1321000,1484162200000,0.09,1113400,119326.0,10.72,147.0,2019-01-29
47726,003240,태광산업,1365000,32000,2.4,1162,1581640000,1350000,1383000,1330000,1519791000000,0.09,1113400,119673.0,10.75,145.0,2019-01-30
50107,003240,태광산업,1359000,-6000,-0.4,1072,1468335000,1394000,1395000,1358000,1513110600000,0.09,1113400,119691.0,10.75,146.0,2019-01-31
52483,003240,태광산업,1381000,22000,1.6,743,1023587000,1351000,1399000,1351000,1537605400000,0.09,1113400,119640.0,10.75,142.0,2019-02-01
54865,003240,태광산업,1400000,19000,1.4,833,1155522000,1402000,1408000,1354000,1558760000000,0.09,1113400,119462.0,10.73,143.0,2019-02-07
57244,003240,태광산업,1407000,7000,0.5,806,1128274000,1410000,1414000,1383000,1566553800000,0.09,1113400,119263.0,10.71,141.0,2019-02-08
59621,003240,태광산업,1445000,38000,2.7,1061,1524985000,1449000,1449000,1411000,1608863000000,0.09,1113400,118936.0,10.68,137.0,2019-02-11
62002,003240,태광산업,1454000,9000,0.6,1140,1667340000,1450000,1477000,1448000,1618883600000,0.1,1113400,119046.0,10.69,136.0,2019-02-12
64384,003240,태광산업,1487000,33000,2.3,864,1276413000,1455000,1491000,1455000,1655625800000,0.1,1113400,119107.0,10.7,136.0,2019-02-13
66759,003240,태광산업,1569000,82000,5.5,1166,1745589000,1463000,1569000,1463000,1746924600000,0.1,1113400,119951.0,10.77,129.0,2019-02-14
