,account_nm,thstrm_amount
0,유동자산,231851317305.0
1,현금및현금성자산,4522869023.0
2,단기금융자산,213734981.0
3,매출채권및기타채권,132240204366.0
4,재고자산,85057651876.0
5,계약자산(유동),23725892.0
6,기타자산(유동),9793131167.0
7,당기법인세자산,0.0
8,비유동자산,275777596805.0
9,장기금융자산,10500000.0
10,장기투자자산,3793499000.0
11,매도가능금융자산,0.0
12,장기기타채권,1720753862.0
13,관계기업투자,
14,유형자산,248784922393.0
15,투자부동산,484205023.0
16,무형자산,15675917143.0
17,사용권자산,890920946.0
18,기타자산(비유동),322347617.0
19,이연법인세자산,4094530821.0
20,자산총계,507628914110.0
21,유동부채,139214471690.0
22,매입채무및기타채무,80679861412.0
23,단기차입부채,15791596765.0
24,장기차입부채(유동),9999840000.0
25,리스부채(유동),384236892.0
26,당기법인세부채,7947331058.0
27,계약부채(유동),7406705275.0
28,충당부채(유동),854803832.0
29,기타부채(유동),16150096456.0
30,비유동부채,85460766409.0
31,장기차입부채,72082490000.0
32,리스부채(비유동),504990166.0
33,순확정급여채무,8049356432.0
34,계약부채(비유동),2942135226.0
35,기타부채(비유동),1881794585.0
36,충당부채(비유동),0.0
37,부채총계,224675238099.0
38,지배기업의 소유주에게 귀속되는 자본,282953676011.0
39,자본금,22100000000.0
40,기타불입자본,-12815696159.0
41,이익잉여금,273669372170.0
42,비지배지분,0.0
43,자본총계,282953676011.0
44,자본과부채총계,507628914110.0
45,매출액,524268670098.0
46,매출원가,301274025841.0
47,매출총이익,222994644257.0
48,판매비와관리비,146067344330.0
49,연구개발비,37863511231.0
50,영업이익,39063788696.0
51,금융수익,91484109.0
52,금융비용,257127478.0
53,기타수익,8964659983.0
54,기타비용,2654982833.0
55,관계기업투자손익,-2738452034.0
56,법인세비용차감전순이익,42469370443.0
57,법인세비용,10247567758.0
58,당기순이익,32221802685.0
59,기타포괄손익,-2848363324.0
60,해외사업환산손익,-4061565.0
61,확정급여제도의 재측정손익(세후기타포괄손익),-2852424889.0
62,당기총포괄손익,29373439361.0
63,지배기업의 소유주지분,32221802685.0
64,비지배지분,0.0
65,지배기업의 소유주지분,29373439361.0
66,비지배지분,0.0
67,기본주당이익(손실),766.0
68,희석주당이익(손실),766.0
69,영업활동으로 인한 현금흐름,46998848988.0
70,영업으로부터 창출된 현금흐름,55222150298.0
71,이자의 수취,15227671.0
72,이자의 지급,0.0
73,법인세의 납부(환급),8238528981.0
74,투자활동현금흐름,-59123923277.0
75,단기금융자산의 감소,346957.0
76,장기기타채권의 증가,477054750.0
77,장기기타채권의 감소,18526730.0
78,관계기업투자주식의 처분,8477601750.0
79,유형자산의 취득,67020101758.0
80,유형자산의 처분,101164130.0
81,무형자산의 취득,1734986285.0
82,무형자산의 처분,1510579949.0
83,매각예정비유동자산의 처분,0.0
84,연결범위변동으로 인한 순유입,0.0
85,연결범위변동으로 인한 순유출,0.0
86,재무활동현금흐름,8961189202.0
87,단기차입금의 차입,6750471505.0
88,단기차입금의 상환,20067264663.0
89,장기차입금의 상환,2917670000.0
90,장기차입금의 차입,28000000000.0
91,리스부채의 원금지급,264417033.0
92,정부보조금의 수령,0.0
93,정부보조금의 반환,17525207.0
94,배당금지급,2522405400.0
95,자기주식의 취득,0.0
96,현금및현금성자산의 증가(감소),-3163885087.0
97,기초 현금및현금성자산,7617712964.0
98,재무제표 환산으로 인한 효과,0.0
99,외화표시 현금성자산의 환율변동효과,69041146.0
100,기말 현금및현금성자산,4522869023.0
101,기초자본,256102642050.0
102,기초자본,256102642050.0
103,기초자본,-1878877.0
104,기초자본,13202665.0
105,기초자본,246822399774.0
106,기초자본,-15292560312.0
107,기초자본,2461478800.0
108,기초자본,22100000000.0
109,회계정책변경의 효과,
110,회계정책변경의 효과,
111,회계정책변경의 효과,
112,당기순이익,32221802685.0
113,당기순이익,
114,당기순이익,32221802685.0
115,당기순이익,32221802685.0
116,기타포괄손익,-2848363324.0
117,기타포괄손익,-2848363324.0
118,기타포괄손익,4061565.0
119,기타포괄손익,-2852424889.0
120,배당금지급,2522405400.0
121,배당금지급,2522405400.0
122,배당금지급,2522405400.0
123,무상증자,
124,무상증자,
125,자기주식 거래로 인한 증감,
126,자기주식 거래로 인한 증감,
127,자기주식 거래로 인한 증감,
128,기말자본,282953676011.0
129,기말자본,282953676011.0
130,기말자본,2182688.0
131,기말자본,13202665.0
132,기말자본,273669372170.0
133,기말자본,-15292560312.0
134,기말자본,2461478800.0
135,기말자본,22100000000.0
