,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
350,003920,남양유업,617000,-7000,-1.1,775,475497000,624000,627000,605000,444240000000,0.03,720000,158581.0,22.03,351.0,2019-01-02
2728,003920,남양유업,611000,-6000,-1.0,616,377955000,617000,619000,607000,439920000000,0.03,720000,158668.0,22.04,350.0,2019-01-03
5097,003920,남양유업,631000,20000,3.3,738,466149000,615000,637000,615000,454320000000,0.03,720000,158576.0,22.02,340.0,2019-01-04
7480,003920,남양유업,633000,2000,0.3,543,345470000,637000,642000,627000,455760000000,0.03,720000,158687.0,22.04,344.0,2019-01-07
9852,003920,남양유업,644000,11000,1.7,483,311262000,642000,651000,632000,463680000000,0.03,720000,158792.0,22.05,337.0,2019-01-08
12237,003920,남양유업,648000,4000,0.6,927,611780000,640000,670000,639000,466560000000,0.03,720000,159138.0,22.1,343.0,2019-01-09
14616,003920,남양유업,646000,-2000,-0.3,543,351387000,643000,657000,637000,465120000000,0.03,720000,159203.0,22.11,343.0,2019-01-10
16999,003920,남양유업,648000,2000,0.3,467,302464000,642000,659000,637000,466560000000,0.03,720000,159258.0,22.12,347.0,2019-01-11
19383,003920,남양유업,637000,-11000,-1.7,523,334776000,642000,656000,636000,458640000000,0.03,720000,159237.0,22.12,352.0,2019-01-14
21764,003920,남양유업,629000,-8000,-1.3,825,528138000,647000,649000,629000,452880000000,0.03,720000,159533.0,22.16,354.0,2019-01-15
24151,003920,남양유업,618000,-11000,-1.8,922,573957000,628000,637000,617000,444960000000,0.03,720000,159557.0,22.16,362.0,2019-01-16
26530,003920,남양유업,613000,-5000,-0.8,779,479728000,619000,623000,613000,441360000000,0.03,720000,159661.0,22.18,362.0,2019-01-17
28910,003920,남양유업,618000,5000,0.8,487,300085000,621000,623000,613000,444960000000,0.03,720000,159750.0,22.19,363.0,2019-01-18
31293,003920,남양유업,618000,0,0.0,486,301611000,617000,624000,614000,444960000000,0.03,720000,160160.0,22.24,367.0,2019-01-21
33668,003920,남양유업,616000,-2000,-0.3,483,298539000,616000,625000,616000,443520000000,0.03,720000,160246.0,22.26,363.0,2019-01-22
36041,003920,남양유업,628000,12000,2.0,934,583750000,620000,629000,615000,452160000000,0.03,720000,160449.0,22.28,357.0,2019-01-23
