,account_nm,thstrm_amount
0,유동자산,1831162510643.0
1,현금및현금성자산,177672685267.0
2,매출채권 및 기타유동채권,438778072138.0
3,유동 당기손익-공정가치 측정 금융자산,1164300000.0
4,유동 기타포괄손익-공정가치 측정 금융자산,
5,재고자산,1077389327817.0
6,금융리스채권,5297576812.0
7,파생상품자산,22531519683.0
8,당기법인세자산,894538808.0
9,기타금융자산,20208874374.0
10,기타유동자산,66183661439.0
11,매각예정자산,21041954305.0
12,비유동자산,11187326086939.0
13,비유동매도가능금융자산,
14,비유동 당기손익-공정가치 측정 금융자산,21062056000.0
15,기타포괄손익-공정가치측정금융자산,328631217536.0
16,금융리스채권,354885431.0
17,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",1097216472256.0
18,유형자산,6480992945351.0
19,투자부동산,596376282692.0
20,사용권자산,2070397369110.0
21,무형자산,351969999352.0
22,비유동파생상품자산,6189050745.0
23,기타금융자산,156303952134.0
24,기타비유동자산,4058575294.0
25,이연법인세자산,73773281038.0
26,자산총계,13018488597582.0
27,유동부채,3172981441431.0
28,매입채무 및 기타유동채무,643906537926.0
29,상품권,454078963989.0
30,단기차입금,873774278951.0
31,유동파생상품부채,594399193.0
32,당기법인세부채,59589571257.0
33,충당부채,4468916531.0
34,기타금융부채,160814413050.0
35,유동리스부채,416424667481.0
36,기타유동부채,559329693053.0
37,비유동부채,4330376872335.0
38,매입채무 및 기타채무,90012684.0
39,장기차입금,1770295172804.0
40,비유동파생상품부채,10103607976.0
41,순확정급여부채,24602926232.0
42,이연법인세부채,934787957721.0
43,충당부채,10210278734.0
44,기타금융부채,87930356093.0
45,비유동리스부채,1481234927457.0
46,기타비유동부채,11121632634.0
47,부채총계,7503358313766.0
48,지배기업의 소유주에게 귀속되는 자본,3926516357587.0
49,자본금,49225905000.0
50,기타불입자본,393903169856.0
51,신종자본증권,317309817147.0
52,이익잉여금,2920928193727.0
53,기타자본구성요소,245149271857.0
54,비지배지분,1588613926229.0
55,자본총계,5515130283816.0
56,자본과부채총계,13018488597582.0
57,매출액,6394223581591.0
58,매출원가,3125930855467.0
59,매출총이익,3268292726124.0
60,판매비와관리비,2800494453231.0
61,영업이익,467798272893.0
62,금융수익,71341174260.0
63,금융원가,177450065639.0
64,지분법투자이익,664747046.0
65,기타영업외수익,859417678575.0
66,기타영업외비용,423538254722.0
67,법인세비용차감전순이익(손실),798233552413.0
68,법인세비용,205110192618.0
69,당기순이익(손실),593123359795.0
70,지배기업의 소유주에게 귀속되는 당기순이익(손실),526442277703.0
71,비지배지분에 귀속되는 당기순이익(손실),66681082092.0
72,기본주당이익(손실),52658.0
73,희석주당이익(손실),52658.0
74,당기순이익(손실),593123359795.0
75,기타포괄손익,-40102581845.0
76,후속적으로 당기손익으로 재분류되지 않는 항목,-39582773053.0
77,기타포괄손익-공정가치측정지분상품평가손익,-30949522398.0
78,지분법자본변동,-2329228215.0
79,확정급여제도의 재측정손익,-18772907773.0
80,당기손익으로 재분류되지 않는 항목의 법인세,12468885333.0
81,후속적으로 당기손익으로 재분류될 수 있는 항목,-519808792.0
82,매도가능금융자산평가손익,
83,현금흐름위험회피 파생상품평가손익,270242920.0
84,지분법자본변동,-1206822526.0
85,해외사업환산손익,190118550.0
86,당기손익으로 재분류될 수 있는 항목의 법인세,226652264.0
87,총포괄손익,553020777950.0
88,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",488316511860.0
89,"총 포괄손익, 비지배지분",64704266090.0
90,영업활동현금흐름,789940311999.0
91,영업에서 창출된 현금흐름,969188876485.0
92,이자수취(영업),3161010976.0
93,배당금수취(영업),24914996122.0
94,이자지급(영업),127704856125.0
95,법인세납부(환급),79619715459.0
96,투자활동현금흐름,-71497737973.0
97,기타금융상품의 취득,108873675589.0
98,기타금융상품의 처분,118746129939.0
99,당기손익인식금융자산 감소,
100,보상금 수취,-28931044300.0
101,보상금 상환,-262696013035.0
102,유형자산의 취득,321155630606.0
103,유형자산의 처분,38382570769.0
104,토지취득세의 환급,
105,건물취득세의 환급,
106,정부보조금의 수취,168310000.0
107,무형자산의 취득,14809289392.0
108,무형자산의 처분,1194069292.0
109,투자부동산의 취득,209483393.0
110,투자부동산의 처분,42823844453.0
111,조인트벤처 투자지분의 취득에 따른 기타현금유출,4680000000.0
112,당기손익-공정가치측정금융자산의 취득,-4464300000.0
113,매도가능금융자산의 취득,
114,매도가능금융자산의 처분,
115,기타포괄손익 공정가치측정금융자산의 취득,-214621000.0
116,기타포괄손익 공정가치측정금융자산의 처분,372054643.0
117,파생상품의 정산,
118,사업양도로 인한 유출,
119,금융리스채권의 감소,22346416994.0
120,사업결합으로 인한 순현금유입(유출),-74889102818.0
121,재무활동현금흐름,-893510844205.0
122,단기차입금의 증가,10588881131439.0
123,단기차입금의 상환,10906687256688.0
124,장기차입금의 증가,61810000000.0
125,장기차입금의 상환,41181000000.0
126,사채의 증가,249318260000.0
127,사채의 상환,480000000000.0
128,금융리스부채의 지급,328205999331.0
129,종속기업의 유상증자,
130,종속기업지분의 추가취득,
131,배당금지급,28846542125.0
132,신종자본증권 배당금의 지급,-8477437500.0
133,파생상품의 정산,-122000000.0
134,현금및현금성자산의순증가(감소),-175068270179.0
135,기초현금및현금성자산,352460668105.0
136,외화표시 현금및현금성자산의 환율변동 효과,280287341.0
137,기말현금및현금성자산,177672685267.0
138,기초자본,5002167671297.0
139,기초자본,269493247647.0
140,기초자본,321472229057.0
141,기초자본,1533051920390.0
142,기초자본,317309817147.0
143,기초자본,2439183611257.0
144,기초자본,49225905000.0
145,기초자본,72430940799.0
146,회계정책변경에 따른 증가(감소),-2731566436.0
147,회계정책변경에 따른 증가(감소),34087244.0
148,회계정책변경에 따른 증가(감소),-2765653680.0
149,재분류조정,-663593444.0
150,재분류조정,663593444.0
151,수정 후 재작성 금액,4999436104861.0
152,수정 후 재작성 금액,268829654203.0
153,수정 후 재작성 금액,321472229057.0
154,수정 후 재작성 금액,1533086007634.0
155,수정 후 재작성 금액,317309817147.0
156,수정 후 재작성 금액,2437081551021.0
157,수정 후 재작성 금액,49225905000.0
158,수정 후 재작성 금액,72430940799.0
159,연차배당,28849161495.0
160,연차배당,9176347495.0
161,연차배당,19672814000.0
162,연결대상범위의 변동,
163,연결대상범위의 변동,
164,종속기업의 유상증자,
165,종속기업의 유상증자,
166,종속기업의 유상증자,
167,지분법이익잉여금변동,
168,지분법이익잉여금변동,
169,지분법이익잉여금변동,
170,종속기업지분의 추가취득,
171,종속기업지분의 추가취득,
172,종속기업지분의 추가취득,
173,총포괄손익,553020777950.0
