,account_nm,thstrm_amount
0,유동자산,3126610863649.0
1,현금및현금성자산,723571865522.0
2,매출채권및기타채권,934233808184.0
3,기타금융자산,793977714718.0
4,재고자산,477699230271.0
5,당기법인세자산,14064493835.0
6,기타비금융자산,117037946975.0
7,매각예정처분자산집단,66025804144.0
8,비유동자산,12479139580086.0
9,관계기업및공동기업투자,6701463986464.0
10,기타금융자산,825471682166.0
11,유형자산,2389805333951.0
12,무형자산,850884927695.0
13,투자부동산,1074149156261.0
14,사용권자산,555262350778.0
15,이연법인세자산,39685341338.0
16,기타비금융자산,42416801433.0
17,자산총계,15605750443735.0
18,유동부채,3786893004751.0
19,차입금및사채,1318604565029.0
20,매입채무및기타채무,1182739520544.0
21,기타금융부채,576254451478.0
22,당기법인세부채,366415776791.0
23,선수수익,11821329605.0
24,충당부채,53782152674.0
25,기타비금융부채,277275208630.0
26,매각예정처분부채집단,
27,비유동부채,4026320748254.0
28,차입금및사채,2074800212883.0
29,기타금융부채,1259395933929.0
30,확정급여부채및기타장기급여채무,42173317305.0
31,이연법인세부채,610851561770.0
32,선수수익,21673891578.0
33,충당부채,16611732752.0
34,기타비금융부채,814098037.0
35,부채총계,7813213753005.0
36,지배기업 소유주지분,6699827817851.0
37,자본금,21179372000.0
38,자본잉여금,4245951572670.0
39,자본조정,-2458272653558.0
40,기타포괄손익누계액,-16278901033.0
41,이익잉여금,4907248427772.0
42,비지배지분,1092708872879.0
43,자본총계,7792536690730.0
44,부채및자본총계,15605750443735.0
45,매출,8856161430101.0
46,매출원가,6263714452304.0
47,매출총이익,2592446977797.0
48,판매비와관리비,2417592097826.0
49,대손상각비,3099393100.0
50,영업이익(손실),174854879971.0
51,금융수익,135305777728.0
52,유효이자율법이자수익,41126650210.0
53,상각후원가측정금융자산처분이익,21320496.0
54,금융비용,208609642992.0
55,상각후원가측정금융자산처분손실,248144080.0
56,손상차손,361955591.0
57,기타수익,214200234122.0
58,기타비용,804398761921.0
59,매출채권처분손실,
60,기타의대손상각비,1007014968.0
61,관계기업투자 손익에 대한 지분,-57596046403.0
62,법인세비용차감전순이익,-546243559495.0
63,법인세비용(수익),-40934969484.0
64,계속영업당기순이익(손실),-505308590011.0
65,중단영업당기순이익(손실),93663992896.0
66,당기순이익(손실),-411644597115.0
67,기타포괄손익,3125293981.0
68,후속적으로 당기손익으로 재분류되지 않는항목,-35029865954.0
69,확정급여제도의 재측정요소,-20045027513.0
70,기타포괄손익-공정가치측정금융상품평가손익,-21537246818.0
71,관계기업투자의 기타포괄손익에 대한 지분,6552408377.0
72,후속적으로 당기손익으로 재분류되는 항목,38155159935.0
73,해외사업장환산외환차이,23991313890.0
74,매도가능금융자산평가손익,
75,기타포괄손익-공정가치측정금융상품평가손익,
76,파생상품평가손익,-17883222607.0
77,관계기업투자의 기타포괄손익에 대한 지분,32047068652.0
78,총포괄손익,-408519303134.0
79,지배기업 소유주지분,-359540377587.0
80,비지배지분,-52104219528.0
81,지배기업 소유주지분,-342967085232.0
82,비지배지분,-65552217902.0
83,계속영업 보통주 기본주당이익,-6207.0
84,계속영업 우선주 기본주당이익,-6157.0
85,계속영업 보통주 희석주당이익,-6207.0
86,계속영업 우선주 희석주당이익,-6157.0
87,중단영업 보통주 기본주당이익,1179.0
88,중단영업 우선주 기본주당이익,1179.0
89,중단영업 보통주 희석주당이익,1179.0
90,중단영업 우선주 희석주당이익,1179.0
91,영업활동으로 인한 현금흐름,654139386542.0
92,당기순이익(손실),-411644597115.0
93,조정:,1042594280574.0
94,영업활동으로 인한 자산부채의 변동,-578919513227.0
95,법인세납부,161563934087.0
96,이자수취,737434755907.0
97,이자지급,147742412473.0
98,배당금수취,173980806963.0
99,투자활동으로 인한 현금흐름,847785562036.0
100,투자활동으로 인한 현금유입액,1977227430789.0
101,단기금융상품의 감소,296441085757.0
102,장기금융상품의 감소,5107034123.0
103,매각예정처분자산집단의 처분,1355960336144.0
104,단기대여금의 감소,5892321468.0
105,장기대여금의 감소,2229618764.0
106,매도가능금융자산의 처분,
107,기타포괄손익-공정가치측정금융상품의 처분,169576570676.0
108,종속기업투자주식의 처분,10480776320.0
109,관계기업및공동기업투자주식의 처분,49522049196.0
110,보증금의 회수,46220634967.0
111,투자부동산의 처분,23496591008.0
112,유형자산의 처분,6585733493.0
113,무형자산의 처분,2085894725.0
114,사업결합으로 인한 현금유입,289001199.0
115,기타자산의 감소,
116,선급금의 감소,
117,파생상품거래의 정산으로 인한 현금유입,
118,기타투자활동으로 인한 현금유입액,3339782949.0
119,영업양수도로 인한 현금유입,
120,투자활동으로 인한 현금유출액,-1155417485564.0
121,단기금융상품의 증가,-544990258396.0
122,장기금융상품의 증가,-17024289259.0
123,기타투자활동으로 인한 현금유출액,-1497105200.0
124,단기대여금의 증가,-4040116838.0
125,장기대여금의 증가,-3254849216.0
126,매도가능금융자산의 취득,
127,기타포괄손익-공정가치측정금융상품의 취득,-6600779000.0
128,관계및공동기업주식의 취득,-184257859623.0
129,보증금의 증가,-51772325074.0
130,유형자산의 취득,-263165098139.0
131,무형자산의 취득,-40933339152.0
132,선급금의 증가,
133,파생상품거래의 정산으로 인한 현금유출,
134,사업결합으로 인한 순현금유출,
135,연결대상범위변동으로 인한 순현금유출,-33047265667.0
136,영업양수도로 인한 현금유출,-4834200000.0
137,이자수취,21595474433.0
138,배당금수취,4380142378.0
139,재무활동으로 인한 현금흐름,-2164190434151.0
140,재무활동으로 인한 현금유입액,7965571903247.0
141,단기차입금의 차입,4248013823141.0
142,장기차입금의 차입,765536299515.0
143,사채의 발행,2736778920427.0
144,임대보증금의 증가,15765565000.0
145,금융리스부채의 증가,
146,파생상품거래의 정산으로 인한 현금유입,
147,유상증자,
148,신종자본증권발행 등으로 인한 현금유입액,199477295164.0
149,재무활동으로 인한 현금유출액,-9866101630822.0
150,단기차입금의 상환,-7192284842825.0
151,장기차입금의 상환,-868804067624.0
152,사채의 상환,-1489333333332.0
153,임대보증금의 감소,-7923402439.0
154,파생상품거래의 정산으로 인한 현금유출,
155,신종자본증권의 이자지급,-1975000000.0
156,금융리스부채의 감소,-263438652216.0
157,주식매수청구권의 행사,
158,유상감자,
159,종속기업 자기주식의 취득,-28312204209.0
160,종속기업투자의 추가취득,-13870446684.0
161,기타재무활동으로 인한 현금유출액,-159681493.0
162,이자지급,170505518905.0
163,배당금지급,93155187671.0
164,현금및현금성자산의 증가(감소),-662265485573.0
165,기초현금및현금성자산,1377676394192.0
166,매각예정처분자산집단에 포함된 현금및현금성자산,659561823778.0
167,전기말의 현금및현금성자산,718114570414.0
168,재무제표의 환산으로 인한 조정,8160956903.0
169,매각예정처분자산집단에 포함된 현금및현금성자산,
170,기말현금및현금성자산,723571865522.0
171,기초자본,8440291059413.0
172,기초자본,1319852244224.0
173,기초자본,7120438815189.0
174,기초자본,-94333757864.0
175,기초자본,6036833601493.0
176,기초자본,21179372000.0
177,기초자본,4248745109910.0
178,기초자본,-3091985510350.0
179,전기이월,8433467615310.0
180,전기이월,1320474359459.0
181,전기이월,7112993255851.0
182,전기이월,-94333757864.0
183,전기이월,6029388042155.0
184,전기이월,21179372000.0
185,전기이월,4248745109910.0
186,전기이월,-3091985510350.0
187,회계정책변경에 따른 증가(감소),6823444103.0
188,회계정책변경에 따른 증가(감소),-622115235.0
189,회계정책변경에 따른 증가(감소),7445559338.0
190,회계정책변경에 따른 증가(감소),
191,회계정책변경에 따른 증가(감소),7445559338.0
192,당기순이익(손실),-411644597115.0
193,당기순이익(손실),-52104219528.0
194,당기순이익(손실),-359540377587.0
195,당기순이익(손실),-359540377587.0
196,기타포괄손익-공정가치금융상품 평가손익,-21537246818.0
