,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
166,005250,녹십자홀딩스,24400,-700,-2.8,50888,1250406750,24900,25350,24100,1147488324000,0.07,47028210,3287902.0,6.99,167.0,2019-01-02
2549,005250,녹십자홀딩스,23900,-500,-2.0,34234,826115500,24700,24750,23750,1123974219000,0.07,47028210,3289608.0,6.99,171.0,2019-01-03
4926,005250,녹십자홀딩스,24600,700,2.9,64634,1580908850,24000,24750,24000,1156893966000,0.07,47028210,3300448.0,7.02,169.0,2019-01-04
7306,005250,녹십자홀딩스,24550,-50,-0.2,42470,1062246400,25000,25350,24550,1154542555500,0.07,47028210,3296035.0,7.01,170.0,2019-01-07
9680,005250,녹십자홀딩스,25050,500,2.0,28217,707407600,25000,25250,24700,1178056660500,0.08,47028210,3300211.0,7.02,165.0,2019-01-08
12061,005250,녹십자홀딩스,25100,50,0.2,49496,1258858550,24900,25750,24900,1180408071000,0.07,47028210,3309543.0,7.04,167.0,2019-01-09
14438,005250,녹십자홀딩스,25150,50,0.2,36676,927466100,25200,25650,24800,1182759481500,0.07,47028210,3314520.0,7.05,165.0,2019-01-10
16827,005250,녹십자홀딩스,24450,-700,-2.8,60805,1506436550,25050,25450,24300,1149839734500,0.07,47028210,3295126.0,7.01,175.0,2019-01-11
19206,005250,녹십자홀딩스,24200,-250,-1.0,35366,860161300,24500,24700,24050,1138082682000,0.07,47028210,3293645.0,7.0,175.0,2019-01-14
21586,005250,녹십자홀딩스,24050,-150,-0.6,59130,1442774050,24400,24800,24050,1131028450500,0.07,47028210,3300836.0,7.02,176.0,2019-01-15
23966,005250,녹십자홀딩스,23700,-350,-1.5,53492,1276668300,24050,24250,23600,1114568577000,0.07,47028210,3301392.0,7.02,177.0,2019-01-16
26341,005250,녹십자홀딩스,23850,150,0.6,40691,976337200,23800,24400,23700,1121622808500,0.07,47028210,3306019.0,7.03,173.0,2019-01-17
28721,005250,녹십자홀딩스,24250,400,1.7,27727,673809250,24150,24550,24000,1140434092500,0.07,47028210,3307802.0,7.03,174.0,2019-01-18
31102,005250,녹십자홀딩스,23850,-400,-1.6,31299,752296450,24350,24500,23800,1121622808500,0.07,47028210,3294828.0,7.01,176.0,2019-01-21
33481,005250,녹십자홀딩스,23900,50,0.2,27370,653771950,23800,24050,23650,1123974219000,0.07,47028210,3292028.0,7.0,176.0,2019-01-22
35861,005250,녹십자홀딩스,24200,300,1.3,50141,1204543200,23850,24400,23700,1138082682000,0.07,47028210,3284646.0,6.98,177.0,2019-01-23
38240,005250,녹십자홀딩스,24050,-150,-0.6,58575,1412720850,24000,24400,23800,1131028450500,0.07,47028210,3291912.0,7.0,177.0,2019-01-24
40622,005250,녹십자홀딩스,23700,-350,-1.5,63365,1503324850,23850,24050,23550,1114568577000,0.07,47028210,3286571.0,6.99,180.0,2019-01-25
42999,005250,녹십자홀딩스,23900,200,0.8,34677,826826550,23650,24050,23550,1123974219000,0.07,47028210,3289318.0,6.99,177.0,2019-01-28
45381,005250,녹십자홀딩스,23700,-200,-0.8,48680,1154534850,23700,24050,23500,1114568577000,0.07,47028210,3280889.0,6.98,179.0,2019-01-29
47761,005250,녹십자홀딩스,23850,150,0.6,30087,717717850,24000,24000,23700,1121622808500,0.07,47028210,3281533.0,6.98,180.0,2019-01-30
50141,005250,녹십자홀딩스,23900,50,0.2,58145,1392444850,24050,24300,23750,1123974219000,0.07,47028210,3289531.0,6.99,180.0,2019-01-31
52520,005250,녹십자홀딩스,24200,300,1.3,40537,981914250,23900,24400,23900,1138082682000,0.07,47028210,3298025.0,7.01,179.0,2019-02-01
54906,005250,녹십자홀딩스,23750,-450,-1.9,52905,1255212800,24150,24150,23500,1116919987500,0.07,47028210,3290798.0,7.0,184.0,2019-02-07
57286,005250,녹십자홀딩스,24000,250,1.0,52725,1262414750,23800,24150,23600,1128677040000,0.07,47028210,3286358.0,6.99,183.0,2019-02-08
59656,005250,녹십자홀딩스,25450,1450,6.0,174386,4360059700,24200,25450,24100,1196867944500,0.07,47028210,3326268.0,7.07,172.0,2019-02-11
62038,005250,녹십자홀딩스,25050,-400,-1.6,67384,1697349400,25650,25650,24850,1178056660500,0.07,47028210,3317135.0,7.05,172.0,2019-02-12
64417,005250,녹십자홀딩스,26100,1050,4.2,111566,2857850450,25000,26200,24600,1227436281000,0.07,47028210,3302532.0,7.02,169.0,2019-02-13
66801,005250,녹십자홀딩스,26100,0,0.0,77828,2004930850,26000,26150,25350,1227436281000,0.07,47028210,3279014.0,6.97,171.0,2019-02-14
69183,005250,녹십자홀딩스,25950,-150,-0.6,51589,1336899150,25700,26350,25650,1220382049500,0.07,47028210,3276240.0,6.97,171.0,2019-02-15
71565,005250,녹십자홀딩스,26200,250,1.0,35981,941872050,26050,26500,25700,1232139102000,0.07,47028210,3274330.0,6.96,171.0,2019-02-18
73945,005250,녹십자홀딩스,26450,200,0.8,75566,2011819800,26700,26900,26300,1243896154500,0.07,47028210,3261702.0,6.94,169.0,2019-02-20
76328,005250,녹십자홀딩스,26150,-300,-1.1,38382,1007364250,26350,26500,25950,1229787691500,0.07,47028210,3250327.0,6.91,170.0,2019-02-21
78712,005250,녹십자홀딩스,26100,-50,-0.2,29641,774192450,26000,26350,25700,1227436281000,0.07,47028210,3248739.0,6.91,172.0,2019-02-22
81101,005250,녹십자홀딩스,25900,-200,-0.8,30273,784738950,26100,26300,25750,1218030639000,0.07,47028210,3245249.0,6.9,179.0,2019-02-25
83482,005250,녹십자홀딩스,25800,-100,-0.4,27070,702438400,26200,26250,25800,1213327818000,0.07,47028210,3306270.0,7.03,178.0,2019-02-26
85859,005250,녹십자홀딩스,26450,650,2.5,40195,1052822150,26050,26450,25850,1243896154500,0.07,47028210,3321103.0,7.06,173.0,2019-02-27
88239,005250,녹십자홀딩스,26150,-300,-1.1,79690,2121011950,26600,26900,26150,1229787691500,0.07,47028210,3336874.0,7.1,172.0,2019-02-28
90620,005250,녹십자홀딩스,26800,650,2.5,77303,2080776350,26200,27200,26200,1260356028000,0.07,47028210,3347841.0,7.12,172.0,2019-03-04
92999,005250,녹십자홀딩스,26700,-100,-0.4,52003,1387575950,26650,27000,26400,1255653207000,0.07,47028210,3342601.0,7.11,171.0,2019-03-05
95386,005250,녹십자홀딩스,26000,-700,-2.6,77134,2004037000,26800,26800,25700,1222733460000,0.07,47028210,3350964.0,7.13,177.0,2019-03-06
97768,005250,녹십자홀딩스,25550,-450,-1.7,77314,1970272500,26200,26250,25100,1201570765500,0.07,47028210,3349184.0,7.12,178.0,2019-03-07
100151,005250,녹십자홀딩스,24900,-650,-2.5,54289,1360237000,25550,25550,24800,1171002429000,0.07,47028210,3347676.0,7.12,180.0,2019-03-08
102531,005250,녹십자홀딩스,25300,400,1.6,48078,1190919850,24900,25300,24250,1189813713000,0.07,47028210,3346122.0,7.12,179.0,2019-03-11
104914,005250,녹십자홀딩스,25400,100,0.4,39020,989772650,25300,25550,24850,1194516534000,0.07,47028210,3348507.0,7.12,181.0,2019-03-12
107292,005250,녹십자홀딩스,26150,750,3.0,51689,1340160000,25400,26250,25400,1229787691500,0.07,47028210,3361861.0,7.15,178.0,2019-03-13
109671,005250,녹십자홀딩스,26200,50,0.2,79062,2056661600,26350,26400,25600,1232139102000,0.07,47028210,3372732.0,7.17,176.0,2019-03-14
112058,005250,녹십자홀딩스,26100,-100,-0.4,44782,1170136100,26050,26350,25800,1227436281000,0.07,47028210,3377619.0,7.18,181.0,2019-03-15
114443,005250,녹십자홀딩스,25450,-650,-2.5,33209,853435300,26250,26250,25250,1196867944500,0.07,47028210,3396633.0,7.22,183.0,2019-03-18
116827,005250,녹십자홀딩스,25200,-250,-1.0,49301,1246884750,25250,25600,25050,1185110892000,0.07,47028210,3395057.0,7.22,184.0,2019-03-19
119210,005250,녹십자홀딩스,25150,-50,-0.2,30409,762283350,25200,25350,24800,1182759481500,0.07,47028210,3392707.0,7.21,184.0,2019-03-20
121593,005250,녹십자홀딩스,24600,-550,-2.2,47755,1186011000,24900,25350,24500,1156893966000,0.07,47028210,3397717.0,7.22,184.0,2019-03-21
123979,005250,녹십자홀딩스,23950,-650,-2.6,85008,2048535900,24450,24800,23750,1126325629500,0.07,47028210,3404862.0,7.24,186.0,2019-03-22
126365,005250,녹십자홀딩스,23400,-550,-2.3,49907,1177485500,23800,24000,23400,1100460114000,0.07,47028210,3406680.0,7.24,187.0,2019-03-25
128752,005250,녹십자홀딩스,23700,300,1.3,21660,514840000,23400,23950,23400,1114568577000,0.07,47028210,3412404.0,7.26,189.0,2019-03-26
131134,005250,녹십자홀딩스,24050,350,1.5,34127,817984200,23700,24200,23600,1131028450500,0.07,47028210,3412453.0,7.26,186.0,2019-03-27
133521,005250,녹십자홀딩스,23850,-200,-0.8,40132,957498100,23800,24100,23450,1121622808500,0.07,47028210,3412132.0,7.26,187.0,2019-03-28
135908,005250,녹십자홀딩스,24100,250,1.0,29680,717539600,24200,24350,23850,1133379861000,0.07,47028210,3417600.0,7.27,187.0,2019-03-29
138301,005250,녹십자홀딩스,24050,-50,-0.2,21267,513875250,24200,24450,23850,1131028450500,0.07,47028210,3417688.0,7.27,192.0,2019-04-01
140689,005250,녹십자홀딩스,24200,150,0.6,33008,796030300,23850,24400,23750,1138082682000,0.07,47028210,3418829.0,7.27,192.0,2019-04-02
143067,005250,녹십자홀딩스,25250,1050,4.3,49496,1222843400,23900,25250,23850,1187462302500,0.07,47028210,3436891.0,7.31,182.0,2019-04-03
145452,005250,녹십자홀딩스,25300,50,0.2,34766,878141850,25250,25400,24800,1189813713000,0.07,47028210,3434150.0,7.3,179.0,2019-04-04
147845,005250,녹십자홀딩스,24950,-350,-1.4,21051,526929550,25250,25450,24850,1173353839500,0.07,47028210,3427928.0,7.29,184.0,2019-04-05
150231,005250,녹십자홀딩스,24800,-150,-0.6,24682,615709000,25000,25150,24800,1166299608000,0.07,47028210,3425100.0,7.28,182.0,2019-04-08
152625,005250,녹십자홀딩스,24300,-500,-2.0,33841,827458000,24750,25000,24150,1142785503000,0.07,47028210,3430228.0,7.29,188.0,2019-04-09
155007,005250,녹십자홀딩스,25200,900,3.7,42515,1065191450,24300,25350,24300,1185110892000,0.07,47028210,3439957.0,7.31,182.0,2019-04-10
157395,005250,녹십자홀딩스,25250,50,0.2,49409,1250167800,25400,25500,25050,1187462302500,0.07,47028210,3451338.0,7.34,182.0,2019-04-11
159781,005250,녹십자홀딩스,25900,650,2.6,52534,1348874350,25150,26000,25150,1218030639000,0.07,47028210,3473715.0,7.39,180.0,2019-04-12
162169,005250,녹십자홀딩스,26200,300,1.2,38053,990585150,25750,26250,25650,1232139102000,0.07,47028210,3490471.0,7.42,179.0,2019-04-15
164557,005250,녹십자홀딩스,26100,-100,-0.4,44099,1145139300,25850,26300,25700,1227436281000,0.07,47028210,3515172.0,7.47,178.0,2019-04-16
166947,005250,녹십자홀딩스,26400,300,1.2,35776,937468750,25850,26450,25800,1241544744000,0.07,47028210,3532664.0,7.51,179.0,2019-04-17
169334,005250,녹십자홀딩스,26450,50,0.2,68195,1799729300,26350,26650,26000,1243896154500,0.07,47028210,3563931.0,7.58,177.0,2019-04-18
171727,005250,녹십자홀딩스,25550,-900,-3.4,19459,502933100,26200,26300,25550,1201570765500,0.07,47028210,3560182.0,7.57,181.0,2019-04-19
174119,005250,녹십자홀딩스,25200,-350,-1.4,36496,917318900,25500,25500,24900,1185110892000,0.07,47028210,3562595.0,7.58,184.0,2019-04-22
