,account_nm,thstrm_amount
0,유동자산,7328856814743.0
1,현금 및 현금성자산,1792956491853.0
2,매출채권 및 기타채권,3505180381682.0
3,재고자산,875113715855.0
4,단기금융자산,284371604300.0
5,기타유동자산,871234621053.0
6,비유동자산,5842348919594.0
7,유형자산,1176031564913.0
8,무형자산,489994194373.0
9,투자부동산,918272419592.0
10,사용권자산,519043943401.0
11,관계회사지분증권,52394582543.0
12,장기매출채권 및 기타채권,1157030053880.0
13,장기금융자산,438708444511.0
14,이연법인세자산,846852362630.0
15,당기손익-공정가치측정 금융자산,244021353751.0
16,자산총계,13171205734337.0
17,유동부채,5800889904080.0
18,매입채무 및 기타채무,1629979597832.0
19,단기금융부채,991731786875.0
20,법인세부채,133843667499.0
21,유동충당부채,135706862655.0
22,기타유동부채,2909627989219.0
23,비유동부채,3227288446151.0
24,장기매입채무및기타채무,
25,장기금융부채,2344607144607.0
26,순확정급여부채,49809922373.0
27,비유동충당부채,411092678456.0
28,이연법인세부채,130339698386.0
29,기타비유동부채,291439002329.0
30,부채총계,9028178350231.0
31,지배기업의 소유주에게 귀속되는 자본,3974680965863.0
32,자본금,400489020000.0
33,자본잉여금,802293937604.0
34,기타자본,-9428189853.0
35,기타포괄손익누계액,-46036330752.0
36,이익잉여금,2827362528864.0
37,비지배지분,168346418243.0
38,자본총계,4143027384106.0
39,자본과부채총계,13171205734337.0
40,매출액,10416589201821.0
41,공사매출,9672557123476.0
42,분양매출,398192269420.0
43,기타매출,345839808925.0
44,매출원가,9018721377045.0
45,공사매출원가,8397454432299.0
46,분양매출원가,302090148838.0
47,기타매출원가,319176795908.0
48,매출총이익,1397867824776.0
49,판매비와관리비,630601135699.0
50,영업이익,767266689077.0
51,기타수익,264177880599.0
52,기타비용,389312209953.0
53,관계회사지분증권손익,-2903628468.0
54,지분법이익,5421626789.0
55,지분법손실,-8325255257.0
56,금융수익,260441906782.0
57,금융원가,225936333728.0
58,법인세비용차감전순이익,673734304309.0
59,법인세비용,226255061702.0
60,당기순이익,447479242607.0
61,지배기업의 소유주에게 귀속되는 당기순이익,443360428982.0
62,비지배지분에 귀속되는 당기순이익,4118813625.0
63,기본주당이익(손실),5590.0
64,희석주당이익(손실),5046.0
65,당기순이익,447479242607.0
66,기타포괄손익,8273496050.0
67,매도가능금융자산평가이익,
68,매도가능금융자산평가손실,
69,해외사업환산이익,22605693199.0
70,해외사업환산손실,-5387518045.0
71,파생상품평가이익,3207669210.0
72,파생상품평가손실,2342312998.0
73,확정급여제도의 재측정손익,-14494661312.0
74,당기총포괄이익(손실),455752738657.0
75,지배기업의 소유주에게 귀속되는 지분,453516210229.0
76,비지배지분,2236528428.0
77,영업활동으로 인한 현금흐름,759268850595.0
78,영업활동으로부터 창출된 현금흐름,1161512264899.0
79,이자의 수취,69065539022.0
80,이자의 지급,137342407200.0
81,배당금의 수취,749924300.0
82,법인세의 납부,334716470426.0
83,투자활동으로 인한 현금흐름,-747618076205.0
84,투자활동으로 인한 현금유입액,1125726550038.0
85,기타채권의 감소,349179521212.0
86,단기금융자산의 감소,520789044546.0
87,장기기타채권의 감소,194881459484.0
88,장기금융자산의 감소,16800689782.0
89,당기손익-공정가치측정 금융자산의 처분,24785197098.0
90,관계회사지분증권의 처분,291371634.0
91,유형자산의 처분,7045446218.0
92,무형자산의 처분,1308254807.0
93,투자부동산의 처분,858858088.0
94,연결범위변동으로 인한 증가,9786707169.0
95,투자활동으로 인한 현금유출액,1873344626243.0
96,기타채권의 증가,178979724860.0
97,단기금융자산의 증가,480109007538.0
98,장기기타채권의 증가,630080768748.0
99,장기금융자산의 증가,27651119973.0
100,당기손익-공정가치측정 금융자산의 취득,13281153971.0
101,관계회사지분증권의 취득,24679914722.0
102,유형자산의 취득,142819348899.0
103,무형자산의 취득,17235101593.0
104,투자부동산의 취득,69597698398.0
105,종속기업주식의 취득,288903532931.0
106,연결범위변동으로 인한 감소,7254610.0
107,재무활동으로 인한 현금흐름,183526299005.0
108,재무활동으로 인한 현금유입액,3230051963158.0
109,단기금융부채의 증가,2155082217733.0
110,장기금융부채의 증가,1003335367465.0
111,기타비유동부채의 증가,25682255277.0
112,비지배지분의 증가,45952122683.0
113,재무활동으로 인한 현금유출액,3046525664153.0
114,단기금융부채의 감소,2672925912221.0
115,장기금융부채의 감소,68762530772.0
116,기타유동부채의 감소,5438800000.0
117,기타비유동부채의 감소,43967806951.0
118,종속기업주식의 취득,67616433775.0
119,배당금의 지급,83016789650.0
120,신종자본증권의 이자지급,795354000.0
121,자기주식의 취득,
122,주식발행비의 지급,38760510.0
123,리스부채의 지급,103963276274.0
124,현금및현금성자산에 대한 환율변동효과,5160272635.0
125,현금및현금성자산의 증가(감소),200337346030.0
126,기초현금및현금성자산,1592619145823.0
127,기말현금및현금성자산,1792956491853.0
128,기초자본,3624685894071.0
129,기초자본,76173169007.0
130,기초자본,3548512725064.0
131,기초자본,-77044623628.0
132,기초자본,-70462829076.0
133,기초자본,2487073069949.0
134,기초자본,397178985000.0
135,기초자본,811768122819.0
136,회계정책변경에 따른 효과,-6232321953.0
137,회계정책변경에 따른 효과,-6232321953.0
138,회계정책변경에 따른 효과,
139,회계정책변경에 따른 효과,-6232321953.0
140,수정 후 재작성된 금액,3618453572118.0
141,수정 후 재작성된 금액,76173169007.0
142,수정 후 재작성된 금액,3542280403111.0
143,수정 후 재작성된 금액,-77044623628.0
144,수정 후 재작성된 금액,-70462829076.0
145,수정 후 재작성된 금액,2480840747996.0
146,수정 후 재작성된 금액,397178985000.0
147,수정 후 재작성된 금액,811768122819.0
148,당기순이익,447479242607.0
149,당기순이익,4118813625.0
150,당기순이익,443360428982.0
151,당기순이익,443360428982.0
152,매도가능금융자산평가이익,
153,매도가능금융자산평가이익,
154,매도가능금융자산평가이익,
155,매도가능금융자산평가손실,
156,매도가능금융자산평가손실,
157,매도가능금융자산평가손실,
158,해외사업환산이익,22605693199.0
159,해외사업환산이익,3086493552.0
160,해외사업환산이익,19519199647.0
161,해외사업환산이익,19519199647.0
162,해외사업환산손실,-5387518045.0
163,해외사업환산손실,-4685084521.0
164,해외사업환산손실,-702433524.0
165,해외사업환산손실,-702433524.0
166,파생상품평가이익,3207669210.0
167,파생상품평가이익,3207669210.0
168,파생상품평가이익,3207669210.0
169,파생상품평가손실,2342312998.0
170,파생상품평가손실,-59749993.0
171,파생상품평가손실,2402062991.0
172,파생상품평가손실,2402062991.0
173,확정급여제도의 재측정 손익,-14494661312.0
174,확정급여제도의 재측정 손익,-223944235.0
175,확정급여제도의 재측정 손익,-14270717077.0
176,확정급여제도의 재측정 손익,-14270717077.0
177,총포괄손익 소계,455752738657.0
178,총포괄손익 소계,2236528428.0
179,총포괄손익 소계,453516210229.0
180,총포괄손익 소계,24426498324.0
181,총포괄손익 소계,429089711905.0
182,자기주식거래에 따른 변동,
183,자기주식거래에 따른 변동,
184,자기주식거래에 따른 변동,
185,배당금의 지급,-82993280425.0
186,배당금의 지급,-4250078425.0
187,배당금의 지급,-78743202000.0
188,배당금의 지급,-78743202000.0
189,연결범위의 변동,91403082381.0
190,연결범위의 변동,91403082381.0
191,신종자본증권의 이자지급,-795354000.0
192,신종자본증권의 이자지급,-795354000.0
193,신종자본증권의 이자지급,-795354000.0
194,신종자본증권의 교환,
195,신종자본증권의 교환,
196,신종자본증권의 교환,
197,신종자본증권의 교환,
198,비지배지분의 변동,2366512320.0
199,비지배지분의 변동,2366512320.0
200,종속기업지분의 변동,43946487700.0
201,종속기업지분의 변동,1055685955.0
202,종속기업지분의 변동,42890801745.0
203,종속기업지분의 변동,67616433775.0
204,종속기업지분의 변동,509539470.0
205,종속기업지분의 변동,-25235171500.0
206,전환사채 전환,19071021285.0
207,전환사채 전환,19071021285.0
208,전환사채 전환,3310035000.0
209,전환사채 전환,15760986285.0
210,기타,-4177395930.0
211,기타,-638481423.0
212,기타,-3538914507.0
213,기타,-3538914507.0
214,소유주와의 거래 소계,68821073331.0
215,소유주와의 거래 소계,89936720808.0
216,소유주와의 거래 소계,-21115647477.0
217,소유주와의 거래 소계,67616433775.0
218,소유주와의 거래 소계,-82567931037.0
219,소유주와의 거래 소계,3310035000.0
220,소유주와의 거래 소계,-9474185215.0
221,기말자본,4143027384106.0
222,기말자본,168346418243.0
223,기말자본,3974680965863.0
224,기말자본,-9428189853.0
225,기말자본,-46036330752.0
226,기말자본,2827362528864.0
227,기말자본,400489020000.0
228,기말자본,802293937604.0
