,account_nm,thstrm_amount
0,유동자산,431881632793.0
1,현금및현금성자산,122932866442.0
2,단기금융상품,243450000.0
3,매출채권,137546178767.0
4,재고자산,136947873948.0
5,기타금융자산,10308092791.0
6,기타유동자산,23903170845.0
7,파생금융상품자산,
8,매각예정자산,
9,비유동자산,479864566364.0
10,장기투자증권,129383898456.0
11,기타금융자산,3075237211.0
12,유형자산,319830548397.0
13,사용권자산,4664172024.0
14,무형자산,20897597735.0
15,관계기업투자주식,200000000.0
16,기타비유동자산,
17,이연법인세자산,1813112541.0
18,자산총계,911746199157.0
19,유동부채,268372943940.0
20,매입채무,100671820025.0
21,단기차입금,110699623455.0
22,파생상품부채,323077862.0
23,기타금융부채,13598289872.0
24,당기법인세부채,11255682955.0
25,기타유동부채,24156530505.0
26,유동리스부채,1338361187.0
27,충당부채,1995247535.0
28,유동성장기부채,4334310544.0
29,비유동부채,17272090537.0
30,장기차입금,1122231306.0
31,확정급여부채,7753997983.0
32,비유동리스부채,2386720409.0
33,장기충당부채,2305658378.0
34,이연법인세부채,3703482461.0
35,부채총계,285645034477.0
36,지배기업 소유주지분,602039521995.0
37,자본금,4997002500.0
38,자본잉여금,2863679858.0
39,기타포괄손익누계액,-3453326995.0
40,기타자본조정,-290321377008.0
41,이익잉여금,887953543640.0
42,비지배지분,24061642685.0
43,자본총계,626101164680.0
44,자본과부채총계,911746199157.0
45,매출액,929772577258.0
46,매출원가,785979280673.0
47,매출총이익,143793296585.0
48,판매비와관리비,63563388162.0
49,영업이익(손실),80229908423.0
50,기타수익,32889225067.0
51,기타비용,26332534560.0
52,금융수익,4163388787.0
53,금융비용,3295277362.0
54,법인세비용차감전계속영업이익,87654710355.0
55,계속영업이익법인세비용,19364580700.0
56,계속영업당기순이익,68290129655.0
57,중단영업이익(손실),
58,당기순이익,68290129655.0
59,기타포괄손익,2924042092.0
60,확정급여제도의 재측정요소,-751851342.0
61,해외사업환산손익,367387546.0
62,기타포괄손익-공정가치측정금융자산평가손익,215184029.0
63,매도가능금융자산평가손익,
64,기타포괄손익-공정가치측정금융자산평가손익,-85457121.0
65,해외사업환산손익,3178778980.0
66,당기총포괄손익,71214171747.0
67,지배기업소유주지분,65798360509.0
68,비지배지분,2491769146.0
69,지배기업소유주지분,68392957296.0
70,비지배지분,2821214451.0
71,기본주당이익(손실),7539.0
72,기본주당계속영업이익(손실),7539.0
73,영업활동현금흐름,90547901759.0
74,당기순이익,68290129655.0
75,비현금항목 및 운전자본조정,39660603659.0
76,이자의 수취(영업),2887242888.0
77,배당금의 수취,857495904.0
78,이자의 지급,3239393351.0
79,법인세의 납부,17908176996.0
80,투자활동현금흐름,-93930527957.0
81,단기금융상품의 처분,
82,단기대여금의 회수,408925069.0
83,장기투자증권의 처분,7262024812.0
84,유형자산의 처분,5812865948.0
85,국고보조금의 수취,93468962.0
86,파생금융상품거래로 인한 현금유입,
87,기타금융자산의 순증감,-34969500.0
88,사업결합이전대가의 조정,
89,매각예정자산의 처분,
90,임차보증금의 순증감,516864120.0
91,단기대여금의 대여,407577388.0
92,관계기업투자주식의 취득,200000000.0
93,장기투자증권의 취득,40332857804.0
94,유형자산의 취득,62231040354.0
95,무형자산의 취득,3089131822.0
96,파생금융상품거래로 인한 현금유출,1729100000.0
97,재무활동현금흐름,-29429144097.0
