,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
415,009290,광동제약,6710,-140,-2.0,70517,474833350,6890,6890,6650,351743910210,0.02,52420851,12854140.0,24.52,416.0,2019-01-02
2790,009290,광동제약,6630,-80,-1.2,60509,401399730,6700,6750,6570,347550242130,0.02,52420851,12835855.0,24.49,412.0,2019-01-03
5168,009290,광동제약,6690,60,0.9,149423,968128620,6610,6690,6400,350695493190,0.02,52420851,12849725.0,24.51,411.0,2019-01-04
7548,009290,광동제약,6760,70,1.0,100280,672485190,6750,6760,6650,354364952760,0.02,52420851,12860073.0,24.53,412.0,2019-01-07
9935,009290,광동제약,6670,-90,-1.3,43582,292472580,6710,6760,6660,349647076170,0.02,52420851,12844810.0,24.5,420.0,2019-01-08
12305,009290,광동제약,6890,220,3.3,149599,1021368910,6670,6940,6670,361179663390,0.02,52420851,12883599.0,24.58,411.0,2019-01-09
14687,009290,광동제약,6810,-80,-1.2,63199,433228130,6980,6980,6810,356985995310,0.02,52420851,12864553.0,24.54,414.0,2019-01-10
17068,009290,광동제약,6870,60,0.9,82000,562680720,6810,6920,6810,360131246370,0.02,52420851,12870912.0,24.55,416.0,2019-01-11
19447,009290,광동제약,6860,-10,-0.2,59913,412318720,6870,6920,6840,359607037860,0.02,52420851,12863297.0,24.54,416.0,2019-01-14
21821,009290,광동제약,6990,130,1.9,94713,658345990,6810,7030,6810,366421748490,0.02,52420851,12875675.0,24.56,411.0,2019-01-15
24198,009290,광동제약,6980,-10,-0.1,55883,390559600,6990,7020,6960,365897539980,0.02,52420851,12870982.0,24.55,409.0,2019-01-16
26577,009290,광동제약,7040,60,0.9,141220,998772500,6940,7130,6940,369042791040,0.02,52420851,12920743.0,24.65,409.0,2019-01-17
28955,009290,광동제약,7130,90,1.3,54131,384511790,7050,7140,7050,373760667630,0.02,52420851,12923871.0,24.65,408.0,2019-01-18
31341,009290,광동제약,7070,-60,-0.8,81280,579647920,7140,7180,7070,370615416570,0.02,52420851,12900298.0,24.61,415.0,2019-01-21
33713,009290,광동제약,7220,150,2.1,152308,1084131720,7050,7230,7010,378478544220,0.02,52420851,12926283.0,24.66,408.0,2019-01-22
36088,009290,광동제약,7290,70,1.0,150478,1099904600,7210,7360,7150,382148003790,0.02,52420851,12918748.0,24.64,404.0,2019-01-23
38466,009290,광동제약,7390,100,1.4,138537,1022031240,7300,7470,7280,387390088890,0.02,52420851,12941950.0,24.69,403.0,2019-01-24
40851,009290,광동제약,7330,-60,-0.8,116239,854302930,7410,7410,7320,384244837830,0.02,52420851,12933463.0,24.67,409.0,2019-01-25
43228,009290,광동제약,7370,40,0.6,131130,961673310,7380,7390,7280,386341671870,0.02,52420851,12951387.0,24.71,406.0,2019-01-28
45609,009290,광동제약,7290,-80,-1.1,69450,504262820,7300,7390,7220,382148003790,0.02,52420851,12918635.0,24.64,407.0,2019-01-29
47989,009290,광동제약,7280,-10,-0.1,122201,887671500,7250,7310,7190,381623795280,0.02,52420851,12934457.0,24.67,408.0,2019-01-30
50369,009290,광동제약,7320,40,0.6,78546,570300010,7320,7320,7200,383720629320,0.02,52420851,12941060.0,24.69,408.0,2019-01-31
52754,009290,광동제약,7250,-70,-1.0,41298,300386430,7340,7350,7230,380051169750,0.02,52420851,12947502.0,24.7,413.0,2019-02-01
