,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
107,010620,현대미포조선,58800,-1200,-2.0,179047,10614733100,59500,60400,58300,2348598361200,0.15,39942149,4348780.0,10.89,108.0,2019-01-02
2482,010620,현대미포조선,61000,2200,3.7,482873,29702722100,58800,62300,58800,2436471089000,0.16,39942149,4421880.0,11.07,104.0,2019-01-03
4858,010620,현대미포조선,63100,2100,3.4,354976,22055577800,61400,63500,60200,2520349601900,0.16,39942149,4448482.0,11.14,101.0,2019-01-04
7241,010620,현대미포조선,61600,-1500,-2.4,238102,14912801700,64400,64400,61500,2460436378400,0.16,39942149,4419040.0,11.06,105.0,2019-01-07
9622,010620,현대미포조선,59700,-1900,-3.1,361873,21657594100,62200,62600,59000,2384546295300,0.15,39942149,4468423.0,11.19,107.0,2019-01-08
12000,010620,현대미포조선,61600,1900,3.2,360432,22319863700,60400,63100,60400,2460436378400,0.15,39942149,4547360.0,11.38,106.0,2019-01-09
14379,010620,현대미포조선,61600,0,0.0,287863,18019904800,62200,64300,61500,2460436378400,0.15,39942149,4552008.0,11.4,106.0,2019-01-10
16760,010620,현대미포조선,60300,-1300,-2.1,380769,22923956200,62200,62500,59400,2408511584700,0.15,39942149,4465836.0,11.18,108.0,2019-01-11
19138,010620,현대미포조선,60700,400,0.7,176387,10647408900,60400,60900,59900,2424488444300,0.15,39942149,4479994.0,11.22,107.0,2019-01-14
21515,010620,현대미포조선,62300,1600,2.6,210370,13037626700,61200,62400,61000,2488395882700,0.15,39942149,4561519.0,11.42,105.0,2019-01-15
23891,010620,현대미포조선,64000,1700,2.7,353292,22408978200,62500,64200,62100,2556297536000,0.16,39942149,4659546.0,11.67,102.0,2019-01-16
26272,010620,현대미포조선,62500,-1500,-2.3,157141,9883371000,64000,64000,62500,2496384312500,0.15,39942149,4632923.0,11.6,104.0,2019-01-17
28648,010620,현대미포조선,64400,1900,3.0,254070,16186100300,62800,64500,62000,2572274395600,0.16,39942149,4622488.0,11.57,101.0,2019-01-18
31027,010620,현대미포조선,64400,0,0.0,328410,21436227000,64700,66200,64300,2572274395600,0.16,39942149,4597091.0,11.51,101.0,2019-01-21
33406,010620,현대미포조선,64700,300,0.5,151372,9779913800,64900,65500,63100,2584257040300,0.16,39942149,4608085.0,11.54,101.0,2019-01-22
