,account_nm,thstrm_amount
0,유동자산,1701687455619
1,현금및현금성자산,301144918272
2,매출채권및기타채권,279339801030
3,기타금융자산,7505867024
4,미청구공사,61770646739
5,재고자산,704800406208
6,기타유동자산,347087358507
7,당기법인세자산,38457839
8,비유동자산,1182088970584
9,매출채권및기타채권,54965795605
10,기타금융자산,92499615694
11,관계기업투자,11615233865
12,유형자산,718123204779
13,투자부동산,183796932247
14,무형자산,115149165065
15,기타비유동자산,4964938948
16,이연법인세자산,974084381
17,자산총계,2883776426203
18,유동부채,852502144382
19,매입채무및기타채무,159417460000
20,단기차입금,247548251861
21,유동성장기차입금,151330148890
22,유동성장기유동화채무,0
23,단기사채,32000000000
24,유동성전환사채,650706267
25,유동성기타금융부채,9406024189
26,초과청구공사,3819324257
27,기타유동부채,229091206800
28,유동성충당부채,3423990318
29,유동성파생상품부채,234511342
30,당기법인세부채,15580520458
31,비유동부채,757716143401
32,매입채무및기타채무,11142891257
33,장기차입금,548769270288
34,장기유동화채무,0
35,사채,80000000000
36,기타금융부채,22100665492
37,순확정급여부채,9012752244
38,충당부채,41356092841
39,파생상품부채,1398940513
40,이연법인세부채,43935530766
41,비지배지분부채,0
42,부채총계,1610218287783
43,지배기업의 소유주에게 귀속되는 자본,1098252359304
44,자본금,15446303000
45,자본잉여금,399331929154
46,자본조정,2620474575
47,기타포괄손익누계액,5181261534
48,이익잉여금,675672391041
49,비지배지분,175305779116
50,자본총계,1273558138420
51,자본과부채총계,2883776426203
52,매출액,964111879557
53,매출원가,735161184855
54,매출총이익,228950694702
55,판매비와관리비,162709989666
56,영업이익(손실),66240705036
57,기타수익,7639492466
58,기타비용,9135806292
59,금융수익,24690422038
60,금융비용,37305863495
61,지분법손익,11907398583
62,지분법처분손익,1423803413
63,법인세비용차감전순이익(손실),65460151749
64,법인세비용,17100534046
65,계속사업당기순이익,48359617703
66,중단사업손익,25902628304
67,당기순이익(손실),74262246007
68,기타포괄손익,789736459
69,후속적으로 당기손익으로 재분류되는 기타포괄손익,1194515750
70,해외사업장환산외환차이,238752422
71,매도가능금융자산평가손익,0
72,파생상품평가손익,-306684398
73,지분법자본변동,1262447726
74,후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,-404779291
75,기타포괄손익-공정가치 측정지분상품 평가손익,2300887981
76,기타포괄손익-공정가치 측정지분상품 처분손익,-147328576
77,지분법이익잉여금변동,0
78,확정급여제도의재측정요소,-2558338696
79,총포괄손익,75051982466
80,지배기업소유지분,66056642844
81,비지배지분,8205603163
82,지배기업소유지분,66943708882
83,비지배지분,8108273584
84,기본주당이익(손실),2141
85,계속사업주당이익,1442
86,중단사업주당이익,699
87,희석주당이익(손실),2141
88,계속사업희석주당이익,1442
89,중단사업희석주당이익,699
90,영업활동현금흐름,-117157545529
91,당기순이익(손실),74262246007
92,비현금항목의 조정,50263189929
93,영업자산 부채의 변동,-191510562572
94,이자의 수취,5116716232
95,이자의 지급,41847539330
96,배당금의 수취,200000000
97,법인세의 납부,13641595795
98,투자활동현금흐름,-38570169275
99,투자활동으로 인한 현금유입액,292475386300
100,단기대여금의 감소,1209700451
101,기타유동금융자산의 처분,161852279008
102,장기대여금의 감소,10059395762
103,기타비유동금융자산의 처분,11931087913
104,종속기업주식의 처분,68970783503
105,관계기업주식의 정산,33323798127
106,유형자산의 처분,640345606
107,무형자산의 처분,0
108,보증금의 감소,4487995930
109,투자활동으로 인한 현금유출액,-331045555575
110,단기대여금의 증가,2401406454
111,기타유동금융자산의 취득,144355867024
112,장기대여금의 증가,16170115991
113,기타비유동금융자산의 취득,43722386069
114,관계기업주식의 취득,209633631
115,유형자산의 취득,24324323228
116,무형자산의 취득,455248135
117,보증금의 증가,6972986641
118,사업결합으로 인한 순현금유출액,92433588402
119,재무활동현금흐름,257872155873
120,재무활동으로 인한 현금유입액,1146875375450
121,단기차입금의 증가,215845236840
122,장기차입금의 증가,580449638610
123,단기사채의 발행,269000000000
124,사채의 발행,80000000000
125,유동화채무의 발행,0
126,리스미지급금의 증가,0
127,장기임대보증금의 증가,1580500000
128,재무활동으로 인한 현금유출액,-889003219577
129,단기차입금의 상환,235878313415
130,단기사채의 상환,314000000000
131,유동성장기차입금의 상환,170625537616
132,유동성리스미지급금의 상환,0
133,유동성장기유동화채무의 상환,0
134,유동성전환사채의 상환,78393186030
135,유동성리스부채의 상환,7161883722
136,장기차입금의 상환,45168689994
137,임대보증금의 감소,385000000
138,자기주식의 취득,0
139,신주발행비,408392000
140,파생상품정산,0
141,연차배당,36982216800
142,환율변동효과 반영전 현금및현금성자산의 순증가(감소),102144441069
143,현금및현금성자산에 대한 환율변동효과,106608500
144,현금및현금성자산의순증가(감소),102251049569
145,기초현금및현금성자산,198893868703
