,account_nm,thstrm_amount
0,유동자산,21504648000000.0
1,현금및현금성자산,3341977000000.0
2,당기손익인식금융자산,
3,단기금융상품,
4,기타금융자산,7769131000000.0
5,매출채권및기타채권,7125380000000.0
6,재고자산,3034170000000.0
7,기타유동자산,233990000000.0
8,비유동자산,25101416000000.0
9,유형자산,8605375000000.0
10,무형자산,913970000000.0
11,투자부동산,63533000000.0
12,사용권자산,365659000000.0
13,관계기업및공동기업투자주식,14087769000000.0
14,매도가능금융자산,
15,비유동금융자산,466032000000.0
16,이연법인세자산,289948000000.0
17,기타비유동자산,309130000000.0
18,자산총계,46606064000000.0
19,유동부채,8962268000000.0
20,매입채무및기타채무,5685109000000.0
21,유동성장기부채및단기차입금,1514373000000.0
22,유동성리스부채,77458000000.0
23,미지급법인세,374044000000.0
24,유동성판매보증충당부채,650958000000.0
25,기타유동부채,660326000000.0
26,비유동부채,5234174000000.0
27,장기차입금,1152506000000.0
28,퇴직급여채무,52723000000.0
29,비유동성리스부채,256883000000.0
30,장기성판매보증충당부채,247481000000.0
31,이연법인세부채,2992415000000.0
32,기타비유동부채,532166000000.0
33,부채총계,14196442000000.0
34,지배기업소유주지분,32330018000000.0
35,자본금,491096000000.0
36,자본잉여금,1397897000000.0
37,자기주식,393029000000.0
38,기타자본,-822750000000.0
39,이익잉여금,31656804000000.0
40,비지배지분,79604000000.0
41,자본총계,32409622000000.0
42,부채 및 자본총계,46606064000000.0
43,매출액,38048768000000.0
44,매출원가,32819599000000.0
45,매출총이익,5229169000000.0
46,판매비와관리비,2869912000000.0
47,영업이익,2359257000000.0
48,기타수익,243458000000.0
49,기타비용,240640000000.0
50,금융수익,358902000000.0
51,금융비용,215577000000.0
52,관계기업및공동기업투자관련이익,708894000000.0
53,법인세비용차감전순이익,3214294000000.0
54,법인세비용,919983000000.0
55,당기순이익,2294311000000.0
56,지배기업소유주지분 순이익,2290670000000.0
57,비지배지분 순이익(손실),3641000000.0
58,기본주당이익,24234.0
59,당기순이익,2294311000000.0
60,기타포괄손익,195631000000.0
61,후속적으로 당기손익으로 재분류되지 않는 항목,-20073000000.0
62,확정급여제도의 재측정요소,-16164000000.0
63,지분법이익잉여금변동,21060000000.0
64,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),-10385000000.0
65,지분법자본변동,-14584000000.0
66,기타 잉여금 변동,
67,후속적으로 당기손익으로 재분류되는 항목,215704000000.0
68,해외사업환산이익(손실),128703000000.0
69,위험회피목적파생상품평가이익(손실),-1061000000.0
70,지분법자본변동,88062000000.0
71,매도가능금융자산평가이익(손실),
72,총포괄이익,2489942000000.0
73,지배기업소유주지분,2486518000000.0
74,비지배지분,3424000000.0
75,영업활동현금흐름,2644058000000.0
76,영업에서 창출된 현금흐름,3016761000000.0
77,이자의 수취,225083000000.0
78,이자의 지급,62933000000.0
79,배당금의 수취,277494000000.0
80,법인세의 납부,812347000000.0
81,투자활동현금흐름,-720168000000.0
82,상각후원가 측정 금융자산의 증가,-139476000000.0
83,단기금융상품의 감소(증가),
84,장기금융상품의 감소(증가),
85,매도가능금융자산의 처분,
86,매도가능금융자산의 취득,
87,당기손익-공정가치측정 금융자산 처분,84000000.0
88,당기손익-공정가치측정 금융자산 취득,880000000.0
89,기타포괄손익-공정가치측정 금융자산 취득,-67150000000.0
90,종속기업처분으로 인한 순현금유입,
91,관계기업투자주식의 취득,
92,단기대여금의 감소(증가),1724000000.0
93,장기대여금의 감소(증가),-213000000.0
94,유형자산의 처분,38083000000.0
95,유형자산의 취득,789449000000.0
96,무형자산의 처분,1430000000.0
97,무형자산의 취득,38335000000.0
98,보증금의 감소(증가),-4938000000.0
99,투자부동산의 취득,
100,재무활동현금흐름,-972006000000.0
101,리스부채의 상환,98371000000.0
102,유동성장기부채및단기차입금의 차입,4494869000000.0
103,단기차입금의 상환,4934388000000.0
104,장기차입금의 차입,522168000000.0
105,장기차입금의 상환,163474000000.0
106,자기주식의 취득,322534000000.0
107,배당금지급,475021000000.0
108,종속기업 유상증자,4745000000.0
109,외화환산으로 인한 현금및현금성자산의 변동,55033000000.0
110,현금및현금성자산의 증가,1006917000000.0
111,기초의 현금및현금성자산,2335060000000.0
112,분기말의 현금및현금성자산,3341977000000.0
113,기초자본,30703428000000.0
114,기초자본,72933000000.0
115,기초자본,30630495000000.0
116,기초자본,-1013270000000.0
117,기초자본,30095474000000.0
118,기초자본,-338831000000.0
119,기초자본,491096000000.0
120,기초자본,1396026000000.0
121,K-IFRS 1109 최초적용에 따른 조정,
122,K-IFRS 1109 최초적용에 따른 조정,
123,기초자본(조정금액),30703428000000.0
124,기초자본(조정금액),72933000000.0
125,기초자본(조정금액),30630495000000.0
126,기초자본(조정금액),-1013270000000.0
127,기초자본(조정금액),30095474000000.0
128,기초자본(조정금액),-338831000000.0
129,기초자본(조정금액),491096000000.0
130,기초자본(조정금액),1396026000000.0
131,당기순이익,2294311000000.0
132,당기순이익,3641000000.0
133,당기순이익,2290670000000.0
134,당기순이익,2290670000000.0
135,매도가능금융자산평가이익(손실),
136,매도가능금융자산평가이익(손실),
137,매도가능금융자산평가이익(손실),
138,매도가능금융자산평가이익(손실),
139,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),-10385000000.0
140,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),-2000000.0
141,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),-10383000000.0
142,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),-10383000000.0
143,해외사업환산이익(손실),128703000000.0
144,해외사업환산이익(손실),217000000.0
145,해외사업환산이익(손실),128486000000.0
146,해외사업환산이익(손실),128486000000.0
147,위험회피목적파생상품평가이익(손실),1061000000.0
148,위험회피목적파생상품평가이익(손실),1061000000.0
149,위험회피목적파생상품평가이익(손실),1061000000.0
150,지분법평가,94538000000.0
151,지분법평가,94538000000.0
152,지분법평가,73478000000.0
153,지분법평가,21060000000.0
154,기타 잉여금 변동,
155,기타 잉여금 변동,
156,기타 잉여금 변동,
157,기타 잉여금 변동,
158,확정급여제도의 재측정요소,-16164000000.0
159,확정급여제도의 재측정요소,-432000000.0
160,확정급여제도의 재측정요소,-15732000000.0
161,확정급여제도의 재측정요소,-15732000000.0
162,종속기업의 처분,
163,종속기업의 처분,
164,종속기업의 처분,
165,종속기업의 처분,
166,종속기업의 유상증자 등,4745000000.0
167,종속기업의 유상증자 등,4745000000.0
168,종속기업의 유상증자 등,
169,종속기업의 유상증자 등,
170,배당금지급,475021000000.0
171,배당금지급,1498000000.0
172,배당금지급,473523000000.0
173,배당금지급,473523000000.0
174,자기주식 거래로 인한 증감,-313472000000.0
175,자기주식 거래로 인한 증감,-313472000000.0
176,자기주식 거래로 인한 증감,-261145000000.0
177,자기주식 거래로 인한 증감,-54198000000.0
178,자기주식 거래로 인한 증감,1871000000.0
179,기말자본,32409622000000.0
180,기말자본,79604000000.0
181,기말자본,32330018000000.0
182,기말자본,-822750000000.0
183,기말자본,31656804000000.0
184,기말자본,-393029000000.0
185,기말자본,491096000000.0
186,기말자본,1397897000000.0
