,account_nm,thstrm_amount
0,유동자산,2922368562593.0
1,현금및현금성자산,686657130299.0
2,기타금융자산,12500000000.0
3,파생금융자산,8696950974.0
4,매출채권,1173348286705.0
5,기타유동채권,65728250266.0
6,기타유동자산,362611225348.0
7,재고자산,612826719001.0
8,매각예정비유동자산,
9,비유동자산,4160000450061.0
10,장기금융상품,39258539.0
11,당기손익-공정가치금융자산,2239670400.0
12,만기보유금융자산,
13,비유동파생금융자산,4611634621.0
14,기타비유동채권,15357114448.0
15,관계및공동기업투자,101962029444.0
16,유형자산,2130362430371.0
17,무형자산,1592829624225.0
18,리스자산,204694720630.0
19,이연법인세자산,73303967308.0
20,기타비유동자산,34600000075.0
21,자산총계,7082369012654.0
22,유동부채,2091463307171.0
23,매입채무,953436730266.0
24,기타유동채무,492766364173.0
25,차입금,375246480087.0
26,유동성회사채,49994430325.0
27,당기법인세부채,78784297128.0
28,파생금융부채,10817688815.0
29,기타유동부채,127456204087.0
30,유동충당부채,2961112290.0
31,매각예정비유동부채,
32,비유동부채,2653403508339.0
33,기타비유동채무,12826594897.0
34,차입금,722924284687.0
35,회사채,1585852926140.0
36,비유동파생금융부채,1049581800.0
37,순확정급여부채,175222937705.0
38,비유동충당부채,38924116494.0
39,이연법인세부채,97196221224.0
40,기타비유동부채,19406845392.0
41,부채총계,4744866815510.0
42,지배기업의 소유주에게 귀속되는 자본,2216776737761.0
43,자본금,53380000000.0
44,주식발행초과금,48060000000.0
45,기타자본잉여금,-67993695902.0
46,기타포괄손익누계액,-134861560860.0
47,이익잉여금,2318191994523.0
48,비지배지분,120725459383.0
49,자본총계,2337502197144.0
50,자본과부채총계,7082369012654.0
51,수익(매출액),7154152588581.0
52,매출원가,6119860294890.0
53,매출총이익,1034292293691.0
54,판매비와관리비,550481856992.0
55,영업이익(손실),483810436699.0
56,금융수익,39102305884.0
57,금융원가,82563918382.0
58,기타이익,194784596849.0
59,기타손실,231367888500.0
60,관계 및 공동기업에 대한 지분법손익,3492154426.0
61,법인세비용차감전순이익(손실),407257686976.0
62,법인세비용,84644264459.0
63,당기순이익(손실),322613422517.0
64,지배기업의 소유주에게 귀속되는 당기순이익(손실),318537089563.0
65,비지배지분에 귀속되는 당기순이익(손실),4076332954.0
66,기본주당이익(손실),597.0
67,희석주당이익(손실),596.0
68,당기순이익(손실),322613422517.0
69,법인세비용차감후기타포괄손익,32211020161.0
70,현금흐름위험회피의 파생상품평가손익,-6593250911.0
71,해외사업장환산외환차이(세후기타포괄손익),45261220172.0
72,관계 및 공동기업 기타포괄손익 중 지분해당액,2676975692.0
73,순확정급여부채의 재측정요소,-9133924792.0
74,총포괄손익,354824442678.0
75,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",349342181448.0
76,"총 포괄손익, 비지배지분",5482261230.0
77,영업활동현금흐름,778376703324.0
78,당기순이익(손실),322613422517.0
79,당기순이익조정을 위한 가감,586746138385.0
80,영업활동으로인한자산ㆍ부채의변동,-11151431801.0
81,이자수취(영업),4144095956.0
82,이자지급(영업),55804067190.0
83,배당금수취(영업),3086134880.0
84,법인세납부(환급),71257589423.0
85,투자활동현금흐름,-1935303181629.0
86,단기대여금의 감소,3324469355.0
87,장기대여금의 감소,3489113556.0
88,장기금융상품의 처분,6360948.0
89,만기보유금융자산의 처분,
90,파생상품거래로 인한 현금유입,775200000.0
91,유형자산의 처분,16518254444.0
92,무형자산의 처분,1495988308.0
93,관계 및 공동기업 투자의 처분,
94,매각예정순자산의 감소,19741996480.0
95,단기대여금의 증가,8580838195.0
96,장기대여금의 증가,
97,단기금융상품의 증가,
98,장기금융상품의 취득,
99,당기손익-공정가치 금융자산의 취득,
100,파생상품거래로 인한 현금유출,
101,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 취득",
102,유형자산의 취득,441351861328.0
103,무형자산의 취득,209472684409.0
104,사업결합으로 인한 순현금유출,1321249180788.0
105,연결범위변동으로 인한 순자산 처분,
106,재무활동현금흐름,829382831299.0
107,단기차입금의 증가,1511173192152.0
108,장기차입금의 증가,560401856930.0
109,회사채의 발행,597827440000.0
110,비지배주주의 자본불입,22175764830.0
111,단기차입금의 상환,1477030678181.0
112,장기차입금의 상환,1821411267.0
113,리스부채의 상환,50668934805.0
114,사채의 상환,160000000000.0
115,배당금지급,170816000000.0
116,비지배지분에 대한 배당금,1858398360.0
117,현금및현금성자산의증가(감소),-327543647006.0
118,기초현금및현금성자산,1017786118643.0
119,현금및현금성자산에 대한 환율변동효과,-3585341338.0
120,매각예정자산으로 분류된 현금및현금성자산,
121,기말현금및현금성자산,686657130299.0
122,기초자본,2131656180687.0
123,기초자본,94925831683.0
124,기초자본,2036730349004.0
125,기초자본,-69513903211.0
126,기초자본,-174800577537.0
127,기초자본,2179604829752.0
128,기초자본,53380000000.0
129,기초자본,48060000000.0
130,당기순이익(손실),322613422517.0
131,당기순이익(손실),4076332954.0
132,당기순이익(손실),318537089563.0
133,당기순이익(손실),318537089563.0
134,순확정급여부채의 재측정요소,-9133924792.0
135,순확정급여부채의 재측정요소,-9133924792.0
136,순확정급여부채의 재측정요소,-9133924792.0
137,현금흐름위험회피 파생상품평가손익,-6593250911.0
138,현금흐름위험회피 파생상품평가손익,-6593250911.0
139,현금흐름위험회피 파생상품평가손익,-6593250911.0
140,해외사업장 환산손익,45261220172.0
141,해외사업장 환산손익,1405928276.0
142,해외사업장 환산손익,43855291896.0
143,해외사업장 환산손익,43855291896.0
144,관계 및 공동기업 기타포괄손익 중  지분해당액,2676975692.0
145,관계 및 공동기업 기타포괄손익 중  지분해당액,2676975692.0
146,관계 및 공동기업 기타포괄손익 중  지분해당액,2676975692.0
147,주식기준보상거래,1520207309.0
148,주식기준보상거래,1520207309.0
149,주식기준보상거래,1520207309.0
150,관계기업 및 공동기업 주식 취득 및 처분,2676975692.0
151,관계기업 및 공동기업 주식 취득 및 처분,2676975692.0
152,관계기업 및 공동기업 주식 취득 및 처분,2676975692.0
153,비지배주주의 자본불입,22175764830.0
154,비지배주주의 자본불입,22175764830.0
155,현금배당,172674398360.0
156,현금배당,1858398360.0
157,현금배당,170816000000.0
158,현금배당,170816000000.0
159,기말자본,2337502197144.0
160,기말자본,120725459383.0
161,기말자본,2216776737761.0
162,기말자본,-67993695902.0
163,기말자본,-134861560860.0
