,account_nm,thstrm_amount
0,유동자산,679531000000.0
1,현금및현금성자산,255314000000.0
2,매출채권,131424000000.0
3,기타채권,25591000000.0
4,파생금융자산,487000000.0
5,기타금융자산,28726000000.0
6,재고자산,65322000000.0
7,기타자산,108196000000.0
8,계약자산,64471000000.0
9,비유동자산,3774646000000.0
10,매출채권,
11,기타채권,11943000000.0
12,파생금융자산,
13,기타금융자산,11603000000.0
14,관계기업/공동기업,2337000000.0
15,유형자산,3736999000000.0
16,무형자산,7789000000.0
17,기타자산,3975000000.0
18,자산총계,4454177000000.0
19,유동부채,709108000000.0
20,매입채무,120186000000.0
21,차입금등,429555000000.0
22,파생금융부채,71000000.0
23,기타채무,53556000000.0
24,충당부채,3671000000.0
25,기타부채,15346000000.0
26,계약부채,71862000000.0
27,리스부채,14861000000.0
28,비유동부채,845538000000.0
29,차입금등,792023000000.0
30,파생금융부채,22000000.0
31,충당부채,26210000000.0
32,퇴직급여부채,2674000000.0
33,기타채무,
34,리스부채,24609000000.0
35,기타부채,
36,부채총계,1554646000000.0
37,지배기업소유주지분,2886423000000.0
38,자본금,534569000000.0
39,자본잉여금,717132000000.0
40,기타자본,1398748000000.0
41,이익잉여금(결손금),235974000000.0
42,비지배지분,13108000000.0
43,자본총계,2899531000000.0
44,자본과부채총계,4454177000000.0
45,매출액,2467891000000.0
46,매출원가,2180119000000.0
47,매출총이익,287772000000.0
48,판매비와관리비,77753000000.0
49,영업이익(손실),210019000000.0
50,금융수익,18275000000.0
51,금융원가,67091000000.0
52,지분법손익,40000000.0
53,기타영업외손익,-12978000000.0
54,법인세비용차감전순이익(손실),148265000000.0
55,법인세비용,538000000.0
56,당기순이익(손실),147727000000.0
57,기타포괄손익,91367000000.0
58,후속적으로 당기손익으로 재분류되는 기타포괄손익,-47000000.0
59,공정가치 평가손익: 매도가능금융자산,0.0
60,공정가치 평가손익: 파생금융자산/부채,-20000000.0
61,지분법자본변동,-27000000.0
62,후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,91414000000.0
63,확정급여제도의 재측정요소,-1114000000.0
64,환율변동차이,92528000000.0
65,총포괄손익,239094000000.0
66,지배기업 소유주지분,151880000000.0
67,비지배지분,-4153000000.0
68,지배기업 소유주지분,242636000000.0
69,비지배지분,-3542000000.0
70,기본 주당순이익(손실),284.0
71,희석 주당순이익(손실),284.0
72,영업활동현금흐름,404778000000.0
73,영업에서 창출된 현금,470573000000.0
74,이자지급,65416000000.0
75,법인세납부(환급),379000000.0
76,투자활동현금흐름,-212997000000.0
77,유형자산의 취득,217004000000.0
78,무형자산의 취득,351000000.0
79,유형자산의 처분,286000000.0
80,무형자산의 처분,1496000000.0
81,기타금융자산의 취득,33175000000.0
82,기타금융자산의 처분,29491000000.0
83,배당금수입,348000000.0
84,기타채권의 증가,1526000000.0
85,기타채권의 감소,2782000000.0
86,이자수취,4656000000.0
87,재무활동현금흐름,-152020000000.0
88,차입금등의 증가,700908000000.0
89,차입금등의 감소,835218000000.0
90,리스부채의 상환,17710000000.0
91,외부주주지분변동,
92,환율변동차이(현금및현금성자산 등),6839000000.0
93,현금및현금성자산의순증가(감소),46600000000.0
94,기초현금및현금성자산,208714000000.0
95,기말현금및현금성자산,255314000000.0
96,기초자본,2660437000000.0
97,기초자본,16650000000.0
98,기초자본,2643787000000.0
99,기초자본,1306878000000.0
100,기초자본,85208000000.0
101,기초자본,534569000000.0
102,기초자본,717132000000.0
103,당기순이익(손실),147727000000.0
104,당기순이익(손실),-4153000000.0
105,당기순이익(손실),151880000000.0
106,당기순이익(손실),151880000000.0
107,공정가액 평가손익: 매도가능금융자산,
108,공정가액 평가손익: 매도가능금융자산,
109,공정가액 평가손익: 매도가능금융자산,
110,공정가액 평가손익: 파생금융자산/부채,-20000000.0
111,공정가액 평가손익: 파생금융자산/부채,-20000000.0
112,공정가액 평가손익: 파생금융자산/부채,-20000000.0
113,지분법자본변동,-27000000.0
114,지분법자본변동,-27000000.0
115,지분법자본변동,-27000000.0
116,확정급여제도의 재측정요소,-1114000000.0
117,확정급여제도의 재측정요소,-1114000000.0
118,확정급여제도의 재측정요소,-1114000000.0
119,환율변동차이,92528000000.0
120,환율변동차이,611000000.0
121,환율변동차이,91917000000.0
122,환율변동차이,91917000000.0
123,출자전환 등으로 인한 자본변동,
124,출자전환 등으로 인한 자본변동,
125,출자전환 등으로 인한 자본변동,
126,출자전환 등으로 인한 자본변동,
127,출자전환 등으로 인한 자본변동,
128,지배력 변동없는 비지배지분의 추가획득,
129,지배력 변동없는 비지배지분의 추가획득,
130,지배력 변동없는 비지배지분의 추가획득,
131,자본 증가(감소) 합계,239094000000.0
132,자본 증가(감소) 합계,-3542000000.0
133,자본 증가(감소) 합계,242636000000.0
134,자본 증가(감소) 합계,91870000000.0
135,자본 증가(감소) 합계,150766000000.0
136,자본 증가(감소) 합계,0.0
137,자본 증가(감소) 합계,0.0
138,기말자본,2899531000000.0
139,기말자본,13108000000.0
140,기말자본,2886423000000.0
141,기말자본,1398748000000.0
142,기말자본,235974000000.0
143,기말자본,534569000000.0
144,기말자본,717132000000.0
145,회계정책변경 효과,
146,회계정책변경 효과,
147,회계정책변경 효과,
148,회계정책변경 효과,
