,account_nm,thstrm_amount
0,유동자산,5643714459664.0
1,현금및현금성자산,3740513761418.0
2,단기금융상품,289910618872.0
3,당기손익인식금융자산,
4,당기손익-공정가치금융자산,12920430454.0
5,매출채권및기타채권,1211072909858.0
6,매도가능금융자산,
7,기타포괄손익-공정가치금융자산,63916531256.0
8,재고자산,55114731809.0
9,당기법인세자산,12717980739.0
10,기타유동자산,257547495258.0
11,비유동자산,6655812661122.0
12,유형자산,1596271317726.0
13,사용권자산,697351304664.0
14,무형자산,341442833327.0
15,장기금융상품,24034591006.0
16,당기손익인식금융자산,
17,당기손익-공정가치금융자산,1229097428653.0
18,매출채권및기타채권,124821356161.0
19,매도가능금융자산,
20,기타포괄손익-공정가치금융자산,675602433315.0
21,만기보유금융자산,
22,관계기업및공동기업 투자,1558268184714.0
23,이연법인세자산,381279417985.0
24,기타비유동자산,27643793571.0
25,자산총계,12299527120786.0
26,유동부채,3773118830740.0
27,매입채무및기타채무,1211070361564.0
28,당기손익-공정가치금융부채,649038368.0
29,단기차입금,559584776483.0
30,유동성장기차입금,
31,유동성사채,
32,당기법인세부채,313781745056.0
33,충당부채,3822401193.0
34,유동리스부채,168937301210.0
35,기타유동부채,1515273206866.0
36,비유동부채,2022482221466.0
37,매입채무및기타채무,42469680072.0
38,당기손익-공정가치금융부채,8339734792.0
39,장기차입금,50039880125.0
40,사채,752270184693.0
41,순확정급여부채,473437955422.0
42,충당부채,59046834258.0
43,비유동리스부채,555287968236.0
44,이연법인세부채,80453751124.0
45,기타비유동부채,1136232744.0
46,부채총계,5795601052206.0
47,지배기업의 소유주에게 귀속되는 자본,5805227623271.0
48,자본금,16481339500.0
49,자본잉여금,1575307844438.0
50,기타자본구성요소,-1498653013809.0
51,이익잉여금(결손금),5712091453142.0
52,비지배지분,698698445309.0
53,자본총계,6503926068580.0
54,자본과부채총계,12299527120786.0
55,영업수익,6593400065244.0
56,영업비용,-5883329891731.0
57,영업이익(손실),710070173513.0
58,기타수익,127850039103.0
59,기타비용,152375851429.0
60,이자수익,16395673587.0
61,금융수익,395352360724.0
62,금융비용,166169887339.0
63,지분법손익,-64400374196.0
64,법인세비용차감전순이익(손실),866722133963.0
65,법인세비용,466311853314.0
66,계속영업순이익(손실),400410280649.0
67,중단영업이익(손실),-3589218184.0
68,당기순이익(손실),396821062465.0
69,계속영업이익,586641122833.0
70,중단영업이익(손실),-3589218184.0
71,비지배지분에 귀속되는 당기순이익(손실),-186230842184.0
72,기타포괄손익,138730945419.0
73,당기손익으로 재분류될 수 있는 항목,145977055953.0
74,매도가능금융자산-평가손익,
75,매도가능금융자산-재분류조정,
76,기타포괄손익-공정가치 측정 채무상품 평가손익,248538199.0
77,해외사업환산손익,139029178403.0
78,지분법자본변동,6699339351.0
79,당기손익으로 재분류되지 않는항목,-7246110534.0
80,순확정급여부채의 재측정요소,-52992040208.0
81,기타포괄손익-공정가치 지분상품 평가손익,50343180326.0
82,기타포괄손익-공정가치 지분상품 처분손익,-4611398596.0
83,지분법자본변동,14147944.0
84,총포괄이익,535552007884.0
85,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",659506460173.0
86,"총 포괄손익, 비지배지분",-123954452289.0
87,계속영업기본주당이익(손실),4031.0
88,중단영업기본주당이익(손실),-25.0
89,계속영업희석주당이익(손실),4031.0
90,중단영업희석주당이익(손실),-25.0
91,영업활동현금흐름,1356843480419.0
92,영업으로부터 창출된 현금흐름,1835912025978.0
93,이자수취,17559981761.0
94,이자지급,39296364906.0
95,배당금수취(영업),20742864205.0
96,법인세납부(환급),478075026619.0
97,투자활동현금흐름,-1078128842424.0
98,단기금융상품의 순감소(증가),162122479766.0
99,장기금융상품의 증가,
100,장기금융상품의 감소,
101,당기손익인식금융자산의 순감소(증가),
102,당기손익-공정가치금융자산의 순감소(증가),-170452838537.0
103,유형자산의 취득,435908502083.0
104,유형자산의 처분,6743736986.0
105,리스채권의 회수,257941120.0
106,무형자산의 취득,75729758448.0
107,무형자산의 처분,4766029881.0
108,매도가능금융자산의 취득,
109,매도가능금융자산의 처분,
110,기타포괄손익-공정가치금융자산의 취득,40967500755.0
111,기타포괄손익-공정가치금융자산의 처분,97789083542.0
112,관계기업및공동기업투자의 취득,621718974099.0
113,관계기업및공동기업투자의 처분,18714872614.0
114,사업결합으로 인한 현금의 증감,-4991454614.0
115,종속기업의 처분,9787731685.0
116,기타투자활동으로 인한 현금유출입액,-28541689482.0
