,account_nm,thstrm_amount
0,유동자산,9232764529388.0
1,현금및현금성자산,257100689935.0
2,현금,257100689935.0
3,현금성자산,
4,유동금융자산,98590036933.0
5,유동당기손익인식금융자산,
6,유동당기손익-공정가치측정금융자산,11090449989.0
7,유동만기보유금융자산,
8,유동상각후원가측정금융자산,99760000.0
9,단기대여금,12523494064.0
10,단기금융상품,74876332880.0
11,유동파생상품자산,
12,매출채권및기타채권,5136754168199.0
13,단기매출채권,4993137264723.0
14,현재가치할인차금,2316393.0
15,대손충당금,19233409953.0
16,단기미수금,145381070582.0
17,대손충당금,1035124734.0
18,단기미수수익,18335170979.0
19,단기보증금,171512995.0
20,단기미청구공사,
21,단기계약자산,6001402389.0
22,재고자산,2645254120692.0
23,원재료,1959862508921.0
24,제품,68661435270.0
25,저장품,73718961446.0
26,미착품,543011215055.0
27,당기법인세자산,3753905115.0
28,유동비금융자산,1085310206125.0
29,단기선급금,38459479634.0
30,단기선급비용,12770524254.0
31,유동온실가스배출권,174550000.0
32,기타유동비금융자산,1033905652237.0
33,매각예정 또는 소유주 분배예정 자산집단,
34,매각예정자산집단,
35,비유동자산,30079090028317.0
36,비유동금융자산,599110803576.0
37,비유동당기손익인식금융자산,
38,비유동당기손익-공정가치측정금융자산,1617249657.0
39,비유동매도가능금융자산,
40,비유동기타포괄손익-공정가치측정금융자산,125968610462.0
41,비유동만기보유금융자산,
42,비유동 상각후원가 측정 금융자산,366530000.0
43,장기대여금,459435579411.0
44,현재가치할인차금,52243766408.0
45,대손충당금,-28475832258.0
46,장기금융상품,15760500.0
47,비유동파생상품자산,22426672212.0
48,기타비유동금융자산,70000000000.0
49,장기매출채권및기타채권,283157939313.0
50,장기매출채권,
51,현재가치할인차금,
52,대손충당금,
53,장기미수금,158860038199.0
54,장기보증금,124297901114.0
55,유형자산,24377427683798.0
56,토지,3022231274185.0
57,건물,1208962449520.0
58,정부보조금,1900170970.0
59,감가상각누계액,436433037843.0
60,손상차손누계액,2534769850.0
61,구축물,6419053196271.0
62,정부보조금,1647871803.0
63,감가상각누계액,2215527566397.0
64,손상차손누계액,42128060918.0
65,기계장치,17148896517027.0
66,정부보조금,116681340475.0
67,감가상각누계액,5663559053191.0
68,손상차손누계액,1315440892316.0
69,전산설비,56897734312.0
70,정부보조금,64908727.0
71,감가상각누계액,40150121907.0
72,손상차손누계액,1932109489.0
73,차량운반구,40075906784.0
74,정부보조금,64225001.0
75,감가상각누계액,30038823397.0
76,손상차손누계액,359226172.0
77,집기와 비품,53818575174.0
78,정부보조금,25233768.0
79,감가상각누계액,42178652125.0
80,손상차손누계액,530826905.0
81,공구와기구,62045237040.0
82,정부보조금,489908552.0
83,감가상각누계액,51857693549.0
84,입목,52155140369.0
85,건설중인자산,1309761316207.0
86,정부보조금,2041390492.0
87,손상차손누계액,314917586452.0
88,금융리스자산,
89,감가상각누계액,
90,사용권자산,7063312108102.0
91,감가상각누계액,4279866413783.0
92,기타유형자산,6894620007861.0
93,감가상각누계액,3160251196500.0
94,손상차손누계액,1233780698472.0
95,영업권 이외의 무형자산,1746627609452.0
96,무형탐사평가자산,620462570727.0
97,손상차손누계액,216755483530.0
98,컴퓨터소프트웨어,105573571441.0
99,정부보조금,194116607.0
100,상각누계액,86715211030.0
101,손상차손누계액,3605526654.0
102,"저작권, 특허권, 기타 산업재산권",7239041637.0
103,정부보조금,51688330.0
104,상각누계액,2300568456.0
105,개발비,35485355009.0
106,상각누계액,35448644864.0
107,사용수익기부자산등용역운영권,417057756372.0
108,상각누계액,122187945867.0
109,차지권,4403573386.0
110,상각누계액,2478218643.0
111,채굴권,1654682434939.0
112,상각누계액,211701936475.0
113,손상차손누계액,473234726048.0
114,기타무형자산,407857688180.0
115,정부보조금,
116,상각누계액,215857197300.0
117,손상차손누계액,135603118435.0
118,관계기업 및 공동기업 투자지분,1717163749043.0
119,순확정급여자산,26698690439.0
120,이연법인세자산,859646116565.0
121,비유동비금융자산,469257436131.0
122,장기선급비용,4667130.0
123,기타비유동비금융자산,469252769001.0
124,자산총계,39311854557705.0
125,유동부채,8900542511171.0
126,매입채무 및 기타유동채무,2279499979091.0
127,단기매입채무,1483231655833.0
128,단기미지급금,264869151130.0
129,단기미지급비용,218062413434.0
130,리스부채,310551409131.0
