,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
63,036460,한국가스공사,46350,-1850,-3.8,243327,11392383950,48250,48250,46150,4278707550000,0.27,92313000,14128653.0,15.31,64.0,2019-01-02
2441,036460,한국가스공사,47350,1000,2.2,159210,7509079100,46500,47450,46400,4371020550000,0.28,92313000,14175424.0,15.36,63.0,2019-01-03
4820,036460,한국가스공사,48300,950,2.0,174955,8394532400,47300,48500,46950,4458717900000,0.29,92313000,14184017.0,15.37,63.0,2019-01-04
7199,036460,한국가스공사,49450,1150,2.4,210998,10345774700,48850,49450,48100,4564877850000,0.29,92313000,14241268.0,15.43,63.0,2019-01-07
9578,036460,한국가스공사,48450,-1000,-2.0,138438,6741904150,49050,49350,48300,4472564850000,0.29,92313000,14215767.0,15.4,63.0,2019-01-08
11957,036460,한국가스공사,49250,800,1.6,127776,6298011550,48600,49700,48600,4546415250000,0.28,92313000,14224145.0,15.41,63.0,2019-01-09
14335,036460,한국가스공사,50000,750,1.5,202438,10111535250,49550,50500,49250,4615650000000,0.29,92313000,14221569.0,15.41,62.0,2019-01-10
16709,036460,한국가스공사,52400,2400,4.8,256739,13245254600,50000,52500,50000,4837201200000,0.3,92313000,14201218.0,15.38,57.0,2019-01-11
19088,036460,한국가스공사,52200,-200,-0.4,172629,8913234000,51900,52300,50700,4818738600000,0.3,92313000,14167981.0,15.35,57.0,2019-01-14
21467,036460,한국가스공사,52200,0,0.0,151791,7881712500,52200,53000,51300,4818738600000,0.3,92313000,14183798.0,15.36,57.0,2019-01-15
23845,036460,한국가스공사,53600,1400,2.7,259256,13804722900,52600,53700,52300,4947976800000,0.3,92313000,14250643.0,15.44,56.0,2019-01-16
26225,036460,한국가스공사,53700,100,0.2,247743,13117160800,53600,54000,52000,4957208100000,0.3,92313000,14276904.0,15.47,57.0,2019-01-17
28604,036460,한국가스공사,53900,200,0.4,264443,14303207600,54000,54900,52700,4975670700000,0.3,92313000,14301871.0,15.49,57.0,2019-01-18
30984,036460,한국가스공사,53600,-300,-0.6,116153,6257347700,54800,54800,53100,4947976800000,0.3,92313000,14297280.0,15.49,58.0,2019-01-21
33363,036460,한국가스공사,53600,0,0.0,118397,6307373600,53700,54100,52600,4947976800000,0.3,92313000,14324410.0,15.52,58.0,2019-01-22
35742,036460,한국가스공사,53500,-100,-0.2,129137,6849747200,52900,53500,52500,4938745500000,0.3,92313000,14331182.0,15.52,58.0,2019-01-23
38123,036460,한국가스공사,52800,-700,-1.3,194376,10161416400,52700,53300,51800,4874126400000,0.29,92313000,14375399.0,15.57,60.0,2019-01-24
40503,036460,한국가스공사,52600,-200,-0.4,115974,6093754400,52300,53000,52100,4855663800000,0.29,92313000,14399540.0,15.6,61.0,2019-01-25
42881,036460,한국가스공사,53000,400,0.8,126826,6708954200,52300,53300,52200,4892589000000,0.29,92313000,14418481.0,15.62,59.0,2019-01-28
45262,036460,한국가스공사,53200,200,0.4,133841,7049867300,53000,53300,52100,4911051600000,0.29,92313000,14436462.0,15.64,60.0,2019-01-29
47638,036460,한국가스공사,54300,1100,2.1,161580,8719256100,53900,54300,53500,5012595900000,0.29,92313000,14468579.0,15.67,57.0,2019-01-30
50022,036460,한국가스공사,54100,-200,-0.4,158728,8597830900,54700,54700,53600,4994133300000,0.29,92313000,14488087.0,15.69,61.0,2019-01-31
52402,036460,한국가스공사,53900,-200,-0.4,138030,7404240500,54000,54500,53200,4975670700000,0.29,92313000,14527624.0,15.74,61.0,2019-02-01
54783,036460,한국가스공사,53800,-100,-0.2,96011,5170868700,54500,54500,53300,4966439400000,0.29,92313000,14545713.0,15.76,61.0,2019-02-07
57162,036460,한국가스공사,54000,200,0.4,104227,5610942200,53700,54300,53100,4984902000000,0.3,92313000,14584848.0,15.8,59.0,2019-02-08
59545,036460,한국가스공사,53900,-100,-0.2,92302,4970544600,54400,54400,53500,4975670700000,0.29,92313000,14613655.0,15.83,61.0,2019-02-11
61928,036460,한국가스공사,53300,-600,-1.1,122381,6522788200,54200,54200,52900,4920282900000,0.29,92313000,14659150.0,15.88,62.0,2019-02-12
64308,036460,한국가스공사,54200,900,1.7,132422,7160979700,53800,54400,53400,5003364600000,0.29,92313000,14718412.0,15.94,60.0,2019-02-13
66690,036460,한국가스공사,54700,500,0.9,118187,6384610300,53900,54700,53400,5049521100000,0.29,92313000,14734233.0,15.96,60.0,2019-02-14
69071,036460,한국가스공사,54300,-400,-0.7,86270,4681905000,54300,54700,53900,5012595900000,0.29,92313000,14732219.0,15.96,59.0,2019-02-15
71456,036460,한국가스공사,53800,-500,-0.9,127195,6861367200,54000,54400,53500,4966439400000,0.29,92313000,14714855.0,15.94,62.0,2019-02-18
73838,036460,한국가스공사,54200,300,0.6,134831,7304353100,54000,54800,53800,5003364600000,0.29,92313000,14716336.0,15.94,62.0,2019-02-20
76218,036460,한국가스공사,54200,0,0.0,102225,5545213000,54400,54800,53900,5003364600000,0.29,92313000,14734321.0,15.96,60.0,2019-02-21
78604,036460,한국가스공사,53300,-900,-1.7,225505,12130153700,54600,54900,52900,4920282900000,0.28,92313000,14745615.0,15.97,64.0,2019-02-22
80986,036460,한국가스공사,52900,-400,-0.8,114621,6095845400,53700,53900,52700,4883357700000,0.28,92313000,14730927.0,15.96,64.0,2019-02-25
83368,036460,한국가스공사,52600,-300,-0.6,228720,12011223800,53300,53500,52000,4855663800000,0.28,92313000,14779353.0,16.01,64.0,2019-02-26
85750,036460,한국가스공사,52600,0,0.0,132033,6945051900,52900,53300,52200,4855663800000,0.28,92313000,14792370.0,16.02,64.0,2019-02-27
88131,036460,한국가스공사,50100,-2500,-4.8,366351,18844943503,53000,53000,50100,4624881300000,0.27,92313000,14736304.0,15.96,64.0,2019-02-28
90512,036460,한국가스공사,50300,200,0.4,312487,15721920650,50700,51700,49650,4643343900000,0.27,92313000,14747270.0,15.98,64.0,2019-03-04
92893,036460,한국가스공사,51100,800,1.6,130369,6616209100,50700,51100,49950,4717194300000,0.28,92313000,14706065.0,15.93,65.0,2019-03-05
95274,036460,한국가스공사,51000,-100,-0.2,138484,7073525100,51700,51700,50500,4707963000000,0.28,92313000,14693619.0,15.92,65.0,2019-03-06
97654,036460,한국가스공사,50100,-900,-1.8,138389,6951078050,51100,51400,49750,4624881300000,0.27,92313000,14707466.0,15.93,64.0,2019-03-07
100035,036460,한국가스공사,50200,100,0.2,121750,6096217900,49850,50400,49500,4634112600000,0.28,92313000,14697935.0,15.92,64.0,2019-03-08
102417,036460,한국가스공사,49700,-500,-1.0,84994,4221519150,49850,49900,49400,4587956100000,0.27,92313000,14691071.0,15.91,65.0,2019-03-11
104798,036460,한국가스공사,49600,-100,-0.2,87033,4323873300,50000,50300,49450,4578724800000,0.27,92313000,14692975.0,15.92,65.0,2019-03-12
107179,036460,한국가스공사,50100,500,1.0,123245,6137122950,50100,50300,49400,4624881300000,0.27,92313000,14698859.0,15.92,65.0,2019-03-13
109560,036460,한국가스공사,50800,700,1.4,242720,12373119000,50500,51500,50000,4689500400000,0.28,92313000,14695992.0,15.92,65.0,2019-03-14
111941,036460,한국가스공사,50400,-400,-0.8,228905,11578103800,50500,51200,50000,4652575200000,0.27,92313000,14692993.0,15.92,64.0,2019-03-15
114325,036460,한국가스공사,50400,0,0.0,70305,3535128450,50600,50700,49750,4652575200000,0.27,92313000,14698173.0,15.92,65.0,2019-03-18
