,account_nm,thstrm_amount
0,유동자산,4304912362842
1,현금및현금성자산,756173371116
2,단기금융상품,144970645937
3,단기투자증권,9318795000
4,매출채권및기타채권,1369116857182
5,파생상품자산,18988676082
6,재고자산,1786289860152
7,기타유동자산,220054157373
8,비유동자산,7033680618279
9,장기금융상품,880896511
10,장기투자증권,14272106397
11,장기매출채권 및 기타비유동채권,3801609182
12,비유동파생상품자산,0
13,관계기업및공동기업투자,102979090904
14,유형자산,1871456154884
15,무형자산,4562367986165
16,투자부동산,138829679310
17,이연법인세자산,174235049341
18,사용권자산,95677455743
19,기타비유동자산,69180589842
20,자산총계,11338592981121
21,유동부채,4484419831639
22,매입채무및기타채무,1599449470221
23,단기차입금,591083320796
24,유동성사채,1037594646618
25,유동성장기차입금,621375844987
26,당기법인세부채,30414605601
27,파생상품부채,492095603
28,충당부채,236982347908
29,유동성리스부채,28225777667
30,기타유동부채,338801722238
31,비유동부채,2586621111223
32,기타비유동채무,1370355771
33,사채,902476286676
34,장기차입금,751008617154
35,순확정급여부채,429338000825
36,비유동파생상품부채,1974340123
37,이연법인세부채,260072401549
38,비유동충당부채,52254778188
39,비유동리스부채,51179799272
40,기타비유동부채,136946531665
41,부채총계,7071040942862
42,지배기업 소유주지분,2222563177451
43,자본금,1040806395000
44,자본잉여금,154356219760
45,기타자본항목,-70649474593
46,기타포괄손익누계액,-159818151453
47,이익잉여금(결손금),1257868188737
48,비지배지분,2044988860808
49,자본총계,4267552038259
50,자본과부채총계,11338592981121
51,매출액,8185839945377
52,매출원가,6273218676924
53,매출총이익,1912621268453
54,판매비와관리비,1072224207963
55,영업이익(손실),840397060490
56,금융수익,150590559071
57,금융비용,330376100312
58,기타영업외수익,13936345577
59,기타영업외비용,63836570629
60,지분법이익(손실),-7702168374
61,법인세비용차감전순이익(손실),603009125823
62,법인세비용,207310954827
63,당기순이익(손실),395698170996
64,지배기업 소유주지분,239913446929
65,비지배지분,155784724067
66,기본주당순이익(손실),1153
67,희석주당순이익(손실),1139
68,당기순이익(손실),395698170996
69,기타포괄손익,104999857074
70,후속적으로 당기손익으로 재분류되지 않는 포괄손익,-8872723728
71,확정급여제도의 재측정요소,-41849401252
72,유형자산 재평가잉여금,33791953262
73,기타포괄손익-공정가치 측정 금융자산 평가손익,-2369093630
74,지분법자본변동,1737603778
75,지분법이익잉여금변동,-183785886
76,후속적으로 당기손익으로 재분류되는 포괄손익,113872580802
77,매도가능금융자산평가손익,0
78,해외사업환산손익,112466225181
79,현금흐름위험회피 파생상품평가손익,1406355621
80,당기총포괄이익,500698028070
81,지배기업 소유주지분,305666065211
82,비지배지분,195031962859
83,영업활동현금흐름,567418276306
84,당기순이익(손실),395698170996
85,조정,699544598699
86,영업활동으로인한자산ㆍ부채의변동,-279345395612
87,이자의 수취,15548783391
88,이자의 지급,152315252013
89,배당금의 수취,12982337562
90,법인세납부(환급),124694966717
91,투자활동현금흐름,-339374807844
92,단기금융상품의 감소,116468540790
93,단기투자증권의 처분,4229388547
94,장기투자증권의 처분,89098064562
95,대여금의 감소,214655657
96,유형자산 및 투자부동산의 처분,40704138031
97,무형자산의 처분,2661894631
98,관계기업투자주식의 처분,0
99,단기금융상품의 증가,0
100,장기투자증권의 취득,5373856271
101,대여금의 증가,0
102,유형자산의 취득,266697358416
103,무형자산의 취득,182781856741
104,투자부동산의 취득,89941811010
105,관계기업투자주식의 취득,41386826160
106,기타,-6569781464
107,재무활동현금흐름,-549790479705
108,차입금의 증가,11656500000
109,사채의 증가,954050856272
110,종속기업 지분변동,0
111,차입금의 상환,941445938332
112,사채의 상환,498648637732
113,리스부채의 지급,21423052313
114,배당금의 지급,53980207600
115,신종자본증권의 콜옵션 행사,0
116,현금및현금성자산의 환율변동으로 인한 효과,24904353149
117,현금및현금성자산의 증가(감소),-296842658094
118,기초현금및현금성자산,1053016029210
119,기말현금및현금성자산,756173371116
120,기초자본,3820814883573
121,기초자본,1903937105549
122,기초자본,1916877778024
123,기초자본,-129310962134
124,기초자본,-256805144728
125,기초자본,0
126,기초자본,1049189116801
127,기초자본,1040790385000
128,기초자본,213014383085
129,회계정책변경의 효과,0
130,회계정책변경의 효과,0
131,회계정책변경의 효과,0
132,회계정책변경의 효과,0
133,회계정책변경의 효과,0
134,회계정책변경의 효과,0
135,회계정책변경의 효과,0
136,회계정책변경의 효과,0
137,회계정책변경의 효과,0
138,당기순이익(손실),395698170996
139,당기순이익(손실),155784724067
140,당기순이익(손실),239913446929
141,당기순이익(손실),0
142,당기순이익(손실),0
143,당기순이익(손실),0
144,당기순이익(손실),239913446929
145,당기순이익(손실),0
146,당기순이익(손실),0
147,확정급여제도의 재측정요소,-41849401252
148,확정급여제도의 재측정요소,-10553611547
149,확정급여제도의 재측정요소,-31295789705
150,확정급여제도의 재측정요소,0
151,확정급여제도의 재측정요소,0
152,확정급여제도의 재측정요소,0
153,확정급여제도의 재측정요소,-31295789705
154,확정급여제도의 재측정요소,0
155,확정급여제도의 재측정요소,0
156,유형자산 재평가잉여금,33791953262
157,유형자산 재평가잉여금,1854463736
158,유형자산 재평가잉여금,31937489526
159,유형자산 재평가잉여금,0
160,유형자산 재평가잉여금,31876521385
161,유형자산 재평가잉여금,0
162,유형자산 재평가잉여금,60968141
163,유형자산 재평가잉여금,0
164,유형자산 재평가잉여금,0
165,매도가능금융자산평가손익,0
166,매도가능금융자산평가손익,0
167,매도가능금융자산평가손익,0
168,매도가능금융자산평가손익,0
169,매도가능금융자산평가손익,0
170,매도가능금융자산평가손익,0
171,매도가능금융자산평가손익,0
172,매도가능금융자산평가손익,0
173,매도가능금융자산평가손익,0
174,기타포괄손익-공정가치 측정 금융자산 평가손익,-2369093630
175,기타포괄손익-공정가치 측정 금융자산 평가손익,0
176,기타포괄손익-공정가치 측정 금융자산 평가손익,-2369093630
177,기타포괄손익-공정가치 측정 금융자산 평가손익,0
178,기타포괄손익-공정가치 측정 금융자산 평가손익,-2540552371
179,기타포괄손익-공정가치 측정 금융자산 평가손익,0
180,기타포괄손익-공정가치 측정 금융자산 평가손익,171458741
181,기타포괄손익-공정가치 측정 금융자산 평가손익,0
182,기타포괄손익-공정가치 측정 금융자산 평가손익,0
183,지분법자본변동,1737603778
184,지분법자본변동,122836251
185,지분법자본변동,1614767527
186,지분법자본변동,0
187,지분법자본변동,1614767527
188,지분법자본변동,0
189,지분법자본변동,0
190,지분법자본변동,0
191,지분법자본변동,0
192,지분법이익잉여금변동,0
193,지분법이익잉여금변동,0
194,지분법이익잉여금변동,0
195,지분법이익잉여금변동,0
196,지분법이익잉여금변동,0
197,지분법이익잉여금변동,0
198,지분법이익잉여금변동,0
199,지분법이익잉여금변동,0
200,지분법이익잉여금변동,0
201,해외사업환산손익,112466225181
202,해외사업환산손익,50913152670
203,해외사업환산손익,61553072511
204,해외사업환산손익,0
205,해외사업환산손익,61553072511
206,해외사업환산손익,0
207,해외사업환산손익,0
208,해외사업환산손익,0
209,해외사업환산손익,0
210,현금흐름위험회피 파생상품평가손실,-1406355621
211,현금흐름위험회피 파생상품평가손실,3076828602
212,현금흐름위험회피 파생상품평가손실,-4483184223
213,현금흐름위험회피 파생상품평가손실,0
214,현금흐름위험회피 파생상품평가손실,-4483184223
215,현금흐름위험회피 파생상품평가손실,0
216,현금흐름위험회피 파생상품평가손실,0
217,현금흐름위험회피 파생상품평가손실,0
218,현금흐름위험회피 파생상품평가손실,0
219,주식선택권의 소멸,0
220,주식선택권의 소멸,0
221,주식선택권의 소멸,0
222,주식선택권의 소멸,-243505810
223,주식선택권의 소멸,0
224,주식선택권의 소멸,0
225,주식선택권의 소멸,0
226,주식선택권의 소멸,0
227,주식선택권의 소멸,243505810
228,자본잉여금 전입,0
229,자본잉여금 전입,0
230,자본잉여금 전입,0
231,자본잉여금 전입,0
232,자본잉여금 전입,0
233,자본잉여금 전입,0
234,자본잉여금 전입,0
235,자본잉여금 전입,0
236,자본잉여금 전입,0
237,신주인수권부 사채의 발행,0
238,신주인수권부 사채의 발행,0
239,신주인수권부 사채의 발행,0
240,신주인수권부 사채의 발행,0
241,신주인수권부 사채의 발행,0
242,신주인수권부 사채의 발행,0
243,신주인수권부 사채의 발행,0
244,신주인수권부 사채의 발행,0
245,신주인수권부 사채의 발행,0
246,신주인수권의 행사,19334216
247,신주인수권의 행사,0
248,신주인수권의 행사,19334216
249,신주인수권의 행사,0
250,신주인수권의 행사,0
251,신주인수권의 행사,0
252,신주인수권의 행사,0
253,신주인수권의 행사,16010000
254,신주인수권의 행사,3324216
255,신종자본증권 배당금의 지급,0
256,신종자본증권 배당금의 지급,0
257,신종자본증권 배당금의 지급,0
258,신종자본증권 배당금의 지급,0
259,신종자본증권 배당금의 지급,0
260,신종자본증권 배당금의 지급,0
261,신종자본증권 배당금의 지급,0
262,신종자본증권 배당금의 지급,0
263,신종자본증권 배당금의 지급,0
264,종속기업의 배당,-53980207600
265,종속기업의 배당,-53980207600
266,종속기업의 배당,0
267,종속기업의 배당,0
268,종속기업의 배당,0
269,종속기업의 배당,0
270,종속기업의 배당,0
271,종속기업의 배당,0
272,종속기업의 배당,0
