,account_nm,thstrm_amount
0,유동자산,783409196426.0
1,현금및현금성자산,26266467489.0
2,유동금융자산,254030999272.0
3,매출채권및기타채권,456046479154.0
4,재고자산,1438757792.0
5,당기법인세자산,12804574132.0
6,유동비금융자산,32821918587.0
7,비유동자산,576024128218.0
8,비유동금융자산,49474928808.0
9,장기매출채권및기타채권,46114782906.0
10,유형자산,442962595431.0
11,영업권 이외의 무형자산,8986400905.0
12,관계기업 및 공동기업 투자지분,
13,이연법인세자산,26617798198.0
14,비유동비금융자산,1867621970.0
15,자산총계,1359433324644.0
16,유동부채,248995404812.0
17,매입채무및기타채무,85325227462.0
18,당기법인세부채,27778030968.0
19,유동비금융부채,51701669150.0
20,유동충당부채,84190477232.0
21,비유동부채,47019841455.0
22,장기매입채무및기타채무,4449310109.0
23,종업원급여채무,39813506487.0
24,이연법인세부채,
25,비유동충당부채,2757024859.0
26,부채총계,296015246267.0
27,지배기업의 소유주에게 귀속되는 자본,1063417826115.0
28,납입자본,9000000000.0
29,자본금,9000000000.0
30,이익잉여금,1055101667040.0
31,이익준비금,4500000000.0
32,임의적립금,834060000000.0
33,기타법정적립금,51200000000.0
34,미처분이익잉여금,165341667040.0
35,기타자본구성요소,-683840925.0
36,기타포괄손익누계액,-683840925.0
37,비지배지분,252262.0
38,자본총계,1063418078377.0
39,부채및자본총계,1359433324644.0
40,매출액,1246949702480.0
41,매출원가,971922666430.0
42,매출총이익,275027036050.0
43,판매비와관리비,81087572106.0
44,영업이익,193939463944.0
45,기타수익,1527217557.0
46,기타비용,5105271176.0
47,기타이익,1824572579.0
48,금융수익,8986681165.0
49,금융원가,2087327707.0
50,"관계기업, 공동기업관련손익",-578752336.0
51,법인세비용차감전순이익,198506584026.0
52,법인세비용,45175253248.0
53,당기순이익(손실),153331330778.0
54,기타포괄손익(세후),6500933554.0
55,후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,6102017505.0
56,확정급여제도의 재측정요소,6102017505.0
57,후속적으로 당기손익으로 재분류되는 기타포괄손익,398916049.0
58,해외사업환산손익,398916049.0
59,총포괄손익,159832264332.0
60,지배기업의 소유주에게 귀속되는 분기순이익(손실),153331330706.0
61,비지배지분에 귀속되는 분기순이익(손실),72.0
62,지배기업의 소유주에게 귀속되는 포괄손익,159832264260.0
63,비지배지분에 귀속되는 포괄손익,72.0
64,기본주당이익,3407.0
65,희석주당이익,3407.0
66,영업활동현금흐름,160557174817.0
67,당기순이익(손실),153331330778.0
68,당기순이익조정을 위한 가감,181902466909.0
69,법인세비용,45175253248.0
70,이자비용,547087161.0
71,이자수익,7842692238.0
72,순당기손익-공정가치측정금융자산 평가손익,-429534151.0
73,순당기손익-공정가치측정금융자산 처분손익,84696453.0
74,순외화환산손익,863300033.0
75,유형자산처분손실,192993658.0
76,유형자산처분이익,413658807.0
77,퇴직급여,55629787683.0
78,감가상각비,40912083505.0
79,무형자산상각비,2919760241.0
80,무형자산손상차손,21666660.0
81,무형자산손상차손환입,
82,대손상각비,7550319279.0
83,종업원급여충당부채설정액,35140798518.0
84,소송충당부채설정액,2810453856.0
85,손실부담계약충당부채설정액,
86,손실부담계약충당부채환입액,-311382969.0
87,소송충당부채환입액,-835312905.0
88,수탁과제연구수익,-691904652.0
89,공동기업투자주식평가손익,-232101178.0
90,공동기업투자주식 손상차손,346651158.0
91,영업활동으로인한자산ㆍ부채의변동,-127415225683.0
92,매출채권의 감소(증가),3698922874.0
93,미청구공사의 감소(증가),-37214904111.0
94,미수금의 감소(증가),1661481914.0
95,선급금의 감소(증가),-1748790389.0
96,선급비용의 감소(증가),1955291650.0
97,재고자산의 감소(증가),-48787589.0
98,기타유동비금융자산의 감소(증가),149183227.0
99,매입채무의 증가(감소),-656159666.0
100,미지급금의 증가(감소),-865910737.0
101,미지급비용의 증가(감소),8065498467.0
102,임대보증금의 증가(감소),
103,선수금의 증가(감소),3753892310.0
104,예수금의 증가(감소),-2846795464.0
105,기타유동비금융부채의 증가(감소),-10471117291.0
106,소송충당부채의 증가(감소),-8412607849.0
107,종업원급여충당부채의 증가(감소),-51523552839.0
108,기타유동충당부채의 증가(감소),
109,퇴직급여채무의 증가(감소),-21353486850.0
110,사외적립자산의 감소(증가),-11557383340.0
111,기타보증금의 증가(감소),
112,이자수취,4121563736.0
113,이자지급,547087161.0
114,법인세의 납부,50835873762.0
115,투자활동으로 인한 현금흐름,-88660682238.0
116,장단기금융상품의 증가,349888767045.0
117,당기손익-공정가치측정금융자산의 증가,70488275346.0
118,장단기금융상품의 감소,294555738282.0
119,당기손익-공정가치측정금융자산의 감소,63717909588.0
120,국공채의 취득,-35490000.0
121,국공채의 처분,844280000.0
122,대여금의 증가,12604692438.0
123,대여금의 감소,10515075486.0
124,관계기업투자주식의 감소,
125,보증금의 증가,29717815594.0
126,보증금의 감소,35047907317.0
127,정부보조금의 수령(상환),490576398.0
128,유형자산의 취득,28846605106.0
129,유형자산의 처분,531250440.0
130,무형자산의 취득,2781774220.0
131,만기보유금융자산의 취득,
132,만기보유금융자산의 처분,
133,재무활동현금흐름,-83797673493.0
134,배당금지급,80550000000.0
135,리스부채의 상환,3247673493.0
136,환율변동효과 반영전 현금및현금성자산의 순증감,-11901180914.0
137,환율변동효과,-293829514.0
138,현금및현금성자산의순증감,-12195010428.0
139,기초현금및현금성자산,38461477917.0
140,기말현금및현금성자산,26266467489.0
141,기초자본,984135814045.0
142,기초자본,252190.0
143,기초자본,984135561855.0
144,기초자본,-1082756974.0
145,기초자본,976218318829.0
146,기초자본,9000000000.0
147,IFRS 1109호 최초적용에 따른 조정(세후),0.0
148,IFRS 1109호 최초적용에 따른 조정(세후),0.0
149,IFRS 1109호 최초적용에 따른 조정(세후),0.0
150,IFRS 1109호 최초적용에 따른 조정(세후),0.0
151,IFRS 1109호 최초적용에 따른 조정(세후),0.0
152,IFRS 1109호 최초적용에 따른 조정(세후),0.0
153,조정금액,984135814045.0
154,조정금액,252190.0
155,조정금액,984135561855.0
156,조정금액,-1082756974.0
157,조정금액,976218318829.0
158,조정금액,9000000000.0
159,당기순이익,153331330778.0
160,당기순이익,72.0
161,당기순이익,153331330706.0
162,당기순이익,
163,당기순이익,153331330706.0
164,당기순이익,
165,순확정급여부채의 재측정요소,6102017505.0
166,순확정급여부채의 재측정요소,
167,순확정급여부채의 재측정요소,6102017505.0
168,순확정급여부채의 재측정요소,
169,순확정급여부채의 재측정요소,6102017505.0
170,순확정급여부채의 재측정요소,
171,해외사업환산손익,398916049.0
172,해외사업환산손익,
173,해외사업환산손익,398916049.0
174,해외사업환산손익,398916049.0
175,해외사업환산손익,
176,해외사업환산손익,
177,배당,-80550000000.0
178,배당,0.0
179,배당,-80550000000.0
180,배당,0.0
181,배당,-80550000000.0
182,배당,0.0
183,기말자본,1063418078377.0
