,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
162,057050,현대홈쇼핑,99900,900,0.9,25148,2529329400,98500,103000,98500,1198800000000,0.08,12000000,3172890.0,26.44,163.0,2019-01-02
2540,057050,현대홈쇼핑,98900,-1000,-1.0,40595,4072962660,100500,104000,98900,1186800000000,0.08,12000000,3166131.0,26.38,162.0,2019-01-03
4922,057050,현대홈쇼핑,99200,300,0.3,32377,3242802922,98500,102500,98500,1190400000000,0.08,12000000,3162376.0,26.35,165.0,2019-01-04
7300,057050,현대홈쇼핑,98900,-300,-0.3,23963,2383728800,99700,100500,98100,1186800000000,0.08,12000000,3156697.0,26.31,164.0,2019-01-07
9679,057050,현대홈쇼핑,99500,600,0.6,26955,2694582500,100500,100500,99000,1194000000000,0.08,12000000,3154589.0,26.29,164.0,2019-01-08
12057,057050,현대홈쇼핑,100000,500,0.5,40266,4054426804,99500,102500,99500,1200000000000,0.08,12000000,3162592.0,26.35,163.0,2019-01-09
14437,057050,현대홈쇼핑,100000,0,0.0,21887,2185297390,100000,101000,98700,1200000000000,0.08,12000000,3163038.0,26.36,164.0,2019-01-10
16818,057050,현대홈쇼핑,99600,-400,-0.4,25502,2535434600,100500,101000,98600,1195200000000,0.07,12000000,3163182.0,26.36,166.0,2019-01-11
19196,057050,현대홈쇼핑,99500,-100,-0.1,16153,1608041100,99100,100500,99100,1194000000000,0.07,12000000,3166852.0,26.39,165.0,2019-01-14
21575,057050,현대홈쇼핑,99800,300,0.3,20337,2034685100,100500,101000,99100,1197600000000,0.07,12000000,3173860.0,26.45,165.0,2019-01-15
23955,057050,현대홈쇼핑,100000,200,0.2,23379,2335373616,99500,100500,99000,1200000000000,0.07,12000000,3176597.0,26.47,166.0,2019-01-16
26335,057050,현대홈쇼핑,101000,1000,1.0,25245,2538116037,100000,102500,99400,1212000000000,0.07,12000000,3182677.0,26.52,167.0,2019-01-17
28712,057050,현대홈쇼핑,101500,500,0.5,28614,2928356500,101000,104000,100500,1218000000000,0.07,12000000,3181815.0,26.52,165.0,2019-01-18
31094,057050,현대홈쇼핑,100000,-1500,-1.5,13854,1395673000,101500,102500,100000,1200000000000,0.07,12000000,3177016.0,26.48,168.0,2019-01-21
33472,057050,현대홈쇼핑,99900,-100,-0.1,16222,1625250900,100500,101500,99600,1198800000000,0.07,12000000,3175638.0,26.46,167.0,2019-01-22
35852,057050,현대홈쇼핑,102500,2600,2.6,25959,2638965900,100000,103000,99700,1230000000000,0.07,12000000,3173296.0,26.44,168.0,2019-01-23
