,account_nm,thstrm_amount
0,유동자산,199999434025
1,현금및현금성자산,54558466355
2,단기금융자산,0
3,매출채권,40392936495
4,기타유동자산,9686505189
5,당기법인세자산,1110846166
6,재고자산,87262687175
7,매각예정비유동자산,6987992645
8,비유동자산,233270997705
9,장기금융자산,3003000000
10,순확정급여자산,4129798307
11,당기손익-공정가치 측정 금융자산,7314000000
12,유형자산,16591988927
13,투자부동산,2173712939
14,사용권자산,56482508730
15,무형자산,94421051244
16,이연법인세자산,8226546214
17,기타비유동자산,40928391344
18,자산총계,433270431730
19,유동부채,96726193045
20,매입채무,32589148483
21,단기차입금,7638584510
22,미지급금,16036694372
23,미지급법인세,1662095309
24,이연수익,2790689971
25,유동충당부채,2621453140
26,기타유동부채,6550464868
27,유동성전환상환우선주부채,590512844
28,유동리스부채,25027141548
29,유동성장기차입금,1219408000
30,비유동부채,80173789113
31,장기차입금,99960000
32,전환상환우선주부채,1515218087
33,비유동리스부채,30940234396
34,순확정급여부채,730320359
35,충당부채,944447250
36,기타비유동부채,45943609021
37,부채총계,176899982158
38,지배기업지분,247098588764
39,자본금,13516729500
40,보통주자본금,13516729500
41,자본잉여금,174196053806
42,기타자본항목,-65466487645
43,기타포괄손익누계액,-663590294
44,이익잉여금(결손금),125515883397
45,비지배지분,9271860808
46,자본총계,256370449572
47,자본과부채총계,433270431730
48,매출액,422205555168
49,제품매출액,290449695506
50,상품매출액,129202730738
51,기타매출액,2553128924
52,매출원가,168852823293
53,제품매출원가,120560958393
54,상품매출원가,47515830962
55,기타매출원가,776033938
56,매출총이익,253352731875
57,판매비와관리비,251518620261
58,영업이익(손실),1834111614
59,영업외수익,5641668476
60,영업외비용,26253482060
61,금융수익,24521545359
62,금융비용,17132791092
63,종속기업투자이익,0
64,법인세비용차감전순이익(손실),-11388947703
65,법인세비용,-1780315591
66,당기순이익(손실),-9608632112
67,지배기업소유주지분,-11151598094
68,비지배주주지분,1542965982
69,기타포괄손익,799024979
70,당기손익으로 재분류되지 않는항목,332372463
71,순확정급여부채 재측정요소,332372463
