,account_nm,thstrm_amount
0,유동자산,131110615848.0
1,현금및현금성자산,40122039634.0
2,단기금융자산,1440000000.0
3,매도가능금융자산,
4,당기손익-공정가치 금융자산,
5,당기손익인식금융자산,
6,매출채권 및 기타유동채권,28187920827.0
7,재고자산,41908678867.0
8,기타유동자산,19451976520.0
9,비유동자산,397797290179.0
10,장기금융자산,87000000.0
11,기타포괄손익-공정가치 금융자산,13760881307.0
12,매도가능금융자산,
13,공동기업 투자,4103546335.0
14,관계기업 투자,13976179425.0
15,유형자산,348815027546.0
16,사용권자산,4262509671.0
17,무형자산,2091452581.0
18,기타비유동금융자산,806728538.0
19,이연법인세자산,9893964776.0
20,자산총계,528907906027.0
21,유동부채,92139190008.0
22,매입채무 및 기타유동채무,36719465243.0
23,단기차입금,28951807828.0
24,유동성장기차입금,23752040000.0
25,기타유동부채,889621342.0
26,유동리스부채,240049309.0
27,충당부채,
28,당기법인세부채,1586206286.0
29,비유동부채,193824905739.0
30,장기매입채무 및 기타비유동채무,3276149000.0
31,장기차입금,181901909692.0
32,비유동리스부채,468021505.0
33,기타비유동부채,1226061445.0
34,순확정급여부채,6952764097.0
35,부채총계,285964095747.0
36,지배기업의 소유주에게 귀속되는 자본,212494113212.0
37,자본금,46303409500.0
38,주식발행초과금,54360196987.0
39,기타자본,3867665624.0
40,이익잉여금(결손금),107962841101.0
41,비지배지분,30449697068.0
42,자본총계,242943810280.0
43,자본과부채총계,528907906027.0
44,수익(매출액),248943837512.0
45,매출원가,197342277394.0
46,매출총이익,51601560118.0
47,판매비와관리비,38165335554.0
48,영업이익(손실),13436224564.0
49,기타이익,2356380641.0
50,기타손실,8598618613.0
51,금융수익,308455864.0
52,금융원가,4096439318.0
53,관계기업및공동기업투자이익,509070299.0
54,법인세비용차감전순이익(손실),3915073437.0
55,법인세비용,3709263375.0
56,당기순이익(손실),205810062.0
57,기타포괄손익,-2762451400.0
58,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-4390211387.0
59,순확정급여부채의 재측정요소,-1904333626.0
60,기타포괄손익-공정가치 금융자산 평가손익,-2117428975.0
61,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-368448786.0
62,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),1627759987.0
63,매도가능금융자산평가손익(세후기타포괄손익),
64,매도가능금융자산평가손익의 세후재분류조정,
65,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),64777512.0
66,해외사업장환산외환차이(세후기타포괄손익),1562982475.0
67,총포괄손익,-2556641338.0
68,지배기업의 소유주에게 귀속되는 당기순이익(손실),8100276230.0
69,비지배지분에 귀속되는 당기순이익(손실),-7894466168.0
70,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",4517794301.0
71,"총 포괄손익, 비지배지분",-7074435639.0
72,계속영업기본주당이익(손실),88.0
73,계속영업희석주당이익(손실),88.0
74,영업활동현금흐름,31765265445.0
75,영업활동으로부터 창출된 현금,44222956778.0
76,이자수취(영업),266674526.0
77,이자지급(영업),3614089639.0
78,배당금수취(영업),493043261.0
79,법인세납부(환급),9603319481.0
80,투자활동현금흐름,-110197841006.0
81,단기대여금의 감소,20943500.0
82,보증금의 감소,
83,매도가능금융자산의 처분,
84,단기금융자산의 감소,540000000.0
85,장기금융자산의 감소,1000000.0
86,유형자산의 처분,951855923.0
87,무형자산의 처분,245763509.0
88,보증금의 증가,21778850.0
89,당기손익-공정가치 금융자산의 처분,500211919.0
90,단기대여금의 증가,
91,단기금융자산의 증가,655000000.0
92,장기금융자산의 증가,345000000.0
93,유형자산의 취득,111336653664.0
94,무형자산의 취득,99183343.0
95,매도가능금융자산의 취득,
96,재무활동현금흐름,85535737289.0
97,단기차입금의 증가,16156605342.0
98,유동성장기부채의 상환,13317958505.0
99,장기차입금의 증가,85403584150.0
100,유상증자및발행분담금환급,
101,주식매수선택권행사,
102,단기차입금의 상환,2000000000.0
103,장기차입금의 상환,482248198.0
104,리스료의 상환,224245500.0
105,현금및현금성자산에 대한 환율변동효과,281810958.0
106,현금및현금성자산의순증가(감소),7384972686.0
107,기초현금및현금성자산,32737066948.0
108,기말현금및현금성자산,40122039634.0
109,기초자본,245500451618.0
110,기초자본,37524132707.0
111,기초자본,207976318911.0
112,기초자본,5404771729.0
113,기초자본,101907940695.0
114,기초자본,46303409500.0
115,기초자본,54360196987.0
116,당기순이익(손실),205810062.0
117,당기순이익(손실),-7894466168.0
118,당기순이익(손실),8100276230.0
119,당기순이익(손실),8100276230.0
120,기타포괄손익,-2762451400.0
121,기타포괄손익,820030529.0
122,기타포괄손익,-3582481929.0
123,기타포괄손익,-1537106105.0
124,기타포괄손익,-2045375824.0
125,유상증자및발행분담금환급,
126,유상증자및발행분담금환급,
127,주식매수선택권행사,
128,주식매수선택권행사,
129,주식매수선택권행사,
130,주식매수선택권행사,
131,주식매수선택권행사,
132,연결대상범위의 변동,
133,연결대상범위의 변동,
134,연결대상범위의 변동,
135,연결대상범위의 변동,
136,자본 증가(감소) 합계,-2556641338.0
137,자본 증가(감소) 합계,-7074435639.0
138,자본 증가(감소) 합계,4517794301.0
139,자본 증가(감소) 합계,-1537106105.0
140,자본 증가(감소) 합계,6054900406.0
141,자본 증가(감소) 합계,
142,자본 증가(감소) 합계,
143,기말자본,242943810280.0
144,기말자본,30449697068.0
145,기말자본,212494113212.0
146,기말자본,3867665624.0
147,기말자본,107962841101.0
148,기말자본,46303409500.0
149,기말자본,54360196987.0
