,account_nm,thstrm_amount
0,유동자산,1245174941764.0
1,당좌자산,455536156422.0
2,현금및현금성자산,70496499495.0
3,단기금융상품,6230000000.0
4,매출채권,335804791777.0
5,미수금,15097581102.0
6,미수수익,66357282.0
7,선급금,18385188549.0
8,선급비용,3497314822.0
9,당기법인세자산,4156359411.0
10,파생상품자산,1433671961.0
11,매각예정비유동자산,0.0
12,온실가스배출권,368392023.0
13,재고자산,789638785342.0
14,비유동자산,1317332924377.0
15,투자자산,21511246628.0
16,장기금융상품,8254002899.0
17,기타포괄손익 -  공정가치 측정 금융자산,5188642791.0
18,당기손익 - 공정가치 측정 금융자산,8057966238.0
19,매도가능금융자산,0.0
20,공동기업투자주식,0.0
21,기타투자자산,10634700.0
22,투자부동산,108351974766.0
23,유형자산,1136177869738.0
24,무형자산,19453677369.0
25,기타비유동자산,31838155876.0
26,장기성매출채권,19691724910.0
27,보증금,3734388558.0
28,장기성대여금,300000000.0
29,이연법인세자산,4657514054.0
30,장기성선급금,3353708331.0
31,장기성선급비용,15768100.0
32,기타비유동자산,85051923.0
33,자산총계,2562507866141.0
34,유동부채,763345152755.0
35,매입채무 및 기타유동채무,73749009032.0
36,단기차입금,293390976327.0
37,미지급금,40656772995.0
38,미지급비용,44142152804.0
39,계약부채,93329250848.0
40,선수금,0.0
41,예수금,5683395531.0
42,당기법인세부채,723288916.0
43,미지급배당금,6009166.0
44,유동성장기차입금,204762581109.0
45,파생상품부채,2578093334.0
46,온실가스배출부채,0.0
47,유동성수입보증금,1929854290.0
48,유동성리스부채,2393768403.0
49,기타유동부채,0.0
50,비유동부채,415348398402.0
51,사채,199497091337.0
52,장기차입금,106642992407.0
53,순확정급여부채,28266291568.0
54,장기종업원급여부채,6240074036.0
55,이연법인세부채,53128477019.0
56,장기성수입보증금,8298066079.0
57,리스부채,13275405956.0
58,부채총계,1178693551157.0
59,지배기업 소유주지분,1381773506333.0
60,자본금,140121390000.0
61,보통주자본금,140121390000.0
62,자본잉여금,494520021033.0
63,주식발행초과금,513407400336.0
64,기타자본잉여금,-18887379303.0
65,자본조정,-152175835.0
66,자기주식,152175835.0
67,기타포괄손익누계액,14711200721.0
68,기타포괄손익-공정가치 측정 금융자산 평가손익,349831413.0
69,매도가능금융자산평가손익,0.0
70,해외사업환산손익,14361369308.0
71,이익잉여금(결손금),732573070414.0
72,법정적립금,17628995000.0
73,미처분이익잉여금(미처리결손금),714944075414.0
74,비지배지분,2040808651.0
75,자본총계,1383814314984.0
76,자본과부채총계,2562507866141.0
77,매출액,2451305535330.0
78,제품매출액,2247139105960.0
79,상품매출액,195309094623.0
80,용역매출액,8857334747.0
81,매출원가,2263690812784.0
82,제품매출원가,2081967464022.0
83,상품매출원가,178293041882.0
84,용역매출원가,3430306880.0
85,매출총이익,187614722546.0
86,판매비와관리비,146472059268.0
87,영업이익(손실),41142663278.0
88,기타이익,65315377305.0
89,수입배당금,92129200.0
90,수입임대료,1027706004.0
91,당기손익 -  공정가치 측정 금융자산 평가이익,158039657.0
92,외환차익,24132928658.0
93,외화환산이익,8564955111.0
94,매각예정비유동자산처분이익,828000712.0
95,유형자산처분이익,182608095.0
96,무형자산처분이익,0.0
97,파생상품거래이익,12021483414.0
98,파생상품평가이익,1770290201.0
99,잡이익,16537236253.0
100,기타손실,50040188653.0
101,당기손익 - 공정가치 측정 금융자산 평가손실,90436552.0
102,당기손익 - 공정가치 측정 금융자산 처분손실,528876.0
103,매도가능금융자산처분손실,0.0
104,매도가능금융자산손상차손,0.0
105,외환차손,19855981199.0
106,외화환산손실,7660653249.0
107,기부금,4705878742.0
108,매각예정비유동자산처분손실,488078425.0
109,매각예정비유동자산손상차손,0.0
110,유형자산처분손실,67683342.0
111,무형자산처분손실,41507400.0
112,무형자산손상차손,0.0
113,파생상품거래손실,13867895434.0
114,파생상품평가손실,2497728802.0
115,잡손실,763816632.0
116,금융수익,7927187777.0
117,이자수익,993203642.0
118,외환차익,6809968724.0
119,외화환산이익(금융수익),124015411.0
120,금융원가,37554308946.0
121,이자비용,29731624502.0
122,외환차손,7727248286.0
123,외화환산손실(금융원가),95436158.0
124,공동기업투자주식손익,-443169891.0
