,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
202,170900,동아에스티,104500,0,0.0,20601,2167262500,104500,106500,102500,882384206000,0.06,8443868,2172735.0,25.73,203.0,2019-01-02
2583,170900,동아에스티,101500,-3000,-2.9,17797,1839651000,105000,105500,101500,857052602000,0.06,8443868,2170425.0,25.7,205.0,2019-01-03
4961,170900,동아에스티,106000,4500,4.4,27461,2895131500,102000,107500,102000,895050008000,0.06,8443868,2179863.0,25.82,204.0,2019-01-04
7337,170900,동아에스티,108500,2500,2.4,25810,2812762500,108500,110500,107000,916159678000,0.06,8443868,2174864.0,25.76,201.0,2019-01-07
9716,170900,동아에스티,110500,2000,1.8,28656,3154204000,108500,112500,107000,933047414000,0.06,8443868,2171505.0,25.72,201.0,2019-01-08
12097,170900,동아에스티,110000,-500,-0.4,23630,2627729500,109500,112500,109500,928825480000,0.06,8443868,2170715.0,25.71,203.0,2019-01-09
14474,170900,동아에스티,110500,500,0.4,17636,1940695500,109500,111500,108500,933047414000,0.06,8443868,2169817.0,25.7,201.0,2019-01-10
16857,170900,동아에스티,108000,-2500,-2.3,14410,1570892500,109000,110500,108000,911937744000,0.06,8443868,2166662.0,25.66,205.0,2019-01-11
19237,170900,동아에스티,106500,-1500,-1.4,23276,2501725500,107500,109000,106500,899271942000,0.06,8443868,2162478.0,25.61,206.0,2019-01-14
21627,170900,동아에스티,103500,-3000,-2.8,41211,4330074000,106000,107500,103500,873940338000,0.05,8443868,2158772.0,25.57,217.0,2019-01-15
24005,170900,동아에스티,103000,-500,-0.5,18965,1961090500,103000,104500,102500,869718404000,0.05,8443868,2154344.0,25.51,216.0,2019-01-16
26381,170900,동아에스티,102000,-1000,-1.0,25518,2622131000,103000,104500,101500,861274536000,0.05,8443868,2149475.0,25.46,213.0,2019-01-17
28754,170900,동아에스티,107000,5000,4.9,36255,3840531500,103000,108000,101500,903493876000,0.06,8443868,2143355.0,25.38,207.0,2019-01-18
31140,170900,동아에스티,103500,-3500,-3.3,23021,2398411500,107000,108000,103000,873940338000,0.05,8443868,2138765.0,25.33,214.0,2019-01-21
33521,170900,동아에스티,102000,-1500,-1.4,24762,2533450500,103000,104000,101500,861274536000,0.05,8443868,2135436.0,25.29,216.0,2019-01-22
35902,170900,동아에스티,101500,-500,-0.5,14169,1442291500,101500,103000,101000,857052602000,0.05,8443868,2132544.0,25.26,218.0,2019-01-23
38286,170900,동아에스티,99800,-1700,-1.7,31627,3174551600,101500,102000,99700,842698026400,0.05,8443868,2125432.0,25.17,223.0,2019-01-24
40669,170900,동아에스티,100000,200,0.2,16182,1619479000,99700,101000,99300,844386800000,0.05,8443868,2122971.0,25.14,227.0,2019-01-25
43049,170900,동아에스티,99700,-300,-0.3,19298,1924895000,100500,100500,99100,841853639600,0.05,8443868,2120210.0,25.11,227.0,2019-01-28
45428,170900,동아에스티,98500,-1200,-1.2,23535,2326074600,99900,99900,98100,831720998000,0.05,8443868,2111419.0,25.01,226.0,2019-01-29
47805,170900,동아에스티,100000,1500,1.5,18772,1862714200,99600,100500,98400,844386800000,0.05,8443868,2114697.0,25.04,224.0,2019-01-30
50185,170900,동아에스티,101000,1000,1.0,25883,2599415100,101000,101000,99700,852830668000,0.05,8443868,2115866.0,25.06,224.0,2019-01-31
52567,170900,동아에스티,100500,-500,-0.5,22616,2274456800,101000,102000,99000,848608734000,0.05,8443868,2113339.0,25.03,226.0,2019-02-01
54947,170900,동아에스티,100500,0,0.0,13691,1369411700,101500,101500,99300,848608734000,0.05,8443868,2115346.0,25.05,225.0,2019-02-07
57328,170900,동아에스티,101000,500,0.5,13207,1330110600,100000,101500,99800,852830668000,0.05,8443868,2114034.0,25.04,225.0,2019-02-08
59702,170900,동아에스티,105500,4500,4.5,45293,4742858000,101000,107000,100500,890828074000,0.05,8443868,2111322.0,25.0,218.0,2019-02-11
62087,170900,동아에스티,102500,-3000,-2.8,28957,2992007500,104500,106500,101500,865496470000,0.05,8443868,2102634.0,24.9,221.0,2019-02-12
64470,170900,동아에스티,103500,1000,1.0,15699,1632365000,102500,105500,102500,873940338000,0.05,8443868,2101107.0,24.88,222.0,2019-02-13
66854,170900,동아에스티,103000,-500,-0.5,26776,2742620500,103000,104000,101500,869718404000,0.05,8443868,2101605.0,24.89,224.0,2019-02-14
69237,170900,동아에스티,102000,-1000,-1.0,8836,902672000,102000,103500,101000,861274536000,0.05,8443868,2099862.0,24.87,225.0,2019-02-15
71620,170900,동아에스티,103000,1000,1.0,15696,1616364500,102000,103500,101500,869718404000,0.05,8443868,2098635.0,24.85,226.0,2019-02-18
74002,170900,동아에스티,104000,-1500,-1.4,13288,1387731500,106000,106000,103500,878162272000,0.05,8443868,2102032.0,24.89,226.0,2019-02-20
76386,170900,동아에스티,102000,-2000,-1.9,17893,1843541500,104500,104500,102000,861274536000,0.05,8443868,2099364.0,24.86,228.0,2019-02-21
78765,170900,동아에스티,103000,1000,1.0,23719,2460612000,102000,105000,102000,869718404000,0.05,8443868,2108065.0,24.97,225.0,2019-02-22
81151,170900,동아에스티,102000,-1000,-1.0,16939,1734536000,103500,104000,101500,861274536000,0.05,8443868,2099053.0,24.86,229.0,2019-02-25
83533,170900,동아에스티,101500,-500,-0.5,15106,1541268500,102000,103500,101000,857052602000,0.05,8443868,2095210.0,24.81,229.0,2019-02-26
85912,170900,동아에스티,104000,2500,2.5,17681,1827071500,102000,104500,101000,878162272000,0.05,8443868,2095797.0,24.82,226.0,2019-02-27
88293,170900,동아에스티,103000,-1000,-1.0,40143,4218635000,104000,106500,103000,869718404000,0.05,8443868,2094380.0,24.8,226.0,2019-02-28
90670,170900,동아에스티,107000,4000,3.9,36097,3861910500,104000,108000,104000,903493876000,0.05,8443868,2098346.0,24.85,222.0,2019-03-04
93050,170900,동아에스티,107000,0,0.0,26938,2890956000,107500,108500,105500,903493876000,0.05,8443868,2092155.0,24.78,222.0,2019-03-05
95434,170900,동아에스티,106000,-1000,-0.9,15449,1648023000,108000,108000,105500,895050008000,0.05,8443868,2087410.0,24.72,225.0,2019-03-06
97814,170900,동아에스티,106500,500,0.5,38808,4187873500,107000,111000,105000,899271942000,0.05,8443868,2077465.0,24.6,224.0,2019-03-07
100197,170900,동아에스티,104000,-2500,-2.4,19966,2090768000,105500,106500,104000,878162272000,0.05,8443868,2076271.0,24.59,226.0,2019-03-08
102576,170900,동아에스티,106000,2000,1.9,12679,1329867000,104000,106000,103500,895050008000,0.05,8443868,2073679.0,24.56,224.0,2019-03-11
104961,170900,동아에스티,105000,-1000,-0.9,25545,2682380000,107500,107500,103500,886606140000,0.05,8443868,2072559.0,24.55,228.0,2019-03-12
107342,170900,동아에스티,106500,1500,1.4,14867,1586152500,105000,107500,104500,899271942000,0.05,8443868,2078050.0,24.61,228.0,2019-03-13
109724,170900,동아에스티,105500,-1000,-0.9,32117,3377557500,107500,108000,104000,890828074000,0.05,8443868,2074182.0,24.56,229.0,2019-03-14
112107,170900,동아에스티,103000,-2500,-2.4,47411,4931032500,105500,107000,102000,869718404000,0.05,8443868,2082473.0,24.66,230.0,2019-03-15
114489,170900,동아에스티,105500,2500,2.4,15986,1673044500,103000,105500,103000,890828074000,0.05,8443868,2087549.0,24.72,229.0,2019-03-18
116876,170900,동아에스티,102000,-3500,-3.3,37834,3898452000,106500,106500,101500,861274536000,0.05,8443868,2082273.0,24.66,233.0,2019-03-19
119257,170900,동아에스티,102000,0,0.0,21802,2203880900,102000,103000,99700,861274536000,0.05,8443868,2084349.0,24.68,231.0,2019-03-20
121641,170900,동아에스티,99400,-2600,-2.6,36797,3677383900,101500,102000,99100,839320479200,0.05,8443868,2079522.0,24.63,232.0,2019-03-21
124037,170900,동아에스티,95800,-3600,-3.6,44681,4343698600,98200,99300,95600,808922554400,0.05,8443868,2080224.0,24.64,244.0,2019-03-22
126416,170900,동아에스티,95400,-400,-0.4,13423,1282461700,95000,96600,94300,805545007200,0.05,8443868,2080753.0,24.64,238.0,2019-03-25
128801,170900,동아에스티,95700,300,0.3,15963,1537802700,94500,97000,94500,808078167600,0.05,8443868,2081050.0,24.65,238.0,2019-03-26
131186,170900,동아에스티,95000,-700,-0.7,19355,1853070500,95700,96400,95000,802167460000,0.05,8443868,2072580.0,24.55,238.0,2019-03-27
