,account_nm,thstrm_amount
0,유동자산,1571275319376.0
1,현금및현금성자산,389234185423.0
2,단기금융상품,211438433711.0
3,매출채권 및 기타채권,889920871407.0
4,기타금융자산,4108694263.0
5,당기법인세자산,4172784789.0
6,기타자산,72400349783.0
7,비유동자산,504231774259.0
8,장기금융상품,270345112.0
9,매도가능금융자산,
10,기타금융자산,10387610663.0
11,"종속기업, 공동기업 및 관계기업투자",14944876469.0
12,유형자산,31775334810.0
13,사용권자산,113389127603.0
14,무형자산,323785548080.0
15,이연법인세자산,9602466815.0
16,기타자산,76464707.0
17,자산총계,2075507093635.0
18,유동부채,1063007777183.0
19,매입채무 및 기타채무,972973605642.0
20,기타금융부채,16643379360.0
21,유동성사채,10000000.0
22,단기차입금,2268952000.0
23,충당부채,5452100145.0
24,당기법인세부채,5747170995.0
25,기타부채,59912569041.0
26,비유동부채,231503794795.0
27,기타채무,6535718924.0
28,기타금융부채,164951505200.0
29,사채,
30,장기차입금,8103400000.0
31,순확정급여부채,2054826368.0
32,이연법인세부채,43781703636.0
33,충당부채,5974945906.0
34,기타부채,101694761.0
35,부채총계,1294511571978.0
36,지배기업소유주지본,763684050841.0
37,자본금,10000000000.0
38,기타불입자본,132848563863.0
39,기타자본구성요소,-34267848079.0
40,이익잉여금,655103335057.0
41,비지배지분,17311470816.0
42,자본총계,780995521657.0
43,자본과부채총계,2075507093635.0
44,매출액,1274274037164.0
45,매출원가,758277315477.0
46,매출총이익,515996721687.0
47,판매비와관리비,394144256443.0
48,영업이익,121852465244.0
49,지분법손익,1359706289.0
50,금융수익,16844570500.0
51,금융비용,10963300858.0
52,기타수익,992780818.0
53,기타비용,2020761433.0
54,법인세비용차감전순이익,128065460560.0
55,법인세비용,33500926275.0
56,당기순이익,94564534285.0
57,기타포괄손익,11272096166.0
58,후속적으로 당기손익으로 재분류되지 않는 항목,-2347203911.0
59,확정급여제도의 재측정요소,-2347203911.0
60,후속적으로 당기손익으로 재분류될 수 있는 항목,13619300077.0
61,해외사업환산손익,13526990518.0
62,지분법자본변동,92309559.0
63,매도가능금융자산평가이익(손실),
64,지배기업소유주지분,73626090233.0
65,비지배지분,20938444052.0
66,지배기업소유주지분,83631861160.0
67,비지배지분,22204769291.0
68,기본및희석주당이익,3681.0
69,영업활동으로 인한 현금흐름,136368361849.0
70,영업으로부터 창출된 현금흐름,159941543894.0
71,당기순이익,94564534285.0
72,조정,58706526426.0
73,영업활동으로 인한 자산ㆍ부채의변동,6670483183.0
74,이자의 수취,13436774338.0
75,이자의 지급,264282228.0
76,배당금의 수취,
77,법인세의 지급,36745674155.0
78,투자활동으로 인한 현금흐름,-51710523662.0
79,단기금융상품의 순증감,-129684194520.0
80,기타금융자산의 감소,909370308.0
81,매도가능금융자산의 처분(취득),
82,유형자산의 처분,172018171.0
83,관계기업투자주식의 감소,981818182.0
84,정부보조금의 수령,
85,기타금융자산의 증가,2819618960.0
86,유형자산의 취득,8107966872.0
87,무형자산의 취득,1701726336.0
88,사업결합으로 인한 순현금 유출,-170828612675.0
89,재무활동으로 인한 현금흐름,-61243442146.0
90,리스부채의 지급,14565072928.0
91,배당금의 지급,46678369218.0
92,사채의 발행,
93,현금및현금성자산의 증가(감소),23414396041.0
94,기초의 현금및현금성자산,356950144955.0
95,현금및현금성자산의 환율변동효과,8869644427.0
96,기말의 현금및현금성자산,389234185423.0
97,기초자본,741845908863.0
98,기초자본,14374433826.0
99,기초자본,727471475037.0
100,기초자본,132848563863.0
101,기초자본,-30287470029.0
102,기초자본,614910381203.0
103,기초자본,10000000000.0
104,회계정책 변경효과,-1373091528.0
105,회계정책 변경효과,-287159060.0
106,회계정책 변경효과,-1085932468.0
107,회계정책 변경효과,-1085932468.0
108,수정 후 기초자본,740472817335.0
109,수정 후 기초자본,14087274766.0
110,수정 후 기초자본,726385542569.0
111,수정 후 기초자본,132848563863.0
112,수정 후 기초자본,-30287470029.0
113,수정 후 기초자본,613824448735.0
114,수정 후 기초자본,10000000000.0
115,연차배당,46497927664.0
116,연차배당,16497927664.0
117,연차배당,30000000000.0
118,연차배당,30000000000.0
119,당기순이익,94564534285.0
120,당기순이익,20938444052.0
121,당기순이익,73626090233.0
122,당기순이익,73626090233.0
123,확정급여제도의 재측정요소,-2347203911.0
124,확정급여제도의 재측정요소,-2347203911.0
125,확정급여제도의 재측정요소,-2347203911.0
126,해외사업환산손익,13526990518.0
127,해외사업환산손익,1266325239.0
128,해외사업환산손익,12260665279.0
129,해외사업환산손익,12260665279.0
130,지분법자본변동,92309559.0
131,지분법자본변동,92309559.0
132,지분법자본변동,92309559.0
133,매도가능금융자산평가이익,
134,매도가능금융자산평가이익,
135,매도가능금융자산평가이익,
136,기타,-18815998465.0
137,기타,-2482645577.0
138,기타,-16333352888.0
139,기타,-16333352888.0
140,기말자본,780995521657.0
141,기말자본,17311470816.0
142,기말자본,763684050841.0
143,기말자본,132848563863.0
144,기말자본,-34267848079.0
145,기말자본,655103335057.0
146,기말자본,10000000000.0
