,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
49,267250,현대중공업지주,337500,-8500,-2.5,39972,13622217000,348000,350000,337500,5496733237500,0.35,16286617,3374546.0,20.72,50.0,2019-01-02
2428,267250,현대중공업지주,341000,3500,1.0,36395,12493997000,339000,348500,338000,5553736397000,0.36,16286617,3375822.0,20.73,50.0,2019-01-03
4805,267250,현대중공업지주,351000,10000,2.9,43729,15112705500,342500,351500,338500,5716602567000,0.37,16286617,3370936.0,20.7,48.0,2019-01-04
7183,267250,현대중공업지주,362000,11000,3.1,42203,15134037500,353000,363500,353000,5895755354000,0.37,16286617,3375315.0,20.72,47.0,2019-01-07
9562,267250,현대중공업지주,359500,-2500,-0.7,20938,7505794000,363000,363500,354000,5855038811500,0.37,16286617,3378384.0,20.74,47.0,2019-01-08
11942,267250,현대중공업지주,358000,-1500,-0.4,31317,11273296500,358000,364000,356000,5830608886000,0.37,16286617,3380455.0,20.76,48.0,2019-01-09
14321,267250,현대중공업지주,356000,-2000,-0.6,30009,10716435500,358000,362500,354500,5798035652000,0.36,16286617,3380649.0,20.76,48.0,2019-01-10
16701,267250,현대중공업지주,354500,-1500,-0.4,35672,12574912500,356000,357500,348500,5773605726500,0.36,16286617,3384500.0,20.78,49.0,2019-01-11
19079,267250,현대중공업지주,355500,1000,0.3,31651,11174884500,354000,356500,349000,5789892343500,0.36,16286617,3388196.0,20.8,48.0,2019-01-14
21458,267250,현대중공업지주,357000,1500,0.4,37994,13533837500,358000,359000,353500,5814322269000,0.36,16286617,3403330.0,20.9,48.0,2019-01-15
23836,267250,현대중공업지주,355500,-1500,-0.4,20553,7280232500,356500,356500,351500,5789892343500,0.36,16286617,3407480.0,20.92,47.0,2019-01-16
26215,267250,현대중공업지주,364000,8500,2.4,29329,10555013000,355000,364000,354000,5928328588000,0.36,16286617,3412110.0,20.95,47.0,2019-01-17
28594,267250,현대중공업지주,365500,1500,0.4,34901,12700359000,364000,367000,360500,5952758513500,0.36,16286617,3424246.0,21.02,47.0,2019-01-18
30973,267250,현대중공업지주,367500,2000,0.6,24955,9143501000,367000,369000,363000,5985331747500,0.36,16286617,3422851.0,21.02,47.0,2019-01-21
33352,267250,현대중공업지주,362500,-5000,-1.4,25502,9227712500,364000,367000,360000,5903898662500,0.36,16286617,3428405.0,21.05,47.0,2019-01-22
35732,267250,현대중공업지주,359000,-3500,-1.0,38725,13905265500,358500,363000,355500,5846895503000,0.36,16286617,3440244.0,21.12,48.0,2019-01-23
38111,267250,현대중공업지주,362500,3500,1.0,26537,9565041500,356500,363000,356500,5903898662500,0.36,16286617,3462050.0,21.26,48.0,2019-01-24
40489,267250,현대중공업지주,365500,3000,0.8,39242,14263554500,359000,366000,359000,5952758513500,0.35,16286617,3470127.0,21.31,47.0,2019-01-25
42869,267250,현대중공업지주,379500,14000,3.8,104090,39826062500,377000,389500,376500,6180771151500,0.37,16286617,3489899.0,21.43,47.0,2019-01-28
45249,267250,현대중공업지주,378000,-1500,-0.4,54064,20458952500,380000,382000,372000,6156341226000,0.36,16286617,3501155.0,21.5,47.0,2019-01-29
47629,267250,현대중공업지주,375500,-2500,-0.7,36367,13649914000,382000,383500,373000,6115624683500,0.36,16286617,3498262.0,21.48,48.0,2019-01-30
50009,267250,현대중공업지주,359000,-16500,-4.4,224522,79962840000,358500,367000,346000,5846895503000,0.34,16286617,3493552.0,21.45,48.0,2019-01-31
52389,267250,현대중공업지주,349000,-10000,-2.8,154259,53202866500,353500,362000,338500,5684029333000,0.33,16286617,3483181.0,21.39,48.0,2019-02-01
54770,267250,현대중공업지주,347000,-2000,-0.6,40839,14211642000,349000,351000,343000,5651456099000,0.33,16286617,3489725.0,21.43,48.0,2019-02-07
57151,267250,현대중공업지주,350000,3000,0.9,35252,12328312500,345000,352500,345000,5700315950000,0.34,16286617,3490976.0,21.43,48.0,2019-02-08
59532,267250,현대중공업지주,356500,6500,1.9,39470,13968197500,352000,357500,347500,5806178960500,0.34,16286617,3499033.0,21.48,48.0,2019-02-11
61914,267250,현대중공업지주,356500,0,0.0,43794,15627641000,357500,359000,354000,5806178960500,0.34,16286617,3504762.0,21.52,48.0,2019-02-12
64296,267250,현대중공업지주,354000,-2500,-0.7,28039,9955278000,356500,357500,353500,5765462418000,0.34,16286617,3506831.0,21.53,48.0,2019-02-13
66678,267250,현대중공업지주,350500,-3500,-1.0,41836,14572445500,352000,354000,345500,5708459258500,0.33,16286617,3509700.0,21.55,48.0,2019-02-14
69060,267250,현대중공업지주,345000,-5500,-1.6,39384,13640702000,348500,351500,344500,5618882865000,0.33,16286617,3509112.0,21.55,48.0,2019-02-15
71442,267250,현대중공업지주,350500,5500,1.6,32956,11495819000,345000,351000,344500,5708459258500,0.33,16286617,3503755.0,21.51,48.0,2019-02-18
73825,267250,현대중공업지주,354500,4000,1.1,30836,10885844500,349000,355500,348500,5773605726500,0.33,16286617,3507254.0,21.53,49.0,2019-02-20
76208,267250,현대중공업지주,358500,4000,1.1,41823,14882906500,350500,358500,350000,5838752194500,0.34,16286617,3504707.0,21.52,50.0,2019-02-21
78589,267250,현대중공업지주,361000,2500,0.7,26899,9696060000,359000,362000,357000,5879468737000,0.34,16286617,3503717.0,21.51,49.0,2019-02-22
80972,267250,현대중공업지주,359000,-2000,-0.6,23465,8409570000,360000,361500,353500,5846895503000,0.34,16286617,3500411.0,21.49,50.0,2019-02-25
83353,267250,현대중공업지주,359000,0,0.0,28006,10011222500,355000,361000,352500,5846895503000,0.34,16286617,3501944.0,21.5,49.0,2019-02-26
85735,267250,현대중공업지주,364000,5000,1.4,22769,8238472500,362000,365000,356500,5928328588000,0.34,16286617,3501115.0,21.5,49.0,2019-02-27
88116,267250,현대중공업지주,361000,-3000,-0.8,29161,10579455000,364500,365000,359500,5879468737000,0.34,16286617,3497834.0,21.48,49.0,2019-02-28
90499,267250,현대중공업지주,354000,-7000,-1.9,34212,12180232500,357000,363000,354000,5765462418000,0.34,16286617,3492900.0,21.45,51.0,2019-03-04
92877,267250,현대중공업지주,358500,4500,1.3,28738,10159043000,352000,358500,350000,5838752194500,0.34,16286617,3500770.0,21.49,49.0,2019-03-05
95259,267250,현대중공업지주,353500,-5000,-1.4,19525,6924330000,359000,359000,353000,5757319109500,0.34,16286617,3501966.0,21.5,50.0,2019-03-06
97639,267250,현대중공업지주,355000,1500,0.4,17123,6077122000,355000,357000,353000,5781749035000,0.34,16286617,3508490.0,21.54,49.0,2019-03-07
100020,267250,현대중공업지주,347000,-8000,-2.2,21559,7522313500,353000,355000,346500,5651456099000,0.34,16286617,3506095.0,21.53,49.0,2019-03-08
102401,267250,현대중공업지주,346000,-1000,-0.3,21421,7378736000,344500,348000,342000,5635169482000,0.34,16286617,3501727.0,21.5,49.0,2019-03-11
104781,267250,현대중공업지주,349000,3000,0.9,26133,9128558000,349000,351500,346500,5684029333000,0.34,16286617,3495534.0,21.46,48.0,2019-03-12
107163,267250,현대중공업지주,347500,-1500,-0.4,15148,5268040500,349000,350000,345000,5659599407500,0.34,16286617,3496244.0,21.47,49.0,2019-03-13
109544,267250,현대중공업지주,348500,1000,0.3,33677,11683357000,350000,350000,345000,5675886024500,0.34,16286617,3503964.0,21.51,49.0,2019-03-14
111926,267250,현대중공업지주,351000,2500,0.7,32416,11411820000,346500,355000,346500,5716602567000,0.34,16286617,3507881.0,21.54,49.0,2019-03-15
