,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160516002061,11011,2015,00759513,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 7 기,1006985000000,제 6 기,931684000000,제 5 기,945828000000,1,
1,20160516002061,11011,2015,00759513,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 7 기,180474000000,제 6 기,128895000000,제 5 기,113351000000,2,
2,20160516002061,11011,2015,00759513,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 7 기,540161000000,제 6 기,529354000000,제 5 기,574640000000,3,
3,20160516002061,11011,2015,00759513,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 7 기,486825000000,제 6 기,482143000000,제 5 기,458083000000,4,
4,20160516002061,11011,2015,00759513,BS,재무상태표,dart_ShortTermOtherReceivables,미수금 및 기타채권,-,제 7 기,53336000000,제 6 기,47211000000,제 5 기,116557000000,5,
5,20160516002061,11011,2015,00759513,BS,재무상태표,ifrs_CurrentTaxAssets,선급법인세,-,제 7 기,835000000,제 6 기,1650000000,제 5 기,1105000000,6,
6,20160516002061,11011,2015,00759513,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,유동금융자산,-,제 7 기,0,제 6 기,0,제 5 기,0,7,
7,20160516002061,11011,2015,00759513,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동자산,-,제 7 기,18739000000,제 6 기,22567000000,제 5 기,22725000000,8,
8,20160516002061,11011,2015,00759513,BS,재무상태표,ifrs_Inventories,재고자산,-,제 7 기,266776000000,제 6 기,249218000000,제 5 기,234007000000,9,
9,20160516002061,11011,2015,00759513,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 7 기,1223571000000,제 6 기,1092765000000,제 5 기,957007000000,10,
10,20160516002061,11011,2015,00759513,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 7 기,33198000000,제 6 기,28006000000,제 5 기,28058000000,11,
11,20160516002061,11011,2015,00759513,BS,재무상태표,dart_LongTermTradeReceivablesGross,장기성매출채권,-,제 7 기,611000000,제 6 기,1156000000,제 5 기,1499000000,12,
12,20160516002061,11011,2015,00759513,BS,재무상태표,dart_LongTermOtherReceivablesGross,장기대여금 및 장기수취채권,-,제 7 기,32587000000,제 6 기,26850000000,제 5 기,26559000000,13,
