,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160516003231,11011,2015,00181712,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 25 기,29765131000000,제 24 기,927128000000,제 23 기,988337000000,1,
1,20160516003231,11011,2015,00181712,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 25 기,6995224000000,제 24 기,246017000000,제 23 기,259061000000,2,
2,20160516003231,11011,2015,00181712,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 25 기,10177906000000,제 24 기,453472000000,제 23 기,484896000000,3,
3,20160516003231,11011,2015,00181712,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 25 기,1654688000000,제 24 기,2047000000,제 23 기,2542000000,4,
4,20160516003231,11011,2015,00181712,BS,재무상태표,ifrs_Inventories,재고자산,-,제 25 기,5643327000000,제 24 기,141780000000,제 23 기,83675000000,5,
5,20160516003231,11011,2015,00181712,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 25 기,153340000000,제 24 기,0,제 23 기,0,6,
6,20160516003231,11011,2015,00181712,BS,재무상태표,-표준계정코드 미사용-,기타의유동자산,-,제 25 기,5090707000000,제 24 기,83812000000,제 23 기,158163000000,7,
7,20160516003231,11011,2015,00181712,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 25 기,49939000000,제 24 기,0,제 23 기,0,8,
8,20160516003231,11011,2015,00181712,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 25 기,66868678000000,제 24 기,4379911000000,제 23 기,4304593000000,9,
9,20160516003231,11011,2015,00181712,BS,재무상태표,-표준계정코드 미사용-,장기매출채권,-,제 25 기,45251000000,제 24 기,174000000,제 23 기,653000000,10,
10,20160516003231,11011,2015,00181712,BS,재무상태표,-표준계정코드 미사용-,장기미수금,-,제 25 기,117161000000,제 24 기,0,제 23 기,0,11,
11,20160516003231,11011,2015,00181712,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 25 기,1906664000000,제 24 기,367692000000,제 23 기,307012000000,12,
12,20160516003231,11011,2015,00181712,BS,재무상태표,-표준계정코드 미사용-,관계기업및공동기업투자,-,제 25 기,11157775000000,제 24 기,3314585000000,제 23 기,3391718000000,13,
13,20160516003231,11011,2015,00181712,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 25 기,39445286000000,제 24 기,574183000000,제 23 기,467969000000,14,
14,20160516003231,11011,2015,00181712,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 25 기,797808000000,제 24 기,0,제 23 기,0,15,
15,20160516003231,11011,2015,00181712,BS,재무상태표,dart_GoodwillGross,영업권,-,제 25 기,27078000000,제 24 기,22468000000,제 23 기,22468000000,16,
16,20160516003231,11011,2015,00181712,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 25 기,9722351000000,제 24 기,79269000000,제 23 기,90126000000,17,
